INDIVIDUAL	POPULATION_NAt	DTF	SLA
ANN0801	ANN_01	49	29.16950808
ANN0802	ANN_01	35	20.14030792
ANN0803	ANN_01	49	21.33187213
ANN0804	ANN_01	42	21.43717178
ANN0805	ANN_01	58	26.22093043
ANN0806	ANN_01	51	33.48150737
ANN0807	ANN_01	51	31.85030998
ANN0808	ANN_01	55	17.24034129
ANN0809	ANN_01	59	28.41351262
ANN0810	ANN_01	48	19.88671817
ANN0811	ANN_02	49	24.12911969
ANN0812	ANN_02	60	21.39570016
ANN0813	ANN_02	54	20.95531001
ANN0814	ANN_02	49	19.65530888
ANN0815	ANN_02	61	22.6349742
ANN0816	ANN_02	52	21.56233995
ANN0817	ANN_02	53	18.32179749
ANN0818	ANN_02	51	25.99911019
ANN0819	ANN_02	55	NA
ANN0820	ANN_02	68	21.54431384
ANN0821	ANN_03	55	20.50272121
ANN0822	ANN_03	49	19.70325494
ANN0823	ANN_03	61	22.16347619
ANN0824	ANN_03	57	19.28932615
ANN0825	ANN_03	66	27.08406987
ANN0826	ANN_03	53	17.22127322
ANN0827	ANN_03	49	20.95028334
ANN0828	ANN_03	64	25.32835808
ANN0829	ANN_03	54	13.97104834
ANN0830	ANN_03	NA	16.20314966
ANN0831. 	ANN_04	43	26.45432583
ANN0832	ANN_04	37	21.75917321
ANN0833	ANN_04	40	24.02370981
ANN0834	ANN_04	61	NA
ANN0835	ANN_04	40	25.90891578
ANN0836	ANN_04	31	22.95726653
ANN0837	ANN_04	30	51.68938966
ANN0838	ANN_04	30	34.97986596
ANN0839	ANN_04	34	19.68878221
ANN0840	ANN_04	36	23.85308141
ANN0841	ANN_05	50	21.12823103
ANN0842	ANN_05	51	23.18884881
ANN0843	ANN_05	53	26.03558472
ANN0844	ANN_05	53	29.16822423
ANN0845	ANN_05	46	21.70596614
ANN0846	ANN_05	46	22.36823529
ANN0847	ANN_05	47	23.94406387
ANN0848	ANN_05	53	21.77777252
ANN0849	ANN_05	44	17.51095991
ANN0850	ANN_05	47	22.06122071
ANN0851	ANN_06	56	19.2083304
ANN0852	ANN_06	58	17.00664535
ANN0853	ANN_06	51	15.60284758
ANN0854	ANN_06	47	15.80160892
ANN0855	ANN_06	51	19.04974817
ANN0856	ANN_06	58	16.67534592
ANN0857	ANN_06	51	15.90031061
ANN0858	ANN_06	58	17.67590714
ANN0859	ANN_06	50	13.91001738
ANN0860	ANN_06	48	15.74056941
ANN0861	ANN_07	32	NA
ANN0862	ANN_07	32	33.86761231
ANN0863	ANN_07	42	17.85978811
ANN0864	ANN_07	34	32.12777234
ANN0865	ANN_07	47	37.43798656
ANN0866	ANN_07	32	32.56571429
ANN0867	ANN_07	61	29.06711856
ANN0868	ANN_07	61	23.44577432
ANN0869	ANN_07	44	34.4558727
ANN0870	ANN_07	36	51.53975581
ANN0871	ANN_08	48	29.47235373
ANN0872	ANN_08	33	17.07019404
ANN0873	ANN_08	34	29.43524323
ANN0874	ANN_08	30	20.63850984
ANN0875	ANN_08	35	34.93553741
ANN0876	ANN_08	37	29.48529174
ANN0877	ANN_08	43	21.70289063
ANN0878	ANN_08	30	22.66062596
ANN0879	ANN_08	37	24.7860376
ANN0880	ANN_08	44	23.84482611
ANN0881	ANN_09	51	20.3886306
ANN0882	ANN_09	61	22.40222735
ANN0883	ANN_09	50	32.0733371
ANN0884	ANN_09	53	27.19349397
ANN0885	ANN_09	47	21.09487865
ANN0886	ANN_09	54	20.63487707
ANN0887	ANN_09	50	18.95403426
ANN0888	ANN_09	50	26.57084777
ANN0889	ANN_09	47	27.39088058
ANN0890	ANN_09	61	21.39073878
ANN0891	ANN_10	56	22.54002752
ANN0892	ANN_10	47	18.10103593
ANN0893	ANN_10	50	26.06667764
ANN0894	ANN_10	48	23.63179399
ANN0895	ANN_10	52	24.59742842
