name	cluster	mds_coord
ANN0801	2	mds01_neg
ANN0802	1	mds01_neg
ANN0803	3	mds01_neg
ANN0804	3	mds01_neg
ANN0805	2	mds01_neg
ANN0806	3	mds01_neg
ANN0807	3	mds01_neg
ANN0808	2	mds01_neg
ANN0809	3	mds01_neg
ANN0810	2	mds01_neg
ANN0811	3	mds01_neg
ANN0812	3	mds01_neg
ANN0813	2	mds01_neg
ANN0814	2	mds01_neg
ANN0815	2	mds01_neg
ANN0816	3	mds01_neg
ANN0817	3	mds01_neg
ANN0818	3	mds01_neg
ANN0819	2	mds01_neg
ANN0820	3	mds01_neg
ANN0821	1	mds01_neg
ANN0822	3	mds01_neg
ANN0823	2	mds01_neg
ANN0824	1	mds01_neg
ANN0825	2	mds01_neg
ANN0826	1	mds01_neg
ANN0827	1	mds01_neg
ANN0828	1	mds01_neg
ANN0829	1	mds01_neg
ANN0830	3	mds01_neg
ANN0831-	1	mds01_neg
ANN0832	2	mds01_neg
ANN0833	1	mds01_neg
ANN0834	1	mds01_neg
ANN0835	2	mds01_neg
ANN0836	1	mds01_neg
ANN0837	1	mds01_neg
ANN0838	1	mds01_neg
ANN0839	2	mds01_neg
ANN0840	2	mds01_neg
ANN0841	2	mds01_neg
ANN0842	1	mds01_neg
ANN0843	1	mds01_neg
ANN0844	2	mds01_neg
ANN0845	1	mds01_neg
ANN0846	2	mds01_neg
ANN0847	1	mds01_neg
ANN0848	3	mds01_neg
ANN0849	2	mds01_neg
ANN0850	1	mds01_neg
ANN0851	2	mds01_neg
ANN0852	2	mds01_neg
ANN0853	2	mds01_neg
ANN0854	1	mds01_neg
ANN0855	1	mds01_neg
ANN0856	2	mds01_neg
ANN0857	2	mds01_neg
ANN0858	2	mds01_neg
ANN0859	2	mds01_neg
ANN0860	1	mds01_neg
ANN0861	1	mds01_neg
ANN0862	1	mds01_neg
ANN0863	1	mds01_neg
ANN0864	1	mds01_neg
ANN0865	1	mds01_neg
ANN0866	1	mds01_neg
ANN0867	1	mds01_neg
ANN0868	1	mds01_neg
ANN0869	1	mds01_neg
ANN0870	1	mds01_neg
ANN0871	1	mds01_neg
ANN0872	1	mds01_neg
ANN0873	1	mds01_neg
ANN0874	2	mds01_neg
ANN0875	1	mds01_neg
ANN0876	1	mds01_neg
ANN0877	1	mds01_neg
ANN0878	1	mds01_neg
ANN0879	1	mds01_neg
ANN0880	1	mds01_neg
ANN0881	2	mds01_neg
ANN0882	1	mds01_neg
ANN0883	3	mds01_neg
ANN0884	2	mds01_neg
ANN0885	3	mds01_neg
ANN0886	3	mds01_neg
ANN0887	2	mds01_neg
ANN0888	2	mds01_neg
ANN0889	3	mds01_neg
ANN0890	2	mds01_neg
ANN0891	3	mds01_neg
ANN0892	3	mds01_neg
ANN0893	3	mds01_neg
ANN0894	3	mds01_neg
ANN0895	3	mds01_neg
ANN0896	2	mds01_neg
ANN0897	2	mds01_neg
ANN0898	1	mds01_neg
ANN0899	2	mds01_neg
ANN0900	3	mds01_neg
ANN0901	1	mds01_neg
ANN0902	1	mds01_neg
ANN0903	1	mds01_neg
ANN0904	2	mds01_neg
ANN0905	1	mds01_neg
ANN0906	1	mds01_neg
ANN0907	3	mds01_neg
ANN0908	2	mds01_neg
ANN0909	2	mds01_neg
ANN0910	2	mds01_neg
ANN0911	1	mds01_neg
ANN0912	1	mds01_neg
ANN0913	1	mds01_neg
ANN0914	2	mds01_neg
ANN0915	1	mds01_neg
ANN0916	2	mds01_neg
ANN0917	1	mds01_neg
ANN0918	1	mds01_neg
ANN0919	1	mds01_neg
ANN0920	1	mds01_neg
ANN0921	3	mds01_neg
