name	region	color
ANN0801	13a	#FF7F00
ANN0802	13a	#984EA3
ANN0803	13a	#FFFF33
ANN0804	13a	#FFFF33
ANN0805	13a	#FF7F00
ANN0806	13a	#FFFF33
ANN0807	13a	#FFFF33
ANN0808	13a	#FF7F00
ANN0809	13a	#FFFF33
ANN0810	13a	#FF7F00
ANN0811	13a	#FFFF33
ANN0812	13a	#FFFF33
ANN0813	13a	#FF7F00
ANN0814	13a	#FF7F00
ANN0815	13a	#FF7F00
ANN0816	13a	#FFFF33
ANN0817	13a	#FFFF33
ANN0818	13a	#FFFF33
ANN0819	13a	#FF7F00
ANN0820	13a	#FFFF33
ANN0821	13a	#984EA3
ANN0822	13a	#FFFF33
ANN0823	13a	#FF7F00
ANN0824	13a	#984EA3
ANN0825	13a	#FF7F00
ANN0826	13a	#984EA3
ANN0827	13a	#984EA3
ANN0828	13a	#984EA3
ANN0829	13a	#984EA3
ANN0830	13a	#FFFF33
ANN0831-	13a	#984EA3
ANN0832	13a	#FF7F00
ANN0833	13a	#984EA3
ANN0834	13a	#984EA3
ANN0835	13a	#FF7F00
ANN0836	13a	#984EA3
ANN0837	13a	#984EA3
ANN0838	13a	#984EA3
ANN0839	13a	#FF7F00
ANN0840	13a	#FF7F00
ANN0841	13a	#FF7F00
ANN0842	13a	#984EA3
ANN0843	13a	#984EA3
ANN0844	13a	#FF7F00
ANN0845	13a	#984EA3
ANN0846	13a	#FF7F00
ANN0847	13a	#984EA3
ANN0848	13a	#FFFF33
ANN0849	13a	#FF7F00
ANN0850	13a	#984EA3
ANN0851	13a	#FF7F00
ANN0852	13a	#FF7F00
ANN0853	13a	#FF7F00
ANN0854	13a	#984EA3
ANN0855	13a	#984EA3
ANN0856	13a	#FF7F00
ANN0857	13a	#FF7F00
ANN0858	13a	#FF7F00
ANN0859	13a	#FF7F00
ANN0860	13a	#984EA3
ANN0861	13a	#984EA3
ANN0862	13a	#984EA3
ANN0863	13a	#984EA3
ANN0864	13a	#984EA3
ANN0865	13a	#984EA3
ANN0866	13a	#984EA3
ANN0867	13a	#984EA3
ANN0868	13a	#984EA3
ANN0869	13a	#984EA3
ANN0870	13a	#984EA3
ANN0871	13a	#984EA3
ANN0872	13a	#984EA3
ANN0873	13a	#984EA3
ANN0874	13a	#FF7F00
ANN0875	13a	#984EA3
ANN0876	13a	#984EA3
ANN0877	13a	#984EA3
ANN0878	13a	#984EA3
ANN0879	13a	#984EA3
ANN0880	13a	#984EA3
ANN0881	13a	#FF7F00
ANN0882	13a	#984EA3
ANN0883	13a	#FFFF33
ANN0884	13a	#FF7F00
ANN0885	13a	#FFFF33
ANN0886	13a	#FFFF33
ANN0887	13a	#FF7F00
ANN0888	13a	#FF7F00
ANN0889	13a	#FFFF33
ANN0890	13a	#FF7F00
ANN0891	13a	#FFFF33
ANN0892	13a	#FFFF33
ANN0893	13a	#FFFF33
ANN0894	13a	#FFFF33
ANN0895	13a	#FFFF33
ANN0896	13a	#FF7F00
ANN0897	13a	#FF7F00
ANN0898	13a	#984EA3
ANN0899	13a	#FF7F00
ANN0900	13a	#FFFF33
ANN0901	13a	#984EA3
ANN0902	13a	#984EA3
ANN0903	13a	#984EA3
ANN0904	13a	#FF7F00
ANN0905	13a	#984EA3
ANN0906	13a	#984EA3
ANN0907	13a	#FFFF33
ANN0908	13a	#FF7F00
ANN0909	13a	#FF7F00
ANN0910	13a	#FF7F00
ANN0911	13a	#984EA3
ANN0912	13a	#984EA3
ANN0913	13a	#984EA3
ANN0914	13a	#FF7F00
ANN0915	13a	#984EA3
ANN0916	13a	#FF7F00
ANN0917	13a	#984EA3
ANN0918	13a	#984EA3
ANN0919	13a	#984EA3
ANN0920	13a	#984EA3
ANN0921	13a	#FFFF33
ANN0922	13a	#FF7F00
ANN0923	13a	#FF7F00
ANN0924	13a	#FFFF33
ANN0925	13a	#FFFF33
ANN0926	13a	#FF7F00
ANN0927	13a	#FFFF33
ANN0928	13a	#FF7F00
ANN0929	13a	#FF7F00
ANN0930	13a	#984EA3
ANN0931	13a	#FFFF33
ANN0932	13a	#FFFF33
ANN0933	13a	#FFFF33
ANN0934	13a	#FFFF33
ANN0935	13a	#FF7F00
ANN0936	13a	#FFFF33
ANN0937	13a	#FF7F00
ANN0938	13a	#FFFF33
ANN0939	13a	#FF7F00
ANN0940	13a	#FFFF33
ANN0941	13a	#984EA3
ANN0942	13a	#FF7F00
ANN0943	13a	#FFFF33
ANN0944	13a	#984EA3
ANN0945	13a	#FF7F00
ANN0946	13a	#FF7F00
ANN0947	13a	#FF7F00
ANN0948	13a	#FF7F00
ANN0949	13a	#FF7F00
ANN0950	13a	#FF7F00
ANN0951	13a	#FFFF33
ANN0952	13a	#984EA3
ANN0953	13a	#FF7F00
ANN0954	13a	#984EA3
ANN0955	13a	#FFFF33
ANN0956	13a	#FF7F00
ANN0957	13a	#FFFF33
ANN0958	13a	#FFFF33
ANN0959	13a	#FF7F00
ANN0960	13a	#FF7F00
ANN0961	13a	#984EA3
ANN0962	13a	#FF7F00
ANN0963	13a	#FFFF33
ANN0964	13a	#FF7F00
ANN0965	13a	#FFFF33
ANN0966	13a	#984EA3
ANN0967	13a	#FFFF33
ANN0968	13a	#984EA3
ANN0969	13a	#984EA3
ANN0970	13a	#984EA3
ANN0971	13a	#984EA3
ANN0972	13a	#FF7F00
ANN0973	13a	#FF7F00
ANN0974	13a	#984EA3
ANN0975	13a	#FF7F00
ANN0976	13a	#984EA3
ANN0977	13a	#984EA3
ANN0978	13a	#FF7F00
ANN0979	13a	#FF7F00
ANN0980	13a	#984EA3
ANN0981	13a	#FFFF33
ANN0982	13a	#FFFF33
ANN0983	13a	#FF7F00
ANN0984	13a	#FF7F00
ANN0985	13a	#FFFF33
ANN0986	13a	#FF7F00
ANN0987	13a	#984EA3
ANN0988	13a	#984EA3
ANN0989	13a	#FF7F00
ANN0990	13a	#FFFF33
ANN0991	13a	#984EA3
ANN0992	13a	#FF7F00
ANN0993	13a	#FFFF33
ANN0994	13a	#FFFF33
ANN0995	13a	#FFFF33
ANN0996	13a	#FF7F00
ANN0997	13a	#984EA3
ANN0998	13a	#FFFF33
ANN0999	13a	#FFFF33
ANN1000	13a	#984EA3
ANN1001	13a	#FFFF33
ANN1002	13a	#FFFF33
ANN1003	13a	#FFFF33
ANN1004	13a	#FFFF33
ANN1005	13a	#FF7F00
ANN1006	13a	#FFFF33
ANN1007	13a	#FFFF33
ANN1008	13a	#FFFF33
ANN1009	13a	#FFFF33
ANN1010	13a	#FFFF33
ANN1011	13a	#984EA3
ANN1012	13a	#FF7F00
ANN1013	13a	#FFFF33
ANN1014	13a	#FF7F00
ANN1015	13a	#FFFF33
ANN1016	13a	#FFFF33
ANN1017	13a	#FF7F00
ANN1018	13a	#FFFF33
ANN1019	13a	#FF7F00
ANN1020	13a	#FFFF33
ANN1021	13a	#FF7F00
ANN1022	13a	#984EA3
ANN1023	13a	#FF7F00
ANN1024	13a	#984EA3
ANN1025	13a	#FF7F00
ANN1026	13a	#FFFF33
ANN1027	13a	#984EA3
ANN1028	13a	#984EA3
ANN1029	13a	#984EA3
ANN1030	13a	#FFFF33
ANN1031	13a	#FF7F00
ANN1032	13a	#FF7F00
ANN1033	13a	#984EA3
ANN1034	13a	#FF7F00
ANN1035	13a	#984EA3
ANN1036	13a	#984EA3
ANN1037	13a	#984EA3
ANN1038	13a	#FF7F00
ANN1039	13a	#984EA3
ANN1040	13a	#FF7F00
ANN1041	13a	#FFFF33
ANN1042	13a	#984EA3
ANN1043	13a	#FFFF33
ANN1044	13a	#FFFF33
ANN1045	13a	#FF7F00
ANN1046	13a	#FF7F00
ANN1047	13a	#FF7F00
ANN1048	13a	#FFFF33
ANN1049	13a	#FF7F00
ANN1050	13a	#FFFF33
ANN1051	13a	#984EA3
ANN1052	13a	#984EA3
ANN1053	13a	#984EA3
ANN1054	13a	#FF7F00
ANN1055	13a	#984EA3
ANN1056	13a	#984EA3
ANN1057	13a	#FF7F00
ANN1058	13a	#984EA3
ANN1059	13a	#984EA3
ANN1060	13a	#984EA3
ANN1061	13a	#FF7F00
ANN1062	13a	#FFFF33
ANN1063	13a	#FFFF33
ANN1064	13a	#FFFF33
ANN1065	13a	#FFFF33
ANN1066	13a	#FFFF33
ANN1067	13a	#FFFF33
ANN1068	13a	#FFFF33
ANN1069	13a	#FFFF33
ANN1070	13a	#FFFF33
ANN1071	13a	#FF7F00
ANN1072	13a	#984EA3
ANN1073	13a	#FF7F00
ANN1074	13a	#FFFF33
ANN1075	13a	#984EA3
ANN1076	13a	#FFFF33
ANN1077	13a	#FF7F00
ANN1078	13a	#FF7F00
ANN1079	13a	#FFFF33
ANN1080	13a	#FFFF33
ANN1081	13a	#FF7F00
ANN1082	13a	#FFFF33
ANN1083	13a	#FFFF33
ANN1084	13a	#FFFF33
ANN1085	13a	#FFFF33
ANN1086	13a	#FF7F00
ANN1087	13a	#FFFF33
ANN1088	13a	#FFFF33
ANN1089	13a	#FFFF33
ANN1090	13a	#FFFF33
ANN1091	13a	#984EA3
ANN1092	13a	#FF7F00
ANN1093	13a	#984EA3
ANN1094	13a	#FF7F00
ANN1095	13a	#FF7F00
ANN1096	13a	#FFFF33
ANN1097	13a	#FF7F00
ANN1098	13a	#FF7F00
ANN1099	13a	#984EA3
ANN1100	13a	#984EA3
ANN1101	13a	#FFFF33
ANN1102	13a	#FFFF33
ANN1103	13a	#984EA3
ANN1104	13a	#984EA3
ANN1105	13a	#FF7F00
ANN1106	13a	#FF7F00
ANN1107	13a	#FF7F00
ANN1108	13a	#FF7F00
ANN1109	13a	#FF7F00
ANN1110	13a	#984EA3
