name	total_counts	total_het	perc_het
SAM094	2126671	548763	0.25803850242938375
SAM071	2126551	515659	0.24248607251836424
SAM285	1116672	265146	0.23744304504814306
SAM075	1093384	251871	0.23035914189342446
SAM079	1781021	396851	0.22282219019315325
SAM019	1173701	246188	0.20975359141723487
SAM089	1076175	218191	0.20274676516365833
SAM093	2064700	409725	0.1984428730566184
SAM229	1338017	258998	0.19356854210372515
SAM125	1244996	222096	0.17839093458934807
SAM220	1258786	215025	0.1708193449879487
SAM255	2117753	359423	0.16971903711150452
SAM028	1172997	194286	0.16563213716659123
SAM234	1720876	278505	0.16183908660472923
SAM224	1032566	166097	0.1608584826538933
SAM261	2104030	335291	0.1593565681097703
SAM127	1804773	285865	0.15839388111413458
SAM128	765956	120612	0.15746596410237665
SAM175	1971023	308055	0.1562919357105422
SAM202	1841504	283067	0.15371511547083253
SAM120	2129516	311791	0.14641402083853797
SAM086	1661318	239442	0.1441277347262836
SAM245	1438589	206362	0.14344750307419285
SAM046	1724250	225535	0.1308017978831376
SAM262	2154056	276020	0.12813965839328226
SAM087	1727022	192571	0.11150465946583193
SAM044	1045209	112401	0.1075392576986995
SAM277	1232266	123138	0.09992809993946113
SAM051	1084274	107958	0.09956708359695059
SAM198	1262809	120938	0.09576903553902451
SAM043	802614	76555	0.09538208902411371
SAM080	1548691	147611	0.09531339692682401
SAM123	1099625	102921	0.09359645333636467
SAM187	983234	85271	0.08672503188457681
SAM265	1080076	92155	0.08532269951373793
SAM247	1803416	151574	0.08404827283333408
SAM149	759903	61340	0.0807208288426286
SAM221	1517288	115397	0.07605477668049836
SAM084	1317242	99603	0.07561480730192326
SAM244	1705806	125125	0.07335242108422646
SAM068	1962764	141395	0.07203871682993981
SAM064	1425690	96232	0.06749854456438636
SAM124	1283809	86180	0.06712836566810172
SAM248	1159067	76833	0.06628866148376238
SAM088	1681893	110780	0.0658662590307469
SAM218	2127257	136705	0.06426350929859438
SAM246	1303670	81447	0.06247516626140051
SAM197	1878764	114924	0.061170003257460755
SAM083	939977	53480	0.056895009133202196
SAM242	2145374	120841	0.056326309538569964
SAM200	1574189	85623	0.05439181699274992
SAM136	896125	48070	0.05364207002371321
SAM189	1138017	60108	0.05281819164388581
SAM058	1513307	79283	0.052390559218982
SAM126	1262632	64993	0.051474222101134774
SAM024	1430438	69006	0.048241168089773905
SAM190	842711	39200	0.046516540071269985
SAM222	1352513	61088	0.04516629415022259
SAM257	1864155	80552	0.043210999085376484
SAM164	1678626	63823	0.03802097667973688
SAM013	861435	32016	0.03716589179682739
SAM267	2112145	75217	0.03561166491883843
SAM135	752082	26155	0.03477679295608724
SAM146	1389656	48091	0.034606406189733284
SAM100	893475	29410	0.03291642183608943
SAM199	979820	31671	0.032323283868465634
SAM188	974303	30944	0.031760140325956095
SAM006	319330	10052	0.03147840791657533
SAM030	763325	23280	0.030498149543117282
SAM022	1438409	43785	0.030439881841673684
SAM150	1122484	33726	0.030045862569087846
SAM015	305150	9116	0.029873832541373095
SAM287	1877511	54505	0.029030455746996954
SAM102	1803139	51909	0.028788130033236485
SAM118	2063560	58693	0.028442594351509042
SAM201	1626220	44912	0.02761741953733197
SAM110	801379	22006	0.027460165539651027
SAM025	557896	15286	0.027399371925950357
SAM232	2125515	58106	0.027337374706835754
SAM103	669352	17349	0.025919097873764476
SAM171	737315	18954	0.025706787465330286
SAM005	804296	20442	0.02541601599411162
SAM208	876853	22095	0.02519806626652358
SAM266	603187	15123	0.025071826813243655
SAM048	965990	23882	0.024722823217631654
SAM260	1253318	30282	0.024161465805166767
SAM236	1492721	36029	0.024136459525926145
SAM038	350929	8458	0.024101741377885556
SAM031	985878	23654	0.023992826698638166
SAM029	1204973	28439	0.02360135870264313
SAM072	653979	15431	0.02359555887880192
SAM114	746425	17522	0.023474562079244397
SAM056	770867	18068	0.023438543873327045
SAM004	978180	22902	0.0234128687971539
SAM117	730629	17057	0.023345637799758838
SAM096	2126983	49550	0.02329590786574223
SAM121	678535	15648	0.023061448561975433
SAM195	1070487	24570	0.0229521703673188
SAM129	1218705	27918	0.02290792275407092
SAM109	2018178	45626	0.022607520248461733
SAM119	639305	14306	0.022377425485488146
SAM152	530503	11788	0.02222042099667674
SAM053	1966580	43456	0.022097244963337367
SAM196	799406	17653	0.02208264636492596
SAM250	759520	16679	0.02195992205603539
SAM066	662536	14262	0.021526377434584687
SAM018	905027	19465	0.021507645628251974
SAM278	681173	14592	0.021421870802277837
SAM137	784477	16751	0.02135307982260793
SAM228	1111980	23718	0.021329520315113582
SAM241	1193144	25360	0.021254768913056596
SAM144	1141172	24242	0.021243072911007282
SAM012	1819726	38292	0.02104272841076074
SAM078	887391	18379	0.020711276089119678
SAM286	855251	17407	0.020353089326992896
SAM076	1108270	22548	0.0203452227345322
SAM045	913827	18556	0.02030581280701927
SAM167	2138194	43226	0.020216126319688485
SAM115	906572	18267	0.020149530318606796
SAM159	1273755	25635	0.02012553434530188
SAM209	1492869	29964	0.020071419528438196
SAM259	1077944	21478	0.019924968272934402
SAM065	1362276	26874	0.01972727993446262
SAM007	1075580	21166	0.01967868498856431
SAM230	1284672	25276	0.019675061027250536
SAM134	712953	13960	0.019580533359141485
SAM170	1756400	34292	0.01952402641767251
SAM253	1455584	28359	0.01948290170818036
SAM254	1268421	24629	0.019417054747595634
SAM168	1184294	22991	0.019413253803531892
SAM098	1425967	27387	0.01920591430236464
SAM081	1213818	23249	0.019153612815100782
SAM002	1372724	26106	0.019017661234159235
SAM049	967500	18345	0.01896124031007752
SAM268	1307198	24774	0.018951987380641647
SAM284	1103233	20884	0.01892981808919784
SAM217	1568989	29700	0.018929387012910862
SAM239	751071	14166	0.01886106639718482
SAM213	949193	17900	0.018858124743861365
SAM289	1414195	26647	0.01884252171730207
SAM092	1583146	29798	0.018822016415415886
SAM060	2112686	39757	0.01881822476222212
SAM042	1083650	20351	0.01878004890878051
SAM243	993001	18633	0.018764331556564394
SAM143	891644	16718	0.018749635504753018
SAM181	1241670	23156	0.018649077452141068
SAM145	1009744	18716	0.01853539114864758
SAM270	1197861	22157	0.018497137814821586
SAM273	1241357	22901	0.018448359335791396
SAM077	1033545	18979	0.018363012737713402
SAM161	1499290	27508	0.01834735107951097
SAM032	1414668	25834	0.01826152849997314
SAM269	724581	13132	0.018123577626241925
SAM154	1757577	31834	0.01811243547224389
SAM132	1656298	29948	0.01808128730457925
SAM180	1359742	24531	0.018040922469115466
SAM227	2128414	38293	0.017991330633983803
SAM148	434493	7780	0.017905927138066668
SAM174	305949	5432	0.017754593085775733
SAM037	1072518	18998	0.01771345562498718
SAM112	1263465	22212	0.017580225807600526
SAM157	1332770	23420	0.017572424349287574
SAM108	1339328	23406	0.017475928226692788
SAM184	2133778	37252	0.01745823604892355
SAM162	1389286	24222	0.017434855026250893
SAM073	943191	16428	0.017417468996205436
SAM039	2018058	34999	0.01734291085786434
SAM211	998308	17265	0.017294261891119773
SAM288	2020844	34901	0.017270506778355975
SAM014	1947863	33611	0.017255320317702015
SAM097	1995059	34274	0.01717944181099406
SAM192	931459	15963	0.01713763031974569
SAM271	1148005	19668	0.017132329563024552
SAM204	1184967	20242	0.01708233225060276
SAM016	1317350	22473	0.017059247732189625
SAM009	1802365	30675	0.017019305190680022
SAM059	1148412	19449	0.016935559712019727
SAM061	1316822	22296	0.016931673377267392
SAM082	1518801	25708	0.01692650979292218
SAM142	1488476	25112	0.01687094719699881
SAM106	2082292	34963	0.016790632629813687
SAM111	1957743	32714	0.01671005847039167
SAM223	1228163	20518	0.016706251531759222
SAM219	2114442	35307	0.01669802245698865
SAM280	2084348	34673	0.016634938119738162
SAM116	1441504	23979	0.016634709303616223
SAM182	2142593	35531	0.016583177486344816
SAM131	1691946	28039	0.016572041897318236
SAM235	1376926	22812	0.016567339130788436
SAM101	1973656	32695	0.016565703445787918
SAM207	973979	16092	0.01652191679697406
SAM237	2135495	35009	0.016393857161922647
SAM279	2003469	32701	0.016322189162896954
SAM041	1300481	21175	0.016282437036757937
SAM026	1079580	17481	0.016192408158728393
SAM001	1150680	18618	0.016179997914276774
SAM238	1647955	26647	0.016169737644535196
SAM027	2141756	34614	0.01616150485863002
SAM095	1848224	29861	0.016156591408833562
SAM067	1440717	23225	0.01612044558369201
SAM165	2091547	33517	0.016024980552672256
SAM226	2135645	34137	0.01598439815606058
SAM177	1547218	24730	0.015983526561867818
SAM186	1206490	19271	0.015972780545217946
SAM178	1206853	19245	0.015946432581267145
SAM214	1774183	28247	0.015921131021997166
SAM225	1657782	26338	0.015887493047939957
SAM166	2057108	32491	0.015794503740202265
SAM158	1203498	18985	0.015774849646613454
SAM003	2160322	33833	0.015661091263246867
