name	population	counts	heterozygosity	fst_call
ARG0001	ARG_01	0.008333333333333333	0.0033333333333333335	00
ARG0002	ARG_01	0.0032679738562091504	0.006535947712418301	00
ARG0003	ARG_01	0.011864406779661017	0.023728813559322035	00
ARG0004	ARG_01	0.006097560975609756	0.012195121951219513	00
ARG0005	ARG_01	0	0	00
ARG0006	ARG_01	0.009900990099009901	0.019801980198019802	00
ARG0007	ARG_01	0.012461059190031152	0.024922118380062305	00
ARG0008	ARG_01	0.007861635220125786	0.015723270440251572	00
ARG0009	ARG_01	0.007936507936507936	0.015873015873015872	00
ARG0010	ARG_01	0.11419753086419752	0.20987654320987653	00
ARG0011	ARG_02	0.0016778523489932886	0.003355704697986577	00
ARG0012	ARG_02	0.0196078431372549	0.032679738562091505	00
ARG0013	ARG_02	0.014705882352941176	0.02287581699346405	00
ARG0014	ARG_02	0.01740506329113924	0.028481012658227847	00
ARG0015	ARG_02	0.0046875	0.009375	00
ARG0016	ARG_02	0.014423076923076924	0.028846153846153848	00
ARG0017	ARG_02	0.004901960784313725	0.00980392156862745	00
ARG0018	ARG_02	0.006172839506172839	0.012345679012345678	00
ARG0019	ARG_02	0.0017793594306049821	0.0035587188612099642	00
ARG0020	ARG_02	0.00641025641025641	0.01282051282051282	00
ARG0021	ARG_03	0.008064516129032258	0.016129032258064516	00
ARG0022	ARG_03	0.003134796238244514	0.006269592476489028	00
ARG0023	ARG_03	0.003236245954692557	0.006472491909385114	00
ARG0024	ARG_03	0.003194888178913738	0.006389776357827476	00
ARG0025	ARG_03	0.022292993630573247	0.03184713375796178	00
ARG0026	ARG_03	0.003215434083601286	0.006430868167202572	00
ARG0027	ARG_03	0.009345794392523364	0.018691588785046728	00
ARG0028	ARG_03	0.0125	0.025	00
ARG0029	ARG_03	0.012269938650306749	0.018404907975460124	00
ARG0030	ARG_03	0.0015290519877675841	0.0030581039755351682	00
ARG0031	ARG_04	0.012422360248447204	0.024844720496894408	00
ARG0032	ARG_04	0.011254019292604502	0.022508038585209004	00
ARG0033	ARG_04	0.0031847133757961785	0.006369426751592357	00
ARG0034	ARG_04	0.017133956386292833	0.03426791277258567	00
ARG0035	ARG_04	0.0015822784810126582	0.0031645569620253164	00
ARG0036	ARG_04	0.003134796238244514	0.006269592476489028	00
ARG0037	ARG_04	0.0015723270440251573	0.0031446540880503146	00
ARG0038	ARG_04	0.011182108626198083	0.01597444089456869	00
ARG0039	ARG_04	0.010526315789473684	0.014035087719298246	00
ARG0040	ARG_04	0.004629629629629629	0.009259259259259259	00
ARG0041	ARG_05	0.004901960784313725	0.00980392156862745	00
ARG0042	ARG_05	0.021311475409836064	0.04262295081967213	00
ARG0043	ARG_05	0.018691588785046728	0.037383177570093455	00
ARG0045	ARG_05	0.0015772870662460567	0.0031545741324921135	00
ARG0046	ARG_05	0	0	00
ARG0047	ARG_05	0	0	00
ARG0049	ARG_05	0.0015723270440251573	0.0031446540880503146	00
ARG0050	ARG_05	0.00819672131147541	0.01639344262295082	00
ARG0051	ARG_06	0.0049504950495049506	0.009900990099009901	00
ARG0052	ARG_06	0.00473186119873817	0.00946372239747634	00
ARG0053	ARG_06	0.024691358024691357	0.04938271604938271	00
ARG0054	ARG_06	0.019756838905775075	0.03951367781155015	00
ARG0055	ARG_06	0.019637462235649546	0.03927492447129909	00
ARG0056	ARG_06	0.0031645569620253164	0.006329113924050633	00
ARG0057	ARG_06	0.0033444816053511705	0	00
ARG0058	ARG_06	0.009836065573770493	0.019672131147540985	00
ARG0059	ARG_06	0	0	00
ARG0060	ARG_06	0	0	00
ARG0061	ARG_07	0.009554140127388535	0.012738853503184714	00
ARG0063	ARG_07	0.01206896551724138	0.02413793103448276	00
ARG0064	ARG_07	0.014285714285714285	0.02857142857142857	00
ARG0065	ARG_07	0.009345794392523364	0.012461059190031152	00
ARG0066	ARG_07	0.013245033112582781	0.026490066225165563	00
ARG0067	ARG_07	0.0031746031746031746	0.006349206349206349	00
ARG0068	ARG_07	0.006734006734006734	0.013468013468013467	00
