name	region	color
ARG0001	3a	#FFFF33
ARG0002	3a	#FF7F00
ARG0003	3a	#FF7F00
ARG0004	3a	#FF7F00
ARG0005	3a	#FFFF33
ARG0006	3a	#FFFF33
ARG0007	3a	#FFFF33
ARG0008	3a	#FFFF33
ARG0009	3a	#FF7F00
ARG0010	3a	#FF7F00
ARG0011	3a	#FFFF33
ARG0012	3a	#FFFF33
ARG0013	3a	#FF7F00
ARG0014	3a	#FFFF33
ARG0015	3a	#FFFF33
ARG0016	3a	#FFFF33
ARG0017	3a	#FFFF33
ARG0018	3a	#FFFF33
ARG0019	3a	#FFFF33
ARG0020	3a	#FFFF33
ARG0021	3a	#984EA3
ARG0022	3a	#FF7F00
ARG0023	3a	#FFFF33
ARG0024	3a	#FFFF33
ARG0025	3a	#FFFF33
ARG0026	3a	#FF7F00
ARG0027	3a	#FF7F00
ARG0028	3a	#FFFF33
ARG0029	3a	#FFFF33
ARG0030	3a	#FFFF33
ARG0031	3a	#FF7F00
ARG0032	3a	#984EA3
ARG0033	3a	#FF7F00
ARG0034	3a	#FFFF33
ARG0035	3a	#FFFF33
ARG0036	3a	#FF7F00
ARG0037	3a	#FFFF33
ARG0038	3a	#FFFF33
ARG0039	3a	#FFFF33
ARG0040	3a	#FF7F00
ARG0041	3a	#FFFF33
ARG0042	3a	#FFFF33
ARG0043	3a	#FFFF33
ARG0044N	3a	#FFFF33
ARG0045	3a	#FFFF33
ARG0046	3a	#FFFF33
ARG0047	3a	#FFFF33
ARG0048N	3a	#FFFF33
ARG0049	3a	#FFFF33
ARG0050	3a	#FFFF33
ARG0051	3a	#FFFF33
ARG0052	3a	#FFFF33
ARG0053	3a	#FFFF33
ARG0054	3a	#FFFF33
ARG0055	3a	#FFFF33
ARG0056	3a	#FFFF33
ARG0057	3a	#FFFF33
ARG0058	3a	#FFFF33
ARG0059	3a	#FFFF33
ARG0060	3a	#FFFF33
ARG0061	3a	#984EA3
ARG0062N	3a	#FFFF33
ARG0063	3a	#984EA3
ARG0064	3a	#FFFF33
ARG0065	3a	#FF7F00
ARG0066	3a	#FF7F00
ARG0067	3a	#FF7F00
