chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	ANN1109	ANN1219	1429.5	4514
Ha412HOChr01	0	DEC_1895	ANN1109	2381.5	4514
Ha412HOChr01	0	DEC_1895	ANN1219	2318	4514
Ha412HOChr01	1000000	ANN1109	ANN1219	2176	5284
Ha412HOChr01	1000000	DEC_1895	ANN1109	2371.5	5284
Ha412HOChr01	1000000	DEC_1895	ANN1219	2387.5	5284
Ha412HOChr01	10000000	ANN1109	ANN1219	1411	3636
Ha412HOChr01	10000000	DEC_1895	ANN1109	2138.5	3636
Ha412HOChr01	10000000	DEC_1895	ANN1219	2009	3636
Ha412HOChr01	100000000	ANN1109	ANN1219	488.5	1126
Ha412HOChr01	100000000	DEC_1895	ANN1109	568	1126
Ha412HOChr01	100000000	DEC_1895	ANN1219	536	1126
Ha412HOChr01	101000000	ANN1109	ANN1219	548	1736
Ha412HOChr01	101000000	DEC_1895	ANN1109	943	1736
Ha412HOChr01	101000000	DEC_1895	ANN1219	867.5	1736
Ha412HOChr01	102000000	ANN1109	ANN1219	1424.5	3222
Ha412HOChr01	102000000	DEC_1895	ANN1109	1551.5	3222
Ha412HOChr01	102000000	DEC_1895	ANN1219	1641.5	3222
Ha412HOChr01	103000000	ANN1109	ANN1219	924	2884
Ha412HOChr01	103000000	DEC_1895	ANN1109	1461	2884
Ha412HOChr01	103000000	DEC_1895	ANN1219	1508.5	2884
Ha412HOChr01	104000000	ANN1109	ANN1219	1441.5	3762
Ha412HOChr01	104000000	DEC_1895	ANN1109	2028	3762
Ha412HOChr01	104000000	DEC_1895	ANN1219	2088	3762
Ha412HOChr01	105000000	ANN1109	ANN1219	211	1206
Ha412HOChr01	105000000	DEC_1895	ANN1109	826.5	1206
Ha412HOChr01	105000000	DEC_1895	ANN1219	823.5	1206
Ha412HOChr01	106000000	ANN1109	ANN1219	547	2308
Ha412HOChr01	106000000	DEC_1895	ANN1109	1460.5	2308
Ha412HOChr01	106000000	DEC_1895	ANN1219	1458	2308
Ha412HOChr01	107000000	ANN1109	ANN1219	795.5	2524
Ha412HOChr01	107000000	DEC_1895	ANN1109	1453.5	2524
Ha412HOChr01	107000000	DEC_1895	ANN1219	1443.5	2524
Ha412HOChr01	108000000	ANN1109	ANN1219	913.5	2950
Ha412HOChr01	108000000	DEC_1895	ANN1109	1588	2950
Ha412HOChr01	108000000	DEC_1895	ANN1219	1577	2950
Ha412HOChr01	109000000	ANN1109	ANN1219	1213.5	3602
Ha412HOChr01	109000000	DEC_1895	ANN1109	1811.5	3602
Ha412HOChr01	109000000	DEC_1895	ANN1219	1799.5	3602
Ha412HOChr01	11000000	ANN1109	ANN1219	964.5	2052
Ha412HOChr01	11000000	DEC_1895	ANN1109	1192	2052
Ha412HOChr01	11000000	DEC_1895	ANN1219	1258.5	2052
Ha412HOChr01	110000000	ANN1109	ANN1219	829	2310
Ha412HOChr01	110000000	DEC_1895	ANN1109	1282.5	2310
Ha412HOChr01	110000000	DEC_1895	ANN1219	1248	2310
Ha412HOChr01	111000000	ANN1109	ANN1219	723.5	1974
Ha412HOChr01	111000000	DEC_1895	ANN1109	1222	1974
Ha412HOChr01	111000000	DEC_1895	ANN1219	1168	1974
Ha412HOChr01	112000000	ANN1109	ANN1219	775	3134
Ha412HOChr01	112000000	DEC_1895	ANN1109	2021.5	3134
Ha412HOChr01	112000000	DEC_1895	ANN1219	1979	3134
Ha412HOChr01	113000000	ANN1109	ANN1219	1665	4440
Ha412HOChr01	113000000	DEC_1895	ANN1109	2233	4440
Ha412HOChr01	113000000	DEC_1895	ANN1219	2317.5	4440
Ha412HOChr01	114000000	ANN1109	ANN1219	1165	3244
Ha412HOChr01	114000000	DEC_1895	ANN1109	1740.5	3244
Ha412HOChr01	114000000	DEC_1895	ANN1219	1688.5	3244
Ha412HOChr01	115000000	ANN1109	ANN1219	1160.5	3384
Ha412HOChr01	115000000	DEC_1895	ANN1109	1728	3384
Ha412HOChr01	115000000	DEC_1895	ANN1219	1695	3384
Ha412HOChr01	116000000	ANN1109	ANN1219	1621	3370
Ha412HOChr01	116000000	DEC_1895	ANN1109	1547	3370
Ha412HOChr01	116000000	DEC_1895	ANN1219	1573.5	3370
Ha412HOChr01	117000000	ANN1109	ANN1219	1725	4498
Ha412HOChr01	117000000	DEC_1895	ANN1109	2285	4498
Ha412HOChr01	117000000	DEC_1895	ANN1219	2290.5	4498
