chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	HT213_ND1W-20	ANN1233	1374	4442
Ha412HOChr01	0	DIV_1956	HT213_ND1W-20	2209	4442
Ha412HOChr01	0	DIV_1956	ANN1233	2204	4442
Ha412HOChr01	1000000	HT213_ND1W-20	ANN1233	2001	4416
Ha412HOChr01	1000000	DIV_1956	HT213_ND1W-20	2149.5	4416
Ha412HOChr01	1000000	DIV_1956	ANN1233	2123.5	4416
Ha412HOChr01	10000000	HT213_ND1W-20	ANN1233	1055	3386
Ha412HOChr01	10000000	DIV_1956	HT213_ND1W-20	2001	3386
Ha412HOChr01	10000000	DIV_1956	ANN1233	2076	3386
Ha412HOChr01	100000000	HT213_ND1W-20	ANN1233	418	940
Ha412HOChr01	100000000	DIV_1956	HT213_ND1W-20	476	940
Ha412HOChr01	100000000	DIV_1956	ANN1233	519.5	940
Ha412HOChr01	101000000	HT213_ND1W-20	ANN1233	413	1706
Ha412HOChr01	101000000	DIV_1956	HT213_ND1W-20	1050.5	1706
Ha412HOChr01	101000000	DIV_1956	ANN1233	999.5	1706
Ha412HOChr01	102000000	HT213_ND1W-20	ANN1233	1346.5	3098
Ha412HOChr01	102000000	DIV_1956	HT213_ND1W-20	1633	3098
Ha412HOChr01	102000000	DIV_1956	ANN1233	1678.5	3098
Ha412HOChr01	103000000	HT213_ND1W-20	ANN1233	1511.5	2668
Ha412HOChr01	103000000	DIV_1956	HT213_ND1W-20	1559.5	2668
Ha412HOChr01	103000000	DIV_1956	ANN1233	1435	2668
Ha412HOChr01	104000000	HT213_ND1W-20	ANN1233	1591.5	3940
Ha412HOChr01	104000000	DIV_1956	HT213_ND1W-20	2321	3940
Ha412HOChr01	104000000	DIV_1956	ANN1233	2305.5	3940
Ha412HOChr01	105000000	HT213_ND1W-20	ANN1233	374	1358
Ha412HOChr01	105000000	DIV_1956	HT213_ND1W-20	926	1358
Ha412HOChr01	105000000	DIV_1956	ANN1233	896.5	1358
Ha412HOChr01	106000000	HT213_ND1W-20	ANN1233	721.5	2010
Ha412HOChr01	106000000	DIV_1956	HT213_ND1W-20	1335.5	2010
Ha412HOChr01	106000000	DIV_1956	ANN1233	1319	2010
Ha412HOChr01	107000000	HT213_ND1W-20	ANN1233	993.5	2716
Ha412HOChr01	107000000	DIV_1956	HT213_ND1W-20	1585	2716
Ha412HOChr01	107000000	DIV_1956	ANN1233	1648	2716
Ha412HOChr01	108000000	HT213_ND1W-20	ANN1233	1360	3296
Ha412HOChr01	108000000	DIV_1956	HT213_ND1W-20	1804	3296
Ha412HOChr01	108000000	DIV_1956	ANN1233	1692.5	3296
Ha412HOChr01	109000000	HT213_ND1W-20	ANN1233	1267.5	3338
Ha412HOChr01	109000000	DIV_1956	HT213_ND1W-20	1758.5	3338
Ha412HOChr01	109000000	DIV_1956	ANN1233	1791.5	3338
Ha412HOChr01	11000000	HT213_ND1W-20	ANN1233	588	2354
Ha412HOChr01	11000000	DIV_1956	HT213_ND1W-20	1395	2354
Ha412HOChr01	11000000	DIV_1956	ANN1233	1457.5	2354
Ha412HOChr01	110000000	HT213_ND1W-20	ANN1233	631	2018
Ha412HOChr01	110000000	DIV_1956	HT213_ND1W-20	1143.5	2018
Ha412HOChr01	110000000	DIV_1956	ANN1233	1239	2018
Ha412HOChr01	111000000	HT213_ND1W-20	ANN1233	888.5	1980
Ha412HOChr01	111000000	DIV_1956	HT213_ND1W-20	1061	1980
Ha412HOChr01	111000000	DIV_1956	ANN1233	1123	1980
Ha412HOChr01	112000000	HT213_ND1W-20	ANN1233	1326	2768
Ha412HOChr01	112000000	DIV_1956	HT213_ND1W-20	1698	2768
Ha412HOChr01	112000000	DIV_1956	ANN1233	1587	2768
