chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	HT43_ND1A-21	ED5_ND1A16-2_286	469	1228
Ha412HOChr01	0	HT43_ND1A-21	HT_70_ND1A-29	1729	2916
Ha412HOChr01	0	ED5_ND1A16-2_286	HT_70_ND1A-29	617.5	1296
Ha412HOChr01	0	HT69_ND1A-16	HT43_ND1A-21	1453.5	2608
Ha412HOChr01	0	HT69_ND1A-16	ED5_ND1A16-2_286	438	1122
Ha412HOChr01	0	HT69_ND1A-16	HT_70_ND1A-29	1020.5	2818
Ha412HOChr01	1000000	HT43_ND1A-21	ED5_ND1A16-2_286	508	1274
Ha412HOChr01	1000000	HT43_ND1A-21	HT_70_ND1A-29	1436.5	2810
Ha412HOChr01	1000000	ED5_ND1A16-2_286	HT_70_ND1A-29	589	1442
Ha412HOChr01	1000000	HT69_ND1A-16	HT43_ND1A-21	1179	2500
Ha412HOChr01	1000000	HT69_ND1A-16	ED5_ND1A16-2_286	379	1304
Ha412HOChr01	1000000	HT69_ND1A-16	HT_70_ND1A-29	990	2848
Ha412HOChr01	10000000	HT43_ND1A-21	ED5_ND1A16-2_286	720	1276
Ha412HOChr01	10000000	HT43_ND1A-21	HT_70_ND1A-29	1712	2960
Ha412HOChr01	10000000	ED5_ND1A16-2_286	HT_70_ND1A-29	407	1332
Ha412HOChr01	10000000	HT69_ND1A-16	HT43_ND1A-21	1480.5	2634
Ha412HOChr01	10000000	HT69_ND1A-16	ED5_ND1A16-2_286	586	1264
Ha412HOChr01	10000000	HT69_ND1A-16	HT_70_ND1A-29	686.5	2864
Ha412HOChr01	100000000	HT43_ND1A-21	ED5_ND1A16-2_286	171	336
Ha412HOChr01	100000000	HT43_ND1A-21	HT_70_ND1A-29	422.5	1026
Ha412HOChr01	100000000	ED5_ND1A16-2_286	HT_70_ND1A-29	169	352
Ha412HOChr01	100000000	HT69_ND1A-16	HT43_ND1A-21	570	986
Ha412HOChr01	100000000	HT69_ND1A-16	ED5_ND1A16-2_286	121	404
Ha412HOChr01	100000000	HT69_ND1A-16	HT_70_ND1A-29	485.5	1092
Ha412HOChr01	101000000	HT43_ND1A-21	ED5_ND1A16-2_286	221	562
