chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	HT315_IA1A-24	ED3_IA1A3-7_303	707	2234
Ha412HOChr01	0	HT315_IA1A-24	HT339_IA1A-3	2099.5	4860
Ha412HOChr01	0	ED3_IA1A3-7_303	HT339_IA1A-3	840	2232
Ha412HOChr01	0	HT244_IA1A-25	HT315_IA1A-24	1906.5	4924
Ha412HOChr01	0	HT244_IA1A-25	ED3_IA1A3-7_303	734	2234
Ha412HOChr01	0	HT244_IA1A-25	HT339_IA1A-3	2153.5	4874
Ha412HOChr01	1000000	HT315_IA1A-24	ED3_IA1A3-7_303	867.5	2324
Ha412HOChr01	1000000	HT315_IA1A-24	HT339_IA1A-3	2539	5556
Ha412HOChr01	1000000	ED3_IA1A3-7_303	HT339_IA1A-3	858	2242
Ha412HOChr01	1000000	HT244_IA1A-25	HT315_IA1A-24	1852	5780
Ha412HOChr01	1000000	HT244_IA1A-25	ED3_IA1A3-7_303	807	2288
Ha412HOChr01	1000000	HT244_IA1A-25	HT339_IA1A-3	2428.5	5446
Ha412HOChr01	10000000	HT315_IA1A-24	ED3_IA1A3-7_303	447	1452
Ha412HOChr01	10000000	HT315_IA1A-24	HT339_IA1A-3	1160	4000
Ha412HOChr01	10000000	ED3_IA1A3-7_303	HT339_IA1A-3	522	1442
Ha412HOChr01	10000000	HT244_IA1A-25	HT315_IA1A-24	1108	3894
Ha412HOChr01	10000000	HT244_IA1A-25	ED3_IA1A3-7_303	404	1398
Ha412HOChr01	10000000	HT244_IA1A-25	HT339_IA1A-3	1813.5	3852
Ha412HOChr01	100000000	HT315_IA1A-24	ED3_IA1A3-7_303	238	594
Ha412HOChr01	100000000	HT315_IA1A-24	HT339_IA1A-3	809.5	1892
Ha412HOChr01	100000000	ED3_IA1A3-7_303	HT339_IA1A-3	203	648
Ha412HOChr01	100000000	HT244_IA1A-25	HT315_IA1A-24	723	1842
Ha412HOChr01	100000000	HT244_IA1A-25	ED3_IA1A3-7_303	221	648
Ha412HOChr01	100000000	HT244_IA1A-25	HT339_IA1A-3	899.5	1900
Ha412HOChr01	101000000	HT315_IA1A-24	ED3_IA1A3-7_303	367.5	618
Ha412HOChr01	101000000	HT315_IA1A-24	HT339_IA1A-3	926	1576
Ha412HOChr01	101000000	ED3_IA1A3-7_303	HT339_IA1A-3	287	850
Ha412HOChr01	101000000	HT244_IA1A-25	HT315_IA1A-24	548.5	1594
Ha412HOChr01	101000000	HT244_IA1A-25	ED3_IA1A3-7_303	339	848
Ha412HOChr01	101000000	HT244_IA1A-25	HT339_IA1A-3	906	2184
Ha412HOChr01	102000000	HT315_IA1A-24	ED3_IA1A3-7_303	570.5	1476
Ha412HOChr01	102000000	HT315_IA1A-24	HT339_IA1A-3	1607.5	3700
Ha412HOChr01	102000000	ED3_IA1A3-7_303	HT339_IA1A-3	577	1526
Ha412HOChr01	102000000	HT244_IA1A-25	HT315_IA1A-24	1204.5	3542
Ha412HOChr01	102000000	HT244_IA1A-25	ED3_IA1A3-7_303	518	1508
Ha412HOChr01	102000000	HT244_IA1A-25	HT339_IA1A-3	1510	3590
Ha412HOChr01	103000000	HT315_IA1A-24	ED3_IA1A3-7_303	558	1380
Ha412HOChr01	103000000	HT315_IA1A-24	HT339_IA1A-3	1365.5	3738
Ha412HOChr01	103000000	ED3_IA1A3-7_303	HT339_IA1A-3	444.5	1452
Ha412HOChr01	103000000	HT244_IA1A-25	HT315_IA1A-24	1076	3526
Ha412HOChr01	103000000	HT244_IA1A-25	ED3_IA1A3-7_303	427	1378
