chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	HT260_MK1-4	HT368_MK1-24	2222	4832
Ha412HOChr01	0	HT260_MK1-4	HT174_MK1-9	1859	4624
Ha412HOChr01	0	HT368_MK1-24	HT174_MK1-9	1605.5	4176
Ha412HOChr01	0	HT199_MK1-14	HT260_MK1-4	2408	4910
Ha412HOChr01	0	HT199_MK1-14	HT368_MK1-24	1535	4486
Ha412HOChr01	0	HT199_MK1-14	HT174_MK1-9	1794.5	4232
Ha412HOChr01	1000000	HT260_MK1-4	HT368_MK1-24	2047.5	4580
Ha412HOChr01	1000000	HT260_MK1-4	HT174_MK1-9	1621	4164
Ha412HOChr01	1000000	HT368_MK1-24	HT174_MK1-9	1459	3756
Ha412HOChr01	1000000	HT199_MK1-14	HT260_MK1-4	1883.5	4450
Ha412HOChr01	1000000	HT199_MK1-14	HT368_MK1-24	1546	3926
Ha412HOChr01	1000000	HT199_MK1-14	HT174_MK1-9	1372.5	3562
Ha412HOChr01	10000000	HT260_MK1-4	HT368_MK1-24	2425	4418
Ha412HOChr01	10000000	HT260_MK1-4	HT174_MK1-9	1338	4338
Ha412HOChr01	10000000	HT368_MK1-24	HT174_MK1-9	1879	3934
Ha412HOChr01	10000000	HT199_MK1-14	HT260_MK1-4	2001	4448
Ha412HOChr01	10000000	HT199_MK1-14	HT368_MK1-24	1793	4178
Ha412HOChr01	10000000	HT199_MK1-14	HT174_MK1-9	1796.5	3950
Ha412HOChr01	100000000	HT260_MK1-4	HT368_MK1-24	589.5	1354
Ha412HOChr01	100000000	HT260_MK1-4	HT174_MK1-9	685	1414
Ha412HOChr01	100000000	HT368_MK1-24	HT174_MK1-9	584.5	1278
Ha412HOChr01	100000000	HT199_MK1-14	HT260_MK1-4	834.5	1426
Ha412HOChr01	100000000	HT199_MK1-14	HT368_MK1-24	641	1296
Ha412HOChr01	100000000	HT199_MK1-14	HT174_MK1-9	450	1356
Ha412HOChr01	101000000	HT260_MK1-4	HT368_MK1-24	757	2358
Ha412HOChr01	101000000	HT260_MK1-4	HT174_MK1-9	857.5	2364
Ha412HOChr01	101000000	HT368_MK1-24	HT174_MK1-9	637	2046
Ha412HOChr01	101000000	HT199_MK1-14	HT260_MK1-4	888.5	2362
Ha412HOChr01	101000000	HT199_MK1-14	HT368_MK1-24	699.5	1994
Ha412HOChr01	101000000	HT199_MK1-14	HT174_MK1-9	622	2006
Ha412HOChr01	102000000	HT260_MK1-4	HT368_MK1-24	1240.5	3272
Ha412HOChr01	102000000	HT260_MK1-4	HT174_MK1-9	1534.5	3342
Ha412HOChr01	102000000	HT368_MK1-24	HT174_MK1-9	1081.5	2900
