chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	HT370_MO1A-33	HT139_MO1A-26	2035.5	4434
Ha412HOChr01	0	HT370_MO1A-33	HT210_MO1A-25	1930	4868
Ha412HOChr01	0	HT139_MO1A-26	HT210_MO1A-25	2354.5	4574
Ha412HOChr01	0	HT209_MO1A-12	HT370_MO1A-33	1717	4756
Ha412HOChr01	0	HT209_MO1A-12	HT139_MO1A-26	1776	4358
Ha412HOChr01	0	HT209_MO1A-12	HT210_MO1A-25	2303.5	4794
Ha412HOChr01	1000000	HT370_MO1A-33	HT139_MO1A-26	1516.5	3856
Ha412HOChr01	1000000	HT370_MO1A-33	HT210_MO1A-25	1594	4158
Ha412HOChr01	1000000	HT139_MO1A-26	HT210_MO1A-25	1642.5	3898
Ha412HOChr01	1000000	HT209_MO1A-12	HT370_MO1A-33	1752.5	4104
Ha412HOChr01	1000000	HT209_MO1A-12	HT139_MO1A-26	1547	3828
Ha412HOChr01	1000000	HT209_MO1A-12	HT210_MO1A-25	1770	4196
Ha412HOChr01	10000000	HT370_MO1A-33	HT139_MO1A-26	2249	4116
Ha412HOChr01	10000000	HT370_MO1A-33	HT210_MO1A-25	1621	4304
Ha412HOChr01	10000000	HT139_MO1A-26	HT210_MO1A-25	1309	4032
Ha412HOChr01	10000000	HT209_MO1A-12	HT370_MO1A-33	1582	4468
Ha412HOChr01	10000000	HT209_MO1A-12	HT139_MO1A-26	2207	4164
Ha412HOChr01	10000000	HT209_MO1A-12	HT210_MO1A-25	2018.5	4218
Ha412HOChr01	100000000	HT370_MO1A-33	HT139_MO1A-26	684	1536
Ha412HOChr01	100000000	HT370_MO1A-33	HT210_MO1A-25	876	1716
Ha412HOChr01	100000000	HT139_MO1A-26	HT210_MO1A-25	598.5	1430
Ha412HOChr01	100000000	HT209_MO1A-12	HT370_MO1A-33	1058.5	2032
Ha412HOChr01	100000000	HT209_MO1A-12	HT139_MO1A-26	507.5	1388
Ha412HOChr01	100000000	HT209_MO1A-12	HT210_MO1A-25	597.5	1518
Ha412HOChr01	101000000	HT370_MO1A-33	HT139_MO1A-26	603.5	2492
Ha412HOChr01	101000000	HT370_MO1A-33	HT210_MO1A-25	935	2554
Ha412HOChr01	101000000	HT139_MO1A-26	HT210_MO1A-25	975	2454
Ha412HOChr01	101000000	HT209_MO1A-12	HT370_MO1A-33	742.5	2300
Ha412HOChr01	101000000	HT209_MO1A-12	HT139_MO1A-26	679	2214
Ha412HOChr01	101000000	HT209_MO1A-12	HT210_MO1A-25	1003	2286
Ha412HOChr01	102000000	HT370_MO1A-33	HT139_MO1A-26	1209	2964
Ha412HOChr01	102000000	HT370_MO1A-33	HT210_MO1A-25	1438	3144
Ha412HOChr01	102000000	HT139_MO1A-26	HT210_MO1A-25	1103.5	2858
Ha412HOChr01	102000000	HT209_MO1A-12	HT370_MO1A-33	1384.5	3040
Ha412HOChr01	102000000	HT209_MO1A-12	HT139_MO1A-26	1034.5	2794
Ha412HOChr01	102000000	HT209_MO1A-12	HT210_MO1A-25	1283.5	2868
Ha412HOChr01	103000000	HT370_MO1A-33	HT139_MO1A-26	1514.5	3172
Ha412HOChr01	103000000	HT370_MO1A-33	HT210_MO1A-25	1168.5	2778
Ha412HOChr01	103000000	HT139_MO1A-26	HT210_MO1A-25	1296.5	2570
Ha412HOChr01	103000000	HT209_MO1A-12	HT370_MO1A-33	1447.5	3140
Ha412HOChr01	103000000	HT209_MO1A-12	HT139_MO1A-26	901	2774
Ha412HOChr01	103000000	HT209_MO1A-12	HT210_MO1A-25	1135	2552
Ha412HOChr01	104000000	HT370_MO1A-33	HT139_MO1A-26	1450	3694
Ha412HOChr01	104000000	HT370_MO1A-33	HT210_MO1A-25	1674	3878
Ha412HOChr01	104000000	HT139_MO1A-26	HT210_MO1A-25	1425.5	3848
Ha412HOChr01	104000000	HT209_MO1A-12	HT370_MO1A-33	1286	3642
Ha412HOChr01	104000000	HT209_MO1A-12	HT139_MO1A-26	1311	3642
Ha412HOChr01	104000000	HT209_MO1A-12	HT210_MO1A-25	1348.5	3764
Ha412HOChr01	105000000	HT370_MO1A-33	HT139_MO1A-26	475.5	2160
Ha412HOChr01	105000000	HT370_MO1A-33	HT210_MO1A-25	868	2122
Ha412HOChr01	105000000	HT139_MO1A-26	HT210_MO1A-25	683	2038
Ha412HOChr01	105000000	HT209_MO1A-12	HT370_MO1A-33	565	2192
Ha412HOChr01	105000000	HT209_MO1A-12	HT139_MO1A-26	361	2116
Ha412HOChr01	105000000	HT209_MO1A-12	HT210_MO1A-25	832.5	2100
Ha412HOChr01	106000000	HT370_MO1A-33	HT139_MO1A-26	836	2588
Ha412HOChr01	106000000	HT370_MO1A-33	HT210_MO1A-25	1167.5	2518
Ha412HOChr01	106000000	HT139_MO1A-26	HT210_MO1A-25	1035	2446
Ha412HOChr01	106000000	HT209_MO1A-12	HT370_MO1A-33	903	2608
Ha412HOChr01	106000000	HT209_MO1A-12	HT139_MO1A-26	766	2574
Ha412HOChr01	106000000	HT209_MO1A-12	HT210_MO1A-25	977	2506
Ha412HOChr01	107000000	HT370_MO1A-33	HT139_MO1A-26	972.5	2626
Ha412HOChr01	107000000	HT370_MO1A-33	HT210_MO1A-25	1103	2880
Ha412HOChr01	107000000	HT139_MO1A-26	HT210_MO1A-25	1104.5	2702
Ha412HOChr01	107000000	HT209_MO1A-12	HT370_MO1A-33	887.5	2840
Ha412HOChr01	107000000	HT209_MO1A-12	HT139_MO1A-26	1009.5	2712
Ha412HOChr01	107000000	HT209_MO1A-12	HT210_MO1A-25	1153	3004
