chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	ANN0970	ANN0965	1492	4072
Ha412HOChr01	0	ANN0970	ANN0969	1468	4098
Ha412HOChr01	0	ANN0965	ANN0969	1190	4128
Ha412HOChr01	0	ANN0963	ANN0970	844	4150
Ha412HOChr01	0	ANN0963	ANN0965	1155.5	4172
Ha412HOChr01	0	ANN0963	ANN0969	1533.5	4148
Ha412HOChr01	1000000	ANN0970	ANN0965	1835.5	4034
Ha412HOChr01	1000000	ANN0970	ANN0969	1977.5	4032
Ha412HOChr01	1000000	ANN0965	ANN0969	1296.5	4190
Ha412HOChr01	1000000	ANN0963	ANN0970	967	4192
Ha412HOChr01	1000000	ANN0963	ANN0965	1398	4096
Ha412HOChr01	1000000	ANN0963	ANN0969	1919.5	4102
Ha412HOChr01	10000000	ANN0970	ANN0965	1885	3720
Ha412HOChr01	10000000	ANN0970	ANN0969	1747.5	3636
Ha412HOChr01	10000000	ANN0965	ANN0969	863	3886
Ha412HOChr01	10000000	ANN0963	ANN0970	1729	3688
Ha412HOChr01	10000000	ANN0963	ANN0965	895	3920
Ha412HOChr01	10000000	ANN0963	ANN0969	1020.5	3850
Ha412HOChr01	100000000	ANN0970	ANN0965	509	1482
Ha412HOChr01	100000000	ANN0970	ANN0969	588.5	1440
Ha412HOChr01	100000000	ANN0965	ANN0969	590.5	1548
Ha412HOChr01	100000000	ANN0963	ANN0970	335	1558
Ha412HOChr01	100000000	ANN0963	ANN0965	583	1634
Ha412HOChr01	100000000	ANN0963	ANN0969	669	1640
Ha412HOChr01	101000000	ANN0970	ANN0965	650	1904
Ha412HOChr01	101000000	ANN0970	ANN0969	863.5	1914
Ha412HOChr01	101000000	ANN0965	ANN0969	582	2004
Ha412HOChr01	101000000	ANN0963	ANN0970	388.5	1954
Ha412HOChr01	101000000	ANN0963	ANN0965	721.5	2020
Ha412HOChr01	101000000	ANN0963	ANN0969	918.5	2032
Ha412HOChr01	102000000	ANN0970	ANN0965	968.5	2584
Ha412HOChr01	102000000	ANN0970	ANN0969	1190	2694
Ha412HOChr01	102000000	ANN0965	ANN0969	914.5	2774
Ha412HOChr01	102000000	ANN0963	ANN0970	581.5	2632
Ha412HOChr01	102000000	ANN0963	ANN0965	1008.5	2632
Ha412HOChr01	102000000	ANN0963	ANN0969	1267.5	2750
Ha412HOChr01	103000000	ANN0970	ANN0965	1000.5	2466
Ha412HOChr01	103000000	ANN0970	ANN0969	1236	2840
Ha412HOChr01	103000000	ANN0965	ANN0969	1020.5	2634
Ha412HOChr01	103000000	ANN0963	ANN0970	740	2818
Ha412HOChr01	103000000	ANN0963	ANN0965	1097.5	2560
Ha412HOChr01	103000000	ANN0963	ANN0969	1329	2986
Ha412HOChr01	104000000	ANN0970	ANN0965	1227.5	3482
Ha412HOChr01	104000000	ANN0970	ANN0969	1551	3140
Ha412HOChr01	104000000	ANN0965	ANN0969	1205	3208
Ha412HOChr01	104000000	ANN0963	ANN0970	910	3650
Ha412HOChr01	104000000	ANN0963	ANN0965	1265.5	3568
Ha412HOChr01	104000000	ANN0963	ANN0969	1664.5	3224
Ha412HOChr01	105000000	ANN0970	ANN0965	783	1910
Ha412HOChr01	105000000	ANN0970	ANN0969	729	2042
Ha412HOChr01	105000000	ANN0965	ANN0969	697.5	2120
Ha412HOChr01	105000000	ANN0963	ANN0970	676	1904
Ha412HOChr01	105000000	ANN0963	ANN0965	801	1984
Ha412HOChr01	105000000	ANN0963	ANN0969	795.5	2096
Ha412HOChr01	106000000	ANN0970	ANN0965	668.5	2092
Ha412HOChr01	106000000	ANN0970	ANN0969	910.5	2144
Ha412HOChr01	106000000	ANN0965	ANN0969	735.5	2082
Ha412HOChr01	106000000	ANN0963	ANN0970	358	2220
Ha412HOChr01	106000000	ANN0963	ANN0965	684.5	2148
Ha412HOChr01	106000000	ANN0963	ANN0969	955	2192
Ha412HOChr01	107000000	ANN0970	ANN0965	966	2636
Ha412HOChr01	107000000	ANN0970	ANN0969	1205	2644
Ha412HOChr01	107000000	ANN0965	ANN0969	1095.5	2720
Ha412HOChr01	107000000	ANN0963	ANN0970	768	2678
Ha412HOChr01	107000000	ANN0963	ANN0965	1015	2738
Ha412HOChr01	107000000	ANN0963	ANN0969	1277	2754
Ha412HOChr01	108000000	ANN0970	ANN0965	893	3578
Ha412HOChr01	108000000	ANN0970	ANN0969	1104	3490
Ha412HOChr01	108000000	ANN0965	ANN0969	898	3468
Ha412HOChr01	108000000	ANN0963	ANN0970	621	3732
Ha412HOChr01	108000000	ANN0963	ANN0965	963	3676
Ha412HOChr01	108000000	ANN0963	ANN0969	1176	3590
Ha412HOChr01	109000000	ANN0970	ANN0965	872	3122
Ha412HOChr01	109000000	ANN0970	ANN0969	1205	3182
Ha412HOChr01	109000000	ANN0965	ANN0969	869.5	3256
Ha412HOChr01	109000000	ANN0963	ANN0970	553.5	3256
Ha412HOChr01	109000000	ANN0963	ANN0965	933	3288
Ha412HOChr01	109000000	ANN0963	ANN0969	1313.5	3370
Ha412HOChr01	11000000	ANN0970	ANN0965	1282	2622
Ha412HOChr01	11000000	ANN0970	ANN0969	1213	2702
Ha412HOChr01	11000000	ANN0965	ANN0969	1062.5	2486
Ha412HOChr01	11000000	ANN0963	ANN0970	743.5	2858
Ha412HOChr01	11000000	ANN0963	ANN0965	933	2618
Ha412HOChr01	11000000	ANN0963	ANN0969	1324	2706
Ha412HOChr01	110000000	ANN0970	ANN0965	806.5	2656
Ha412HOChr01	110000000	ANN0970	ANN0969	1071	2472
Ha412HOChr01	110000000	ANN0965	ANN0969	865.5	2552
Ha412HOChr01	110000000	ANN0963	ANN0970	577	2710
Ha412HOChr01	110000000	ANN0963	ANN0965	850	2806
Ha412HOChr01	110000000	ANN0963	ANN0969	1147.5	2600
Ha412HOChr01	111000000	ANN0970	ANN0965	353	1312
Ha412HOChr01	111000000	ANN0970	ANN0969	413.5	1338
Ha412HOChr01	111000000	ANN0965	ANN0969	318	1420
Ha412HOChr01	111000000	ANN0963	ANN0970	234	1326
Ha412HOChr01	111000000	ANN0963	ANN0965	390	1420
