chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	ANN1361	ANN1132	861	2834
Ha412HOChr01	0	PET0465	ANN1361	1725	2834
Ha412HOChr01	0	PET0465	ANN1132	1666.5	2834
Ha412HOChr01	1000000	ANN1361	ANN1132	2077.5	4836
Ha412HOChr01	1000000	PET0465	ANN1361	2397	4836
Ha412HOChr01	1000000	PET0465	ANN1132	2438	4836
Ha412HOChr01	10000000	ANN1361	ANN1132	1089	3154
Ha412HOChr01	10000000	PET0465	ANN1361	1965.5	3154
Ha412HOChr01	10000000	PET0465	ANN1132	1914	3154
Ha412HOChr01	100000000	ANN1361	ANN1132	296	1014
Ha412HOChr01	100000000	PET0465	ANN1361	554	1014
Ha412HOChr01	100000000	PET0465	ANN1132	556	1014
Ha412HOChr01	101000000	ANN1361	ANN1132	452	1478
Ha412HOChr01	101000000	PET0465	ANN1361	944.5	1478
Ha412HOChr01	101000000	PET0465	ANN1132	969.5	1478
Ha412HOChr01	102000000	ANN1361	ANN1132	1252	3056
Ha412HOChr01	102000000	PET0465	ANN1361	1607	3056
Ha412HOChr01	102000000	PET0465	ANN1132	1693.5	3056
Ha412HOChr01	103000000	ANN1361	ANN1132	947	2222
Ha412HOChr01	103000000	PET0465	ANN1361	1166.5	2222
Ha412HOChr01	103000000	PET0465	ANN1132	1302	2222
Ha412HOChr01	104000000	ANN1361	ANN1132	1565	3798
Ha412HOChr01	104000000	PET0465	ANN1361	2134	3798
Ha412HOChr01	104000000	PET0465	ANN1132	2122	3798
Ha412HOChr01	105000000	ANN1361	ANN1132	249	1168
Ha412HOChr01	105000000	PET0465	ANN1361	894	1168
Ha412HOChr01	105000000	PET0465	ANN1132	861	1168
Ha412HOChr01	106000000	ANN1361	ANN1132	797	2776
Ha412HOChr01	106000000	PET0465	ANN1361	1931.5	2776
Ha412HOChr01	106000000	PET0465	ANN1132	1828	2776
Ha412HOChr01	107000000	ANN1361	ANN1132	1186.5	3010
Ha412HOChr01	107000000	PET0465	ANN1361	1843	3010
Ha412HOChr01	107000000	PET0465	ANN1132	1822	3010
Ha412HOChr01	108000000	ANN1361	ANN1132	629	1980
Ha412HOChr01	108000000	PET0465	ANN1361	1210.5	1980
Ha412HOChr01	108000000	PET0465	ANN1132	1250	1980
Ha412HOChr01	109000000	ANN1361	ANN1132	701	2502
Ha412HOChr01	109000000	PET0465	ANN1361	1521.5	2502
Ha412HOChr01	109000000	PET0465	ANN1132	1577.5	2502
Ha412HOChr01	11000000	ANN1361	ANN1132	804	1760
Ha412HOChr01	11000000	PET0465	ANN1361	1025.5	1760
Ha412HOChr01	11000000	PET0465	ANN1132	867	1760
Ha412HOChr01	110000000	ANN1361	ANN1132	524.5	1716
Ha412HOChr01	110000000	PET0465	ANN1361	1030	1716
Ha412HOChr01	110000000	PET0465	ANN1132	1036	1716
Ha412HOChr01	111000000	ANN1361	ANN1132	590.5	2158
Ha412HOChr01	111000000	PET0465	ANN1361	1241	2158
Ha412HOChr01	111000000	PET0465	ANN1132	1195.5	2158
Ha412HOChr01	112000000	ANN1361	ANN1132	789	2830
Ha412HOChr01	112000000	PET0465	ANN1361	1812	2830
Ha412HOChr01	112000000	PET0465	ANN1132	1774	2830
Ha412HOChr01	113000000	ANN1361	ANN1132	1362	3812
Ha412HOChr01	113000000	PET0465	ANN1361	2255.5	3812
Ha412HOChr01	113000000	PET0465	ANN1132	2254	3812
Ha412HOChr01	114000000	ANN1361	ANN1132	1236	3372
Ha412HOChr01	114000000	PET0465	ANN1361	1920.5	3372
Ha412HOChr01	114000000	PET0465	ANN1132	2026	3372
Ha412HOChr01	115000000	ANN1361	ANN1132	1310.5	3250
Ha412HOChr01	115000000	PET0465	ANN1361	1789	3250
Ha412HOChr01	115000000	PET0465	ANN1132	1878	3250
Ha412HOChr01	116000000	ANN1361	ANN1132	965	3220
Ha412HOChr01	116000000	PET0465	ANN1361	1864.5	3220
Ha412HOChr01	116000000	PET0465	ANN1132	1838	3220
Ha412HOChr01	117000000	ANN1361	ANN1132	1481	4338
Ha412HOChr01	117000000	PET0465	ANN1361	2410	4338
Ha412HOChr01	117000000	PET0465	ANN1132	2520	4338
Ha412HOChr01	118000000	ANN1361	ANN1132	1655	4290
Ha412HOChr01	118000000	PET0465	ANN1361	2395	4290
Ha412HOChr01	118000000	PET0465	ANN1132	2435.5	4290
Ha412HOChr01	119000000	ANN1361	ANN1132	1186.5	2794
Ha412HOChr01	119000000	PET0465	ANN1361	1380.5	2794
Ha412HOChr01	119000000	PET0465	ANN1132	1432	2794
Ha412HOChr01	12000000	ANN1361	ANN1132	933	2104
Ha412HOChr01	12000000	PET0465	ANN1361	1267	2104
Ha412HOChr01	12000000	PET0465	ANN1132	1173.5	2104
Ha412HOChr01	120000000	ANN1361	ANN1132	977	3854
Ha412HOChr01	120000000	PET0465	ANN1361	2547.5	3854
Ha412HOChr01	120000000	PET0465	ANN1132	2659.5	3854
Ha412HOChr01	121000000	ANN1361	ANN1132	1793	4712
Ha412HOChr01	121000000	PET0465	ANN1361	2417.5	4712
Ha412HOChr01	121000000	PET0465	ANN1132	2481	4712
Ha412HOChr01	122000000	ANN1361	ANN1132	1342	3112
Ha412HOChr01	122000000	PET0465	ANN1361	1573	3112
Ha412HOChr01	122000000	PET0465	ANN1132	1543.5	3112
Ha412HOChr01	123000000	ANN1361	ANN1132	2139	4734
Ha412HOChr01	123000000	PET0465	ANN1361	2221	4734
Ha412HOChr01	123000000	PET0465	ANN1132	2495.5	4734
Ha412HOChr01	124000000	ANN1361	ANN1132	827	2254
Ha412HOChr01	124000000	PET0465	ANN1361	1124	2254
Ha412HOChr01	124000000	PET0465	ANN1132	1270	2254
Ha412HOChr01	125000000	ANN1361	ANN1132	732	1814
Ha412HOChr01	125000000	PET0465	ANN1361	935	1814
Ha412HOChr01	125000000	PET0465	ANN1132	1040	1814
Ha412HOChr01	126000000	ANN1361	ANN1132	1657	3872
Ha412HOChr01	126000000	PET0465	ANN1361	2079.5	3872
Ha412HOChr01	126000000	PET0465	ANN1132	2070	3872
Ha412HOChr01	127000000	ANN1361	ANN1132	1954	4514
Ha412HOChr01	127000000	PET0465	ANN1361	2422	4514
Ha412HOChr01	127000000	PET0465	ANN1132	2567.5	4514
Ha412HOChr01	128000000	ANN1361	ANN1132	1204.5	3166
Ha412HOChr01	128000000	PET0465	ANN1361	1798.5	3166
Ha412HOChr01	128000000	PET0465	ANN1132	1774	3166
Ha412HOChr01	129000000	ANN1361	ANN1132	804	3314
Ha412HOChr01	129000000	PET0465	ANN1361	2057	3314
Ha412HOChr01	129000000	PET0465	ANN1132	1971	3314
Ha412HOChr01	13000000	ANN1361	ANN1132	257	1722
Ha412HOChr01	13000000	PET0465	ANN1361	1241	1722
Ha412HOChr01	13000000	PET0465	ANN1132	1172	1722
Ha412HOChr01	130000000	ANN1361	ANN1132	2476.5	7120
Ha412HOChr01	130000000	PET0465	ANN1361	3856	7120
Ha412HOChr01	130000000	PET0465	ANN1132	3757	7120
Ha412HOChr01	131000000	ANN1361	ANN1132	2444	5578
Ha412HOChr01	131000000	PET0465	ANN1361	2876	5578
Ha412HOChr01	131000000	PET0465	ANN1132	2840.5	5578
Ha412HOChr01	132000000	ANN1361	ANN1132	1445.5	3418
Ha412HOChr01	132000000	PET0465	ANN1361	1642.5	3418
Ha412HOChr01	132000000	PET0465	ANN1132	1718	3418
Ha412HOChr01	133000000	ANN1361	ANN1132	1413.5	3824
Ha412HOChr01	133000000	PET0465	ANN1361	2076.5	3824
Ha412HOChr01	133000000	PET0465	ANN1132	1927	3824
Ha412HOChr01	134000000	ANN1361	ANN1132	2088	5262
Ha412HOChr01	134000000	PET0465	ANN1361	2729	5262
Ha412HOChr01	134000000	PET0465	ANN1132	2739.5	5262
Ha412HOChr01	135000000	ANN1361	ANN1132	929	2442
Ha412HOChr01	135000000	PET0465	ANN1361	1294	2442
Ha412HOChr01	135000000	PET0465	ANN1132	1348.5	2442
Ha412HOChr01	136000000	ANN1361	ANN1132	2929	6856
Ha412HOChr01	136000000	PET0465	ANN1361	3444.5	6856
Ha412HOChr01	136000000	PET0465	ANN1132	3461	6856
Ha412HOChr01	137000000	ANN1361	ANN1132	1628	4458
Ha412HOChr01	137000000	PET0465	ANN1361	2484	4458
Ha412HOChr01	137000000	PET0465	ANN1132	2553	4458
Ha412HOChr01	138000000	ANN1361	ANN1132	1798.5	4562
Ha412HOChr01	138000000	PET0465	ANN1361	2443.5	4562
Ha412HOChr01	138000000	PET0465	ANN1132	2498.5	4562
Ha412HOChr01	139000000	ANN1361	ANN1132	2094	5728
Ha412HOChr01	139000000	PET0465	ANN1361	3147	5728
Ha412HOChr01	139000000	PET0465	ANN1132	3208.5	5728
Ha412HOChr01	14000000	ANN1361	ANN1132	130	648
Ha412HOChr01	14000000	PET0465	ANN1361	493	648
Ha412HOChr01	14000000	PET0465	ANN1132	481	648
Ha412HOChr01	140000000	ANN1361	ANN1132	2391	6252
Ha412HOChr01	140000000	PET0465	ANN1361	3250.5	6252
Ha412HOChr01	140000000	PET0465	ANN1132	3261	6252
Ha412HOChr01	141000000	ANN1361	ANN1132	1919.5	4464
Ha412HOChr01	141000000	PET0465	ANN1361	2183.5	4464
Ha412HOChr01	141000000	PET0465	ANN1132	2306.5	4464
Ha412HOChr01	142000000	ANN1361	ANN1132	2901	6856
Ha412HOChr01	142000000	PET0465	ANN1361	3548	6856
Ha412HOChr01	142000000	PET0465	ANN1132	3553	6856
Ha412HOChr01	143000000	ANN1361	ANN1132	2005.5	4858
Ha412HOChr01	143000000	PET0465	ANN1361	2393.5	4858
Ha412HOChr01	143000000	PET0465	ANN1132	2425.5	4858
Ha412HOChr01	144000000	ANN1361	ANN1132	713	1580
Ha412HOChr01	144000000	PET0465	ANN1361	777	1580
