chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	ANN1322	ANN1303	1654	4404
Ha412HOChr01	0	DEC_1895	ANN1322	2455.5	4404
Ha412HOChr01	0	DEC_1895	ANN1303	2376	4404
Ha412HOChr01	1000000	ANN1322	ANN1303	1999	4894
Ha412HOChr01	1000000	DEC_1895	ANN1322	2204.5	4894
Ha412HOChr01	1000000	DEC_1895	ANN1303	2186	4894
Ha412HOChr01	10000000	ANN1322	ANN1303	1374.5	3828
Ha412HOChr01	10000000	DEC_1895	ANN1322	2204.5	3828
Ha412HOChr01	10000000	DEC_1895	ANN1303	2116	3828
Ha412HOChr01	100000000	ANN1322	ANN1303	318.5	1026
Ha412HOChr01	100000000	DEC_1895	ANN1322	567	1026
Ha412HOChr01	100000000	DEC_1895	ANN1303	548	1026
Ha412HOChr01	101000000	ANN1322	ANN1303	545	1774
Ha412HOChr01	101000000	DEC_1895	ANN1322	1004.5	1774
Ha412HOChr01	101000000	DEC_1895	ANN1303	960	1774
Ha412HOChr01	102000000	ANN1322	ANN1303	1121.5	2990
Ha412HOChr01	102000000	DEC_1895	ANN1322	1570.5	2990
Ha412HOChr01	102000000	DEC_1895	ANN1303	1452.5	2990
Ha412HOChr01	103000000	ANN1322	ANN1303	1248.5	3168
Ha412HOChr01	103000000	DEC_1895	ANN1322	1624	3168
Ha412HOChr01	103000000	DEC_1895	ANN1303	1571.5	3168
Ha412HOChr01	104000000	ANN1322	ANN1303	1269	3466
Ha412HOChr01	104000000	DEC_1895	ANN1322	1888	3466
Ha412HOChr01	104000000	DEC_1895	ANN1303	1838	3466
Ha412HOChr01	105000000	ANN1322	ANN1303	356	1296
Ha412HOChr01	105000000	DEC_1895	ANN1322	814.5	1296
Ha412HOChr01	105000000	DEC_1895	ANN1303	802.5	1296
Ha412HOChr01	106000000	ANN1322	ANN1303	853	2460
Ha412HOChr01	106000000	DEC_1895	ANN1322	1401.5	2460
Ha412HOChr01	106000000	DEC_1895	ANN1303	1348.5	2460
Ha412HOChr01	107000000	ANN1322	ANN1303	995	2778
Ha412HOChr01	107000000	DEC_1895	ANN1322	1530	2778
Ha412HOChr01	107000000	DEC_1895	ANN1303	1482	2778
Ha412HOChr01	108000000	ANN1322	ANN1303	669	2712
Ha412HOChr01	108000000	DEC_1895	ANN1322	1607.5	2712
Ha412HOChr01	108000000	DEC_1895	ANN1303	1547.5	2712
Ha412HOChr01	109000000	ANN1322	ANN1303	1046	3324
Ha412HOChr01	109000000	DEC_1895	ANN1322	1853	3324
Ha412HOChr01	109000000	DEC_1895	ANN1303	1830	3324
Ha412HOChr01	11000000	ANN1322	ANN1303	760	1894
Ha412HOChr01	11000000	DEC_1895	ANN1322	1281	1894
Ha412HOChr01	11000000	DEC_1895	ANN1303	1202	1894
Ha412HOChr01	110000000	ANN1322	ANN1303	742	2250
Ha412HOChr01	110000000	DEC_1895	ANN1322	1221	2250
Ha412HOChr01	110000000	DEC_1895	ANN1303	1137.5	2250
Ha412HOChr01	111000000	ANN1322	ANN1303	648	2184
Ha412HOChr01	111000000	DEC_1895	ANN1322	1228.5	2184
Ha412HOChr01	111000000	DEC_1895	ANN1303	1263	2184
Ha412HOChr01	112000000	ANN1322	ANN1303	1002	3146
Ha412HOChr01	112000000	DEC_1895	ANN1322	1903.5	3146
Ha412HOChr01	112000000	DEC_1895	ANN1303	1903	3146
Ha412HOChr01	113000000	ANN1322	ANN1303	1681	4236
Ha412HOChr01	113000000	DEC_1895	ANN1322	2194	4236
Ha412HOChr01	113000000	DEC_1895	ANN1303	2143	4236
Ha412HOChr01	114000000	ANN1322	ANN1303	1456	3532
Ha412HOChr01	114000000	DEC_1895	ANN1322	1712.5	3532
Ha412HOChr01	114000000	DEC_1895	ANN1303	1761.5	3532
Ha412HOChr01	115000000	ANN1322	ANN1303	1430.5	3410
Ha412HOChr01	115000000	DEC_1895	ANN1322	1656	3410
Ha412HOChr01	115000000	DEC_1895	ANN1303	1571.5	3410
Ha412HOChr01	116000000	ANN1322	ANN1303	1139	3170
Ha412HOChr01	116000000	DEC_1895	ANN1322	1595	3170
Ha412HOChr01	116000000	DEC_1895	ANN1303	1544	3170
Ha412HOChr01	117000000	ANN1322	ANN1303	1781	4600
Ha412HOChr01	117000000	DEC_1895	ANN1322	2348	4600
Ha412HOChr01	117000000	DEC_1895	ANN1303	2307	4600
Ha412HOChr01	118000000	ANN1322	ANN1303	1668.5	5230
Ha412HOChr01	118000000	DEC_1895	ANN1322	2753.5	5230
Ha412HOChr01	118000000	DEC_1895	ANN1303	2642	5230
Ha412HOChr01	119000000	ANN1322	ANN1303	1330	3558
Ha412HOChr01	119000000	DEC_1895	ANN1322	1702.5	3558
Ha412HOChr01	119000000	DEC_1895	ANN1303	1627.5	3558
Ha412HOChr01	12000000	ANN1322	ANN1303	1288	2172
Ha412HOChr01	12000000	DEC_1895	ANN1322	1415	2172
Ha412HOChr01	12000000	DEC_1895	ANN1303	1282.5	2172
Ha412HOChr01	120000000	ANN1322	ANN1303	1788	4732
Ha412HOChr01	120000000	DEC_1895	ANN1322	2479	4732
Ha412HOChr01	120000000	DEC_1895	ANN1303	2343.5	4732
Ha412HOChr01	121000000	ANN1322	ANN1303	2252.5	5558
Ha412HOChr01	121000000	DEC_1895	ANN1322	2692	5558
Ha412HOChr01	121000000	DEC_1895	ANN1303	2608.5	5558
Ha412HOChr01	122000000	ANN1322	ANN1303	1255	2856
Ha412HOChr01	122000000	DEC_1895	ANN1322	1291	2856
Ha412HOChr01	122000000	DEC_1895	ANN1303	1335.5	2856
Ha412HOChr01	123000000	ANN1322	ANN1303	2093	5098
Ha412HOChr01	123000000	DEC_1895	ANN1322	2355.5	5098
Ha412HOChr01	123000000	DEC_1895	ANN1303	2345	5098
Ha412HOChr01	124000000	ANN1322	ANN1303	885.5	2284
Ha412HOChr01	124000000	DEC_1895	ANN1322	1089.5	2284
