chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	HT334_P-21	Q095_P-16	1987.5	4018
Ha412HOChr01	0	HT334_P-21	Q25_P-076	1607	3492
Ha412HOChr01	0	Q095_P-16	Q25_P-076	1358	2998
Ha412HOChr01	0	HT279_P-9	HT334_P-21	1456	4206
Ha412HOChr01	0	HT279_P-9	Q095_P-16	1653	3630
Ha412HOChr01	0	HT279_P-9	Q25_P-076	1424	3164
Ha412HOChr01	1000000	HT334_P-21	Q095_P-16	1778.5	4092
Ha412HOChr01	1000000	HT334_P-21	Q25_P-076	1686	3648
Ha412HOChr01	1000000	Q095_P-16	Q25_P-076	1170.5	2998
Ha412HOChr01	1000000	HT279_P-9	HT334_P-21	1890	4478
Ha412HOChr01	1000000	HT279_P-9	Q095_P-16	1517.5	3660
Ha412HOChr01	1000000	HT279_P-9	Q25_P-076	1281	3232
Ha412HOChr01	10000000	HT334_P-21	Q095_P-16	1709.5	4178
Ha412HOChr01	10000000	HT334_P-21	Q25_P-076	1418	3666
Ha412HOChr01	10000000	Q095_P-16	Q25_P-076	1495	2980
Ha412HOChr01	10000000	HT279_P-9	HT334_P-21	2052.5	4242
Ha412HOChr01	10000000	HT279_P-9	Q095_P-16	1313	3518
Ha412HOChr01	10000000	HT279_P-9	Q25_P-076	1392.5	3020
Ha412HOChr01	100000000	HT334_P-21	Q095_P-16	633.5	1528
Ha412HOChr01	100000000	HT334_P-21	Q25_P-076	650.5	1576
Ha412HOChr01	100000000	Q095_P-16	Q25_P-076	638	1266
Ha412HOChr01	100000000	HT279_P-9	HT334_P-21	623.5	1664
Ha412HOChr01	100000000	HT279_P-9	Q095_P-16	626	1330
Ha412HOChr01	100000000	HT279_P-9	Q25_P-076	339	1336
Ha412HOChr01	101000000	HT334_P-21	Q095_P-16	786	2222
Ha412HOChr01	101000000	HT334_P-21	Q25_P-076	717	2112
Ha412HOChr01	101000000	Q095_P-16	Q25_P-076	460	1804
Ha412HOChr01	101000000	HT279_P-9	HT334_P-21	710.5	2160
Ha412HOChr01	101000000	HT279_P-9	Q095_P-16	650.5	1872
Ha412HOChr01	101000000	HT279_P-9	Q25_P-076	603	1806
Ha412HOChr01	102000000	HT334_P-21	Q095_P-16	1177	3074
Ha412HOChr01	102000000	HT334_P-21	Q25_P-076	1055	2868
Ha412HOChr01	102000000	Q095_P-16	Q25_P-076	878.5	2562
Ha412HOChr01	102000000	HT279_P-9	HT334_P-21	1403.5	3042
Ha412HOChr01	102000000	HT279_P-9	Q095_P-16	1059	2676
Ha412HOChr01	102000000	HT279_P-9	Q25_P-076	936	2584
Ha412HOChr01	103000000	HT334_P-21	Q095_P-16	1289	2984
Ha412HOChr01	103000000	HT334_P-21	Q25_P-076	1178.5	2554
Ha412HOChr01	103000000	Q095_P-16	Q25_P-076	701.5	2140
Ha412HOChr01	103000000	HT279_P-9	HT334_P-21	1475.5	3268
Ha412HOChr01	103000000	HT279_P-9	Q095_P-16	1215.5	2688
Ha412HOChr01	103000000	HT279_P-9	Q25_P-076	1019	2326
Ha412HOChr01	104000000	HT334_P-21	Q095_P-16	1491	3626
Ha412HOChr01	104000000	HT334_P-21	Q25_P-076	1245.5	3012
Ha412HOChr01	104000000	Q095_P-16	Q25_P-076	1017.5	2458
Ha412HOChr01	104000000	HT279_P-9	HT334_P-21	1929.5	4214
Ha412HOChr01	104000000	HT279_P-9	Q095_P-16	1232	3354
Ha412HOChr01	104000000	HT279_P-9	Q25_P-076	1207	2756
Ha412HOChr01	105000000	HT334_P-21	Q095_P-16	559.5	1952
Ha412HOChr01	105000000	HT334_P-21	Q25_P-076	539.5	1744
Ha412HOChr01	105000000	Q095_P-16	Q25_P-076	451	1504
Ha412HOChr01	105000000	HT279_P-9	HT334_P-21	574	1710
Ha412HOChr01	105000000	HT279_P-9	Q095_P-16	585.5	1478
Ha412HOChr01	105000000	HT279_P-9	Q25_P-076	524	1340
Ha412HOChr01	106000000	HT334_P-21	Q095_P-16	1097	2498
Ha412HOChr01	106000000	HT334_P-21	Q25_P-076	665.5	2342
Ha412HOChr01	106000000	Q095_P-16	Q25_P-076	814	1950
Ha412HOChr01	106000000	HT279_P-9	HT334_P-21	919	2754
Ha412HOChr01	106000000	HT279_P-9	Q095_P-16	884.5	2264
Ha412HOChr01	106000000	HT279_P-9	Q25_P-076	676	2102
Ha412HOChr01	107000000	HT334_P-21	Q095_P-16	1014	2676
Ha412HOChr01	107000000	HT334_P-21	Q25_P-076	999.5	2438
Ha412HOChr01	107000000	Q095_P-16	Q25_P-076	694.5	2050
Ha412HOChr01	107000000	HT279_P-9	HT334_P-21	1132.5	2588
Ha412HOChr01	107000000	HT279_P-9	Q095_P-16	805	2150
Ha412HOChr01	107000000	HT279_P-9	Q25_P-076	841.5	2062
Ha412HOChr01	108000000	HT334_P-21	Q095_P-16	1128.5	3642
Ha412HOChr01	108000000	HT334_P-21	Q25_P-076	1155.5	3442
Ha412HOChr01	108000000	Q095_P-16	Q25_P-076	885	2712
Ha412HOChr01	108000000	HT279_P-9	HT334_P-21	1640.5	4218
Ha412HOChr01	108000000	HT279_P-9	Q095_P-16	1458	3210
Ha412HOChr01	108000000	HT279_P-9	Q25_P-076	1034	3034
Ha412HOChr01	109000000	HT334_P-21	Q095_P-16	1454	3874
Ha412HOChr01	109000000	HT334_P-21	Q25_P-076	1312.5	3630
Ha412HOChr01	109000000	Q095_P-16	Q25_P-076	1041.5	3220
Ha412HOChr01	109000000	HT279_P-9	HT334_P-21	1581	4042
Ha412HOChr01	109000000	HT279_P-9	Q095_P-16	1167	3552
Ha412HOChr01	109000000	HT279_P-9	Q25_P-076	943	3302
Ha412HOChr01	11000000	HT334_P-21	Q095_P-16	850	2830
Ha412HOChr01	11000000	HT334_P-21	Q25_P-076	1080.5	2336
Ha412HOChr01	11000000	Q095_P-16	Q25_P-076	1115	2070
Ha412HOChr01	11000000	HT279_P-9	HT334_P-21	1060	2524
Ha412HOChr01	11000000	HT279_P-9	Q095_P-16	1129	2228
Ha412HOChr01	11000000	HT279_P-9	Q25_P-076	666	1904
Ha412HOChr01	110000000	HT334_P-21	Q095_P-16	1138.5	2832
Ha412HOChr01	110000000	HT334_P-21	Q25_P-076	1102	2488
Ha412HOChr01	110000000	Q095_P-16	Q25_P-076	759.5	2126
Ha412HOChr01	110000000	HT279_P-9	HT334_P-21	1128.5	2788
Ha412HOChr01	110000000	HT279_P-9	Q095_P-16	667.5	2324
