chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	ANN1317	ANN1229	1461	5106
Ha412HOChr01	0	ARG0010	ANN1317	2907.5	5106
Ha412HOChr01	0	ARG0010	ANN1229	2878	5106
Ha412HOChr01	1000000	ANN1317	ANN1229	2188	5140
Ha412HOChr01	1000000	ARG0010	ANN1317	2415	5140
Ha412HOChr01	1000000	ARG0010	ANN1229	2452.5	5140
Ha412HOChr01	10000000	ANN1317	ANN1229	1744.5	4294
Ha412HOChr01	10000000	ARG0010	ANN1317	2283.5	4294
Ha412HOChr01	10000000	ARG0010	ANN1229	2308	4294
Ha412HOChr01	100000000	ANN1317	ANN1229	912	1828
Ha412HOChr01	100000000	ARG0010	ANN1317	1038	1828
Ha412HOChr01	100000000	ARG0010	ANN1229	579	1828
Ha412HOChr01	101000000	ANN1317	ANN1229	1109	2692
Ha412HOChr01	101000000	ARG0010	ANN1317	1247	2692
Ha412HOChr01	101000000	ARG0010	ANN1229	1235	2692
Ha412HOChr01	102000000	ANN1317	ANN1229	1726.5	3824
Ha412HOChr01	102000000	ARG0010	ANN1317	1528.5	3824
Ha412HOChr01	102000000	ARG0010	ANN1229	1871	3824
Ha412HOChr01	103000000	ANN1317	ANN1229	1152	3220
Ha412HOChr01	103000000	ARG0010	ANN1317	1218	3220
Ha412HOChr01	103000000	ARG0010	ANN1229	1402	3220
Ha412HOChr01	104000000	ANN1317	ANN1229	2244	5398
Ha412HOChr01	104000000	ARG0010	ANN1317	2131	5398
Ha412HOChr01	104000000	ARG0010	ANN1229	2493	5398
Ha412HOChr01	105000000	ANN1317	ANN1229	1203	3020
Ha412HOChr01	105000000	ARG0010	ANN1317	1371.5	3020
Ha412HOChr01	105000000	ARG0010	ANN1229	1070	3020
Ha412HOChr01	106000000	ANN1317	ANN1229	1319	4134
Ha412HOChr01	106000000	ARG0010	ANN1317	2110	4134
Ha412HOChr01	106000000	ARG0010	ANN1229	1907.5	4134
Ha412HOChr01	107000000	ANN1317	ANN1229	1622.5	4460
Ha412HOChr01	107000000	ARG0010	ANN1317	2035.5	4460
Ha412HOChr01	107000000	ARG0010	ANN1229	1898	4460
Ha412HOChr01	108000000	ANN1317	ANN1229	1430.5	5410
Ha412HOChr01	108000000	ARG0010	ANN1317	2066.5	5410
Ha412HOChr01	108000000	ARG0010	ANN1229	2160.5	5410
Ha412HOChr01	109000000	ANN1317	ANN1229	2247	5904
