chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	Q080_KS1A-36	HT320_KS1A-11	1837.5	3988
Ha412HOChr01	0	Q080_KS1A-36	ED4_KS1A29-7_338	255	600
Ha412HOChr01	0	HT320_KS1A-11	ED4_KS1A29-7_338	254	596
Ha412HOChr01	0	HT251_KS1A-16	Q080_KS1A-36	1629.5	3616
Ha412HOChr01	0	HT251_KS1A-16	HT320_KS1A-11	1735	3578
Ha412HOChr01	0	HT251_KS1A-16	ED4_KS1A29-7_338	295	560
Ha412HOChr01	1000000	Q080_KS1A-36	HT320_KS1A-11	2076.5	4556
Ha412HOChr01	1000000	Q080_KS1A-36	ED4_KS1A29-7_338	304	800
Ha412HOChr01	1000000	HT320_KS1A-11	ED4_KS1A29-7_338	288	788
Ha412HOChr01	1000000	HT251_KS1A-16	Q080_KS1A-36	2268.5	4628
Ha412HOChr01	1000000	HT251_KS1A-16	HT320_KS1A-11	2067	4310
Ha412HOChr01	1000000	HT251_KS1A-16	ED4_KS1A29-7_338	239	766
Ha412HOChr01	10000000	Q080_KS1A-36	HT320_KS1A-11	2375	4194
Ha412HOChr01	10000000	Q080_KS1A-36	ED4_KS1A29-7_338	208	756
Ha412HOChr01	10000000	HT320_KS1A-11	ED4_KS1A29-7_338	339	708
Ha412HOChr01	10000000	HT251_KS1A-16	Q080_KS1A-36	1932	4214
Ha412HOChr01	10000000	HT251_KS1A-16	HT320_KS1A-11	1822.5	4250
Ha412HOChr01	10000000	HT251_KS1A-16	ED4_KS1A29-7_338	157	734
Ha412HOChr01	100000000	Q080_KS1A-36	HT320_KS1A-11	701.5	1608
Ha412HOChr01	100000000	Q080_KS1A-36	ED4_KS1A29-7_338	128	312
Ha412HOChr01	100000000	HT320_KS1A-11	ED4_KS1A29-7_338	71	302
Ha412HOChr01	100000000	HT251_KS1A-16	Q080_KS1A-36	654	1532
Ha412HOChr01	100000000	HT251_KS1A-16	HT320_KS1A-11	471	1784
Ha412HOChr01	100000000	HT251_KS1A-16	ED4_KS1A29-7_338	100	304
Ha412HOChr01	101000000	Q080_KS1A-36	HT320_KS1A-11	1027	2548
Ha412HOChr01	101000000	Q080_KS1A-36	ED4_KS1A29-7_338	161	484
Ha412HOChr01	101000000	HT320_KS1A-11	ED4_KS1A29-7_338	190	480
Ha412HOChr01	101000000	HT251_KS1A-16	Q080_KS1A-36	937	2322
Ha412HOChr01	101000000	HT251_KS1A-16	HT320_KS1A-11	800.5	2334
Ha412HOChr01	101000000	HT251_KS1A-16	ED4_KS1A29-7_338	116	464
Ha412HOChr01	102000000	Q080_KS1A-36	HT320_KS1A-11	1348.5	2958
Ha412HOChr01	102000000	Q080_KS1A-36	ED4_KS1A29-7_338	195	520
Ha412HOChr01	102000000	HT320_KS1A-11	ED4_KS1A29-7_338	156	536
Ha412HOChr01	102000000	HT251_KS1A-16	Q080_KS1A-36	1163.5	2558
Ha412HOChr01	102000000	HT251_KS1A-16	HT320_KS1A-11	946.5	2496
Ha412HOChr01	102000000	HT251_KS1A-16	ED4_KS1A29-7_338	132	442
Ha412HOChr01	103000000	Q080_KS1A-36	HT320_KS1A-11	1316.5	3234
Ha412HOChr01	103000000	Q080_KS1A-36	ED4_KS1A29-7_338	283	700
Ha412HOChr01	103000000	HT320_KS1A-11	ED4_KS1A29-7_338	180	706
Ha412HOChr01	103000000	HT251_KS1A-16	Q080_KS1A-36	1243.5	2742
Ha412HOChr01	103000000	HT251_KS1A-16	HT320_KS1A-11	1295	2780
Ha412HOChr01	103000000	HT251_KS1A-16	ED4_KS1A29-7_338	164	578
Ha412HOChr01	104000000	Q080_KS1A-36	HT320_KS1A-11	1673	3780
Ha412HOChr01	104000000	Q080_KS1A-36	ED4_KS1A29-7_338	227	656
Ha412HOChr01	104000000	HT320_KS1A-11	ED4_KS1A29-7_338	250	606
Ha412HOChr01	104000000	HT251_KS1A-16	Q080_KS1A-36	1473	3952
Ha412HOChr01	104000000	HT251_KS1A-16	HT320_KS1A-11	1660	3732
Ha412HOChr01	104000000	HT251_KS1A-16	ED4_KS1A29-7_338	257	632
Ha412HOChr01	105000000	Q080_KS1A-36	HT320_KS1A-11	1209	2268
Ha412HOChr01	105000000	Q080_KS1A-36	ED4_KS1A29-7_338	182	404
Ha412HOChr01	105000000	HT320_KS1A-11	ED4_KS1A29-7_338	110	406
Ha412HOChr01	105000000	HT251_KS1A-16	Q080_KS1A-36	1262	2190
Ha412HOChr01	105000000	HT251_KS1A-16	HT320_KS1A-11	321	2242
Ha412HOChr01	105000000	HT251_KS1A-16	ED4_KS1A29-7_338	98	402
Ha412HOChr01	106000000	Q080_KS1A-36	HT320_KS1A-11	1223.5	2612
Ha412HOChr01	106000000	Q080_KS1A-36	ED4_KS1A29-7_338	231	724
Ha412HOChr01	106000000	HT320_KS1A-11	ED4_KS1A29-7_338	280	646
Ha412HOChr01	106000000	HT251_KS1A-16	Q080_KS1A-36	1115	2816
Ha412HOChr01	106000000	HT251_KS1A-16	HT320_KS1A-11	1066	2516
Ha412HOChr01	106000000	HT251_KS1A-16	ED4_KS1A29-7_338	182	706
Ha412HOChr01	107000000	Q080_KS1A-36	HT320_KS1A-11	1278	2520
Ha412HOChr01	107000000	Q080_KS1A-36	ED4_KS1A29-7_338	202	456
Ha412HOChr01	107000000	HT320_KS1A-11	ED4_KS1A29-7_338	192	440
Ha412HOChr01	107000000	HT251_KS1A-16	Q080_KS1A-36	989	2458
Ha412HOChr01	107000000	HT251_KS1A-16	HT320_KS1A-11	711.5	2396
Ha412HOChr01	107000000	HT251_KS1A-16	ED4_KS1A29-7_338	159	430
Ha412HOChr01	108000000	Q080_KS1A-36	HT320_KS1A-11	1624.5	4448
Ha412HOChr01	108000000	Q080_KS1A-36	ED4_KS1A29-7_338	203	714
Ha412HOChr01	108000000	HT320_KS1A-11	ED4_KS1A29-7_338	202	698
Ha412HOChr01	108000000	HT251_KS1A-16	Q080_KS1A-36	1727.5	4160
Ha412HOChr01	108000000	HT251_KS1A-16	HT320_KS1A-11	1356.5	4008
Ha412HOChr01	108000000	HT251_KS1A-16	ED4_KS1A29-7_338	221	658
Ha412HOChr01	109000000	Q080_KS1A-36	HT320_KS1A-11	1887.5	3870
Ha412HOChr01	109000000	Q080_KS1A-36	ED4_KS1A29-7_338	398	846
Ha412HOChr01	109000000	HT320_KS1A-11	ED4_KS1A29-7_338	282	842
Ha412HOChr01	109000000	HT251_KS1A-16	Q080_KS1A-36	1639	3652
Ha412HOChr01	109000000	HT251_KS1A-16	HT320_KS1A-11	1334	3738
Ha412HOChr01	109000000	HT251_KS1A-16	ED4_KS1A29-7_338	341	808
Ha412HOChr01	11000000	Q080_KS1A-36	HT320_KS1A-11	920.5	2426
Ha412HOChr01	11000000	Q080_KS1A-36	ED4_KS1A29-7_338	128	344
Ha412HOChr01	11000000	HT320_KS1A-11	ED4_KS1A29-7_338	154	310
