chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	HT51_SD2W-40	HT170_SD2W-14	1854	3464
Ha412HOChr01	0	HT51_SD2W-40	Q076C_SD2W-23	1585	3490
Ha412HOChr01	0	HT170_SD2W-14	Q076C_SD2W-23	1854	3706
Ha412HOChr01	0	HT217_SD2W-21	HT51_SD2W-40	1785	3382
Ha412HOChr01	0	HT217_SD2W-21	HT170_SD2W-14	1639.5	3548
Ha412HOChr01	0	HT217_SD2W-21	Q076C_SD2W-23	1841	3748
Ha412HOChr01	1000000	HT51_SD2W-40	HT170_SD2W-14	1643	3558
Ha412HOChr01	1000000	HT51_SD2W-40	Q076C_SD2W-23	1499	3616
Ha412HOChr01	1000000	HT170_SD2W-14	Q076C_SD2W-23	1947.5	4308
Ha412HOChr01	1000000	HT217_SD2W-21	HT51_SD2W-40	1523.5	3478
Ha412HOChr01	1000000	HT217_SD2W-21	HT170_SD2W-14	1823.5	3772
Ha412HOChr01	1000000	HT217_SD2W-21	Q076C_SD2W-23	1811	3870
Ha412HOChr01	10000000	HT51_SD2W-40	HT170_SD2W-14	1991.5	3458
Ha412HOChr01	10000000	HT51_SD2W-40	Q076C_SD2W-23	1367.5	3712
Ha412HOChr01	10000000	HT170_SD2W-14	Q076C_SD2W-23	2076	3892
Ha412HOChr01	10000000	HT217_SD2W-21	HT51_SD2W-40	1717	3586
Ha412HOChr01	10000000	HT217_SD2W-21	HT170_SD2W-14	1583	3800
Ha412HOChr01	10000000	HT217_SD2W-21	Q076C_SD2W-23	1743	3996
Ha412HOChr01	100000000	HT51_SD2W-40	HT170_SD2W-14	292.5	1158
Ha412HOChr01	100000000	HT51_SD2W-40	Q076C_SD2W-23	656	1218
Ha412HOChr01	100000000	HT170_SD2W-14	Q076C_SD2W-23	813	1354
Ha412HOChr01	100000000	HT217_SD2W-21	HT51_SD2W-40	509.5	1130
Ha412HOChr01	100000000	HT217_SD2W-21	HT170_SD2W-14	569	1270
Ha412HOChr01	100000000	HT217_SD2W-21	Q076C_SD2W-23	646	1378
Ha412HOChr01	101000000	HT51_SD2W-40	HT170_SD2W-14	652	1750
Ha412HOChr01	101000000	HT51_SD2W-40	Q076C_SD2W-23	493	1880
Ha412HOChr01	101000000	HT170_SD2W-14	Q076C_SD2W-23	711	2164
Ha412HOChr01	101000000	HT217_SD2W-21	HT51_SD2W-40	580.5	1732
Ha412HOChr01	101000000	HT217_SD2W-21	HT170_SD2W-14	670.5	1986
Ha412HOChr01	101000000	HT217_SD2W-21	Q076C_SD2W-23	732	2084
Ha412HOChr01	102000000	HT51_SD2W-40	HT170_SD2W-14	1169.5	2534
Ha412HOChr01	102000000	HT51_SD2W-40	Q076C_SD2W-23	971	2604
Ha412HOChr01	102000000	HT170_SD2W-14	Q076C_SD2W-23	1288	2624
Ha412HOChr01	102000000	HT217_SD2W-21	HT51_SD2W-40	1320	2718
Ha412HOChr01	102000000	HT217_SD2W-21	HT170_SD2W-14	828	2712
Ha412HOChr01	102000000	HT217_SD2W-21	Q076C_SD2W-23	1515	2776
Ha412HOChr01	103000000	HT51_SD2W-40	HT170_SD2W-14	842.5	2216
Ha412HOChr01	103000000	HT51_SD2W-40	Q076C_SD2W-23	513	2252
Ha412HOChr01	103000000	HT170_SD2W-14	Q076C_SD2W-23	1017	2304
Ha412HOChr01	103000000	HT217_SD2W-21	HT51_SD2W-40	801	1854
Ha412HOChr01	103000000	HT217_SD2W-21	HT170_SD2W-14	818.5	2062
Ha412HOChr01	103000000	HT217_SD2W-21	Q076C_SD2W-23	1070	2268
Ha412HOChr01	104000000	HT51_SD2W-40	HT170_SD2W-14	1246	3004
Ha412HOChr01	104000000	HT51_SD2W-40	Q076C_SD2W-23	908	3316
Ha412HOChr01	104000000	HT170_SD2W-14	Q076C_SD2W-23	1499.5	3454
Ha412HOChr01	104000000	HT217_SD2W-21	HT51_SD2W-40	1096.5	2966
Ha412HOChr01	104000000	HT217_SD2W-21	HT170_SD2W-14	1253	3144
Ha412HOChr01	104000000	HT217_SD2W-21	Q076C_SD2W-23	1227	3352
Ha412HOChr01	105000000	HT51_SD2W-40	HT170_SD2W-14	611	1628
Ha412HOChr01	105000000	HT51_SD2W-40	Q076C_SD2W-23	505	1720
Ha412HOChr01	105000000	HT170_SD2W-14	Q076C_SD2W-23	643.5	1908
Ha412HOChr01	105000000	HT217_SD2W-21	HT51_SD2W-40	407.5	1522
Ha412HOChr01	105000000	HT217_SD2W-21	HT170_SD2W-14	691	1692
Ha412HOChr01	105000000	HT217_SD2W-21	Q076C_SD2W-23	539	1796
Ha412HOChr01	106000000	HT51_SD2W-40	HT170_SD2W-14	850.5	2362
Ha412HOChr01	106000000	HT51_SD2W-40	Q076C_SD2W-23	1067	2254
Ha412HOChr01	106000000	HT170_SD2W-14	Q076C_SD2W-23	1025	2510
Ha412HOChr01	106000000	HT217_SD2W-21	HT51_SD2W-40	613.5	2432
Ha412HOChr01	106000000	HT217_SD2W-21	HT170_SD2W-14	911.5	2612
Ha412HOChr01	106000000	HT217_SD2W-21	Q076C_SD2W-23	1152	2568
Ha412HOChr01	107000000	HT51_SD2W-40	HT170_SD2W-14	1015	2322
Ha412HOChr01	107000000	HT51_SD2W-40	Q076C_SD2W-23	986	2476
Ha412HOChr01	107000000	HT170_SD2W-14	Q076C_SD2W-23	973	2434
Ha412HOChr01	107000000	HT217_SD2W-21	HT51_SD2W-40	1032.5	2396
Ha412HOChr01	107000000	HT217_SD2W-21	HT170_SD2W-14	841	2352
Ha412HOChr01	107000000	HT217_SD2W-21	Q076C_SD2W-23	931	2484
Ha412HOChr01	108000000	HT51_SD2W-40	HT170_SD2W-14	927.5	3076
Ha412HOChr01	108000000	HT51_SD2W-40	Q076C_SD2W-23	875.5	3334
Ha412HOChr01	108000000	HT170_SD2W-14	Q076C_SD2W-23	766	3286
Ha412HOChr01	108000000	HT217_SD2W-21	HT51_SD2W-40	1397.5	3270
Ha412HOChr01	108000000	HT217_SD2W-21	HT170_SD2W-14	1033.5	3260
Ha412HOChr01	108000000	HT217_SD2W-21	Q076C_SD2W-23	1281.5	3520
Ha412HOChr01	109000000	HT51_SD2W-40	HT170_SD2W-14	1203.5	3484
Ha412HOChr01	109000000	HT51_SD2W-40	Q076C_SD2W-23	1433.5	3694
Ha412HOChr01	109000000	HT170_SD2W-14	Q076C_SD2W-23	1635	3814
Ha412HOChr01	109000000	HT217_SD2W-21	HT51_SD2W-40	1324.5	3608
Ha412HOChr01	109000000	HT217_SD2W-21	HT170_SD2W-14	1228	3722
Ha412HOChr01	109000000	HT217_SD2W-21	Q076C_SD2W-23	1561	3898
Ha412HOChr01	11000000	HT51_SD2W-40	HT170_SD2W-14	790	2220
Ha412HOChr01	11000000	HT51_SD2W-40	Q076C_SD2W-23	1604	2168
Ha412HOChr01	11000000	HT170_SD2W-14	Q076C_SD2W-23	975.5	2172
Ha412HOChr01	11000000	HT217_SD2W-21	HT51_SD2W-40	248	2362
Ha412HOChr01	11000000	HT217_SD2W-21	HT170_SD2W-14	797.5	2314
Ha412HOChr01	11000000	HT217_SD2W-21	Q076C_SD2W-23	1680	2276
Ha412HOChr01	110000000	HT51_SD2W-40	HT170_SD2W-14	941.5	2276
Ha412HOChr01	110000000	HT51_SD2W-40	Q076C_SD2W-23	1138	2476
Ha412HOChr01	110000000	HT170_SD2W-14	Q076C_SD2W-23	845.5	2642
Ha412HOChr01	110000000	HT217_SD2W-21	HT51_SD2W-40	912.5	2388
Ha412HOChr01	110000000	HT217_SD2W-21	HT170_SD2W-14	1060.5	2524
Ha412HOChr01	110000000	HT217_SD2W-21	Q076C_SD2W-23	1262.5	2770
Ha412HOChr01	111000000	HT51_SD2W-40	HT170_SD2W-14	438	1614
Ha412HOChr01	111000000	HT51_SD2W-40	Q076C_SD2W-23	811	1872
Ha412HOChr01	111000000	HT170_SD2W-14	Q076C_SD2W-23	711	1916
Ha412HOChr01	111000000	HT217_SD2W-21	HT51_SD2W-40	673.5	1778
Ha412HOChr01	111000000	HT217_SD2W-21	HT170_SD2W-14	584	1782
Ha412HOChr01	111000000	HT217_SD2W-21	Q076C_SD2W-23	800	2090
Ha412HOChr01	112000000	HT51_SD2W-40	HT170_SD2W-14	911.5	2632
Ha412HOChr01	112000000	HT51_SD2W-40	Q076C_SD2W-23	1192	2740
Ha412HOChr01	112000000	HT170_SD2W-14	Q076C_SD2W-23	977.5	2860
Ha412HOChr01	112000000	HT217_SD2W-21	HT51_SD2W-40	1102	2640
Ha412HOChr01	112000000	HT217_SD2W-21	HT170_SD2W-14	914	2768
Ha412HOChr01	112000000	HT217_SD2W-21	Q076C_SD2W-23	926	2914
Ha412HOChr01	113000000	HT51_SD2W-40	HT170_SD2W-14	1483	3536
