chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	ANN1224	ANN1073	1075.5	3520
Ha412HOChr01	0	DEB_1136	ANN1224	1811.5	3520
Ha412HOChr01	0	DEB_1136	ANN1073	1801.5	3520
Ha412HOChr01	1000000	ANN1224	ANN1073	1917	4692
Ha412HOChr01	1000000	DEB_1136	ANN1224	2123	4692
Ha412HOChr01	1000000	DEB_1136	ANN1073	2201	4692
Ha412HOChr01	10000000	ANN1224	ANN1073	1355.5	3082
Ha412HOChr01	10000000	DEB_1136	ANN1224	1821.5	3082
Ha412HOChr01	10000000	DEB_1136	ANN1073	1915	3082
Ha412HOChr01	100000000	ANN1224	ANN1073	383	876
Ha412HOChr01	100000000	DEB_1136	ANN1224	469.5	876
Ha412HOChr01	100000000	DEB_1136	ANN1073	477	876
Ha412HOChr01	101000000	ANN1224	ANN1073	408	1278
Ha412HOChr01	101000000	DEB_1136	ANN1224	750.5	1278
Ha412HOChr01	101000000	DEB_1136	ANN1073	768.5	1278
Ha412HOChr01	102000000	ANN1224	ANN1073	1268	3186
Ha412HOChr01	102000000	DEB_1136	ANN1224	1521.5	3186
Ha412HOChr01	102000000	DEB_1136	ANN1073	1486	3186
Ha412HOChr01	103000000	ANN1224	ANN1073	463	1878
Ha412HOChr01	103000000	DEB_1136	ANN1224	1146	1878
Ha412HOChr01	103000000	DEB_1136	ANN1073	1102	1878
Ha412HOChr01	104000000	ANN1224	ANN1073	1017.5	2650
Ha412HOChr01	104000000	DEB_1136	ANN1224	1408.5	2650
Ha412HOChr01	104000000	DEB_1136	ANN1073	1603.5	2650
Ha412HOChr01	105000000	ANN1224	ANN1073	146	960
Ha412HOChr01	105000000	DEB_1136	ANN1224	709	960
Ha412HOChr01	105000000	DEB_1136	ANN1073	740	960
Ha412HOChr01	106000000	ANN1224	ANN1073	660	2082
Ha412HOChr01	106000000	DEB_1136	ANN1224	1264.5	2082
Ha412HOChr01	106000000	DEB_1136	ANN1073	1249.5	2082
Ha412HOChr01	107000000	ANN1224	ANN1073	1037.5	2690
Ha412HOChr01	107000000	DEB_1136	ANN1224	1359	2690
Ha412HOChr01	107000000	DEB_1136	ANN1073	1422	2690
Ha412HOChr01	108000000	ANN1224	ANN1073	690.5	2090
Ha412HOChr01	108000000	DEB_1136	ANN1224	1201.5	2090
Ha412HOChr01	108000000	DEB_1136	ANN1073	1156.5	2090
Ha412HOChr01	109000000	ANN1224	ANN1073	895.5	2662
Ha412HOChr01	109000000	DEB_1136	ANN1224	1435	2662
Ha412HOChr01	109000000	DEB_1136	ANN1073	1473.5	2662
Ha412HOChr01	11000000	ANN1224	ANN1073	697.5	1662
Ha412HOChr01	11000000	DEB_1136	ANN1224	987	1662
Ha412HOChr01	11000000	DEB_1136	ANN1073	885	1662
Ha412HOChr01	110000000	ANN1224	ANN1073	421.5	1512
Ha412HOChr01	110000000	DEB_1136	ANN1224	918	1512
Ha412HOChr01	110000000	DEB_1136	ANN1073	949	1512
Ha412HOChr01	111000000	ANN1224	ANN1073	451	2106
Ha412HOChr01	111000000	DEB_1136	ANN1224	1294	2106
Ha412HOChr01	111000000	DEB_1136	ANN1073	1337.5	2106
Ha412HOChr01	112000000	ANN1224	ANN1073	694	3034
Ha412HOChr01	112000000	DEB_1136	ANN1224	1899.5	3034
Ha412HOChr01	112000000	DEB_1136	ANN1073	1879	3034
Ha412HOChr01	113000000	ANN1224	ANN1073	1590	3994
Ha412HOChr01	113000000	DEB_1136	ANN1224	2150	3994
Ha412HOChr01	113000000	DEB_1136	ANN1073	2173.5	3994
Ha412HOChr01	114000000	ANN1224	ANN1073	1438	3404
Ha412HOChr01	114000000	DEB_1136	ANN1224	1735.5	3404
Ha412HOChr01	114000000	DEB_1136	ANN1073	1729	3404
Ha412HOChr01	115000000	ANN1224	ANN1073	1066	3010
Ha412HOChr01	115000000	DEB_1136	ANN1224	1637	3010
Ha412HOChr01	115000000	DEB_1136	ANN1073	1659	3010
Ha412HOChr01	116000000	ANN1224	ANN1073	1161.5	3104
Ha412HOChr01	116000000	DEB_1136	ANN1224	1590	3104
Ha412HOChr01	116000000	DEB_1136	ANN1073	1572.5	3104
Ha412HOChr01	117000000	ANN1224	ANN1073	1845	5004
Ha412HOChr01	117000000	DEB_1136	ANN1224	2517.5	5004
Ha412HOChr01	117000000	DEB_1136	ANN1073	2543.5	5004
Ha412HOChr01	118000000	ANN1224	ANN1073	1714	4730
Ha412HOChr01	118000000	DEB_1136	ANN1224	2613.5	4730
Ha412HOChr01	118000000	DEB_1136	ANN1073	2633.5	4730
Ha412HOChr01	119000000	ANN1224	ANN1073	1210	2940
Ha412HOChr01	119000000	DEB_1136	ANN1224	1445.5	2940
Ha412HOChr01	119000000	DEB_1136	ANN1073	1475.5	2940
Ha412HOChr01	12000000	ANN1224	ANN1073	531.5	1928
Ha412HOChr01	12000000	DEB_1136	ANN1224	1152	1928
Ha412HOChr01	12000000	DEB_1136	ANN1073	1077.5	1928
Ha412HOChr01	120000000	ANN1224	ANN1073	1165.5	3858
Ha412HOChr01	120000000	DEB_1136	ANN1224	2184.5	3858
Ha412HOChr01	120000000	DEB_1136	ANN1073	2136.5	3858
Ha412HOChr01	121000000	ANN1224	ANN1073	2037	4852
Ha412HOChr01	121000000	DEB_1136	ANN1224	2453.5	4852
Ha412HOChr01	121000000	DEB_1136	ANN1073	2464.5	4852
Ha412HOChr01	122000000	ANN1224	ANN1073	1146	3090
Ha412HOChr01	122000000	DEB_1136	ANN1224	1485.5	3090
Ha412HOChr01	122000000	DEB_1136	ANN1073	1442	3090
Ha412HOChr01	123000000	ANN1224	ANN1073	2134	5080
Ha412HOChr01	123000000	DEB_1136	ANN1224	2268.5	5080
Ha412HOChr01	123000000	DEB_1136	ANN1073	2362.5	5080
Ha412HOChr01	124000000	ANN1224	ANN1073	1067	2704
Ha412HOChr01	124000000	DEB_1136	ANN1224	1285	2704
Ha412HOChr01	124000000	DEB_1136	ANN1073	1358.5	2704
Ha412HOChr01	125000000	ANN1224	ANN1073	732	1932
Ha412HOChr01	125000000	DEB_1136	ANN1224	984	1932
Ha412HOChr01	125000000	DEB_1136	ANN1073	987	1932
Ha412HOChr01	126000000	ANN1224	ANN1073	1903	4248
Ha412HOChr01	126000000	DEB_1136	ANN1224	2095	4248
Ha412HOChr01	126000000	DEB_1136	ANN1073	2092	4248
Ha412HOChr01	127000000	ANN1224	ANN1073	1270	3782
Ha412HOChr01	127000000	DEB_1136	ANN1224	1920	3782
Ha412HOChr01	127000000	DEB_1136	ANN1073	2008	3782
Ha412HOChr01	128000000	ANN1224	ANN1073	1266.5	3152
Ha412HOChr01	128000000	DEB_1136	ANN1224	1635.5	3152
Ha412HOChr01	128000000	DEB_1136	ANN1073	1634.5	3152
Ha412HOChr01	129000000	ANN1224	ANN1073	1054	3398
Ha412HOChr01	129000000	DEB_1136	ANN1224	1910.5	3398
Ha412HOChr01	129000000	DEB_1136	ANN1073	1863.5	3398
Ha412HOChr01	13000000	ANN1224	ANN1073	265	1484
Ha412HOChr01	13000000	DEB_1136	ANN1224	1026	1484
Ha412HOChr01	13000000	DEB_1136	ANN1073	1011	1484
Ha412HOChr01	130000000	ANN1224	ANN1073	2322	6528
Ha412HOChr01	130000000	DEB_1136	ANN1224	3190.5	6528
Ha412HOChr01	130000000	DEB_1136	ANN1073	3377	6528
Ha412HOChr01	131000000	ANN1224	ANN1073	2352.5	5732
Ha412HOChr01	131000000	DEB_1136	ANN1224	2743.5	5732
Ha412HOChr01	131000000	DEB_1136	ANN1073	2569	5732
Ha412HOChr01	132000000	ANN1224	ANN1073	1292	3142
Ha412HOChr01	132000000	DEB_1136	ANN1224	1407	3142
Ha412HOChr01	132000000	DEB_1136	ANN1073	1457.5	3142
Ha412HOChr01	133000000	ANN1224	ANN1073	1328.5	3692
Ha412HOChr01	133000000	DEB_1136	ANN1224	1820.5	3692
Ha412HOChr01	133000000	DEB_1136	ANN1073	1819.5	3692
Ha412HOChr01	134000000	ANN1224	ANN1073	1992	5360
Ha412HOChr01	134000000	DEB_1136	ANN1224	2583	5360
Ha412HOChr01	134000000	DEB_1136	ANN1073	2584.5	5360
Ha412HOChr01	135000000	ANN1224	ANN1073	992	2564
Ha412HOChr01	135000000	DEB_1136	ANN1224	1241	2564
Ha412HOChr01	135000000	DEB_1136	ANN1073	1190.5	2564
Ha412HOChr01	136000000	ANN1224	ANN1073	2822.5	7202
Ha412HOChr01	136000000	DEB_1136	ANN1224	3332	7202
Ha412HOChr01	136000000	DEB_1136	ANN1073	3508.5	7202
Ha412HOChr01	137000000	ANN1224	ANN1073	1712.5	4826
