chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	HT244_IA1A-25	HT268_IA1A_25R	1858	4704
Ha412HOChr01	0	HT244_IA1A-25	Q053B_IA1A-4_2	2158.5	4244
Ha412HOChr01	0	HT268_IA1A_25R	Q053B_IA1A-4_2	1585.5	4186
Ha412HOChr01	0	HT243_IA1A-11	HT244_IA1A-25	2064.5	4322
Ha412HOChr01	0	HT243_IA1A-11	HT268_IA1A_25R	1550.5	4274
Ha412HOChr01	0	HT243_IA1A-11	Q053B_IA1A-4_2	941	3938
Ha412HOChr01	1000000	HT244_IA1A-25	HT268_IA1A_25R	1755	5384
Ha412HOChr01	1000000	HT244_IA1A-25	Q053B_IA1A-4_2	2021.5	4972
Ha412HOChr01	1000000	HT268_IA1A_25R	Q053B_IA1A-4_2	2043	4922
Ha412HOChr01	1000000	HT243_IA1A-11	HT244_IA1A-25	2003	4966
Ha412HOChr01	1000000	HT243_IA1A-11	HT268_IA1A_25R	2048.5	4882
Ha412HOChr01	1000000	HT243_IA1A-11	Q053B_IA1A-4_2	1425	4590
Ha412HOChr01	10000000	HT244_IA1A-25	HT268_IA1A_25R	1697.5	4626
Ha412HOChr01	10000000	HT244_IA1A-25	Q053B_IA1A-4_2	1365	4332
Ha412HOChr01	10000000	HT268_IA1A_25R	Q053B_IA1A-4_2	2258.5	4466
Ha412HOChr01	10000000	HT243_IA1A-11	HT244_IA1A-25	1724.5	4174
Ha412HOChr01	10000000	HT243_IA1A-11	HT268_IA1A_25R	2200	4362
Ha412HOChr01	10000000	HT243_IA1A-11	Q053B_IA1A-4_2	876.5	4184
Ha412HOChr01	100000000	HT244_IA1A-25	HT268_IA1A_25R	669	1836
Ha412HOChr01	100000000	HT244_IA1A-25	Q053B_IA1A-4_2	686.5	1680
Ha412HOChr01	100000000	HT268_IA1A_25R	Q053B_IA1A-4_2	706.5	1768
Ha412HOChr01	100000000	HT243_IA1A-11	HT244_IA1A-25	841.5	1836
Ha412HOChr01	100000000	HT243_IA1A-11	HT268_IA1A_25R	962.5	1928
Ha412HOChr01	100000000	HT243_IA1A-11	Q053B_IA1A-4_2	852.5	1938
Ha412HOChr01	101000000	HT244_IA1A-25	HT268_IA1A_25R	650	2534
Ha412HOChr01	101000000	HT244_IA1A-25	Q053B_IA1A-4_2	919.5	2422
Ha412HOChr01	101000000	HT268_IA1A_25R	Q053B_IA1A-4_2	920.5	2486
Ha412HOChr01	101000000	HT243_IA1A-11	HT244_IA1A-25	963	2434
Ha412HOChr01	101000000	HT243_IA1A-11	HT268_IA1A_25R	920.5	2512
Ha412HOChr01	101000000	HT243_IA1A-11	Q053B_IA1A-4_2	746.5	2396
Ha412HOChr01	102000000	HT244_IA1A-25	HT268_IA1A_25R	1163	3736
Ha412HOChr01	102000000	HT244_IA1A-25	Q053B_IA1A-4_2	1380.5	3368
Ha412HOChr01	102000000	HT268_IA1A_25R	Q053B_IA1A-4_2	1336.5	3314
Ha412HOChr01	102000000	HT243_IA1A-11	HT244_IA1A-25	1542.5	3368
Ha412HOChr01	102000000	HT243_IA1A-11	HT268_IA1A_25R	1592	3334
Ha412HOChr01	102000000	HT243_IA1A-11	Q053B_IA1A-4_2	1057	3068
Ha412HOChr01	103000000	HT244_IA1A-25	HT268_IA1A_25R	1097.5	3188
Ha412HOChr01	103000000	HT244_IA1A-25	Q053B_IA1A-4_2	1388.5	3112
Ha412HOChr01	103000000	HT268_IA1A_25R	Q053B_IA1A-4_2	1211.5	3256
Ha412HOChr01	103000000	HT243_IA1A-11	HT244_IA1A-25	1819.5	3426
Ha412HOChr01	103000000	HT243_IA1A-11	HT268_IA1A_25R	1862	3552
Ha412HOChr01	103000000	HT243_IA1A-11	Q053B_IA1A-4_2	1351	3372
Ha412HOChr01	104000000	HT244_IA1A-25	HT268_IA1A_25R	1472	4486
Ha412HOChr01	104000000	HT244_IA1A-25	Q053B_IA1A-4_2	1607	3764
Ha412HOChr01	104000000	HT268_IA1A_25R	Q053B_IA1A-4_2	1684	3776
Ha412HOChr01	104000000	HT243_IA1A-11	HT244_IA1A-25	2123	4320
Ha412HOChr01	104000000	HT243_IA1A-11	HT268_IA1A_25R	2081	4344
