chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	HT368_MK1-24	HT62_MK1-20	1120	2810
Ha412HOChr01	0	HT368_MK1-24	HT79_MK1-21	1354.5	3092
Ha412HOChr01	0	HT62_MK1-20	HT79_MK1-21	538.5	2586
Ha412HOChr01	0	HT126_MK1-6	HT368_MK1-24	1649	3636
Ha412HOChr01	0	HT126_MK1-6	HT62_MK1-20	1166	2968
Ha412HOChr01	0	HT126_MK1-6	HT79_MK1-21	1451	3304
Ha412HOChr01	1000000	HT368_MK1-24	HT62_MK1-20	1209	2922
Ha412HOChr01	1000000	HT368_MK1-24	HT79_MK1-21	1391.5	3136
Ha412HOChr01	1000000	HT62_MK1-20	HT79_MK1-21	773.5	2528
Ha412HOChr01	1000000	HT126_MK1-6	HT368_MK1-24	1747.5	3942
Ha412HOChr01	1000000	HT126_MK1-6	HT62_MK1-20	1382	3130
Ha412HOChr01	1000000	HT126_MK1-6	HT79_MK1-21	1410	3358
Ha412HOChr01	10000000	HT368_MK1-24	HT62_MK1-20	1643.5	3104
Ha412HOChr01	10000000	HT368_MK1-24	HT79_MK1-21	2028.5	3278
Ha412HOChr01	10000000	HT62_MK1-20	HT79_MK1-21	919.5	2982
Ha412HOChr01	10000000	HT126_MK1-6	HT368_MK1-24	2027.5	3636
Ha412HOChr01	10000000	HT126_MK1-6	HT62_MK1-20	1309	3328
Ha412HOChr01	10000000	HT126_MK1-6	HT79_MK1-21	1234	3466
Ha412HOChr01	100000000	HT368_MK1-24	HT62_MK1-20	423	1042
Ha412HOChr01	100000000	HT368_MK1-24	HT79_MK1-21	400	1018
Ha412HOChr01	100000000	HT62_MK1-20	HT79_MK1-21	167	924
Ha412HOChr01	100000000	HT126_MK1-6	HT368_MK1-24	643	1372
Ha412HOChr01	100000000	HT126_MK1-6	HT62_MK1-20	510.5	1114
Ha412HOChr01	100000000	HT126_MK1-6	HT79_MK1-21	512	1102
Ha412HOChr01	101000000	HT368_MK1-24	HT62_MK1-20	488.5	1408
Ha412HOChr01	101000000	HT368_MK1-24	HT79_MK1-21	499	1528
Ha412HOChr01	101000000	HT62_MK1-20	HT79_MK1-21	260	1250
Ha412HOChr01	101000000	HT126_MK1-6	HT368_MK1-24	603.5	1900
Ha412HOChr01	101000000	HT126_MK1-6	HT62_MK1-20	488	1516
Ha412HOChr01	101000000	HT126_MK1-6	HT79_MK1-21	518	1636
Ha412HOChr01	102000000	HT368_MK1-24	HT62_MK1-20	846.5	1986
Ha412HOChr01	102000000	HT368_MK1-24	HT79_MK1-21	984	2152
Ha412HOChr01	102000000	HT62_MK1-20	HT79_MK1-21	462	1872
Ha412HOChr01	102000000	HT126_MK1-6	HT368_MK1-24	1135	2364
Ha412HOChr01	102000000	HT126_MK1-6	HT62_MK1-20	941	1968
Ha412HOChr01	102000000	HT126_MK1-6	HT79_MK1-21	1050	2212
Ha412HOChr01	103000000	HT368_MK1-24	HT62_MK1-20	983	1804
Ha412HOChr01	103000000	HT368_MK1-24	HT79_MK1-21	983.5	2080
Ha412HOChr01	103000000	HT62_MK1-20	HT79_MK1-21	622.5	2104
Ha412HOChr01	103000000	HT126_MK1-6	HT368_MK1-24	1088	2234
Ha412HOChr01	103000000	HT126_MK1-6	HT62_MK1-20	1253	2256
Ha412HOChr01	103000000	HT126_MK1-6	HT79_MK1-21	1459.5	2570
Ha412HOChr01	104000000	HT368_MK1-24	HT62_MK1-20	1067.5	2758
Ha412HOChr01	104000000	HT368_MK1-24	HT79_MK1-21	1173	3022
Ha412HOChr01	104000000	HT62_MK1-20	HT79_MK1-21	710	2692
Ha412HOChr01	104000000	HT126_MK1-6	HT368_MK1-24	1467	3172
Ha412HOChr01	104000000	HT126_MK1-6	HT62_MK1-20	1656.5	2842
Ha412HOChr01	104000000	HT126_MK1-6	HT79_MK1-21	1777	3090
Ha412HOChr01	105000000	HT368_MK1-24	HT62_MK1-20	385	1034
Ha412HOChr01	105000000	HT368_MK1-24	HT79_MK1-21	461.5	1224
Ha412HOChr01	105000000	HT62_MK1-20	HT79_MK1-21	154	1004
Ha412HOChr01	105000000	HT126_MK1-6	HT368_MK1-24	486.5	1318
Ha412HOChr01	105000000	HT126_MK1-6	HT62_MK1-20	255	1090
Ha412HOChr01	105000000	HT126_MK1-6	HT79_MK1-21	292	1272
