chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	ANN1390	ANN1387	834	4260
Ha412HOChr01	0	ANN1390	ANN1388	1925	4304
Ha412HOChr01	0	ANN1387	ANN1388	1774	4286
Ha412HOChr01	0	ANN1385	ANN1390	1953.5	4140
Ha412HOChr01	0	ANN1385	ANN1387	1881.5	4110
Ha412HOChr01	0	ANN1385	ANN1388	1834.5	4168
Ha412HOChr01	1000000	ANN1390	ANN1387	1240.5	4218
Ha412HOChr01	1000000	ANN1390	ANN1388	1596.5	4496
Ha412HOChr01	1000000	ANN1387	ANN1388	1535	4110
Ha412HOChr01	1000000	ANN1385	ANN1390	1567	4340
Ha412HOChr01	1000000	ANN1385	ANN1387	1472	3966
Ha412HOChr01	1000000	ANN1385	ANN1388	1633.5	4288
Ha412HOChr01	10000000	ANN1390	ANN1387	574.5	4036
Ha412HOChr01	10000000	ANN1390	ANN1388	2314	4090
Ha412HOChr01	10000000	ANN1387	ANN1388	2234.5	3992
Ha412HOChr01	10000000	ANN1385	ANN1390	2251	3570
Ha412HOChr01	10000000	ANN1385	ANN1387	2131	3464
Ha412HOChr01	10000000	ANN1385	ANN1388	1241	3730
Ha412HOChr01	100000000	ANN1390	ANN1387	439.5	1732
Ha412HOChr01	100000000	ANN1390	ANN1388	723	1610
Ha412HOChr01	100000000	ANN1387	ANN1388	556	1570
Ha412HOChr01	100000000	ANN1385	ANN1390	692.5	1414
Ha412HOChr01	100000000	ANN1385	ANN1387	581	1380
Ha412HOChr01	100000000	ANN1385	ANN1388	433.5	1388
Ha412HOChr01	101000000	ANN1390	ANN1387	728.5	2302
Ha412HOChr01	101000000	ANN1390	ANN1388	826	2274
Ha412HOChr01	101000000	ANN1387	ANN1388	673.5	2272
Ha412HOChr01	101000000	ANN1385	ANN1390	754.5	2112
Ha412HOChr01	101000000	ANN1385	ANN1387	655.5	2084
Ha412HOChr01	101000000	ANN1385	ANN1388	454.5	2096
Ha412HOChr01	102000000	ANN1390	ANN1387	913.5	2728
Ha412HOChr01	102000000	ANN1390	ANN1388	687	2758
Ha412HOChr01	102000000	ANN1387	ANN1388	952.5	2812
Ha412HOChr01	102000000	ANN1385	ANN1390	909.5	2740
Ha412HOChr01	102000000	ANN1385	ANN1387	976	2774
Ha412HOChr01	102000000	ANN1385	ANN1388	1031.5	2744
Ha412HOChr01	103000000	ANN1390	ANN1387	800.5	2184
Ha412HOChr01	103000000	ANN1390	ANN1388	685	2374
Ha412HOChr01	103000000	ANN1387	ANN1388	483.5	2164
Ha412HOChr01	103000000	ANN1385	ANN1390	792	2546
Ha412HOChr01	103000000	ANN1385	ANN1387	760	2070
Ha412HOChr01	103000000	ANN1385	ANN1388	724	2316
Ha412HOChr01	104000000	ANN1390	ANN1387	1065.5	3284
Ha412HOChr01	104000000	ANN1390	ANN1388	1173.5	3354
Ha412HOChr01	104000000	ANN1387	ANN1388	1077.5	3258
Ha412HOChr01	104000000	ANN1385	ANN1390	1268.5	3290
Ha412HOChr01	104000000	ANN1385	ANN1387	1203	3186
Ha412HOChr01	104000000	ANN1385	ANN1388	1212.5	3400
Ha412HOChr01	105000000	ANN1390	ANN1387	328	1976
Ha412HOChr01	105000000	ANN1390	ANN1388	321	1992
Ha412HOChr01	105000000	ANN1387	ANN1388	335.5	2024
Ha412HOChr01	105000000	ANN1385	ANN1390	727	1856
Ha412HOChr01	105000000	ANN1385	ANN1387	753.5	1868
Ha412HOChr01	105000000	ANN1385	ANN1388	738	1894
Ha412HOChr01	106000000	ANN1390	ANN1387	862.5	2314
Ha412HOChr01	106000000	ANN1390	ANN1388	955	2526
Ha412HOChr01	106000000	ANN1387	ANN1388	739	2208
Ha412HOChr01	106000000	ANN1385	ANN1390	938.5	2234
Ha412HOChr01	106000000	ANN1385	ANN1387	638.5	2098
Ha412HOChr01	106000000	ANN1385	ANN1388	751.5	2108
Ha412HOChr01	107000000	ANN1390	ANN1387	827.5	2798
Ha412HOChr01	107000000	ANN1390	ANN1388	1105.5	2886
Ha412HOChr01	107000000	ANN1387	ANN1388	1079.5	2804
Ha412HOChr01	107000000	ANN1385	ANN1390	1060.5	2802
Ha412HOChr01	107000000	ANN1385	ANN1387	850	2736
Ha412HOChr01	107000000	ANN1385	ANN1388	863	2812
Ha412HOChr01	108000000	ANN1390	ANN1387	1112.5	3836
Ha412HOChr01	108000000	ANN1390	ANN1388	1472.5	4016
Ha412HOChr01	108000000	ANN1387	ANN1388	1537.5	4102
Ha412HOChr01	108000000	ANN1385	ANN1390	1254	3702
Ha412HOChr01	108000000	ANN1385	ANN1387	1453	3770
Ha412HOChr01	108000000	ANN1385	ANN1388	1224.5	3944
