chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr05	0	ANN0893	ANN0894	1130.5	2290
Ha412HOChr05	0	ANN0893	ANN0899	550	2290
Ha412HOChr05	0	ANN0894	ANN0899	1118.5	2290
Ha412HOChr05	0	ANN0892	ANN0893	486	2290
Ha412HOChr05	0	ANN0892	ANN0894	1146	2290
Ha412HOChr05	0	ANN0892	ANN0899	814.5	2290
Ha412HOChr05	1000000	ANN0893	ANN0894	1349	3560
Ha412HOChr05	1000000	ANN0893	ANN0899	1100.5	3560
Ha412HOChr05	1000000	ANN0894	ANN0899	1404.5	3560
Ha412HOChr05	1000000	ANN0892	ANN0893	1368	3560
Ha412HOChr05	1000000	ANN0892	ANN0894	1146	3560
Ha412HOChr05	1000000	ANN0892	ANN0899	1369.5	3560
Ha412HOChr05	10000000	ANN0893	ANN0894	1616.5	3956
Ha412HOChr05	10000000	ANN0893	ANN0899	1412	3956
Ha412HOChr05	10000000	ANN0894	ANN0899	1533	3956
Ha412HOChr05	10000000	ANN0892	ANN0893	1575	3956
Ha412HOChr05	10000000	ANN0892	ANN0894	1431.5	3956
Ha412HOChr05	10000000	ANN0892	ANN0899	1371.5	3956
Ha412HOChr05	100000000	ANN0893	ANN0894	470	1926
Ha412HOChr05	100000000	ANN0893	ANN0899	722	1926
Ha412HOChr05	100000000	ANN0894	ANN0899	452	1926
Ha412HOChr05	100000000	ANN0892	ANN0893	1218	1926
Ha412HOChr05	100000000	ANN0892	ANN0894	1099	1926
Ha412HOChr05	100000000	ANN0892	ANN0899	967	1926
Ha412HOChr05	101000000	ANN0893	ANN0894	1291	2386
Ha412HOChr05	101000000	ANN0893	ANN0899	1272	2386
Ha412HOChr05	101000000	ANN0894	ANN0899	480	2386
Ha412HOChr05	101000000	ANN0892	ANN0893	458	2386
Ha412HOChr05	101000000	ANN0892	ANN0894	1596	2386
Ha412HOChr05	101000000	ANN0892	ANN0899	1593	2386
Ha412HOChr05	102000000	ANN0893	ANN0894	1417	2494
Ha412HOChr05	102000000	ANN0893	ANN0899	1023	2494
Ha412HOChr05	102000000	ANN0894	ANN0899	952	2494
Ha412HOChr05	102000000	ANN0892	ANN0893	273.5	2494
Ha412HOChr05	102000000	ANN0892	ANN0894	1507	2494
Ha412HOChr05	102000000	ANN0892	ANN0899	1171	2494
Ha412HOChr05	103000000	ANN0893	ANN0894	1389.5	2472
