chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	ARG0062N	ARG0069	878	4128
Ha412HOChr01	0	ARG0062N	ARG0061	506	3826
Ha412HOChr01	0	ARG0069	ARG0061	1027	3690
Ha412HOChr01	0	ARG0063	ARG0062N	940	3926
Ha412HOChr01	0	ARG0063	ARG0069	493	3830
Ha412HOChr01	0	ARG0063	ARG0061	918	3506
Ha412HOChr01	1000000	ARG0062N	ARG0069	1299	4452
Ha412HOChr01	1000000	ARG0062N	ARG0061	828	4232
Ha412HOChr01	1000000	ARG0069	ARG0061	882	4082
Ha412HOChr01	1000000	ARG0063	ARG0062N	926.5	4020
Ha412HOChr01	1000000	ARG0063	ARG0069	822.5	3848
Ha412HOChr01	1000000	ARG0063	ARG0061	443.5	3740
Ha412HOChr01	10000000	ARG0062N	ARG0069	1014	4036
Ha412HOChr01	10000000	ARG0062N	ARG0061	888.5	3636
Ha412HOChr01	10000000	ARG0069	ARG0061	553	3564
Ha412HOChr01	10000000	ARG0063	ARG0062N	791	3756
Ha412HOChr01	10000000	ARG0063	ARG0069	857.5	3608
Ha412HOChr01	10000000	ARG0063	ARG0061	796	3306
Ha412HOChr01	100000000	ARG0062N	ARG0069	707	1904
Ha412HOChr01	100000000	ARG0062N	ARG0061	730	1814
Ha412HOChr01	100000000	ARG0069	ARG0061	635.5	1724
Ha412HOChr01	100000000	ARG0063	ARG0062N	51	1906
Ha412HOChr01	100000000	ARG0063	ARG0069	658	1776
Ha412HOChr01	100000000	ARG0063	ARG0061	665	1688
Ha412HOChr01	101000000	ARG0062N	ARG0069	845	2582
Ha412HOChr01	101000000	ARG0062N	ARG0061	872	2376
Ha412HOChr01	101000000	ARG0069	ARG0061	779	2154
Ha412HOChr01	101000000	ARG0063	ARG0062N	120.5	2756
Ha412HOChr01	101000000	ARG0063	ARG0069	792.5	2444
Ha412HOChr01	101000000	ARG0063	ARG0061	838	2252
Ha412HOChr01	102000000	ARG0062N	ARG0069	951.5	2846
Ha412HOChr01	102000000	ARG0062N	ARG0061	1017.5	2780
Ha412HOChr01	102000000	ARG0069	ARG0061	852	2576
Ha412HOChr01	102000000	ARG0063	ARG0062N	199	2872
Ha412HOChr01	102000000	ARG0063	ARG0069	881	2648
Ha412HOChr01	102000000	ARG0063	ARG0061	958	2596
Ha412HOChr01	103000000	ARG0062N	ARG0069	366	1982
Ha412HOChr01	103000000	ARG0062N	ARG0061	308	1806
Ha412HOChr01	103000000	ARG0069	ARG0061	219.5	1622
Ha412HOChr01	103000000	ARG0063	ARG0062N	316	1940
Ha412HOChr01	103000000	ARG0063	ARG0069	230	1792
Ha412HOChr01	103000000	ARG0063	ARG0061	247.5	1612
Ha412HOChr01	104000000	ARG0062N	ARG0069	187	2740
Ha412HOChr01	104000000	ARG0062N	ARG0061	176.5	2518
Ha412HOChr01	104000000	ARG0069	ARG0061	181	2446
Ha412HOChr01	104000000	ARG0063	ARG0062N	82	2674
Ha412HOChr01	104000000	ARG0063	ARG0069	167	2596
Ha412HOChr01	104000000	ARG0063	ARG0061	158	2352
Ha412HOChr01	105000000	ARG0062N	ARG0069	56	1296
Ha412HOChr01	105000000	ARG0062N	ARG0061	67	1312
Ha412HOChr01	105000000	ARG0069	ARG0061	66	1140
Ha412HOChr01	105000000	ARG0063	ARG0062N	57	1310
Ha412HOChr01	105000000	ARG0063	ARG0069	62	1108
Ha412HOChr01	105000000	ARG0063	ARG0061	84	1108
Ha412HOChr01	106000000	ARG0062N	ARG0069	176.5	3180
Ha412HOChr01	106000000	ARG0062N	ARG0061	201	2952
Ha412HOChr01	106000000	ARG0069	ARG0061	166	2712
Ha412HOChr01	106000000	ARG0063	ARG0062N	117	3034
Ha412HOChr01	106000000	ARG0063	ARG0069	137	2852
Ha412HOChr01	106000000	ARG0063	ARG0061	135	2640
Ha412HOChr01	107000000	ARG0062N	ARG0069	188	3132
Ha412HOChr01	107000000	ARG0062N	ARG0061	140	2954
Ha412HOChr01	107000000	ARG0069	ARG0061	174.5	2832
Ha412HOChr01	107000000	ARG0063	ARG0062N	130	2968
