chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	PET0698	PET0703	542.5	1764
Ha412HOChr01	0	PET0698	PET0706	455.5	1828
Ha412HOChr01	0	PET0703	PET0706	405.5	1696
Ha412HOChr01	0	PET0700	PET0698	555	1978
Ha412HOChr01	0	PET0700	PET0703	439	1810
Ha412HOChr01	0	PET0700	PET0706	495	1874
Ha412HOChr01	1000000	PET0698	PET0703	1630.5	4932
Ha412HOChr01	1000000	PET0698	PET0706	1187.5	4910
Ha412HOChr01	1000000	PET0703	PET0706	1575	4862
Ha412HOChr01	1000000	PET0700	PET0698	1723	4974
Ha412HOChr01	1000000	PET0700	PET0703	1583.5	4936
Ha412HOChr01	1000000	PET0700	PET0706	1538.5	4884
Ha412HOChr01	10000000	PET0698	PET0703	1152	3616
Ha412HOChr01	10000000	PET0698	PET0706	1056	3590
Ha412HOChr01	10000000	PET0703	PET0706	1040.5	3596
Ha412HOChr01	10000000	PET0700	PET0698	1096	3506
Ha412HOChr01	10000000	PET0700	PET0703	989.5	3564
Ha412HOChr01	10000000	PET0700	PET0706	989	3502
Ha412HOChr01	100000000	PET0698	PET0703	209	644
Ha412HOChr01	100000000	PET0698	PET0706	273	682
Ha412HOChr01	100000000	PET0703	PET0706	205	664
Ha412HOChr01	100000000	PET0700	PET0698	115	724
Ha412HOChr01	100000000	PET0700	PET0703	165.5	700
Ha412HOChr01	100000000	PET0700	PET0706	288	720
Ha412HOChr01	101000000	PET0698	PET0703	720	1486
Ha412HOChr01	101000000	PET0698	PET0706	718	1572
Ha412HOChr01	101000000	PET0703	PET0706	340.5	1512
Ha412HOChr01	101000000	PET0700	PET0698	420	1582
Ha412HOChr01	101000000	PET0700	PET0703	513.5	1540
Ha412HOChr01	101000000	PET0700	PET0706	607.5	1614
Ha412HOChr01	102000000	PET0698	PET0703	1021	2654
Ha412HOChr01	102000000	PET0698	PET0706	1127.5	2622
Ha412HOChr01	102000000	PET0703	PET0706	828.5	2666
Ha412HOChr01	102000000	PET0700	PET0698	705	2814
Ha412HOChr01	102000000	PET0700	PET0703	766.5	2808
Ha412HOChr01	102000000	PET0700	PET0706	1025.5	2788
Ha412HOChr01	103000000	PET0698	PET0703	635.5	2192
Ha412HOChr01	103000000	PET0698	PET0706	685	2220
Ha412HOChr01	103000000	PET0703	PET0706	633	2254
Ha412HOChr01	103000000	PET0700	PET0698	409	2228
Ha412HOChr01	103000000	PET0700	PET0703	529.5	2210
Ha412HOChr01	103000000	PET0700	PET0706	698.5	2238
Ha412HOChr01	104000000	PET0698	PET0703	889.5	2334
Ha412HOChr01	104000000	PET0698	PET0706	811.5	2330
Ha412HOChr01	104000000	PET0703	PET0706	762.5	2384
Ha412HOChr01	104000000	PET0700	PET0698	529.5	2432
Ha412HOChr01	104000000	PET0700	PET0703	776	2474
Ha412HOChr01	104000000	PET0700	PET0706	878.5	2452
Ha412HOChr01	105000000	PET0698	PET0703	209.5	922
Ha412HOChr01	105000000	PET0698	PET0706	248.5	972
Ha412HOChr01	105000000	PET0703	PET0706	217	914
Ha412HOChr01	105000000	PET0700	PET0698	123	994
Ha412HOChr01	105000000	PET0700	PET0703	173.5	922
Ha412HOChr01	105000000	PET0700	PET0706	256.5	986
Ha412HOChr01	106000000	PET0698	PET0703	773	2090
Ha412HOChr01	106000000	PET0698	PET0706	774	2166
Ha412HOChr01	106000000	PET0703	PET0706	454	2038
Ha412HOChr01	106000000	PET0700	PET0698	412	2204
Ha412HOChr01	106000000	PET0700	PET0703	561	2100
Ha412HOChr01	106000000	PET0700	PET0706	640	2118
Ha412HOChr01	107000000	PET0698	PET0703	1144.5	2824
Ha412HOChr01	107000000	PET0698	PET0706	779.5	3116
Ha412HOChr01	107000000	PET0703	PET0706	1246.5	2910
Ha412HOChr01	107000000	PET0700	PET0698	777	3132
Ha412HOChr01	107000000	PET0700	PET0703	946	2910
Ha412HOChr01	107000000	PET0700	PET0706	1253	3238
Ha412HOChr01	108000000	PET0698	PET0703	537.5	1632
Ha412HOChr01	108000000	PET0698	PET0706	324.5	1690
Ha412HOChr01	108000000	PET0703	PET0706	550	1628
Ha412HOChr01	108000000	PET0700	PET0698	306	1766
Ha412HOChr01	108000000	PET0700	PET0703	495.5	1678
Ha412HOChr01	108000000	PET0700	PET0706	415	1734
Ha412HOChr01	109000000	PET0698	PET0703	965.5	2212
Ha412HOChr01	109000000	PET0698	PET0706	697.5	2086
Ha412HOChr01	109000000	PET0703	PET0706	816	1950
Ha412HOChr01	109000000	PET0700	PET0698	604	2472
Ha412HOChr01	109000000	PET0700	PET0703	811	2264
Ha412HOChr01	109000000	PET0700	PET0706	773	2134
Ha412HOChr01	11000000	PET0698	PET0703	486.5	1548
Ha412HOChr01	11000000	PET0698	PET0706	543	1588
Ha412HOChr01	11000000	PET0703	PET0706	491.5	1534
Ha412HOChr01	11000000	PET0700	PET0698	572.5	1658
Ha412HOChr01	11000000	PET0700	PET0703	426	1636
Ha412HOChr01	11000000	PET0700	PET0706	518	1638
Ha412HOChr01	110000000	PET0698	PET0703	603	1434
Ha412HOChr01	110000000	PET0698	PET0706	304.5	852
Ha412HOChr01	110000000	PET0703	PET0706	339	862
Ha412HOChr01	110000000	PET0700	PET0698	312	1506
Ha412HOChr01	110000000	PET0700	PET0703	537.5	1462
Ha412HOChr01	110000000	PET0700	PET0706	322.5	902
Ha412HOChr01	111000000	PET0698	PET0703	513	1800
Ha412HOChr01	111000000	PET0698	PET0706	460	1650
Ha412HOChr01	111000000	PET0703	PET0706	474	1616
Ha412HOChr01	111000000	PET0700	PET0698	421.5	1834
Ha412HOChr01	111000000	PET0700	PET0703	396.5	1812
Ha412HOChr01	111000000	PET0700	PET0706	470	1634
Ha412HOChr01	112000000	PET0698	PET0703	983.5	3236
Ha412HOChr01	112000000	PET0698	PET0706	1116	3254
Ha412HOChr01	112000000	PET0703	PET0706	1277	3232
Ha412HOChr01	112000000	PET0700	PET0698	593	3394
Ha412HOChr01	112000000	PET0700	PET0703	819	3412
Ha412HOChr01	112000000	PET0700	PET0706	1238	3346
Ha412HOChr01	113000000	PET0698	PET0703	1280	3860
Ha412HOChr01	113000000	PET0698	PET0706	1369.5	3930
Ha412HOChr01	113000000	PET0703	PET0706	1228.5	3728
Ha412HOChr01	113000000	PET0700	PET0698	816.5	4098
Ha412HOChr01	113000000	PET0700	PET0703	1017.5	3886
Ha412HOChr01	113000000	PET0700	PET0706	1350	3914
Ha412HOChr01	114000000	PET0698	PET0703	1189	2888
Ha412HOChr01	114000000	PET0698	PET0706	1061.5	3048
Ha412HOChr01	114000000	PET0703	PET0706	996	2866
Ha412HOChr01	114000000	PET0700	PET0698	500.5	3204
Ha412HOChr01	114000000	PET0700	PET0703	1027	2970
Ha412HOChr01	114000000	PET0700	PET0706	1057	3110
Ha412HOChr01	115000000	PET0698	PET0703	902	2740
Ha412HOChr01	115000000	PET0698	PET0706	861.5	2648
Ha412HOChr01	115000000	PET0703	PET0706	821.5	2694
Ha412HOChr01	115000000	PET0700	PET0698	515.5	2796
Ha412HOChr01	115000000	PET0700	PET0703	711.5	2812
Ha412HOChr01	115000000	PET0700	PET0706	803	2702
Ha412HOChr01	116000000	PET0698	PET0703	1096.5	2668
Ha412HOChr01	116000000	PET0698	PET0706	864.5	2700
Ha412HOChr01	116000000	PET0703	PET0706	1045	2622
Ha412HOChr01	116000000	PET0700	PET0698	745.5	2830
Ha412HOChr01	116000000	PET0700	PET0703	923	2778
Ha412HOChr01	116000000	PET0700	PET0706	1153	2760
Ha412HOChr01	117000000	PET0698	PET0703	1244	4142
Ha412HOChr01	117000000	PET0698	PET0706	1709	4204
Ha412HOChr01	117000000	PET0703	PET0706	1500.5	4010
Ha412HOChr01	117000000	PET0700	PET0698	765	4352
Ha412HOChr01	117000000	PET0700	PET0703	1013.5	4166
Ha412HOChr01	117000000	PET0700	PET0706	1735	4212
Ha412HOChr01	118000000	PET0698	PET0703	1437.5	3994
Ha412HOChr01	118000000	PET0698	PET0706	1481	4168
Ha412HOChr01	118000000	PET0703	PET0706	1360	3924
Ha412HOChr01	118000000	PET0700	PET0698	963	4282
Ha412HOChr01	118000000	PET0700	PET0703	1179	3986
Ha412HOChr01	118000000	PET0700	PET0706	1689.5	4180
Ha412HOChr01	119000000	PET0698	PET0703	835.5	2274
Ha412HOChr01	119000000	PET0698	PET0706	826.5	2148
Ha412HOChr01	119000000	PET0703	PET0706	959.5	2266
Ha412HOChr01	119000000	PET0700	PET0698	484.5	2362
Ha412HOChr01	119000000	PET0700	PET0703	644	2426
Ha412HOChr01	119000000	PET0700	PET0706	938.5	2308
Ha412HOChr01	12000000	PET0698	PET0703	656	2104
Ha412HOChr01	12000000	PET0698	PET0706	715	2180
Ha412HOChr01	12000000	PET0703	PET0706	720.5	2244
Ha412HOChr01	12000000	PET0700	PET0698	625.5	2122
Ha412HOChr01	12000000	PET0700	PET0703	665.5	2228
Ha412HOChr01	12000000	PET0700	PET0706	695.5	2268
Ha412HOChr01	120000000	PET0698	PET0703	1262	3482
Ha412HOChr01	120000000	PET0698	PET0706	1008	3380
Ha412HOChr01	120000000	PET0703	PET0706	1154.5	3324
Ha412HOChr01	120000000	PET0700	PET0698	730	3594
Ha412HOChr01	120000000	PET0700	PET0703	917.5	3490
Ha412HOChr01	120000000	PET0700	PET0706	1091.5	3390
Ha412HOChr01	121000000	PET0698	PET0703	1696	4742
Ha412HOChr01	121000000	PET0698	PET0706	2174	5152
Ha412HOChr01	121000000	PET0703	PET0706	1716.5	4806
Ha412HOChr01	121000000	PET0700	PET0698	1187.5	5144
Ha412HOChr01	121000000	PET0700	PET0703	1288.5	4754
Ha412HOChr01	121000000	PET0700	PET0706	2112	5172
Ha412HOChr01	122000000	PET0698	PET0703	1140	3006
Ha412HOChr01	122000000	PET0698	PET0706	1218	3160
Ha412HOChr01	122000000	PET0703	PET0706	1347	3098
Ha412HOChr01	122000000	PET0700	PET0698	669.5	3166
Ha412HOChr01	122000000	PET0700	PET0703	933	3070
Ha412HOChr01	122000000	PET0700	PET0706	1282.5	3212
Ha412HOChr01	123000000	PET0698	PET0703	1790.5	4552
Ha412HOChr01	123000000	PET0698	PET0706	2032	4578
Ha412HOChr01	123000000	PET0703	PET0706	1791.5	4462
Ha412HOChr01	123000000	PET0700	PET0698	1189.5	5048
Ha412HOChr01	123000000	PET0700	PET0703	1437.5	4820
Ha412HOChr01	123000000	PET0700	PET0706	2135	4818
Ha412HOChr01	124000000	PET0698	PET0703	779.5	2072
Ha412HOChr01	124000000	PET0698	PET0706	824.5	2076
Ha412HOChr01	124000000	PET0703	PET0706	831	2104
Ha412HOChr01	124000000	PET0700	PET0698	453	2078
Ha412HOChr01	124000000	PET0700	PET0703	551.5	2072
Ha412HOChr01	124000000	PET0700	PET0706	827.5	2054
Ha412HOChr01	125000000	PET0698	PET0703	616.5	1794
Ha412HOChr01	125000000	PET0698	PET0706	657.5	1838
Ha412HOChr01	125000000	PET0703	PET0706	653.5	1810
Ha412HOChr01	125000000	PET0700	PET0698	414	1880
Ha412HOChr01	125000000	PET0700	PET0703	568	1862
Ha412HOChr01	125000000	PET0700	PET0706	725.5	1900
Ha412HOChr01	126000000	PET0698	PET0703	1384.5	3466
Ha412HOChr01	126000000	PET0698	PET0706	1358	3518
Ha412HOChr01	126000000	PET0703	PET0706	1318	3482
Ha412HOChr01	126000000	PET0700	PET0698	828.5	3600
Ha412HOChr01	126000000	PET0700	PET0703	1151.5	3546
Ha412HOChr01	126000000	PET0700	PET0706	1439	3604
Ha412HOChr01	127000000	PET0698	PET0703	1214.5	3140
Ha412HOChr01	127000000	PET0698	PET0706	1255.5	3202
Ha412HOChr01	127000000	PET0703	PET0706	1024.5	3102
Ha412HOChr01	127000000	PET0700	PET0698	765	3364
Ha412HOChr01	127000000	PET0700	PET0703	896	3200
Ha412HOChr01	127000000	PET0700	PET0706	1215.5	3252
Ha412HOChr01	128000000	PET0698	PET0703	860	2644
Ha412HOChr01	128000000	PET0698	PET0706	813	2734
Ha412HOChr01	128000000	PET0703	PET0706	828.5	2764
Ha412HOChr01	128000000	PET0700	PET0698	610	2810
Ha412HOChr01	128000000	PET0700	PET0703	650.5	2808
Ha412HOChr01	128000000	PET0700	PET0706	838.5	2850
Ha412HOChr01	129000000	PET0698	PET0703	1165	3104
Ha412HOChr01	129000000	PET0698	PET0706	1215.5	3218
Ha412HOChr01	129000000	PET0703	PET0706	1160.5	3250
Ha412HOChr01	129000000	PET0700	PET0698	861	3318
Ha412HOChr01	129000000	PET0700	PET0703	1048.5	3286
Ha412HOChr01	129000000	PET0700	PET0706	1319	3398
Ha412HOChr01	13000000	PET0698	PET0703	440	2056
Ha412HOChr01	13000000	PET0698	PET0706	649	2150
Ha412HOChr01	13000000	PET0703	PET0706	433.5	2106
Ha412HOChr01	13000000	PET0700	PET0698	284	2180
Ha412HOChr01	13000000	PET0700	PET0703	365.5	2130
Ha412HOChr01	13000000	PET0700	PET0706	542	2236
Ha412HOChr01	130000000	PET0698	PET0703	2408.5	6580
Ha412HOChr01	130000000	PET0698	PET0706	2515	6772
Ha412HOChr01	130000000	PET0703	PET0706	2267	6782
Ha412HOChr01	130000000	PET0700	PET0698	1986	6830
Ha412HOChr01	130000000	PET0700	PET0703	1955	6764
Ha412HOChr01	130000000	PET0700	PET0706	2540	6956
Ha412HOChr01	131000000	PET0698	PET0703	2292	5802
Ha412HOChr01	131000000	PET0698	PET0706	2312.5	5998
Ha412HOChr01	131000000	PET0703	PET0706	2301	5720
Ha412HOChr01	131000000	PET0700	PET0698	1885	6188
Ha412HOChr01	131000000	PET0700	PET0703	1716	5964
Ha412HOChr01	131000000	PET0700	PET0706	2378	6130
Ha412HOChr01	132000000	PET0698	PET0703	1258	3256
Ha412HOChr01	132000000	PET0698	PET0706	1053.5	2924
Ha412HOChr01	132000000	PET0703	PET0706	1070	2916
Ha412HOChr01	132000000	PET0700	PET0698	1113	3476
Ha412HOChr01	132000000	PET0700	PET0703	1072	3416
Ha412HOChr01	132000000	PET0700	PET0706	1135.5	3088
Ha412HOChr01	133000000	PET0698	PET0703	1338.5	3628
Ha412HOChr01	133000000	PET0698	PET0706	1372.5	3694
Ha412HOChr01	133000000	PET0703	PET0706	1287	3676
