chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	PET0413	PET0419	1858.5	2764
Ha412HOChr01	0	PET0413	PET0416	368.5	2782
Ha412HOChr01	0	PET0419	PET0416	1848.5	2842
Ha412HOChr01	0	PET0415	PET0413	1885.5	2756
Ha412HOChr01	0	PET0415	PET0419	296	2978
Ha412HOChr01	0	PET0415	PET0416	1853	2802
Ha412HOChr01	1000000	PET0413	PET0419	3207	5512
Ha412HOChr01	1000000	PET0413	PET0416	618	5610
Ha412HOChr01	1000000	PET0419	PET0416	3368	5676
Ha412HOChr01	1000000	PET0415	PET0413	3123	5446
Ha412HOChr01	1000000	PET0415	PET0419	842.5	5730
Ha412HOChr01	1000000	PET0415	PET0416	3309	5624
Ha412HOChr01	10000000	PET0413	PET0419	1990.5	4182
Ha412HOChr01	10000000	PET0413	PET0416	855.5	4408
Ha412HOChr01	10000000	PET0419	PET0416	2174	4496
Ha412HOChr01	10000000	PET0415	PET0413	1937.5	4120
Ha412HOChr01	10000000	PET0415	PET0419	727.5	4454
Ha412HOChr01	10000000	PET0415	PET0416	2127	4420
Ha412HOChr01	100000000	PET0413	PET0419	62	690
Ha412HOChr01	100000000	PET0413	PET0416	21	662
Ha412HOChr01	100000000	PET0419	PET0416	43	662
Ha412HOChr01	100000000	PET0415	PET0413	62	670
Ha412HOChr01	100000000	PET0415	PET0419	74	678
Ha412HOChr01	100000000	PET0415	PET0416	56	660
Ha412HOChr01	101000000	PET0413	PET0419	376	1290
Ha412HOChr01	101000000	PET0413	PET0416	63	1340
Ha412HOChr01	101000000	PET0419	PET0416	370.5	1272
Ha412HOChr01	101000000	PET0415	PET0413	261	1328
Ha412HOChr01	101000000	PET0415	PET0419	310	1268
Ha412HOChr01	101000000	PET0415	PET0416	249	1286
Ha412HOChr01	102000000	PET0413	PET0419	764.5	2688
Ha412HOChr01	102000000	PET0413	PET0416	350	2644
Ha412HOChr01	102000000	PET0419	PET0416	690	2782
Ha412HOChr01	102000000	PET0415	PET0413	604.5	2710
Ha412HOChr01	102000000	PET0415	PET0419	692	2870
Ha412HOChr01	102000000	PET0415	PET0416	606	2788
Ha412HOChr01	103000000	PET0413	PET0419	406.5	2208
Ha412HOChr01	103000000	PET0413	PET0416	295	2196
Ha412HOChr01	103000000	PET0419	PET0416	337	2526
Ha412HOChr01	103000000	PET0415	PET0413	560	2116
Ha412HOChr01	103000000	PET0415	PET0419	429	2406
Ha412HOChr01	103000000	PET0415	PET0416	536	2380
Ha412HOChr01	104000000	PET0413	PET0419	830.5	2842
Ha412HOChr01	104000000	PET0413	PET0416	713	2780
Ha412HOChr01	104000000	PET0419	PET0416	797	2960
Ha412HOChr01	104000000	PET0415	PET0413	860.5	2808
Ha412HOChr01	104000000	PET0415	PET0419	701	3014
Ha412HOChr01	104000000	PET0415	PET0416	855.5	2928
Ha412HOChr01	105000000	PET0413	PET0419	331	1348
Ha412HOChr01	105000000	PET0413	PET0416	367	1346
Ha412HOChr01	105000000	PET0419	PET0416	364.5	1312
Ha412HOChr01	105000000	PET0415	PET0413	349	1352
Ha412HOChr01	105000000	PET0415	PET0419	278	1348
Ha412HOChr01	105000000	PET0415	PET0416	421.5	1304
Ha412HOChr01	106000000	PET0413	PET0419	1087.5	3048
Ha412HOChr01	106000000	PET0413	PET0416	997.5	3070
Ha412HOChr01	106000000	PET0419	PET0416	1031.5	3150
Ha412HOChr01	106000000	PET0415	PET0413	960.5	2956
Ha412HOChr01	106000000	PET0415	PET0419	655	3068
Ha412HOChr01	106000000	PET0415	PET0416	981.5	3014
Ha412HOChr01	107000000	PET0413	PET0419	1182.5	3918
Ha412HOChr01	107000000	PET0413	PET0416	1133	3852
Ha412HOChr01	107000000	PET0419	PET0416	1301	3916
Ha412HOChr01	107000000	PET0415	PET0413	881	3866
Ha412HOChr01	107000000	PET0415	PET0419	1343	3906
Ha412HOChr01	107000000	PET0415	PET0416	1172.5	3810
Ha412HOChr01	108000000	PET0413	PET0419	406.5	1996
Ha412HOChr01	108000000	PET0413	PET0416	488.5	2040
Ha412HOChr01	108000000	PET0419	PET0416	660	2004
Ha412HOChr01	108000000	PET0415	PET0413	332	1980
Ha412HOChr01	108000000	PET0415	PET0419	226.5	2010
Ha412HOChr01	108000000	PET0415	PET0416	632	1980
Ha412HOChr01	109000000	PET0413	PET0419	844	2498
Ha412HOChr01	109000000	PET0413	PET0416	506.5	2426
Ha412HOChr01	109000000	PET0419	PET0416	764	2486
Ha412HOChr01	109000000	PET0415	PET0413	652	2406
Ha412HOChr01	109000000	PET0415	PET0419	677	2436
Ha412HOChr01	109000000	PET0415	PET0416	693	2380
Ha412HOChr01	11000000	PET0413	PET0419	771	1630
Ha412HOChr01	11000000	PET0413	PET0416	187	1660
Ha412HOChr01	11000000	PET0419	PET0416	849.5	1732
Ha412HOChr01	11000000	PET0415	PET0413	742.5	1600
Ha412HOChr01	11000000	PET0415	PET0419	244	1824
Ha412HOChr01	11000000	PET0415	PET0416	824	1700
Ha412HOChr01	110000000	PET0413	PET0419	531.5	1704
Ha412HOChr01	110000000	PET0413	PET0416	440	1700
Ha412HOChr01	110000000	PET0419	PET0416	611.5	1742
Ha412HOChr01	110000000	PET0415	PET0413	605.5	1596
Ha412HOChr01	110000000	PET0415	PET0419	466.5	1648
Ha412HOChr01	110000000	PET0415	PET0416	519	1622
Ha412HOChr01	111000000	PET0413	PET0419	1062	2336
Ha412HOChr01	111000000	PET0413	PET0416	773	2364
Ha412HOChr01	111000000	PET0419	PET0416	901	2398
Ha412HOChr01	111000000	PET0415	PET0413	1057	2310
Ha412HOChr01	111000000	PET0415	PET0419	231	2446
Ha412HOChr01	111000000	PET0415	PET0416	903	2388
Ha412HOChr01	112000000	PET0413	PET0419	1085	3624
Ha412HOChr01	112000000	PET0413	PET0416	1103	3598
Ha412HOChr01	112000000	PET0419	PET0416	1245	3696
Ha412HOChr01	112000000	PET0415	PET0413	1183.5	3608
Ha412HOChr01	112000000	PET0415	PET0419	989.5	3712
Ha412HOChr01	112000000	PET0415	PET0416	991.5	3646
Ha412HOChr01	113000000	PET0413	PET0419	1762.5	4830
Ha412HOChr01	113000000	PET0413	PET0416	1092.5	4804
Ha412HOChr01	113000000	PET0419	PET0416	1844	4920
Ha412HOChr01	113000000	PET0415	PET0413	1714	4818
Ha412HOChr01	113000000	PET0415	PET0419	1499.5	4946
Ha412HOChr01	113000000	PET0415	PET0416	1653	4916
Ha412HOChr01	114000000	PET0413	PET0419	1062	3606
Ha412HOChr01	114000000	PET0413	PET0416	982	3622
Ha412HOChr01	114000000	PET0419	PET0416	1113	3566
Ha412HOChr01	114000000	PET0415	PET0413	1293	3554
Ha412HOChr01	114000000	PET0415	PET0419	1024.5	3516
Ha412HOChr01	114000000	PET0415	PET0416	1089.5	3532
Ha412HOChr01	115000000	PET0413	PET0419	949.5	3050
Ha412HOChr01	115000000	PET0413	PET0416	641.5	3030
Ha412HOChr01	115000000	PET0419	PET0416	972	3080
Ha412HOChr01	115000000	PET0415	PET0413	872.5	3022
Ha412HOChr01	115000000	PET0415	PET0419	937.5	3110
Ha412HOChr01	115000000	PET0415	PET0416	901	3052
Ha412HOChr01	116000000	PET0413	PET0419	1271.5	3040
Ha412HOChr01	116000000	PET0413	PET0416	767.5	3114
Ha412HOChr01	116000000	PET0419	PET0416	1184	3072
Ha412HOChr01	116000000	PET0415	PET0413	1383	3006
Ha412HOChr01	116000000	PET0415	PET0419	708	3042
Ha412HOChr01	116000000	PET0415	PET0416	1230	3036
