chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	PET0334	PET0335	1379.5	3194
Ha412HOChr01	0	PET0334	PET0333	911.5	3218
Ha412HOChr01	0	PET0335	PET0333	1413	3292
Ha412HOChr01	0	PET0338	PET0334	737.5	3004
Ha412HOChr01	0	PET0338	PET0335	1280	3072
Ha412HOChr01	0	PET0338	PET0333	597	3118
Ha412HOChr01	1000000	PET0334	PET0335	2420.5	6256
Ha412HOChr01	1000000	PET0334	PET0333	2113.5	6312
Ha412HOChr01	1000000	PET0335	PET0333	2410	6308
Ha412HOChr01	1000000	PET0338	PET0334	1874	5854
Ha412HOChr01	1000000	PET0338	PET0335	2220.5	5810
Ha412HOChr01	1000000	PET0338	PET0333	1497.5	5918
Ha412HOChr01	10000000	PET0334	PET0335	1759	4316
Ha412HOChr01	10000000	PET0334	PET0333	1566.5	4474
Ha412HOChr01	10000000	PET0335	PET0333	1392	4458
Ha412HOChr01	10000000	PET0338	PET0334	1053	4182
Ha412HOChr01	10000000	PET0338	PET0335	1326.5	4152
Ha412HOChr01	10000000	PET0338	PET0333	1154	4364
Ha412HOChr01	100000000	PET0334	PET0335	143.5	794
Ha412HOChr01	100000000	PET0334	PET0333	140.5	844
Ha412HOChr01	100000000	PET0335	PET0333	113.5	812
Ha412HOChr01	100000000	PET0338	PET0334	137	756
Ha412HOChr01	100000000	PET0338	PET0335	148	740
Ha412HOChr01	100000000	PET0338	PET0333	121	780
Ha412HOChr01	101000000	PET0334	PET0335	451	1536
Ha412HOChr01	101000000	PET0334	PET0333	273.5	1532
Ha412HOChr01	101000000	PET0335	PET0333	475.5	1546
Ha412HOChr01	101000000	PET0338	PET0334	293.5	1474
Ha412HOChr01	101000000	PET0338	PET0335	495	1516
Ha412HOChr01	101000000	PET0338	PET0333	195	1484
Ha412HOChr01	102000000	PET0334	PET0335	792	2716
Ha412HOChr01	102000000	PET0334	PET0333	737	2730
Ha412HOChr01	102000000	PET0335	PET0333	755	2822
Ha412HOChr01	102000000	PET0338	PET0334	746	2620
Ha412HOChr01	102000000	PET0338	PET0335	772	2716
Ha412HOChr01	102000000	PET0338	PET0333	421.5	2716
Ha412HOChr01	103000000	PET0334	PET0335	627	2252
Ha412HOChr01	103000000	PET0334	PET0333	507.5	2116
Ha412HOChr01	103000000	PET0335	PET0333	434	2286
Ha412HOChr01	103000000	PET0338	PET0334	540.5	2026
Ha412HOChr01	103000000	PET0338	PET0335	427.5	2108
Ha412HOChr01	103000000	PET0338	PET0333	329.5	2040
Ha412HOChr01	104000000	PET0334	PET0335	1009.5	3314
Ha412HOChr01	104000000	PET0334	PET0333	1063	3302
Ha412HOChr01	104000000	PET0335	PET0333	779	3164
Ha412HOChr01	104000000	PET0338	PET0334	971	3142
Ha412HOChr01	104000000	PET0338	PET0335	798	3024
Ha412HOChr01	104000000	PET0338	PET0333	654	3072
Ha412HOChr01	105000000	PET0334	PET0335	406.5	1254
Ha412HOChr01	105000000	PET0334	PET0333	433	1296
Ha412HOChr01	105000000	PET0335	PET0333	210.5	1322
Ha412HOChr01	105000000	PET0338	PET0334	384	1246
Ha412HOChr01	105000000	PET0338	PET0335	204.5	1236
Ha412HOChr01	105000000	PET0338	PET0333	96	1282
Ha412HOChr01	106000000	PET0334	PET0335	1028.5	3030
Ha412HOChr01	106000000	PET0334	PET0333	968	3046
Ha412HOChr01	106000000	PET0335	PET0333	627.5	3076
Ha412HOChr01	106000000	PET0338	PET0334	895	2888
Ha412HOChr01	106000000	PET0338	PET0335	657.5	2866
Ha412HOChr01	106000000	PET0338	PET0333	373	2934
Ha412HOChr01	107000000	PET0334	PET0335	1447.5	4232
Ha412HOChr01	107000000	PET0334	PET0333	1344.5	4276
Ha412HOChr01	107000000	PET0335	PET0333	1143.5	4190
Ha412HOChr01	107000000	PET0338	PET0334	1429	4072
Ha412HOChr01	107000000	PET0338	PET0335	1151.5	3968
Ha412HOChr01	107000000	PET0338	PET0333	703.5	4058
Ha412HOChr01	108000000	PET0334	PET0335	458	2056
Ha412HOChr01	108000000	PET0334	PET0333	502.5	2040
Ha412HOChr01	108000000	PET0335	PET0333	380.5	2016
Ha412HOChr01	108000000	PET0338	PET0334	610	1944
Ha412HOChr01	108000000	PET0338	PET0335	408.5	1904
Ha412HOChr01	108000000	PET0338	PET0333	458.5	1906
Ha412HOChr01	109000000	PET0334	PET0335	980	2592
Ha412HOChr01	109000000	PET0334	PET0333	901.5	2524
Ha412HOChr01	109000000	PET0335	PET0333	658.5	2548
Ha412HOChr01	109000000	PET0338	PET0334	711.5	2412
Ha412HOChr01	109000000	PET0338	PET0335	754	2440
Ha412HOChr01	109000000	PET0338	PET0333	590	2408
Ha412HOChr01	11000000	PET0334	PET0335	789.5	2062
Ha412HOChr01	11000000	PET0334	PET0333	657	2092
Ha412HOChr01	11000000	PET0335	PET0333	597.5	2062
Ha412HOChr01	11000000	PET0338	PET0334	619.5	2026
Ha412HOChr01	11000000	PET0338	PET0335	593.5	1986
Ha412HOChr01	11000000	PET0338	PET0333	430	2018
Ha412HOChr01	110000000	PET0334	PET0335	817.5	1902
Ha412HOChr01	110000000	PET0334	PET0333	765.5	1966
Ha412HOChr01	110000000	PET0335	PET0333	531	1936
Ha412HOChr01	110000000	PET0338	PET0334	621.5	1890
Ha412HOChr01	110000000	PET0338	PET0335	613.5	1860
Ha412HOChr01	110000000	PET0338	PET0333	525	1932
Ha412HOChr01	111000000	PET0334	PET0335	732.5	2172
Ha412HOChr01	111000000	PET0334	PET0333	708.5	2304
Ha412HOChr01	111000000	PET0335	PET0333	597.5	2232
Ha412HOChr01	111000000	PET0338	PET0334	665.5	2112
Ha412HOChr01	111000000	PET0338	PET0335	493.5	2018
Ha412HOChr01	111000000	PET0338	PET0333	454	2152
Ha412HOChr01	112000000	PET0334	PET0335	1153.5	3800
Ha412HOChr01	112000000	PET0334	PET0333	1431.5	3872
Ha412HOChr01	112000000	PET0335	PET0333	821	3756
Ha412HOChr01	112000000	PET0338	PET0334	1192.5	3722
Ha412HOChr01	112000000	PET0338	PET0335	817	3594
Ha412HOChr01	112000000	PET0338	PET0333	811	3676
Ha412HOChr01	113000000	PET0334	PET0335	1571.5	4302
Ha412HOChr01	113000000	PET0334	PET0333	1413	4310
Ha412HOChr01	113000000	PET0335	PET0333	1041.5	4330
Ha412HOChr01	113000000	PET0338	PET0334	1444.5	4034
Ha412HOChr01	113000000	PET0338	PET0335	1142.5	4074
Ha412HOChr01	113000000	PET0338	PET0333	886.5	4082
Ha412HOChr01	114000000	PET0334	PET0335	1152.5	3514
Ha412HOChr01	114000000	PET0334	PET0333	1078	3582
Ha412HOChr01	114000000	PET0335	PET0333	977	3552
Ha412HOChr01	114000000	PET0338	PET0334	1053.5	3314
Ha412HOChr01	114000000	PET0338	PET0335	1032.5	3228
Ha412HOChr01	114000000	PET0338	PET0333	754.5	3316
Ha412HOChr01	115000000	PET0334	PET0335	1090.5	3450
Ha412HOChr01	115000000	PET0334	PET0333	967.5	3484
Ha412HOChr01	115000000	PET0335	PET0333	965	3344
Ha412HOChr01	115000000	PET0338	PET0334	1030.5	3168
Ha412HOChr01	115000000	PET0338	PET0335	991	3052
Ha412HOChr01	115000000	PET0338	PET0333	943	3236
Ha412HOChr01	116000000	PET0334	PET0335	1361	3616
Ha412HOChr01	116000000	PET0334	PET0333	1439	3566
Ha412HOChr01	116000000	PET0335	PET0333	1300.5	3556
Ha412HOChr01	116000000	PET0338	PET0334	1281	3452
Ha412HOChr01	116000000	PET0338	PET0335	1333	3392
Ha412HOChr01	116000000	PET0338	PET0333	962	3416
Ha412HOChr01	117000000	PET0334	PET0335	1616	5004
Ha412HOChr01	117000000	PET0334	PET0333	1791	5118
Ha412HOChr01	117000000	PET0335	PET0333	1529	5104
Ha412HOChr01	117000000	PET0338	PET0334	1631	4890
Ha412HOChr01	117000000	PET0338	PET0335	1797	4862
Ha412HOChr01	117000000	PET0338	PET0333	1477	4968
Ha412HOChr01	118000000	PET0334	PET0335	1501	4568
Ha412HOChr01	118000000	PET0334	PET0333	1458.5	4456
Ha412HOChr01	118000000	PET0335	PET0333	1202.5	4396
Ha412HOChr01	118000000	PET0338	PET0334	1462.5	4330
Ha412HOChr01	118000000	PET0338	PET0335	1006.5	4274
Ha412HOChr01	118000000	PET0338	PET0333	904.5	4190
Ha412HOChr01	119000000	PET0334	PET0335	814	3070
Ha412HOChr01	119000000	PET0334	PET0333	1079.5	3110
Ha412HOChr01	119000000	PET0335	PET0333	925	3062
Ha412HOChr01	119000000	PET0338	PET0334	1136.5	2936
Ha412HOChr01	119000000	PET0338	PET0335	903.5	2898
Ha412HOChr01	119000000	PET0338	PET0333	845	2946
Ha412HOChr01	12000000	PET0334	PET0335	909	2390
Ha412HOChr01	12000000	PET0334	PET0333	659.5	2398
Ha412HOChr01	12000000	PET0335	PET0333	897.5	2352
Ha412HOChr01	12000000	PET0338	PET0334	610.5	2200
Ha412HOChr01	12000000	PET0338	PET0335	870	2162
Ha412HOChr01	12000000	PET0338	PET0333	438.5	2188
Ha412HOChr01	120000000	PET0334	PET0335	1186.5	3706
Ha412HOChr01	120000000	PET0334	PET0333	990	3734
Ha412HOChr01	120000000	PET0335	PET0333	787.5	3632
Ha412HOChr01	120000000	PET0338	PET0334	925.5	3540
Ha412HOChr01	120000000	PET0338	PET0335	783.5	3394
Ha412HOChr01	120000000	PET0338	PET0333	595	3454
Ha412HOChr01	121000000	PET0334	PET0335	2488.5	5944
Ha412HOChr01	121000000	PET0334	PET0333	2118	6428
Ha412HOChr01	121000000	PET0335	PET0333	2373.5	5978
Ha412HOChr01	121000000	PET0338	PET0334	1871	6052
Ha412HOChr01	121000000	PET0338	PET0335	2175.5	5612
Ha412HOChr01	121000000	PET0338	PET0333	1749.5	6072
Ha412HOChr01	122000000	PET0334	PET0335	1434.5	3356
Ha412HOChr01	122000000	PET0334	PET0333	914.5	3384
Ha412HOChr01	122000000	PET0335	PET0333	1562	3642
Ha412HOChr01	122000000	PET0338	PET0334	883.5	3256
Ha412HOChr01	122000000	PET0338	PET0335	1525	3516
Ha412HOChr01	122000000	PET0338	PET0333	1090	3488
Ha412HOChr01	123000000	PET0334	PET0335	2267.5	5970
Ha412HOChr01	123000000	PET0334	PET0333	1853.5	5888
Ha412HOChr01	123000000	PET0335	PET0333	2210.5	5862
Ha412HOChr01	123000000	PET0338	PET0334	1652	5628
Ha412HOChr01	123000000	PET0338	PET0335	2122	5518
Ha412HOChr01	123000000	PET0338	PET0333	1625	5530
Ha412HOChr01	124000000	PET0334	PET0335	953	2566
Ha412HOChr01	124000000	PET0334	PET0333	925	2636
Ha412HOChr01	124000000	PET0335	PET0333	879	2574
Ha412HOChr01	124000000	PET0338	PET0334	858.5	2584
Ha412HOChr01	124000000	PET0338	PET0335	810	2508
Ha412HOChr01	124000000	PET0338	PET0333	838	2604
Ha412HOChr01	125000000	PET0334	PET0335	814	2106
Ha412HOChr01	125000000	PET0334	PET0333	851	2098
Ha412HOChr01	125000000	PET0335	PET0333	581	2072
Ha412HOChr01	125000000	PET0338	PET0334	807.5	1986
Ha412HOChr01	125000000	PET0338	PET0335	606	1952
Ha412HOChr01	125000000	PET0338	PET0333	454.5	1948
Ha412HOChr01	126000000	PET0334	PET0335	1789	4668
Ha412HOChr01	126000000	PET0334	PET0333	2004	4904
Ha412HOChr01	126000000	PET0335	PET0333	1558	4730
Ha412HOChr01	126000000	PET0338	PET0334	1734	4512
Ha412HOChr01	126000000	PET0338	PET0335	1649.5	4412
Ha412HOChr01	126000000	PET0338	PET0333	1314	4590
Ha412HOChr01	127000000	PET0334	PET0335	1418	4368
Ha412HOChr01	127000000	PET0334	PET0333	1486	4414
Ha412HOChr01	127000000	PET0335	PET0333	1613	4374
Ha412HOChr01	127000000	PET0338	PET0334	1447	4090
Ha412HOChr01	127000000	PET0338	PET0335	1359	4084
Ha412HOChr01	127000000	PET0338	PET0333	1079	4164
Ha412HOChr01	128000000	PET0334	PET0335	1142	3552
Ha412HOChr01	128000000	PET0334	PET0333	1063.5	3620
Ha412HOChr01	128000000	PET0335	PET0333	1157	3570
Ha412HOChr01	128000000	PET0338	PET0334	876	3266
Ha412HOChr01	128000000	PET0338	PET0335	1030	3178
Ha412HOChr01	128000000	PET0338	PET0333	910.5	3226
Ha412HOChr01	129000000	PET0334	PET0335	1613	4576
Ha412HOChr01	129000000	PET0334	PET0333	1546.5	4464
Ha412HOChr01	129000000	PET0335	PET0333	1660	4342
Ha412HOChr01	129000000	PET0338	PET0334	1559.5	4478
Ha412HOChr01	129000000	PET0338	PET0335	1754	4414
Ha412HOChr01	129000000	PET0338	PET0333	1306	4270
Ha412HOChr01	13000000	PET0334	PET0335	269.5	2314
Ha412HOChr01	13000000	PET0334	PET0333	384	2360
Ha412HOChr01	13000000	PET0335	PET0333	261	2304
Ha412HOChr01	13000000	PET0338	PET0334	514.5	2154
Ha412HOChr01	13000000	PET0338	PET0335	427.5	2126
Ha412HOChr01	13000000	PET0338	PET0333	368	2168
Ha412HOChr01	130000000	PET0334	PET0335	3314.5	8830
Ha412HOChr01	130000000	PET0334	PET0333	3121.5	8830
Ha412HOChr01	130000000	PET0335	PET0333	3009.5	8598
Ha412HOChr01	130000000	PET0338	PET0334	3170.5	8422
Ha412HOChr01	130000000	PET0338	PET0335	2847	8146
Ha412HOChr01	130000000	PET0338	PET0333	2291	8168
Ha412HOChr01	131000000	PET0334	PET0335	2567.5	6992
Ha412HOChr01	131000000	PET0334	PET0333	2602.5	6958
Ha412HOChr01	131000000	PET0335	PET0333	2496.5	6982
Ha412HOChr01	131000000	PET0338	PET0334	2513	6744
Ha412HOChr01	131000000	PET0338	PET0335	2247.5	6682
Ha412HOChr01	131000000	PET0338	PET0333	1818.5	6688
Ha412HOChr01	132000000	PET0334	PET0335	1699.5	4374
Ha412HOChr01	132000000	PET0334	PET0333	1615.5	4314
Ha412HOChr01	132000000	PET0335	PET0333	1694.5	4216
Ha412HOChr01	132000000	PET0338	PET0334	1685.5	4118
Ha412HOChr01	132000000	PET0338	PET0335	1372.5	4088
Ha412HOChr01	132000000	PET0338	PET0333	1199.5	4028
Ha412HOChr01	133000000	PET0334	PET0335	1681.5	4754
Ha412HOChr01	133000000	PET0334	PET0333	1781.5	4846
Ha412HOChr01	133000000	PET0335	PET0333	1985	4748
Ha412HOChr01	133000000	PET0338	PET0334	1674.5	4556
Ha412HOChr01	133000000	PET0338	PET0335	1854.5	4472
Ha412HOChr01	133000000	PET0338	PET0333	1119.5	4584
Ha412HOChr01	134000000	PET0334	PET0335	2234.5	6376
Ha412HOChr01	134000000	PET0334	PET0333	2351	6444
Ha412HOChr01	134000000	PET0335	PET0333	2468	6248
Ha412HOChr01	134000000	PET0338	PET0334	2146	6064
Ha412HOChr01	134000000	PET0338	PET0335	2242.5	5858
Ha412HOChr01	134000000	PET0338	PET0333	1363	6008
Ha412HOChr01	135000000	PET0334	PET0335	1190.5	2998
Ha412HOChr01	135000000	PET0334	PET0333	1305	3092
Ha412HOChr01	135000000	PET0335	PET0333	1043	2892
Ha412HOChr01	135000000	PET0338	PET0334	1153.5	2934
Ha412HOChr01	135000000	PET0338	PET0335	929	2748
Ha412HOChr01	135000000	PET0338	PET0333	824	2886
Ha412HOChr01	136000000	PET0334	PET0335	3248	9178
Ha412HOChr01	136000000	PET0334	PET0333	3524.5	9280
Ha412HOChr01	136000000	PET0335	PET0333	3331	9310
Ha412HOChr01	136000000	PET0338	PET0334	3256	8670
Ha412HOChr01	136000000	PET0338	PET0335	3221	8740
Ha412HOChr01	136000000	PET0338	PET0333	2493	8928
Ha412HOChr01	137000000	PET0334	PET0335	2004.5	5428
Ha412HOChr01	137000000	PET0334	PET0333	2251	5770
Ha412HOChr01	137000000	PET0335	PET0333	2030.5	5442
Ha412HOChr01	137000000	PET0338	PET0334	1974	5386
Ha412HOChr01	137000000	PET0338	PET0335	1777.5	5020
Ha412HOChr01	137000000	PET0338	PET0333	1517.5	5384
Ha412HOChr01	138000000	PET0334	PET0335	1660	5218
Ha412HOChr01	138000000	PET0334	PET0333	1757.5	5188
Ha412HOChr01	138000000	PET0335	PET0333	1626	5214
Ha412HOChr01	138000000	PET0338	PET0334	1737	4978
Ha412HOChr01	138000000	PET0338	PET0335	1429.5	5024
Ha412HOChr01	138000000	PET0338	PET0333	1212.5	4970
Ha412HOChr01	139000000	PET0334	PET0335	2728	7018
Ha412HOChr01	139000000	PET0334	PET0333	2645	7144
Ha412HOChr01	139000000	PET0335	PET0333	2117	6972
Ha412HOChr01	139000000	PET0338	PET0334	2442	6674
Ha412HOChr01	139000000	PET0338	PET0335	2022.5	6516
Ha412HOChr01	139000000	PET0338	PET0333	1870	6634
Ha412HOChr01	14000000	PET0334	PET0335	239.5	1070
Ha412HOChr01	14000000	PET0334	PET0333	269	1056
Ha412HOChr01	14000000	PET0335	PET0333	160	1070
Ha412HOChr01	14000000	PET0338	PET0334	238.5	1008
Ha412HOChr01	14000000	PET0338	PET0335	155	1014
Ha412HOChr01	14000000	PET0338	PET0333	144	988
Ha412HOChr01	140000000	PET0334	PET0335	2873	7458
Ha412HOChr01	140000000	PET0334	PET0333	2939	7692
Ha412HOChr01	140000000	PET0335	PET0333	2500.5	7540
Ha412HOChr01	140000000	PET0338	PET0334	2663	7236
Ha412HOChr01	140000000	PET0338	PET0335	2099	7172
Ha412HOChr01	140000000	PET0338	PET0333	2108	7324
Ha412HOChr01	141000000	PET0334	PET0335	2394	5814
Ha412HOChr01	141000000	PET0334	PET0333	2060	5992
Ha412HOChr01	141000000	PET0335	PET0333	2438	6008
Ha412HOChr01	141000000	PET0338	PET0334	1932	5560
Ha412HOChr01	141000000	PET0338	PET0335	2166	5552
Ha412HOChr01	141000000	PET0338	PET0333	1561.5	5720
Ha412HOChr01	142000000	PET0334	PET0335	3310.5	8308
Ha412HOChr01	142000000	PET0334	PET0333	2979	8084
Ha412HOChr01	142000000	PET0335	PET0333	3012.5	7834
Ha412HOChr01	142000000	PET0338	PET0334	2896	8048
Ha412HOChr01	142000000	PET0338	PET0335	2906.5	7808
Ha412HOChr01	142000000	PET0338	PET0333	2113	7602
Ha412HOChr01	143000000	PET0334	PET0335	2791	6802
Ha412HOChr01	143000000	PET0334	PET0333	2681	6812
Ha412HOChr01	143000000	PET0335	PET0333	2247	6696
Ha412HOChr01	143000000	PET0338	PET0334	2381.5	6512
Ha412HOChr01	143000000	PET0338	PET0335	2046	6368
Ha412HOChr01	143000000	PET0338	PET0333	1756.5	6386
Ha412HOChr01	144000000	PET0334	PET0335	650	1588
Ha412HOChr01	144000000	PET0334	PET0333	795.5	1782
Ha412HOChr01	144000000	PET0335	PET0333	575	1534
Ha412HOChr01	144000000	PET0338	PET0334	583	1638
Ha412HOChr01	144000000	PET0338	PET0335	481	1408
Ha412HOChr01	144000000	PET0338	PET0333	681.5	1954
Ha412HOChr01	145000000	PET0334	PET0335	2849.5	6994
Ha412HOChr01	145000000	PET0334	PET0333	2862.5	7164
Ha412HOChr01	145000000	PET0335	PET0333	2766	6880
Ha412HOChr01	145000000	PET0338	PET0334	2859	6440
Ha412HOChr01	145000000	PET0338	PET0335	2550.5	6266
Ha412HOChr01	145000000	PET0338	PET0333	1484.5	6482
Ha412HOChr01	146000000	PET0334	PET0335	2406.5	5442
Ha412HOChr01	146000000	PET0334	PET0333	2078	5504
Ha412HOChr01	146000000	PET0335	PET0333	2389	5662
Ha412HOChr01	146000000	PET0338	PET0334	1965.5	4970
Ha412HOChr01	146000000	PET0338	PET0335	2104.5	5104
Ha412HOChr01	146000000	PET0338	PET0333	1171	5168
Ha412HOChr01	147000000	PET0334	PET0335	2735	6656
Ha412HOChr01	147000000	PET0334	PET0333	2831.5	6754
Ha412HOChr01	147000000	PET0335	PET0333	2584.5	6666
Ha412HOChr01	147000000	PET0338	PET0334	2485	6096
Ha412HOChr01	147000000	PET0338	PET0335	2021.5	6024
