chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	MON401	MON564	866	2832
Ha412HOChr01	0	MON401	MON459	923.5	2524
Ha412HOChr01	0	MON564	MON459	914	2634
Ha412HOChr01	0	MON069	MON401	807.5	2912
Ha412HOChr01	0	MON069	MON564	952	3026
Ha412HOChr01	0	MON069	MON459	1052	2726
Ha412HOChr01	1000000	MON401	MON564	1923.5	5672
Ha412HOChr01	1000000	MON401	MON459	1796	5086
Ha412HOChr01	1000000	MON564	MON459	2033	5404
Ha412HOChr01	1000000	MON069	MON401	2057	5862
Ha412HOChr01	1000000	MON069	MON564	2330.5	6256
Ha412HOChr01	1000000	MON069	MON459	2172	5560
Ha412HOChr01	10000000	MON401	MON564	1260	4012
Ha412HOChr01	10000000	MON401	MON459	1170.5	3594
Ha412HOChr01	10000000	MON564	MON459	1263.5	3774
Ha412HOChr01	10000000	MON069	MON401	1394.5	4216
Ha412HOChr01	10000000	MON069	MON564	1576.5	4416
Ha412HOChr01	10000000	MON069	MON459	1382	4028
Ha412HOChr01	100000000	MON401	MON564	61	718
Ha412HOChr01	100000000	MON401	MON459	71	630
Ha412HOChr01	100000000	MON564	MON459	78	708
Ha412HOChr01	100000000	MON069	MON401	123	696
Ha412HOChr01	100000000	MON069	MON564	126	800
Ha412HOChr01	100000000	MON069	MON459	106.5	686
Ha412HOChr01	101000000	MON401	MON564	227.5	1096
Ha412HOChr01	101000000	MON401	MON459	215	1000
Ha412HOChr01	101000000	MON564	MON459	262	1064
Ha412HOChr01	101000000	MON069	MON401	244	1162
Ha412HOChr01	101000000	MON069	MON564	232.5	1274
Ha412HOChr01	101000000	MON069	MON459	257.5	1124
Ha412HOChr01	102000000	MON401	MON564	791	2598
Ha412HOChr01	102000000	MON401	MON459	668	2230
Ha412HOChr01	102000000	MON564	MON459	861	2388
Ha412HOChr01	102000000	MON069	MON401	618.5	2656
Ha412HOChr01	102000000	MON069	MON564	880	2812
Ha412HOChr01	102000000	MON069	MON459	778	2396
Ha412HOChr01	103000000	MON401	MON564	536	1884
Ha412HOChr01	103000000	MON401	MON459	468	1424
Ha412HOChr01	103000000	MON564	MON459	391	1512
Ha412HOChr01	103000000	MON069	MON401	572	1970
Ha412HOChr01	103000000	MON069	MON564	492	2088
Ha412HOChr01	103000000	MON069	MON459	441.5	1626
Ha412HOChr01	104000000	MON401	MON564	656.5	2696
Ha412HOChr01	104000000	MON401	MON459	660	2426
Ha412HOChr01	104000000	MON564	MON459	712.5	2554
Ha412HOChr01	104000000	MON069	MON401	701	2752
Ha412HOChr01	104000000	MON069	MON564	742.5	2964
Ha412HOChr01	104000000	MON069	MON459	662	2582
Ha412HOChr01	105000000	MON401	MON564	183.5	1086
Ha412HOChr01	105000000	MON401	MON459	283	980
Ha412HOChr01	105000000	MON564	MON459	293	976
Ha412HOChr01	105000000	MON069	MON401	267	1176
Ha412HOChr01	105000000	MON069	MON564	296	1180
Ha412HOChr01	105000000	MON069	MON459	351	1064
Ha412HOChr01	106000000	MON401	MON564	426	2112
Ha412HOChr01	106000000	MON401	MON459	516	1862
Ha412HOChr01	106000000	MON564	MON459	553.5	2106
Ha412HOChr01	106000000	MON069	MON401	478.5	2266
Ha412HOChr01	106000000	MON069	MON564	516.5	2522
Ha412HOChr01	106000000	MON069	MON459	541	2204
Ha412HOChr01	107000000	MON401	MON564	1235	3278
Ha412HOChr01	107000000	MON401	MON459	1016	3000
Ha412HOChr01	107000000	MON564	MON459	1239	3452
Ha412HOChr01	107000000	MON069	MON401	1040	3442
Ha412HOChr01	107000000	MON069	MON564	1203.5	3904
Ha412HOChr01	107000000	MON069	MON459	1300	3496
Ha412HOChr01	108000000	MON401	MON564	435.5	1802
Ha412HOChr01	108000000	MON401	MON459	444.5	1654
Ha412HOChr01	108000000	MON564	MON459	407	1802
Ha412HOChr01	108000000	MON069	MON401	625	1858
Ha412HOChr01	108000000	MON069	MON564	632.5	2020
Ha412HOChr01	108000000	MON069	MON459	652	1858
Ha412HOChr01	109000000	MON401	MON564	741.5	2236
Ha412HOChr01	109000000	MON401	MON459	645.5	2060
Ha412HOChr01	109000000	MON564	MON459	754.5	2130
Ha412HOChr01	109000000	MON069	MON401	782	2382
Ha412HOChr01	109000000	MON069	MON564	883	2470
Ha412HOChr01	109000000	MON069	MON459	716	2250
Ha412HOChr01	11000000	MON401	MON564	480	1682
Ha412HOChr01	11000000	MON401	MON459	427	1514
Ha412HOChr01	11000000	MON564	MON459	503	1572
Ha412HOChr01	11000000	MON069	MON401	525.5	1780
Ha412HOChr01	11000000	MON069	MON564	620.5	1874
Ha412HOChr01	11000000	MON069	MON459	527	1658
Ha412HOChr01	110000000	MON401	MON564	588	1848
Ha412HOChr01	110000000	MON401	MON459	476.5	1634
Ha412HOChr01	110000000	MON564	MON459	537.5	1770
Ha412HOChr01	110000000	MON069	MON401	630.5	1886
Ha412HOChr01	110000000	MON069	MON564	655.5	2024
Ha412HOChr01	110000000	MON069	MON459	564	1758
Ha412HOChr01	111000000	MON401	MON564	867	2188
Ha412HOChr01	111000000	MON401	MON459	748	1948
Ha412HOChr01	111000000	MON564	MON459	844	2236
Ha412HOChr01	111000000	MON069	MON401	809	2306
Ha412HOChr01	111000000	MON069	MON564	994.5	2696
Ha412HOChr01	111000000	MON069	MON459	1070.5	2318
Ha412HOChr01	112000000	MON401	MON564	1124	3652
Ha412HOChr01	112000000	MON401	MON459	1092	3300
Ha412HOChr01	112000000	MON564	MON459	1100	3374
Ha412HOChr01	112000000	MON069	MON401	1379.5	3974
Ha412HOChr01	112000000	MON069	MON564	1417.5	3988
Ha412HOChr01	112000000	MON069	MON459	1311	3636
Ha412HOChr01	113000000	MON401	MON564	1335.5	4326
Ha412HOChr01	113000000	MON401	MON459	1135.5	3820
Ha412HOChr01	113000000	MON564	MON459	1258.5	4114
Ha412HOChr01	113000000	MON069	MON401	1384.5	4468
Ha412HOChr01	113000000	MON069	MON564	1554.5	4774
Ha412HOChr01	113000000	MON069	MON459	1390	4194
Ha412HOChr01	114000000	MON401	MON564	971	3098
Ha412HOChr01	114000000	MON401	MON459	762.5	2854
Ha412HOChr01	114000000	MON564	MON459	913	2958
Ha412HOChr01	114000000	MON069	MON401	1058.5	3198
Ha412HOChr01	114000000	MON069	MON564	1044	3402
Ha412HOChr01	114000000	MON069	MON459	980	3038
Ha412HOChr01	115000000	MON401	MON564	884	2912
Ha412HOChr01	115000000	MON401	MON459	721	2668
Ha412HOChr01	115000000	MON564	MON459	722.5	2724
Ha412HOChr01	115000000	MON069	MON401	1146	3100
Ha412HOChr01	115000000	MON069	MON564	1128	3144
Ha412HOChr01	115000000	MON069	MON459	944.5	2896
Ha412HOChr01	116000000	MON401	MON564	994	3136
Ha412HOChr01	116000000	MON401	MON459	747.5	2768
Ha412HOChr01	116000000	MON564	MON459	939	2914
Ha412HOChr01	116000000	MON069	MON401	1252	3172
Ha412HOChr01	116000000	MON069	MON564	1293.5	3328
Ha412HOChr01	116000000	MON069	MON459	1106	2982
Ha412HOChr01	117000000	MON401	MON564	1155	4296
Ha412HOChr01	117000000	MON401	MON459	1065.5	3768
