chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	MON151	MON658	1098	3536
Ha412HOChr01	0	MON151	MON365	1021	3198
Ha412HOChr01	0	MON658	MON365	955.5	3140
Ha412HOChr01	0	MON106	MON151	1154	3636
Ha412HOChr01	0	MON106	MON658	1012.5	3594
Ha412HOChr01	0	MON106	MON365	976.5	3186
Ha412HOChr01	1000000	MON151	MON658	2215.5	6508
Ha412HOChr01	1000000	MON151	MON365	2015	5890
Ha412HOChr01	1000000	MON658	MON365	1888	5820
Ha412HOChr01	1000000	MON106	MON151	2349	6708
Ha412HOChr01	1000000	MON106	MON658	2290.5	6550
Ha412HOChr01	1000000	MON106	MON365	1950	5932
Ha412HOChr01	10000000	MON151	MON658	1552.5	4254
Ha412HOChr01	10000000	MON151	MON365	1267.5	3850
Ha412HOChr01	10000000	MON658	MON365	1089.5	3812
Ha412HOChr01	10000000	MON106	MON151	1652.5	4454
Ha412HOChr01	10000000	MON106	MON658	1382	4376
Ha412HOChr01	10000000	MON106	MON365	1157	4000
Ha412HOChr01	100000000	MON151	MON658	73	774
Ha412HOChr01	100000000	MON151	MON365	77	696
Ha412HOChr01	100000000	MON658	MON365	57	642
Ha412HOChr01	100000000	MON106	MON151	106.5	836
Ha412HOChr01	100000000	MON106	MON658	72.5	770
Ha412HOChr01	100000000	MON106	MON365	94	694
Ha412HOChr01	101000000	MON151	MON658	264	1272
Ha412HOChr01	101000000	MON151	MON365	249	1176
Ha412HOChr01	101000000	MON658	MON365	182	1132
Ha412HOChr01	101000000	MON106	MON151	313	1286
Ha412HOChr01	101000000	MON106	MON658	243.5	1256
Ha412HOChr01	101000000	MON106	MON365	217	1118
Ha412HOChr01	102000000	MON151	MON658	971	2918
Ha412HOChr01	102000000	MON151	MON365	891	2622
Ha412HOChr01	102000000	MON658	MON365	731.5	2528
Ha412HOChr01	102000000	MON106	MON151	1042.5	2958
Ha412HOChr01	102000000	MON106	MON658	1047	2874
Ha412HOChr01	102000000	MON106	MON365	679.5	2622
Ha412HOChr01	103000000	MON151	MON658	466	1964
Ha412HOChr01	103000000	MON151	MON365	315	1644
Ha412HOChr01	103000000	MON658	MON365	447.5	1790
Ha412HOChr01	103000000	MON106	MON151	313.5	1922
Ha412HOChr01	103000000	MON106	MON658	394.5	1984
Ha412HOChr01	103000000	MON106	MON365	322.5	1678
Ha412HOChr01	104000000	MON151	MON658	712.5	2732
Ha412HOChr01	104000000	MON151	MON365	633	2570
Ha412HOChr01	104000000	MON658	MON365	556.5	2384
Ha412HOChr01	104000000	MON106	MON151	804.5	2998
Ha412HOChr01	104000000	MON106	MON658	666	2794
Ha412HOChr01	104000000	MON106	MON365	545	2586
Ha412HOChr01	105000000	MON151	MON658	191.5	1152
Ha412HOChr01	105000000	MON151	MON365	272	834
Ha412HOChr01	105000000	MON658	MON365	260.5	822
Ha412HOChr01	105000000	MON106	MON151	217	1202
Ha412HOChr01	105000000	MON106	MON658	123	1188
Ha412HOChr01	105000000	MON106	MON365	265.5	838
Ha412HOChr01	106000000	MON151	MON658	465	2494
Ha412HOChr01	106000000	MON151	MON365	537.5	2186
Ha412HOChr01	106000000	MON658	MON365	532.5	2182
Ha412HOChr01	106000000	MON106	MON151	405.5	2526
Ha412HOChr01	106000000	MON106	MON658	368	2502
Ha412HOChr01	106000000	MON106	MON365	513	2192
Ha412HOChr01	107000000	MON151	MON658	1255	3546
Ha412HOChr01	107000000	MON151	MON365	1136	3212
Ha412HOChr01	107000000	MON658	MON365	1217	3224
Ha412HOChr01	107000000	MON106	MON151	805.5	3728
Ha412HOChr01	107000000	MON106	MON658	1206.5	3566
Ha412HOChr01	107000000	MON106	MON365	1018	3228
Ha412HOChr01	108000000	MON151	MON658	542	2016
Ha412HOChr01	108000000	MON151	MON365	633.5	1834
Ha412HOChr01	108000000	MON658	MON365	643	1782
Ha412HOChr01	108000000	MON106	MON151	786	2062
Ha412HOChr01	108000000	MON106	MON658	556	1998
Ha412HOChr01	108000000	MON106	MON365	644	1834
Ha412HOChr01	109000000	MON151	MON658	802	2560
Ha412HOChr01	109000000	MON151	MON365	723.5	2182
Ha412HOChr01	109000000	MON658	MON365	632.5	2148
Ha412HOChr01	109000000	MON106	MON151	861	2568
Ha412HOChr01	109000000	MON106	MON658	814.5	2574
Ha412HOChr01	109000000	MON106	MON365	757.5	2214
Ha412HOChr01	11000000	MON151	MON658	669	1924
Ha412HOChr01	11000000	MON151	MON365	559	1680
Ha412HOChr01	11000000	MON658	MON365	425.5	1682
Ha412HOChr01	11000000	MON106	MON151	651.5	1964
Ha412HOChr01	11000000	MON106	MON658	530	1926
Ha412HOChr01	11000000	MON106	MON365	437	1738
Ha412HOChr01	110000000	MON151	MON658	541	1884
Ha412HOChr01	110000000	MON151	MON365	530	1688
Ha412HOChr01	110000000	MON658	MON365	477.5	1616
Ha412HOChr01	110000000	MON106	MON151	879	2016
Ha412HOChr01	110000000	MON106	MON658	814	1906
Ha412HOChr01	110000000	MON106	MON365	676	1686
Ha412HOChr01	111000000	MON151	MON658	1185.5	2912
Ha412HOChr01	111000000	MON151	MON365	945	2424
Ha412HOChr01	111000000	MON658	MON365	799	2426
Ha412HOChr01	111000000	MON106	MON151	1194.5	2912
Ha412HOChr01	111000000	MON106	MON658	1226.5	2912
Ha412HOChr01	111000000	MON106	MON365	773	2470
Ha412HOChr01	112000000	MON151	MON658	1357	3816
Ha412HOChr01	112000000	MON151	MON365	990	3424
Ha412HOChr01	112000000	MON658	MON365	1126.5	3514
Ha412HOChr01	112000000	MON106	MON151	1114.5	3876
Ha412HOChr01	112000000	MON106	MON658	1194.5	3964
Ha412HOChr01	112000000	MON106	MON365	947.5	3542
Ha412HOChr01	113000000	MON151	MON658	1756	4962
Ha412HOChr01	113000000	MON151	MON365	1465.5	4420
Ha412HOChr01	113000000	MON658	MON365	1546.5	4378
Ha412HOChr01	113000000	MON106	MON151	1554	5044
Ha412HOChr01	113000000	MON106	MON658	1878.5	4966
Ha412HOChr01	113000000	MON106	MON365	1557	4370
Ha412HOChr01	114000000	MON151	MON658	1074	3396
Ha412HOChr01	114000000	MON151	MON365	946	3010
Ha412HOChr01	114000000	MON658	MON365	995	2988
Ha412HOChr01	114000000	MON106	MON151	1168.5	3526
Ha412HOChr01	114000000	MON106	MON658	1088.5	3474
Ha412HOChr01	114000000	MON106	MON365	1182.5	3036
Ha412HOChr01	115000000	MON151	MON658	1054.5	3384
Ha412HOChr01	115000000	MON151	MON365	906	3066
Ha412HOChr01	115000000	MON658	MON365	953.5	3112
Ha412HOChr01	115000000	MON106	MON151	1158	3438
Ha412HOChr01	115000000	MON106	MON658	1104.5	3474
Ha412HOChr01	115000000	MON106	MON365	977.5	3156
Ha412HOChr01	116000000	MON151	MON658	1121.5	3168
Ha412HOChr01	116000000	MON151	MON365	1001.5	2836
Ha412HOChr01	116000000	MON658	MON365	991	2870
Ha412HOChr01	116000000	MON106	MON151	1267	3284
Ha412HOChr01	116000000	MON106	MON658	1373	3310
