chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	GSD1375	GSD1258	676.5	2028
Ha412HOChr01	0	GSD1375	GSD2252	633	2028
Ha412HOChr01	0	GSD1258	GSD2252	741.5	2028
Ha412HOChr01	0	GSD1503	GSD1375	624.5	2028
Ha412HOChr01	0	GSD1503	GSD1258	641	2028
Ha412HOChr01	0	GSD1503	GSD2252	688.5	2028
Ha412HOChr01	1000000	GSD1375	GSD1258	1431.5	3970
Ha412HOChr01	1000000	GSD1375	GSD2252	1378	3970
Ha412HOChr01	1000000	GSD1258	GSD2252	1293.5	3970
Ha412HOChr01	1000000	GSD1503	GSD1375	1299.5	3970
Ha412HOChr01	1000000	GSD1503	GSD1258	1432.5	3970
Ha412HOChr01	1000000	GSD1503	GSD2252	1428	3970
Ha412HOChr01	10000000	GSD1375	GSD1258	1093.5	2794
Ha412HOChr01	10000000	GSD1375	GSD2252	988	2794
Ha412HOChr01	10000000	GSD1258	GSD2252	984.5	2794
Ha412HOChr01	10000000	GSD1503	GSD1375	964.5	2794
Ha412HOChr01	10000000	GSD1503	GSD1258	946	2794
Ha412HOChr01	10000000	GSD1503	GSD2252	944	2794
Ha412HOChr01	100000000	GSD1375	GSD1258	59	470
Ha412HOChr01	100000000	GSD1375	GSD2252	95.5	470
Ha412HOChr01	100000000	GSD1258	GSD2252	92	470
Ha412HOChr01	100000000	GSD1503	GSD1375	81	470
Ha412HOChr01	100000000	GSD1503	GSD1258	84	470
Ha412HOChr01	100000000	GSD1503	GSD2252	104	470
Ha412HOChr01	101000000	GSD1375	GSD1258	243	934
Ha412HOChr01	101000000	GSD1375	GSD2252	261.5	934
Ha412HOChr01	101000000	GSD1258	GSD2252	153.5	934
Ha412HOChr01	101000000	GSD1503	GSD1375	231	934
Ha412HOChr01	101000000	GSD1503	GSD1258	289.5	934
Ha412HOChr01	101000000	GSD1503	GSD2252	304.5	934
Ha412HOChr01	102000000	GSD1375	GSD1258	485.5	1856
Ha412HOChr01	102000000	GSD1375	GSD2252	450	1856
Ha412HOChr01	102000000	GSD1258	GSD2252	390	1856
Ha412HOChr01	102000000	GSD1503	GSD1375	434	1856
Ha412HOChr01	102000000	GSD1503	GSD1258	357	1856
Ha412HOChr01	102000000	GSD1503	GSD2252	468	1856
Ha412HOChr01	103000000	GSD1375	GSD1258	183.5	1204
Ha412HOChr01	103000000	GSD1375	GSD2252	211.5	1204
