chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	GSD1184	GSD1375	724	2392
Ha412HOChr01	0	GSD1184	GSD983	733.5	2590
Ha412HOChr01	0	GSD1375	GSD983	753	2476
Ha412HOChr01	0	GSD1573	GSD1184	898	2534
Ha412HOChr01	0	GSD1573	GSD1375	803.5	2422
Ha412HOChr01	0	GSD1573	GSD983	934	2596
Ha412HOChr01	1000000	GSD1184	GSD1375	1694.5	4684
Ha412HOChr01	1000000	GSD1184	GSD983	1882	5130
Ha412HOChr01	1000000	GSD1375	GSD983	1772.5	4854
Ha412HOChr01	1000000	GSD1573	GSD1184	1921.5	4992
Ha412HOChr01	1000000	GSD1573	GSD1375	1579.5	4680
Ha412HOChr01	1000000	GSD1573	GSD983	1852	5074
Ha412HOChr01	10000000	GSD1184	GSD1375	1200.5	3454
Ha412HOChr01	10000000	GSD1184	GSD983	1421	3842
Ha412HOChr01	10000000	GSD1375	GSD983	1155	3498
Ha412HOChr01	10000000	GSD1573	GSD1184	1082.5	3498
Ha412HOChr01	10000000	GSD1573	GSD1375	1062.5	3188
Ha412HOChr01	10000000	GSD1573	GSD983	1321	3542
Ha412HOChr01	100000000	GSD1184	GSD1375	77	518
Ha412HOChr01	100000000	GSD1184	GSD983	158	580
Ha412HOChr01	100000000	GSD1375	GSD983	91	550
Ha412HOChr01	100000000	GSD1573	GSD1184	173	624
Ha412HOChr01	100000000	GSD1573	GSD1375	96	604
Ha412HOChr01	100000000	GSD1573	GSD983	47	674
Ha412HOChr01	101000000	GSD1184	GSD1375	258	924
Ha412HOChr01	101000000	GSD1184	GSD983	229	1108
Ha412HOChr01	101000000	GSD1375	GSD983	266	966
Ha412HOChr01	101000000	GSD1573	GSD1184	196	1040
Ha412HOChr01	101000000	GSD1573	GSD1375	233	996
Ha412HOChr01	101000000	GSD1573	GSD983	211	1152
Ha412HOChr01	102000000	GSD1184	GSD1375	641	2304
Ha412HOChr01	102000000	GSD1184	GSD983	728	2542
Ha412HOChr01	102000000	GSD1375	GSD983	613.5	2322
Ha412HOChr01	102000000	GSD1573	GSD1184	759.5	2610
Ha412HOChr01	102000000	GSD1573	GSD1375	486	2402
Ha412HOChr01	102000000	GSD1573	GSD983	563	2684
Ha412HOChr01	103000000	GSD1184	GSD1375	346.5	1558
Ha412HOChr01	103000000	GSD1184	GSD983	256.5	1584
Ha412HOChr01	103000000	GSD1375	GSD983	410.5	1564
Ha412HOChr01	103000000	GSD1573	GSD1184	164.5	1640
Ha412HOChr01	103000000	GSD1573	GSD1375	386.5	1596
Ha412HOChr01	103000000	GSD1573	GSD983	242.5	1640
Ha412HOChr01	104000000	GSD1184	GSD1375	706	2222
Ha412HOChr01	104000000	GSD1184	GSD983	648	2290
Ha412HOChr01	104000000	GSD1375	GSD983	615	2242
Ha412HOChr01	104000000	GSD1573	GSD1184	628	2360
Ha412HOChr01	104000000	GSD1573	GSD1375	278	2398
Ha412HOChr01	104000000	GSD1573	GSD983	522	2402
Ha412HOChr01	105000000	GSD1184	GSD1375	187	956
Ha412HOChr01	105000000	GSD1184	GSD983	398	982
Ha412HOChr01	105000000	GSD1375	GSD983	347.5	902
Ha412HOChr01	105000000	GSD1573	GSD1184	208	1060
Ha412HOChr01	105000000	GSD1573	GSD1375	67	978
Ha412HOChr01	105000000	GSD1573	GSD983	367.5	982
Ha412HOChr01	106000000	GSD1184	GSD1375	681.5	2256
Ha412HOChr01	106000000	GSD1184	GSD983	881.5	2462
Ha412HOChr01	106000000	GSD1375	GSD983	977.5	2298
Ha412HOChr01	106000000	GSD1573	GSD1184	655	2444
Ha412HOChr01	106000000	GSD1573	GSD1375	792	2308
Ha412HOChr01	106000000	GSD1573	GSD983	436	2482
Ha412HOChr01	107000000	GSD1184	GSD1375	685	3140
Ha412HOChr01	107000000	GSD1184	GSD983	1193.5	3288
Ha412HOChr01	107000000	GSD1375	GSD983	1149.5	3122
Ha412HOChr01	107000000	GSD1573	GSD1184	802.5	3090
Ha412HOChr01	107000000	GSD1573	GSD1375	1117	2898
Ha412HOChr01	107000000	GSD1573	GSD983	1022.5	3056
Ha412HOChr01	108000000	GSD1184	GSD1375	196	1392
Ha412HOChr01	108000000	GSD1184	GSD983	487.5	1542
Ha412HOChr01	108000000	GSD1375	GSD983	361	1372
Ha412HOChr01	108000000	GSD1573	GSD1184	181	1508
Ha412HOChr01	108000000	GSD1573	GSD1375	197	1332
Ha412HOChr01	108000000	GSD1573	GSD983	463.5	1472
Ha412HOChr01	109000000	GSD1184	GSD1375	739	2166
Ha412HOChr01	109000000	GSD1184	GSD983	911.5	2402
Ha412HOChr01	109000000	GSD1375	GSD983	806	2180
Ha412HOChr01	109000000	GSD1573	GSD1184	953	2392
Ha412HOChr01	109000000	GSD1573	GSD1375	880	2172
Ha412HOChr01	109000000	GSD1573	GSD983	611.5	2472
Ha412HOChr01	11000000	GSD1184	GSD1375	429	1440
Ha412HOChr01	11000000	GSD1184	GSD983	463	1556
Ha412HOChr01	11000000	GSD1375	GSD983	484.5	1456
Ha412HOChr01	11000000	GSD1573	GSD1184	468	1626
Ha412HOChr01	11000000	GSD1573	GSD1375	551	1436
Ha412HOChr01	11000000	GSD1573	GSD983	408	1564
Ha412HOChr01	110000000	GSD1184	GSD1375	512	1364
Ha412HOChr01	110000000	GSD1184	GSD983	482.5	1396
Ha412HOChr01	110000000	GSD1375	GSD983	496	1396
Ha412HOChr01	110000000	GSD1573	GSD1184	401	1462
Ha412HOChr01	110000000	GSD1573	GSD1375	368	1446
Ha412HOChr01	110000000	GSD1573	GSD983	566.5	1482
Ha412HOChr01	111000000	GSD1184	GSD1375	373	1648
Ha412HOChr01	111000000	GSD1184	GSD983	727	1844
Ha412HOChr01	111000000	GSD1375	GSD983	748.5	1674
Ha412HOChr01	111000000	GSD1573	GSD1184	410	1758
Ha412HOChr01	111000000	GSD1573	GSD1375	369.5	1616
Ha412HOChr01	111000000	GSD1573	GSD983	815.5	1854
Ha412HOChr01	112000000	GSD1184	GSD1375	665	2862
Ha412HOChr01	112000000	GSD1184	GSD983	1173	3018
Ha412HOChr01	112000000	GSD1375	GSD983	1076	2854
Ha412HOChr01	112000000	GSD1573	GSD1184	737.5	2860
Ha412HOChr01	112000000	GSD1573	GSD1375	343.5	2790
Ha412HOChr01	112000000	GSD1573	GSD983	1141.5	2858
Ha412HOChr01	113000000	GSD1184	GSD1375	1230.5	3924
Ha412HOChr01	113000000	GSD1184	GSD983	1560	4290
Ha412HOChr01	113000000	GSD1375	GSD983	1495.5	4006
Ha412HOChr01	113000000	GSD1573	GSD1184	1151.5	4172
Ha412HOChr01	113000000	GSD1573	GSD1375	787	3930
Ha412HOChr01	113000000	GSD1573	GSD983	1546.5	4220
Ha412HOChr01	114000000	GSD1184	GSD1375	712	2586
Ha412HOChr01	114000000	GSD1184	GSD983	879.5	2716
Ha412HOChr01	114000000	GSD1375	GSD983	756	2524
Ha412HOChr01	114000000	GSD1573	GSD1184	936	2896
Ha412HOChr01	114000000	GSD1573	GSD1375	704.5	2690
Ha412HOChr01	114000000	GSD1573	GSD983	1178.5	2816
Ha412HOChr01	115000000	GSD1184	GSD1375	811	2756
Ha412HOChr01	115000000	GSD1184	GSD983	1071	2934
Ha412HOChr01	115000000	GSD1375	GSD983	861	2744
Ha412HOChr01	115000000	GSD1573	GSD1184	728	2870
Ha412HOChr01	115000000	GSD1573	GSD1375	745	2732
Ha412HOChr01	115000000	GSD1573	GSD983	921.5	2894
Ha412HOChr01	116000000	GSD1184	GSD1375	672	2554
Ha412HOChr01	116000000	GSD1184	GSD983	1062	2690
Ha412HOChr01	116000000	GSD1375	GSD983	1045	2458
