chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	PET0449	PET0441	933.5	2744
Ha412HOChr01	0	PET0449	PET0445	1034.5	3036
Ha412HOChr01	0	PET0441	PET0445	672	2916
Ha412HOChr01	0	PET0447	PET0449	884	2780
Ha412HOChr01	0	PET0447	PET0441	725	2656
Ha412HOChr01	0	PET0447	PET0445	762	2966
Ha412HOChr01	1000000	PET0449	PET0441	1723.5	5180
Ha412HOChr01	1000000	PET0449	PET0445	1982	5558
Ha412HOChr01	1000000	PET0441	PET0445	1560.5	5422
Ha412HOChr01	1000000	PET0447	PET0449	1776	5224
Ha412HOChr01	1000000	PET0447	PET0441	1777.5	4998
Ha412HOChr01	1000000	PET0447	PET0445	1934.5	5354
Ha412HOChr01	10000000	PET0449	PET0441	1466	4028
Ha412HOChr01	10000000	PET0449	PET0445	1426.5	4176
Ha412HOChr01	10000000	PET0441	PET0445	1381.5	4094
Ha412HOChr01	10000000	PET0447	PET0449	1212	3754
Ha412HOChr01	10000000	PET0447	PET0441	1248.5	3706
Ha412HOChr01	10000000	PET0447	PET0445	1392.5	3856
Ha412HOChr01	100000000	PET0449	PET0441	43	756
Ha412HOChr01	100000000	PET0449	PET0445	217	766
Ha412HOChr01	100000000	PET0441	PET0445	239	764
Ha412HOChr01	100000000	PET0447	PET0449	177	726
Ha412HOChr01	100000000	PET0447	PET0441	189	716
Ha412HOChr01	100000000	PET0447	PET0445	201	746
Ha412HOChr01	101000000	PET0449	PET0441	51	968
Ha412HOChr01	101000000	PET0449	PET0445	39	1010
Ha412HOChr01	101000000	PET0441	PET0445	49	1044
Ha412HOChr01	101000000	PET0447	PET0449	50	976
Ha412HOChr01	101000000	PET0447	PET0441	39	1004
Ha412HOChr01	101000000	PET0447	PET0445	48	1056
Ha412HOChr01	102000000	PET0449	PET0441	98	1848
Ha412HOChr01	102000000	PET0449	PET0445	155	2072
Ha412HOChr01	102000000	PET0441	PET0445	121	1936
Ha412HOChr01	102000000	PET0447	PET0449	85	1904
Ha412HOChr01	102000000	PET0447	PET0441	86	1794
Ha412HOChr01	102000000	PET0447	PET0445	114	2008
Ha412HOChr01	103000000	PET0449	PET0441	126.5	1830
Ha412HOChr01	103000000	PET0449	PET0445	172.5	1932
Ha412HOChr01	103000000	PET0441	PET0445	154.5	1902
Ha412HOChr01	103000000	PET0447	PET0449	96	1746
Ha412HOChr01	103000000	PET0447	PET0441	113	1752
Ha412HOChr01	103000000	PET0447	PET0445	163	1800
Ha412HOChr01	104000000	PET0449	PET0441	279	1990
Ha412HOChr01	104000000	PET0449	PET0445	102	2100
Ha412HOChr01	104000000	PET0441	PET0445	270	2066
Ha412HOChr01	104000000	PET0447	PET0449	113.5	1876
Ha412HOChr01	104000000	PET0447	PET0441	204	1880
Ha412HOChr01	104000000	PET0447	PET0445	103	1932
Ha412HOChr01	105000000	PET0449	PET0441	58	798
Ha412HOChr01	105000000	PET0449	PET0445	111	924
Ha412HOChr01	105000000	PET0441	PET0445	47	868
Ha412HOChr01	105000000	PET0447	PET0449	99	794
Ha412HOChr01	105000000	PET0447	PET0441	52	812
Ha412HOChr01	105000000	PET0447	PET0445	56	876
Ha412HOChr01	106000000	PET0449	PET0441	228.5	1956
Ha412HOChr01	106000000	PET0449	PET0445	247	2124
Ha412HOChr01	106000000	PET0441	PET0445	230	1980
Ha412HOChr01	106000000	PET0447	PET0449	238	1994
Ha412HOChr01	106000000	PET0447	PET0441	228	1872
Ha412HOChr01	106000000	PET0447	PET0445	70	2076
Ha412HOChr01	107000000	PET0449	PET0441	706	2602
Ha412HOChr01	107000000	PET0449	PET0445	1433.5	2742
Ha412HOChr01	107000000	PET0441	PET0445	747	2818
Ha412HOChr01	107000000	PET0447	PET0449	1288	2506
Ha412HOChr01	107000000	PET0447	PET0441	644	2540
Ha412HOChr01	107000000	PET0447	PET0445	136.5	2762
Ha412HOChr01	108000000	PET0449	PET0441	398.5	1546
Ha412HOChr01	108000000	PET0449	PET0445	612	1802
Ha412HOChr01	108000000	PET0441	PET0445	443.5	1652
Ha412HOChr01	108000000	PET0447	PET0449	454	1486
Ha412HOChr01	108000000	PET0447	PET0441	374	1374
Ha412HOChr01	108000000	PET0447	PET0445	330	1544
Ha412HOChr01	109000000	PET0449	PET0441	760	2548
Ha412HOChr01	109000000	PET0449	PET0445	879.5	2660
Ha412HOChr01	109000000	PET0441	PET0445	1013.5	2636
Ha412HOChr01	109000000	PET0447	PET0449	963.5	2502
Ha412HOChr01	109000000	PET0447	PET0441	982.5	2506
Ha412HOChr01	109000000	PET0447	PET0445	650	2608
Ha412HOChr01	11000000	PET0449	PET0441	536	1736
Ha412HOChr01	11000000	PET0449	PET0445	630	1838
Ha412HOChr01	11000000	PET0441	PET0445	624.5	1854
Ha412HOChr01	11000000	PET0447	PET0449	540	1642
Ha412HOChr01	11000000	PET0447	PET0441	501	1702
Ha412HOChr01	11000000	PET0447	PET0445	607	1746
Ha412HOChr01	110000000	PET0449	PET0441	553	1510
Ha412HOChr01	110000000	PET0449	PET0445	442.5	1472
Ha412HOChr01	110000000	PET0441	PET0445	426.5	1412
Ha412HOChr01	110000000	PET0447	PET0449	402	1408
Ha412HOChr01	110000000	PET0447	PET0441	414	1334
Ha412HOChr01	110000000	PET0447	PET0445	92	1410
Ha412HOChr01	111000000	PET0449	PET0441	719	2348
Ha412HOChr01	111000000	PET0449	PET0445	1122.5	2538
Ha412HOChr01	111000000	PET0441	PET0445	1064.5	2244
Ha412HOChr01	111000000	PET0447	PET0449	1022.5	2478
Ha412HOChr01	111000000	PET0447	PET0441	953	2194
Ha412HOChr01	111000000	PET0447	PET0445	623.5	2454
Ha412HOChr01	112000000	PET0449	PET0441	725.5	2566
Ha412HOChr01	112000000	PET0449	PET0445	790	2652
Ha412HOChr01	112000000	PET0441	PET0445	774	2734
Ha412HOChr01	112000000	PET0447	PET0449	706.5	2498
Ha412HOChr01	112000000	PET0447	PET0441	854	2556
Ha412HOChr01	112000000	PET0447	PET0445	461	2666
Ha412HOChr01	113000000	PET0449	PET0441	1384	3456
Ha412HOChr01	113000000	PET0449	PET0445	651	3646
