chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	PET0446	PET0449	807.5	3026
Ha412HOChr01	0	PET0446	PET0445	923	3170
Ha412HOChr01	0	PET0449	PET0445	1036.5	3150
Ha412HOChr01	0	PET0444	PET0446	967.5	3040
Ha412HOChr01	0	PET0444	PET0449	786.5	3030
Ha412HOChr01	0	PET0444	PET0445	985.5	3214
Ha412HOChr01	1000000	PET0446	PET0449	1960	5480
Ha412HOChr01	1000000	PET0446	PET0445	1879.5	5688
Ha412HOChr01	1000000	PET0449	PET0445	1982	5706
Ha412HOChr01	1000000	PET0444	PET0446	1325.5	5300
Ha412HOChr01	1000000	PET0444	PET0449	1912	5300
Ha412HOChr01	1000000	PET0444	PET0445	2050	5424
Ha412HOChr01	10000000	PET0446	PET0449	1373	4054
Ha412HOChr01	10000000	PET0446	PET0445	1352	4176
Ha412HOChr01	10000000	PET0449	PET0445	1420.5	4194
Ha412HOChr01	10000000	PET0444	PET0446	1343.5	3966
Ha412HOChr01	10000000	PET0444	PET0449	1142	3986
Ha412HOChr01	10000000	PET0444	PET0445	1408.5	4106
Ha412HOChr01	100000000	PET0446	PET0449	95	784
Ha412HOChr01	100000000	PET0446	PET0445	257	782
Ha412HOChr01	100000000	PET0449	PET0445	217	768
Ha412HOChr01	100000000	PET0444	PET0446	79	734
Ha412HOChr01	100000000	PET0444	PET0449	69	734
Ha412HOChr01	100000000	PET0444	PET0445	239	742
Ha412HOChr01	101000000	PET0446	PET0449	171	1122
Ha412HOChr01	101000000	PET0446	PET0445	189	1222
Ha412HOChr01	101000000	PET0449	PET0445	39	1150
Ha412HOChr01	101000000	PET0444	PET0446	204	1142
Ha412HOChr01	101000000	PET0444	PET0449	175	1024
Ha412HOChr01	101000000	PET0444	PET0445	208	1122
Ha412HOChr01	102000000	PET0446	PET0449	385	2260
Ha412HOChr01	102000000	PET0446	PET0445	414	2336
Ha412HOChr01	102000000	PET0449	PET0445	155	2346
Ha412HOChr01	102000000	PET0444	PET0446	393	2230
Ha412HOChr01	102000000	PET0444	PET0449	421	2222
Ha412HOChr01	102000000	PET0444	PET0445	445	2276
Ha412HOChr01	103000000	PET0446	PET0449	481.5	1968
Ha412HOChr01	103000000	PET0446	PET0445	544.5	2042
Ha412HOChr01	103000000	PET0449	PET0445	172.5	2184
Ha412HOChr01	103000000	PET0444	PET0446	386.5	1996
Ha412HOChr01	103000000	PET0444	PET0449	357	2058
Ha412HOChr01	103000000	PET0444	PET0445	450	2128
Ha412HOChr01	104000000	PET0446	PET0449	531	2136
Ha412HOChr01	104000000	PET0446	PET0445	556	2220
Ha412HOChr01	104000000	PET0449	PET0445	102	2196
Ha412HOChr01	104000000	PET0444	PET0446	474	2104
Ha412HOChr01	104000000	PET0444	PET0449	132	2072
Ha412HOChr01	104000000	PET0444	PET0445	107	2168
Ha412HOChr01	105000000	PET0446	PET0449	84	810
Ha412HOChr01	105000000	PET0446	PET0445	110	860
Ha412HOChr01	105000000	PET0449	PET0445	111	926
Ha412HOChr01	105000000	PET0444	PET0446	113	790
Ha412HOChr01	105000000	PET0444	PET0449	102	792
Ha412HOChr01	105000000	PET0444	PET0445	76	900
Ha412HOChr01	106000000	PET0446	PET0449	431	2224
Ha412HOChr01	106000000	PET0446	PET0445	555	2218
Ha412HOChr01	106000000	PET0449	PET0445	247	2272
Ha412HOChr01	106000000	PET0444	PET0446	402	2142
Ha412HOChr01	106000000	PET0444	PET0449	241	2168
Ha412HOChr01	106000000	PET0444	PET0445	256	2164
Ha412HOChr01	107000000	PET0446	PET0449	350.5	2952
Ha412HOChr01	107000000	PET0446	PET0445	1318	3116
Ha412HOChr01	107000000	PET0449	PET0445	1433.5	2920
Ha412HOChr01	107000000	PET0444	PET0446	852.5	3112
Ha412HOChr01	107000000	PET0444	PET0449	781	2924
Ha412HOChr01	107000000	PET0444	PET0445	1001.5	3166
Ha412HOChr01	108000000	PET0446	PET0449	189	1784
Ha412HOChr01	108000000	PET0446	PET0445	449	1834
Ha412HOChr01	108000000	PET0449	PET0445	614	1858
Ha412HOChr01	108000000	PET0444	PET0446	559	1638
Ha412HOChr01	108000000	PET0444	PET0449	533	1700
Ha412HOChr01	108000000	PET0444	PET0445	581	1776
Ha412HOChr01	109000000	PET0446	PET0449	1137.5	2820
Ha412HOChr01	109000000	PET0446	PET0445	1114	2922
Ha412HOChr01	109000000	PET0449	PET0445	879.5	2834
Ha412HOChr01	109000000	PET0444	PET0446	706	2842
