spe	species	dataset	chr	mds	direction	threshold	n_blocks
annuus	Annuus	env	1	1	neg	-0.4	1
annuus	Annuus	env	5	1	pos	0	1
annuus	Annuus	env	11	1	pos	0	1
annuus	Annuus	env	13	1	pos	0.05	1
annuus	Annuus	env	13	2	pos	0.3	1
annuus	Annuus	env	14	1	neg	-0.375	1
annuus	Annuus	env	14	4	neg	-0.3	1
annuus	Annuus	env	15	1	pos	0.2	1
annuus	Annuus	env	16	1	neg	-0.2	1
annuus	Annuus	env	16	2	pos	0.18	1
annuus	Annuus	env	17	2	neg	-0.2	1
argophyllus	Argophyllus	gwas	3	1	pos	0.375	1
argophyllus	Argophyllus	gwas	3	2	pos	0.3	1
argophyllus	Argophyllus	gwas	6	1	pos	0.5	1
argophyllus	Argophyllus	gwas	6	4	pos	0.2	1
argophyllus	Argophyllus	gwas	10	1	neg	-0.2	1
argophyllus	Argophyllus	gwas	14	1	pos	0.15	1
argophyllus	Argophyllus	gwas	16	3	pos	0.3	1
petpet	Petiolaris	petpet	5	1	pos	0	1
petpet	Petiolaris	petpet	6	1	pos	0.1	1
petpet	Petiolaris	petpet	6	4	neg	-0.2	1
petpet	Petiolaris	petpet	7	2	pos	0.1	1
petpet	Petiolaris	petpet	9	1	pos	0.2	2
petpet	Petiolaris	petpet	11	1	pos	0	1
petpet	Petiolaris	petpet	12	1	pos	0.15	3
petpet	Petiolaris	petpet	13	6	pos	0.3	1
petpet	Petiolaris	petpet	14	1	neg	-0.5	1
petpet	Petiolaris	petpet	16	2	pos	0.2	1
petpet	Petiolaris	petpet	17	1	pos	0.15	1
petpet	Petiolaris	petpet	17	1	neg	-0.2	1
petpet	Petiolaris	petpet	17	3	neg	-0.25	1
petfal	Petiolaris	petfal	1	1	neg	-0.2	2
petfal	Petiolaris	petfal	5	1	neg	-0.2	2
petfal	Petiolaris	petfal	6	1	pos	0.15	1
petfal	Petiolaris	petfal	7	1	pos	0.2	1
petfal	Petiolaris	petfal	9	1	neg	-0.2	2
petfal	Petiolaris	petfal	10	1	neg	-0.5	1
petfal	Petiolaris	petfal	11	1	pos	0.2	1
petfal	Petiolaris	petfal	14	1	pos	0.1	1
petfal	Petiolaris	petfal	16	1	pos	0.25	4
petfal	Petiolaris	petfal	17	2	pos	0.15	1
petfal	Petiolaris	petfal	17	3	pos	0.15	1
