sv_name	sv_species_name	trait	pvalue
ann01.01	annuus_ann01.01	Darker_axillae	0.412
ann05.01	annuus_ann05.01	Darker_axillae	0.281
ann11.01	annuus_ann11.01	Darker_axillae	0.661
ann13.01	annuus_ann13.01	Darker_axillae	0.0317
ann13.02	annuus_ann13.02	Darker_axillae	0.812
ann14.01	annuus_ann14.01	Darker_axillae	0.84
ann14.02	annuus_ann14.02	Darker_axillae	0.624
ann15.01	annuus_ann15.01	Darker_axillae	0.732
ann16.01	annuus_ann16.01	Darker_axillae	0.836
ann16.02	annuus_ann16.02	Darker_axillae	0.546
ann17.01	annuus_ann17.01	Darker_axillae	0.104
ann01.01	annuus_ann01.01	Days_to_budding	0.462
ann05.01	annuus_ann05.01	Days_to_budding	0.647
ann11.01	annuus_ann11.01	Days_to_budding	0.116
ann13.01	annuus_ann13.01	Days_to_budding	5.51e-8
ann13.02	annuus_ann13.02	Days_to_budding	0.0772
ann14.01	annuus_ann14.01	Days_to_budding	0.0287
ann14.02	annuus_ann14.02	Days_to_budding	0.249
ann15.01	annuus_ann15.01	Days_to_budding	0.00762
ann16.01	annuus_ann16.01	Days_to_budding	0.273
ann16.02	annuus_ann16.02	Days_to_budding	0.462
ann17.01	annuus_ann17.01	Days_to_budding	0.0941
ann01.01	annuus_ann01.01	Disk_diameter	0.773
ann05.01	annuus_ann05.01	Disk_diameter	0.728
ann11.01	annuus_ann11.01	Disk_diameter	0.126
ann13.01	annuus_ann13.01	Disk_diameter	0.00147
ann13.02	annuus_ann13.02	Disk_diameter	0.473
ann14.01	annuus_ann14.01	Disk_diameter	0.203
ann14.02	annuus_ann14.02	Disk_diameter	0.354
ann15.01	annuus_ann15.01	Disk_diameter	0.749
ann16.01	annuus_ann16.01	Disk_diameter	0.778
ann16.02	annuus_ann16.02	Disk_diameter	0.738
ann17.01	annuus_ann17.01	Disk_diameter	0.825
ann01.01	annuus_ann01.01	Disk_to_phyllaries_diameter_ratio	0.844
ann05.01	annuus_ann05.01	Disk_to_phyllaries_diameter_ratio	0.803
ann11.01	annuus_ann11.01	Disk_to_phyllaries_diameter_ratio	0.745
ann13.01	annuus_ann13.01	Disk_to_phyllaries_diameter_ratio	0.0119
ann13.02	annuus_ann13.02	Disk_to_phyllaries_diameter_ratio	0.611
ann14.01	annuus_ann14.01	Disk_to_phyllaries_diameter_ratio	0.0414
ann14.02	annuus_ann14.02	Disk_to_phyllaries_diameter_ratio	0.532
ann15.01	annuus_ann15.01	Disk_to_phyllaries_diameter_ratio	0.584
ann16.01	annuus_ann16.01	Disk_to_phyllaries_diameter_ratio	0.902
ann16.02	annuus_ann16.02	Disk_to_phyllaries_diameter_ratio	0.289
ann17.01	annuus_ann17.01	Disk_to_phyllaries_diameter_ratio	0.875
ann01.01	annuus_ann01.01	Distance_of_first_branching_from_ground	0.559
ann05.01	annuus_ann05.01	Distance_of_first_branching_from_ground	0.293
ann11.01	annuus_ann11.01	Distance_of_first_branching_from_ground	0.0809
ann13.01	annuus_ann13.01	Distance_of_first_branching_from_ground	0.284
ann13.02	annuus_ann13.02	Distance_of_first_branching_from_ground	0.22
ann14.01	annuus_ann14.01	Distance_of_first_branching_from_ground	0.0184
ann14.02	annuus_ann14.02	Distance_of_first_branching_from_ground	0.477
ann15.01	annuus_ann15.01	Distance_of_first_branching_from_ground	0.688
ann16.01	annuus_ann16.01	Distance_of_first_branching_from_ground	0.794
ann16.02	annuus_ann16.02	Distance_of_first_branching_from_ground	0.513
ann17.01	annuus_ann17.01	Distance_of_first_branching_from_ground	0.034
ann01.01	annuus_ann01.01	DTF	0.88
ann05.01	annuus_ann05.01	DTF	0.816
ann11.01	annuus_ann11.01	DTF	0.163
ann13.01	annuus_ann13.01	DTF	3.35e-5
ann13.02	annuus_ann13.02	DTF	0.119
ann14.01	annuus_ann14.01	DTF	0.0453
ann14.02	annuus_ann14.02	DTF	0.151
ann15.01	annuus_ann15.01	DTF	0.00177
ann16.01	annuus_ann16.01	DTF	0.274
ann16.02	annuus_ann16.02	DTF	0.286
ann17.01	annuus_ann17.01	DTF	0.133
ann01.01	annuus_ann01.01	Flower_FHDD_ratio	0.442
ann05.01	annuus_ann05.01	Flower_FHDD_ratio	0.18
ann11.01	annuus_ann11.01	Flower_FHDD_ratio	0.66
ann13.01	annuus_ann13.01	Flower_FHDD_ratio	0.0582
ann13.02	annuus_ann13.02	Flower_FHDD_ratio	0.0905
ann14.01	annuus_ann14.01	Flower_FHDD_ratio	0.849
ann14.02	annuus_ann14.02	Flower_FHDD_ratio	0.955
ann15.01	annuus_ann15.01	Flower_FHDD_ratio	0.426
ann16.01	annuus_ann16.01	Flower_FHDD_ratio	0.948
ann16.02	annuus_ann16.02	Flower_FHDD_ratio	0.865
ann17.01	annuus_ann17.01	Flower_FHDD_ratio	0.195
ann01.01	annuus_ann01.01	Flowerhead_to_phyllaries_diameter_ratio	0.661
ann05.01	annuus_ann05.01	Flowerhead_to_phyllaries_diameter_ratio	0.0919
ann11.01	annuus_ann11.01	Flowerhead_to_phyllaries_diameter_ratio	0.443
ann13.01	annuus_ann13.01	Flowerhead_to_phyllaries_diameter_ratio	0.682
ann13.02	annuus_ann13.02	Flowerhead_to_phyllaries_diameter_ratio	0.319
ann14.01	annuus_ann14.01	Flowerhead_to_phyllaries_diameter_ratio	0.113
ann14.02	annuus_ann14.02	Flowerhead_to_phyllaries_diameter_ratio	0.746
ann15.01	annuus_ann15.01	Flowerhead_to_phyllaries_diameter_ratio	0.304
ann16.01	annuus_ann16.01	Flowerhead_to_phyllaries_diameter_ratio	0.626
ann16.02	annuus_ann16.02	Flowerhead_to_phyllaries_diameter_ratio	0.54
ann17.01	annuus_ann17.01	Flowerhead_to_phyllaries_diameter_ratio	0.366
ann01.01	annuus_ann01.01	Inflorescence_diameter	0.549
ann05.01	annuus_ann05.01	Inflorescence_diameter	0.0843
ann11.01	annuus_ann11.01	Inflorescence_diameter	0.139
ann13.01	annuus_ann13.01	Inflorescence_diameter	0.0984
ann13.02	annuus_ann13.02	Inflorescence_diameter	0.587
ann14.01	annuus_ann14.01	Inflorescence_diameter	0.105
ann14.02	annuus_ann14.02	Inflorescence_diameter	0.505
ann15.01	annuus_ann15.01	Inflorescence_diameter	0.602
ann16.01	annuus_ann16.01	Inflorescence_diameter	0.971
ann16.02	annuus_ann16.02	Inflorescence_diameter	0.774
ann17.01	annuus_ann17.01	Inflorescence_diameter	0.441
ann01.01	annuus_ann01.01	Internode_length	0.719
ann05.01	annuus_ann05.01	Internode_length	0.792
ann11.01	annuus_ann11.01	Internode_length	0.647
ann13.01	annuus_ann13.01	Internode_length	0.33
ann13.02	annuus_ann13.02	Internode_length	0.233
ann14.01	annuus_ann14.01	Internode_length	0.0972
ann14.02	annuus_ann14.02	Internode_length	0.869
ann15.01	annuus_ann15.01	Internode_length	0.0969
ann16.01	annuus_ann16.01	Internode_length	0.146
ann16.02	annuus_ann16.02	Internode_length	0.887
ann17.01	annuus_ann17.01	Internode_length	0.881
ann01.01	annuus_ann01.01	Leaf_area	0.858
ann05.01	annuus_ann05.01	Leaf_area	0.688
ann11.01	annuus_ann11.01	Leaf_area	0.125
ann13.01	annuus_ann13.01	Leaf_area	0.263
ann13.02	annuus_ann13.02	Leaf_area	0.712
