chr	mds	species	freq
Ha412HOChr01	syn1	PetPet	0.9732142857142857
Ha412HOChr01	syn1	PetFal	0.6756756756756757
Ha412HOChr05	syn1	PetPet	0.6160714285714286
Ha412HOChr05	syn1	PetFal	0.9092664092664092
Ha412HOChr06	syn1	PetPet	0
Ha412HOChr06	syn1	PetFal	0.23745173745173745
Ha412HOChr06	syn2	PetPet	0.10714285714285714
Ha412HOChr06	syn2	PetFal	0
Ha412HOChr06	syn3	PetPet	0.16071428571428573
Ha412HOChr06	syn3	PetFal	0
Ha412HOChr07	syn1	PetPet	0.07738095238095238
Ha412HOChr07	syn1	PetFal	0.5907335907335908
Ha412HOChr08	syn1	PetPet	0.06845238095238096
Ha412HOChr08	syn1	PetFal	0.7027027027027027
Ha412HOChr09	syn1	PetPet	0.35714285714285715
Ha412HOChr09	syn1	PetFal	0.16602316602316602
Ha412HOChr10	syn1	PetPet	1
Ha412HOChr10	syn1	PetFal	0.8571428571428571
Ha412HOChr11	syn1	PetPet	0.3869047619047619
Ha412HOChr11	syn1	PetFal	0.7837837837837838
Ha412HOChr12	syn1	PetPet	0.08630952380952381
Ha412HOChr12	syn1	PetFal	0
Ha412HOChr13	syn1	PetPet	0.6488095238095238
Ha412HOChr13	syn1	PetFal	0.9903100775193798
Ha412HOChr14	syn1	PetPet	0.9910714285714286
Ha412HOChr14	syn1	PetFal	0.8783783783783784
Ha412HOChr14	syn2	PetPet	0.6845238095238095
Ha412HOChr14	syn2	PetFal	0.009652509652509652
Ha412HOChr16	syn1	PetPet	0.3601190476190476
Ha412HOChr16	syn1	PetFal	0.7451737451737451
Ha412HOChr16	syn2	PetPet	1
Ha412HOChr16	syn2	PetFal	0.7876447876447876
Ha412HOChr17	syn1	PetPet	0.1636904761904762
Ha412HOChr17	syn1	PetFal	0.6177606177606177
Ha412HOChr17	syn2	PetPet	0.9136904761904762
Ha412HOChr17	syn2	PetFal	1
Ha412HOChr17	syn3	PetPet	0
Ha412HOChr17	syn3	PetFal	0.2953667953667954
Ha412HOChr17	syn4	PetPet	0.9017857142857143
Ha412HOChr17	syn4	PetFal	1
