locus	t	df	p.value	mean	min	max
All	3.7524107916217315	486	1.9629411938989097e-4	0.796158635393746	0.3792698423998049	1.213047428387687
Ha412HOChr01.neg1	1.5636476983428012	37	0.12641405889611956	1.430304528813572	-0.4231003392970138	3.283709396924158
Ha412HOChr05.pos1	0.5319919785109526	64	0.5965735323056172	0.31942233521460445	-0.8800684411232655	1.5189131115524745
Ha412HOChr11.pos1	0.8652098310305191	47	0.3913185199548159	0.4327229488849069	-0.5734217529795302	1.438867650749344
Ha412HOChr13.pos1	2.30904008954912	58	0.024523770800885126	1.3915784707510217	0.18521268781377714	2.5979442536882664
Ha412HOChr15.pos1	-0.1742278809260119	53	0.8623501882365169	-0.09288595662004671	-1.1622075515434507	0.9764356383033572
Ha412HOChr17.neg2	0.8661704669410134	45	0.39099153665757735	0.6327874078479812	-0.8386311075959763	2.1042059232919383
Ha412HOChr14.neg1	0.6665971343515172	50	0.5080939118853518	0.4215656346789422	-0.8486760949178398	1.6918073642757243
Ha412HOChr16.neg1	1.3873730888646356	47	0.17187175115616138	0.9066288623370665	-0.40801535839868613	2.221273083072819
Ha412HOChr16.pos2	1.4857151742113994	16	0.1567914726261272	1.9781352452799006	-0.8443838094043438	4.800654299964145
Ha412HOChr13.pos2	1.2732645683846509	31	0.21238963931745905	1.0913255566457967	-0.6567582292706787	2.8394093425622717
Ha412HOChr14.neg4	1.7110906281434615	28	0.09812283466576022	1.795871427081027	-0.3540298092843243	3.9457726634463786
