sample	total_sites	hets	percent_het
ANN1221	4842	1269	0.262081784386617
ANN1231	4825	133	0.0275647668393782
ANN1241	4804	849	0.176727726894255
ANN1331	4886	1003	0.205280392959476
ANN1341	4881	1033	0.211636959639418
ANN1361	4845	125	0.0257997936016512
ANN1371	4797	550	0.114654992703773
ANN1381	4865	366	0.0752312435765673
ANN1391	4802	673	0.140149937526031
ANN1401	4811	475	0.098732072334234
ARG0120	4751	180	0.0378867606819617
ARG0122	4697	149	0.0317223759846711
ARG0128	4707	163	0.0346292755470576
ARG0129	4685	117	0.0249733191035219
ARG0131	4681	254	0.054261909848323
ARG0132	4671	157	0.0336116463284093
ARG0137	4666	280	0.0600085726532362
ARG0139	4666	238	0.0510072867552507
ARG0140	4492	114	0.0253784505788068
ARG0141	4801	386	0.0803999166840242
ARG0143	4544	125	0.0275088028169014
ARG0166	4710	174	0.0369426751592357
ARG0168	4651	165	0.0354762416684584
ARG0171	4727	138	0.0291939919610747
ARG0172	4724	176	0.0372565622353937
ARG0177	4707	144	0.0305927342256214
ARG0180	4740	165	0.0348101265822785
ARG0182	4690	213	0.0454157782515991
ARG0183	4621	272	0.0588617182428046
ARG0187	4597	242	0.0526430280617794
