locus	t	df	p.value	mean	min	max
All	-3.4162344458341507	151	8.159089950522126e-4	-0.7531160515543154	-1.1886850699469327	-0.3175470331616981
Ha412HOChr13.pos6	-2.4883579918233094	17	0.02350079692738896	-1.722960962421747	-3.1838158275420567	-0.2621060973014373
Ha412HOChr14.neg1	0.4006164403135113	15	0.6943506339372983	0.38103884473369765	-1.6462495806057211	2.408327270073116
Ha412HOChr16.pos2	-1.917544297329705	16	0.07319932719939973	-1.460120934428893	-3.074330374445541	0.1540885055877549
Ha412HOChr07.pos2	-4.069653644095469	10	0.002251413442770815	-1.007856651432503	-1.5596590303763922	-0.45605427248861385
Ha412HOChr17.neg3	-1.738815623831694	5	0.14256241246479665	-1.8470846605521531	-4.5777262606286735	0.8835569395243679
Ha412HOChr05.pos1	0.0400060783877887	15	0.9686159069358187	0.03163321886232125	-1.6537259236940747	1.7169923614187173
Ha412HOChr09.pos1	-0.6367338750817279	15	0.533895550423996	-0.32331249224631553	-1.4055923765759424	0.7589673920833113
Ha412HOChr11.pos1	-1.9772682560622734	14	0.06804520129516302	-1.1830427415721534	-2.4663154161736838	0.10022993302937702
Ha412HOChr06.neg4	-0.4615082124695703	12	0.652687802639309	-0.4439892983891552	-2.540094098753951	1.652115501975641
Ha412HOChr06.pos1	-1.9770283989025623	9	0.07943866967301005	-0.9910778548936441	-2.1250898243640086	0.1429341145767208
Ha412HOChr12.pos1	-0.5820929111955434	6	0.5817004490027841	-0.31934486345145335	-1.6617572446239377	1.0230675177210313
Ha412HOChr17.pos1	-0.5820929111955434	6	0.5817004490027841	-0.31934486345145335	-1.6617572446239377	1.0230675177210313
