name	region	color
GSD1009	5b	#984EA3
GSD1039	5b	#984EA3
GSD1085	5b	#FF7F00
GSD1139	5b	#984EA3
GSD1169	5b	#984EA3
GSD1184	5b	#984EA3
GSD1258	5b	#984EA3
GSD1276	5b	#984EA3
GSD1329	5b	#984EA3
GSD1375	5b	#FFFF33
GSD1503	5b	#FF7F00
GSD1573	5b	#984EA3
GSD1707	5b	#984EA3
GSD1732	5b	#984EA3
GSD1795	5b	#984EA3
GSD2008	5b	#FF7F00
GSD2031	5b	#FF7F00
GSD2067	5b	#984EA3
GSD2252	5b	#FFFF33
GSD983	5b	#FFFF33
MON014	5b	#FFFF33
MON069	5b	#FF7F00
MON106	5b	#FF7F00
MON151	5b	#FFFF33
MON220	5b	#FFFF33
MON263	5b	#FFFF33
MON308	5b	#FFFF33
MON365	5b	#FFFF33
MON401	5b	#FFFF33
MON459	5b	#FFFF33
MON520	5b	#FFFF33
MON564	5b	#FFFF33
MON606	5b	#FFFF33
MON658	5b	#FFFF33
MON713	5b	#FFFF33
MON768	5b	#FFFF33
MON818	5b	#FFFF33
MON862	5b	#FF7F00
PET0301	5b	#FFFF33
PET0302	5b	#FFFF33
PET0303	5b	#FFFF33
PET0304	5b	#FFFF33
PET0305	5b	#FFFF33
PET0306	5b	#FFFF33
PET0307	5b	#FFFF33
PET0308	5b	#FFFF33
PET0309N	5b	#FFFF33
PET0310	5b	#FFFF33
PET0311	5b	#FFFF33
PET0312	5b	#FFFF33
PET0313	5b	#FFFF33
PET0314	5b	#FFFF33
PET0315	5b	#FFFF33
PET0316	5b	#FFFF33
PET0317	5b	#FFFF33
PET0318	5b	#FFFF33
PET0319	5b	#FFFF33
PET0320	5b	#FFFF33
PET0321	5b	#FFFF33
PET0322	5b	#FFFF33
PET0323	5b	#FFFF33
PET0324	5b	#FFFF33
PET0325	5b	#FFFF33
PET0326	5b	#FFFF33
PET0327	5b	#FFFF33
PET0328	5b	#FFFF33
PET0329	5b	#FFFF33
PET0330	5b	#FFFF33
PET0331	5b	#FFFF33
PET0332	5b	#FFFF33
PET0333	5b	#FFFF33
PET0334	5b	#FFFF33
PET0335	5b	#FFFF33
PET0336	5b	#FFFF33
PET0337	5b	#FFFF33
PET0338	5b	#FFFF33
PET0339	5b	#FFFF33
PET0340	5b	#FFFF33
PET0341	5b	#FFFF33
PET0342	5b	#FFFF33
PET0343	5b	#FFFF33
PET0344	5b	#FFFF33
PET0345	5b	#FFFF33
PET0346	5b	#FFFF33
PET0347	5b	#FFFF33
PET0348	5b	#FFFF33
PET0349	5b	#FFFF33
PET0350	5b	#FFFF33
PET0351	5b	#FFFF33
PET0352	5b	#FFFF33
PET0353	5b	#FFFF33
PET0354	5b	#FFFF33
PET0355	5b	#FFFF33
PET0356	5b	#FFFF33
PET0357	5b	#FFFF33
PET0358	5b	#FFFF33
PET0359	5b	#FFFF33
PET0360	5b	#FFFF33
PET0361N	5b	#FFFF33
PET0362	5b	#FFFF33
PET0363	5b	#FFFF33
PET0364	5b	#FFFF33
PET0365	5b	#FFFF33
PET0366	5b	#FFFF33
PET0367	5b	#FFFF33
PET0368	5b	#FFFF33
PET0369	5b	#FFFF33
PET0370	5b	#FFFF33
PET0371	5b	#FFFF33
PET0372	5b	#FFFF33
PET0373	5b	#FFFF33
PET0374	5b	#FFFF33
PET0375	5b	#FFFF33
PET0376	5b	#FFFF33
PET0377	5b	#FFFF33
PET0378	5b	#FFFF33
PET0379	5b	#FFFF33
PET0380	5b	#FFFF33
PET0381	5b	#FFFF33
PET0382	5b	#FFFF33
PET0383	5b	#FFFF33
PET0384	5b	#FFFF33
PET0385	5b	#FFFF33
PET0386	5b	#FFFF33
PET0387	5b	#FF7F00
PET0388	5b	#FFFF33
PET0391N	5b	#FFFF33
PET0392N	5b	#FFFF33
PET0393	5b	#FFFF33
PET0394	5b	#FFFF33
PET0395	5b	#FFFF33
PET0396	5b	#FFFF33
PET0397	5b	#FFFF33
PET0398	5b	#FFFF33
PET0399	5b	#FFFF33
PET0400	5b	#FFFF33
PET0401	5b	#FFFF33
PET0402	5b	#FFFF33
PET0403	5b	#FFFF33
PET0404	5b	#FFFF33
PET0405	5b	#FFFF33
PET0406	5b	#FFFF33
PET0407	5b	#FFFF33
PET0409	5b	#FFFF33
PET0410	5b	#FFFF33
PET0412	5b	#FFFF33
PET0413	5b	#FFFF33
PET0414	5b	#FFFF33
PET0415	5b	#FFFF33
PET0416	5b	#FFFF33
PET0417	5b	#FFFF33
PET0418	5b	#FFFF33
PET0419	5b	#FFFF33
PET0420	5b	#FFFF33
PET0421	5b	#FFFF33
PET0422	5b	#FFFF33
PET0423	5b	#FFFF33
PET0424	5b	#FFFF33
PET0425	5b	#FFFF33
PET0427	5b	#FFFF33
PET0428	5b	#FFFF33
PET0429	5b	#FFFF33
PET0430	5b	#FFFF33
PET0609	5b	#FFFF33
PET0610	5b	#FFFF33
PET0611	5b	#FFFF33
PET0612	5b	#FFFF33
PET0613	5b	#FFFF33
PET0614	5b	#FFFF33
PET0615	5b	#FFFF33
PET0616	5b	#FFFF33
PET0617	5b	#FFFF33
PET0618	5b	#FFFF33
PET0619	5b	#FFFF33
PET0620	5b	#FFFF33
PET0621	5b	#FFFF33
PET0622	5b	#FFFF33
PET0623	5b	#FFFF33
PET0624	5b	#FFFF33
PET0625	5b	#FFFF33
PET0626	5b	#FFFF33
PET0627	5b	#FFFF33
PET0628	5b	#FFFF33
PET0629	5b	#FFFF33
PET0630	5b	#FFFF33
PET0631	5b	#FFFF33
PET0632	5b	#FFFF33
