name	region	color
PET0431	4a	#E41A1C
PET0432	4a	#E41A1C
PET0433	4a	#E41A1C
PET0434	4a	#E41A1C
PET0435	4a	#E41A1C
PET0436	4a	#E41A1C
PET0437	4a	#E41A1C
PET0438	4a	#E41A1C
PET0439	4a	#E41A1C
PET0440	4a	#E41A1C
PET0441	4a	#E41A1C
PET0442	4a	#E41A1C
PET0443	4a	#E41A1C
PET0444	4a	#E41A1C
PET0445	4a	#E41A1C
PET0446	4a	#E41A1C
PET0447	4a	#E41A1C
PET0448	4a	#E41A1C
PET0449	4a	#E41A1C
PET0450	4a	#E41A1C
PET0451	4a	#E41A1C
PET0452	4a	#E41A1C
PET0453N	4a	#E41A1C
PET0454N	4a	#E41A1C
PET0455	4a	#E41A1C
PET0456	4a	#E41A1C
PET0457	4a	#E41A1C
PET0458	4a	#E41A1C
PET0459N	4a	#E41A1C
PET0460N	4a	#E41A1C
PET0461	4a	#E41A1C
PET0462	4a	#E41A1C
PET0463	4a	#E41A1C
PET0464	4a	#E41A1C
PET0465	4a	#E41A1C
PET0466	4a	#E41A1C
PET0467	4a	#E41A1C
PET0468	4a	#E41A1C
PET0469	4a	#E41A1C
PET0470	4a	#E41A1C
PET0471	4a	#E41A1C
PET0472	4a	#E41A1C
PET0473N	4a	#E41A1C
PET0474N	4a	#E41A1C
PET0475	4a	#E41A1C
PET0476	4a	#E41A1C
PET0477	4a	#E41A1C
PET0478	4a	#E41A1C
PET0479	4a	#E41A1C
PET0480	4a	#E41A1C
PET0481	4a	#E41A1C
PET0482	4a	#E41A1C
PET0483	4a	#E41A1C
PET0484	4a	#E41A1C
PET0485	4a	#E41A1C
PET0486	4a	#E41A1C
PET0487	4a	#E41A1C
PET0488	4a	#E41A1C
PET0489	4a	#E41A1C
PET0490	4a	#E41A1C
PET0491	4a	#E41A1C
PET0492	4a	#E41A1C
PET0493	4a	#E41A1C
PET0494	4a	#E41A1C
PET0495	4a	#E41A1C
PET0496	4a	#E41A1C
PET0497	4a	#E41A1C
PET0498	4a	#E41A1C
PET0499	4a	#E41A1C
PET0500	4a	#E41A1C
PET0501	4a	#E41A1C
PET0502	4a	#E41A1C
PET0503	4a	#E41A1C
PET0504	4a	#E41A1C
PET0505	4a	#E41A1C
PET0506	4a	#E41A1C
PET0507	4a	#E41A1C
PET0508	4a	#E41A1C
PET0509	4a	#E41A1C
PET0510	4a	#E41A1C
PET0511	4a	#E41A1C
PET0512	4a	#E41A1C
PET0513	4a	#E41A1C
PET0514	4a	#E41A1C
PET0515	4a	#E41A1C
PET0516	4a	#E41A1C
PET0517	4a	#E41A1C
PET0518	4a	#E41A1C
PET0519	4a	#E41A1C
PET0520	4a	#E41A1C
PET0521	4a	#E41A1C
PET0522	4a	#E41A1C
PET0523	4a	#E41A1C
PET0524	4a	#E41A1C
PET0526	4a	#E41A1C
PET0527	4a	#E41A1C
PET0528	4a	#E41A1C
PET0529	4a	#E41A1C
PET0530	4a	#E41A1C
PET0531	4a	#E41A1C
PET0532	4a	#E41A1C
PET0534N	4a	#E41A1C
PET0535	4a	#E41A1C
PET0536	4a	#E41A1C
PET0537	4a	#E41A1C
PET0539	4a	#E41A1C
PET0540	4a	#E41A1C
PET0541N	4a	#E41A1C
PET0542N	4a	#E41A1C
PET0543	4a	#E41A1C
PET0544	4a	#E41A1C
PET0545	4a	#E41A1C
PET0546	4a	#E41A1C
PET0547	4a	#E41A1C
PET0548	4a	#E41A1C
PET0549	4a	#E41A1C
PET0550	4a	#E41A1C
PET0552	4a	#E41A1C
PET0553	4a	#E41A1C
PET0554	4a	#E41A1C
PET0555	4a	#E41A1C
PET0556	4a	#E41A1C
