name	spe	ecotype
MON014	H. neglectus	dune
MON069	H. neglectus	dune
MON106	H. neglectus	dune
MON151	H. neglectus	dune
MON220	H. neglectus	dune
MON263	H. neglectus	non-dune
MON308	H. neglectus	non-dune
MON365	H. neglectus	non-dune
MON401	H. neglectus	non-dune
MON459	H. neglectus	non-dune
MON520	H. neglectus	dune
MON564	H. neglectus	dune
MON606	H. neglectus	non-dune
MON658	H. neglectus	non-dune
MON713	H. neglectus	non-dune
MON768	H. neglectus	non-dune
MON818	H. neglectus	non-dune
MON862	H. neglectus	dune
GSD983	H. petiolaris	non-dune
GSD1009	H. petiolaris	dune
GSD1039	H. petiolaris	dune
GSD1085	H. petiolaris	non-dune
GSD1139	H. petiolaris	dune
GSD1169	H. petiolaris	non-dune
GSD1184	H. petiolaris	dune
GSD1258	H. petiolaris	dune
GSD1276	H. petiolaris	dune
GSD1329	H. petiolaris	dune
GSD1375	H. petiolaris	non-dune
GSD1503	H. petiolaris	non-dune
GSD1573	H. petiolaris	dune
GSD1707	H. petiolaris	dune
GSD1732	H. petiolaris	dune
GSD1795	H. petiolaris	non-dune
GSD2008	H. petiolaris	non-dune
GSD2031	H. petiolaris	non-dune
GSD2067	H. petiolaris	dune
GSD2252	H. petiolaris	non-dune
