FID	IID	TLN	LIR	Days_to_budding	DTF 	Stem_diamater_at_flowering	Plant_height_at_flowering	Internode_length	Stem_diameter_final_before_1st_node	Stem_diameter_final_after_5th_node	Distance_of_first_branching_from_ground	Primary_branches	SLA_mm2_per_mg	Leaf_total_N	Leaf_total_C	Leaf_C_N ratio	Disk_diameter	Petal_length	Petal_width	Flower_head_diameter	Petal_LW_ratio	Flower_FHDD_ratio	Guides_3_petals	Guides_individual_petal	Guides_3_petals_mod	Guides_individual_petal_mod	Flower_head_diamater_from_UV_pictures	Petal_LW_ratio_UV_pictures	Average_length_3_petals_UV_pictures	Disk_diameter_UV_pictures	Dark_petal	Stem_colour	Petiole_main_veins_colour	Darker_axillae	Leaf_Perimeter	Leaf_Area	Leaf_Width_mid-height	Leaf_Maximum_width	Leaf_Height_Mid-width	Leaf_Maximum_height	Leaf_Curved_height	Leaf_CurvedHeight_MaxWidth	Leaf_Fruit_shape_index_external_I	Leaf_Fruit_shape_index_external_II	Leaf_Curved_fruit_shape_index	Leaf_Proximal_fruit_blockiness	Leaf_Distal_fruit_blockiness	Leaf_Fruit_shape_triangle	Leaf_Ellipsoid	Leaf_Circular	Leaf_Rectangular	Leaf_Shoulder_height	Leaf_Proximal_angle_micro	Leaf_Proximal_angle_macro	Leaf_Proximal_indentation_area	Leaf_Distal_angle_micro	Leaf_Distal_angle_macro	Leaf_Distal_indentation_area	Leaf_Distal_end_protrusion	Leaf_Obovoid	Leaf_V_asymmetry	Leaf_H_asymmetry_ob	Leaf_Width_widest_pos	Leaf_Eccentricity	Leaf_Proximal_eccentricity	Leaf_Distal_eccentricity	Leaf_Fruit_shape_index_internal	Leaf_Eccentricity_area_index	Leaf_Lobedness_degree	Green_RGB_NEW	Phyllaries_diameter	Phyllaries_length	Phyllaries_width	Phyllaries_LW_ratio	Flowerhead_to_phyllaries_diameter_ratio	Disk_to_phyllaries_diameter_ratio	Seed_perimeter	Seed_area	Seed_width_mid_height	Seed_maximum_width	Seed_height_mid_width	Seed_maximum_height	Seed_curved_height	Seed_HW_ratio	Seed_fruit_shape_index_external_I	Seed_fruit_shape_index_external_II	Seed_curved_fruit_shape_index	Seed_proximal_fruit_blockiness	Seed_distal_fruit_blockiness	Seed_fruit_shape_triangle	Seed_ellipsoid	Seed_circular	Seed_rectangular	Seed_shoulder_height	Seed_proximal_angle_micro	Seed_proximal_angle_macro	Seed_proximal_indentation_area	Seed_distal_angle_micro	Seed_distal_angle_macro	Seed_distal_indentation_area	Seed_distal_end_protrusion	Seed_ovoid	Seed_v_asymmetry	Seed_h_asymmetry_ov	Seed_width_widest_pos	Seed_eccentricity	Seed_proximal_eccentricity	Seed_distal_eccentricity	Seed_fruit_shape_index_internal	Seed_eccentricity_area_index	Seed_lobedness_degree
ANN0801	ANN0801	20	0.588235294	NA	49	44.4	145.9	7.295	53	46	9.5	18	29.16950808	6.083	43.488	7.149304489	4.441211139	4.965216054	1.730799498	14.2801266	2.906173202	3.217821141	0.504890429	0.524685829	0.628667822	0.643514372	11.55888144	3.547043864	4.147736534	3.263408369	1	1	2	1	583.7395	11005.6554	93.98	106.68	152.654	162.56	199.7021	1.871973191	1.5238	1.6243	2.1022	0.2189	0.8378	0.2613	0.0921	0.1623	0.3647	0.0891	69.9276	75.3329	0.0022	143.8336	97.4955	0.012	0.2216	0.346	0.1311	0.6149	0.5922	0.7512	0.8989	0.8743	1.6216	0.3459	10.3146	0.461505019	9.771137775	4.28240207	1.192684096	3.606191877	1.463783265	0.454886534	15.3118375	12.9018875	2.7543375	2.8575	5.7507125	5.797025	5.8924625	2.062104112	2.0348125	2.094175	2.1250375	0.8119875	0.5237375	1.5519875	0.0582125	0.2230125	0.496325	0.0201375	104.8780875	138.2432125	0.004075	179.3479	74.431825	0.001325	0.0105125	0.2377625	0.03655	0.22815	0.387275	0.76115	0.8809875	0.8560375	1.9956	0.4076375	18.3144875
ANN0802	ANN0802	15	1.363636364	11	35	20.4	85.8	5.72	33	28	10.5	13	20.14030792	5.214	43.252	8.294829659	3.844667737	3.890856552	2.003318181	11.28278829	1.97501782	2.942474255	0.822035956	0.828328966	0.822035956	0.828328966	10.87875435	2.171610626	3.620135774	3.638482799	0	1	3	0	446.8268	8267.5964	81.28	99.06	127	133.858	147.1673	1.485637997	1.3513	1.5625	1.5486	0.225	0.9781	0.23	0.1	0.1361	0.3706	0.1663	52.2105	60.8133	0.0034	161.3127	188.8277	0.0022	0.0371	0.4423	0.0801	0.6371	0.6717	0.7605	0.8696	0.8658	1.5625	0.3724	8.6942	0.468994021	7.426780093	3.47935573	1.175850308	2.971539432	1.520044629	0.514632229	15.461375	14.2628	3.1207625	3.2319	5.586675	5.632975	5.813575	1.798810297	1.746025	1.7941	1.834325	0.8229875	0.5199	1.5842875	0.054125	0.1826125	0.491875	0.01405	130.0950875	114.568225	0.0092125	113.69145	96.436025	0.0025375	0.0373875	0.289475	19.9368375	62.012225	0.351825	0.791725	0.886	0.886475	1.7991625	0.3927375	13.880175
ANN0803	ANN0803	23	0.884615385	26	49	32.1	114.2	4.965217391	36	28	10	21	21.33187213	6.313	42.154	6.67699898	4.78230588	4.605045605	1.779386155	13.70181263	2.611539434	2.865717717	1	1	1	1	12.17965207	2.887289346	4.064055426	4.05154122	NA	1	2	0	471.8439	10025.9799	84.582	103.124	135.382	142.748	152.2376	1.476257709	1.3842	1.6006	1.6467	0.2913	1.0751	0.2709	0.0944	0.1405	0.4374	0.1307	70.3939	70.8002	0.0037	258.4005	3.6946	0.0488	0.0118	0.4449	0.0503	0.6624	0.6763	0.7558	0.8706	0.8983	1.4422	0.37	9.2887	0.450923917	7.420484539	2.977656186	1.196473329	2.516424106	1.85428929	0.645301602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANN0804	ANN0804	17	0.708333333	24	NA	29.8	104.9	6.170588235	53	42	10.5	16	21.43717178	6.498	42.697	6.570983736	4.883209973	3.689747062	1.665725644	12.01301416	2.267163453	2.45833132	1	1	1	1	11.54279561	2.447183567	3.739941798	4.062912016	NA	0	3	0	444.1336	9509.5294	85.598	98.044	143.51	148.59	162.2875	1.655251724	1.5155	1.6766	1.8466	0.2077	0.9436	0.2201	0.0998	0.1621	0.3858	0.1684	56.8803	42.0534	0.0025	17.8016	205.7345	0.0083	0.0212	0.4896	0.0338	0.7127	0.6923	0.7705	0.8911	0.8858	1.6791	0.3574	10.479	0.459520318	7.872744973	2.799930844	1.126385451	2.495971594	1.525774528	0.621643725	16.0058	13.7075	2.783433333	2.938633333	6.0819	6.1489	6.246666667	2.125704693	2.1072	2.197466667	2.233166667	0.8148	0.4678	1.7541	0.062466667	0.232	0.476933333	0	146.0448333	125.0685	0	98.28036667	68.0952	0.002133333	0.228533333	0.281233333	0.0302	0.325233333	0.370766667	0.763033333	0.887733333	0.8573	2.129466667	0.4061	19.5684
ANN0805	ANN0805	23	0.676470588	34	58	34.2	175.7	7.639130435	36	30	2.5	24	26.22093043	3.85	43.279	11.24133834	5.001862188	4.804856928	2.106973506	14.42295427	2.31921571	2.894608315	0.598613167	0.624461782	0.698959875	0.718346337	13.11835881	2.250226334	4.197597839	4.723163136	1	1	1	0	496.1165	10100.3024	85.852	107.188	137.16	159.766	171.9556	1.604243012	1.4905	1.5976	1.9398	0.1627	0.9882	0.1647	0.1041	0.1595	0.3478	0.0836	48.5718	60.4435	0.0019	107.7489	160.9561	0.0025	0.0469	0.4115	0.1141	0.7361	0.6979	0.6879	0.8623	0.8692	1.6	0.4148	10.4306	0.466889955	10.26952592	4.173789238	1.578066102	2.652729108	1.409245321	0.490296078	17.2152	16.6003875	3.386675	3.456775	6.236225	6.2918	6.4388375	1.862671855	1.822425	1.84395	1.8743625	0.7150875	0.4922125	1.454675	0.04585	0.1896375	0.46855	0.0272625	99.0750375	143.272675	0.0032125	118.074825	80.4448125	0.0034	0.095375	0.1991	0.046525	0.1977625	0.4196625	0.75545	0.872525	0.858125	1.75595	0.3915	14.4683375
ANN0806	ANN0806	18	0.545454545	33	51	29.4	110.1	6.116666667	37	25	13	17	33.48150737	5.707	40.909	7.167744983	4.626216516	4.661517335	2.078706063	13.95272889	2.245361152	3.019246633	0.491912322	0.517496786	0.491912322	0.517496786	12.06504224	2.145685525	4.013809487	4.037423265	0	0	0	0	445.9446	9311.2072	86.36	102.108	123.444	133.858	142.6072	1.396631018	1.3109	1.4294	1.5515	0.2588	1.0206	0.2536	0.089	0.1191	0.4497	0.069	61.9573	75.2634	0.0014	2.5643	221.652	0.111	0.0512	0.4634	0.1212	0.5813	0.6949	0.7072	0.8341	0.8815	1.3191	0.4291	7.684	0.462784776	8.676144423	3.447745201	1.334046792	2.589099284	1.612343276	0.534738807	16.7376125	15.342275	3.02155	3.1260625	6.2097625	6.3182625	6.449025	2.062986585	2.0244625	2.0592625	2.134575	0.7905	0.474075	1.6741	0.0550375	0.2232625	0.482525	0.004875	148.0944	137.2924	0.0079	99.77125	66.2407	0.0034	0.1337875	0.2636125	0.0584125	0.2860625	0.387775	0.76355	0.8844625	0.8642625	1.99775	0.404475	18.37585
ANN0807	ANN0807	25	0.961538462	26	51	33.6	145.7	5.828	30	28	13.5	21	31.85030998	6.782	41.966	6.187895289	NA	NA	NA	NA	NA	NA	0.539310838	0.58566213	0.539310838	0.58566213	12.86890533	2.861961973	4.30619154	4.256522246	0	1	1	0	507.661	9319.4007	81.534	111.252	128.524	141.478	155.7753	1.400202244	1.2717	1.5763	1.3769	0.19	1.1651	0.1631	0.1295	0.1524	0.3783	0.0808	37.6745	52.1001	0.0007	245.1935	227.8532	0.2826	0.0289	0.5896	0.062	0.8119	0.717	0.7158	0.8964	0.8728	1.5547	0.446	8.8165	0.458228189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANN0808	ANN0808	20	0.769230769	26	55	40.7	175.2	8.76	49	43	9	20	17.24034129	5.805	44.089	7.595685515	4.733401969	6.589108455	1.224526003	17.78882244	5.582792175	3.759579683	0.59860317	0.613237156	0.698952377	0.709927867	14.25239686	4.40677305	5.419366524	3.413663809	1	1	4	1	723.2477	12497.5234	90.17	112.776	168.402	182.372	219.0817	1.942626977	1.6171	1.8676	2.4434	0.2113	1.062	0.1989	0.1249	0.2061	0.3807	0.1535	66.7404	50.3033	0.0022	263.1051	187.7506	0.2579	0.0494	0.4894	0.0974	0.962	0.7288	0.7476	0.886	0.8845	1.9143	0.3915	12.9606	0.47003689	10.69324516	4.323981647	1.16401781	3.715959554	1.716584916	0.464507458	16.2292125	14.1516875	2.8601625	3.014925	6.15815	6.2388625	6.3676875	2.112055026	2.0774625	2.1626375	2.2204375	0.7685125	0.48835	1.5745625	0.0626125	0.23095	0.457625	0.007225	137.152825	116.9691875	0.0012375	89.8143375	72.0874	0.00015	0.008625	0.2724	0.0444625	0.29855	0.3609875	0.7646	0.8756625	0.8713	2.100525	0.3981	19.024675
ANN0809	ANN0809	28	0.823529412	34	59	36	146.9	5.246428571	52	43	8	27	28.41351262	6.254	41.374	6.615126992	3.897415961	4.719423007	1.458824532	13.14614993	3.25944438	3.37425162	0.595640087	0.646564327	0.696730065	0.734923245	11.57680818	3.462072628	3.984032935	3.608742311	1	1	0	0	721.103	14749.4544	107.442	137.414	171.45	175.26	218.8814	1.592860989	1.2754	1.5957	1.9719	0.1513	1.1513	0.1314	0.1277	0.1511	0.3645	0.0845	64.296	72.2961	0.0009	342.5332	204.7488	0.0045	0.0458	0.568	0.0716	0.9929	0.7831	0.7692	0.8878	0.8717	1.5774	0.3882	8.44	0.470423089	9.80923955	4.381336717	1.177071314	3.722973998	1.333415645	0.394587648	13.801425	9.955425	2.4275625	2.6127625	5.232125	5.2996	5.4431125	2.083278714	2.030275	2.1583125	2.2097	0.7816625	0.3841625	2.036725	0.0671875	0.225925	0.4305	0.0250375	83.48905	120.0471875	0.0045	70.441575	60.0547625	0.000825	0.0486	0.310125	0.0366	0.327425	0.343975	0.7254875	0.882675	0.8131	1.9851375	0.414175	18.113625
ANN0810	ANN0810	19	0.904761905	21	48	41.8	150.1	7.9	69	54	8	18	19.88671817	5.881	42.995	7.310654251	4.010518111	4.266957575	1.625305337	12.42021811	2.677973183	3.096936675	0.566871712	0.603840738	0.566871712	0.603840738	10.7025614	2.580797541	3.495025204	3.712510992	0	1	3	1	566.8461	9279.1427	77.47	95.504	129.032	149.86	183.1747	1.917979352	1.5691	1.6656	1.9933	0.3213	1.023	0.3141	0.1111	0.1978	0.4193	0.1226	82.1458	71.1123	0.0081	4.1249	8.1564	0.0063	0.0351	0.4889	0.1599	0.676	0.7458	0.6893	0.8884	0.8884	1.6777	0.4635	12.9976	0.466944161	8.4883767	3.334821426	1.073390355	3.124779681	1.463593727	0.472605516	18.2548375	17.5400375	3.0572625	3.2543875	7.0061625	7.0577625	7.158175	2.199545998	2.1879375	2.31075	2.3236625	0.81505	0.52545	1.552275	0.065925	0.246525	0.4767	0.0092375	61.553575	120.2543625	0.0022125	73.735825	76.5265125	0.0038125	0.053925	0.29195	0.028775	0.3514	0.3437375	0.7769875	0.888125	0.8690875	2.263525	0.4009	21.088175
