FID	IID	Guides_individual_petal_Jas	Petal_LW_ratio_UV_pictures_Jas	Guides_3_petals_Jas	Guides_individual_petal_Haf	Petal_LW_ratio_UV_pictures_Haf	Guides_3_petals_Haf	DTF_corrected	DTF_deduced	late_early	SLA_mm2_per_mg	Leaf_total_N	Leaf_total_C	C_N_ratio
ARG0001	ARG0001	NA	NA	NA	NA	NA	NA	128	128	0	1553.68	3.340479622	40.34146565	12.07654894
ARG0002	ARG0002	NA	NA	NA	NA	NA	NA	127	127	0	1624.89	2.391535578	37.02922616	15.48345193
ARG0003	ARG0003	0.379183003	3.74415914	0.373926037	0.493390265	3.435588008	0.469213511	118	118	0	1958.39	3.06295248	40.144433	13.10644983
ARG0004	ARG0004	NA	NA	NA	NA	NA	NA	116	116	0	2102.85	2.972649461	40.12141827	13.49685484
ARG0005	ARG0005	NA	NA	NA	NA	NA	NA	110	110	0	1734.97	2.781468426	37.87131201	13.61558221
ARG0006	ARG0006	NA	NA	NA	NA	NA	NA	128	128	0	2430.77	3.836164516	40.8261731	10.64244584
ARG0007	ARG0007	0.409071066	3.25750039	0.306583071	0.450749781	3.139137856	0.411138114	119	119	0	2259.32	4.193710703	39.68935645	9.464018684
ARG0008	ARG0008	0.230114592	3.14085463	0.342618099	0.358538385	3.051075868	0.4382703	119	119	0	1703.01	3.224525152	41.04449011	12.72884787
ARG0009	ARG0009	NA	NA	NA	NA	NA	NA	125	125	0	1482.08	2.455125924	38.79164281	15.80026606
ARG0010	ARG0010	NA	NA	NA	NA	NA	NA	127	127	0	1657.69	3.070433048	40.11776203	13.06583189
ARG0011	ARG0011	0.305723954	3.508186571	0.214583309	0.316753392	2.61154216	0.316460327	117	117	0	2284.61	3.33045212	40.24552468	12.08410247
ARG0012	ARG0012	0.334047978	2.919040776	0.337329263	0.358044244	2.443438398	0.36076327	128	128	0	1844.26	3.764392405	42.99353661	11.42110917
ARG0013	ARG0013	0.311792921	2.869047816	0.205707393	0.360680404	2.557943626	0.300502356	115	115	0	1916.8	3.30531659	42.3634275	12.81675336
ARG0014	ARG0014	0.291428751	2.115734615	0.208183428	0.335231141	1.585881925	0.319413715	117	117	0	NA	NA	NA	NA
ARG0015	ARG0015	0.243310463	2.915476213	0.192284444	0.470134399	2.956966558	0.290264961	123	123	0	2189.44	3.590573618	43.23416181	12.04101807
