FID	IID	Total_N	Total_C	C_N_ratio	Ligules_number	Disk_diameter	Petal_length	Petal_width	Flower_head_diameter	Flower_FHDD_ratio	Petal_LW_ratio	Leaf_Perimeter	Leaf_Area	Leaf_Width_mid-height	Leaf_Maximum_width	Leaf_Height_Mid-width	Leaf_Maximum_height	Leaf_Curved_height	Leaf_CurvedHeight_MaxWidth	Leaf_Fruit_shape_index_external_I	Leaf_Fruit_shape_index_external_II	Leaf_Curved_fruit_shape_index	Leaf_Proximal_fruit_blockiness	Leaf_Distal_fruit_blockiness	Leaf_Fruit_shape_triangle	Leaf_Ellipsoid	Leaf_Circular	Leaf_Rectangular	Leaf_Shoulder_height	Leaf_Proximal_angle_micro	Leaf_Proximal_angle_macro	Leaf_Proximal_indentation_area	Leaf_Distal_angle_micro	Leaf_Distal_angle_macro	Leaf_Distal_indentation_area	Leaf_Distal_end_protrusion	Leaf_Obovoid	Leaf_V_asymmetry	Leaf_H_asymmetry_ob	Leaf_Width_widest_pos	Leaf_Eccentricity	Leaf_Proximal_eccentricity	Leaf_Distal_eccentricity	Leaf_Fruit_shape_index_internal	Leaf_Eccentricity_area_index	Leaf_Lobedness_degree	Days_to_budding	TLN	DTF	LIR	Guides_3_petals	Guides_individual_petal	Flower_head_diamater_from_UV_pictures	Petal_LW_ratio_UV_pictures	Average_length_3_petals_UV_pictures	Disk_diameter_UV_pictures	Flower_FHDD_ratio_UV_pictures	Stem_diamater_at_flowering	Plant_height_at_flowering	Peduncle_lenght_of_first_flower	Stem_diameter_final_before_1st_node	Stem_diameter_final_after_5th_node	Distance_of_first_branching_from_ground	Primary_branches
PET0431	PET0431	7.055800488	39.44925893	5.591039458	18.33333333	3.117020271	4.7443748	1.31559936	12.61588957	4.056338784	3.607785842	302.9969	4017.3038	49.784	63.1613	101.346	105.8333	105.1058	1.664085445	1.6756	2.0357	1.9536	0.2228	0.8912	0.25	0.1004	0.2075	0.3303	0	64.3973	51.869	0	126.4013	137.3379	0.0033	0.0497	0.405	0.0754	1.5078	0.7095	0.5701	0.6449	0.8683	1.3434	0.4711	14.0542	22	13	45	0.590909091	0.162417936	0.227843554	10.38461538	3.553446099	3.690105271	3.004404843	3.456463402	19.9	90.8	25.5	32.2	22	0	13
PET0432	PET0432	6.91844662	38.4960273	5.564258773	18	2.240104786	3.516404355	1.017278832	9.295001537	4.165867184	3.500048103	307.2086	4983.4667	52.832	65.4473	111.76	114.808	115.7887	1.769189867	1.7542	2.1154	1.9533	0.3478	0.9183	0.3787	0.0813	0.2012	0.3786	0	78.0695	65.7263	0	120.436	134.8319	0	0	0.3697	0.1532	1.2906	0.6545	0.7587	0.8779	0.8779	2	0.403	14.3879	20	11	39	0.55	0.459895837	0.537917477	7.939535951	4.39295938	2.784412814	2.370710322	3.349011424	17.1	51.9	NA	38.9	23.4	0	13
PET0433	PET0433	4.311829342	40.59803235	9.41550074	15.5	2.354576781	4.254424169	1.316197473	11.62383214	4.083018626	3.148975569	274.4007	3028.5674	31.5807	48.4293	94.5727	106.172	103.9735	2.146913129	2.1923	2.9946	3.1202	0.2735	1.2654	0.2161	0.1156	0.2984	0.3151	0	42.673	37.3688	0	28.0725	130.2183	0.0082	0.0141	0.5122	0.1679	1.8875	0.7887	0.6464	0.7811	0.894	2.5633	0.5242	24.3976	31	14	52	0.451612903	0.276978965	0.320041176	9.167125935	3.098418177	3.414558048	2.338009838	3.920909906	17.2	65.1	10.3	21.8	18.7	0.5	14
PET0434	PET0434	5.794520538	40.44401985	6.979700836	22	2.418314025	4.128550865	1.20204439	10.9969784	4.696486937	3.438445385	277.3784	3983.6766	60.2827	61.0447	94.6573	96.8587	97.6988	1.600446886	1.5867	1.5702	1.6361	0.3469	0.448	0.7743	0.0434	0.1396	0.3931	0.1133	87.3692	73.4504	0.0022	91.8348	110.005	0	0	0.1522	0.1149	0.3657	0.5196	0.5897	0.6808	0.8383	1.1309	0.4323	9.5932	22	16	46	0.727272727	0.258332747	0.352710387	10.06431977	3.201203541	3.711503724	2.641312318	3.810348249	31.6	75.3	36	49.1	27.9	4.8	16
PET0435	PET0435	6.266870317	40.45309568	6.455071452	16	2.275744361	3.286536825	1.20930608	8.6010573	3.805299268	2.774822017	362.3776	6690.6031	78.6553	82.4653	122.0893	129.4553	129.849	1.574589555	1.5698	1.5522	1.63	0.296	0.3175	0.9322	0.0607	0.1331	0.3359	0.0293	71.0143	73.0094	0.0006	60.4216	95.4194	0.0015	0.1886	0.2015	0.1729	0.6593	0.5923	0.6531	0.8603	0.7426	1.2665	0.3382	9.3949	18	14	41	0.777777778	0.321310986	0.378715784	10.02325581	2.935081452	3.480145736	3.062964341	3.272403691	15.1	85.4	8.3	36.4	16.1	5.4	12
PET0436	PET0436	6.537874177	38.56640255	5.898920889	15.33333333	2.478609185	4.225101207	1.503684674	10.67559186	4.341954063	2.808739325	309.2288	4131.8054	56.7267	60.2827	100.9227	113.03	113.5419	1.88349062	1.875	1.7791	1.9748	0.3433	0.2567	1.3372	0.0565	0.1936	0.319	0	81.1078	64.0617	0	35.4686	81.0514	0.0012	0.1018	0.1128	0.2499	0.484	0.5499	0.4213	0.5462	0.7463	1.0255	0.5803	14.5032	20	14	37	0.7	0.536358237	0.543877198	10.27163516	2.616515098	3.898491877	2.474651402	4.150740241	11	54.6	NA	25.9	20.5	7.4	10
PET0437	PET0437	6.340591223	40.88929124	6.448813651	12.66666667	2.637115515	3.777411807	1.546692527	9.856281611	3.750897881	2.439166272	319.6687	4079.0599	44.0267	51.1387	116.6707	124.206	123.6398	2.417734514	2.4288	2.65	2.8022	0.2731	0.8365	0.3264	0.0986	0.2909	0.3451	0	53.0519	36.848	0	122.2801	107.9314	0	0	0.3848	0.1159	1.5461	0.681	0.5143	0.59	0.8647	1.6756	0.5317	25.5888	7	12	29	1.714285714	0.236628957	0.304471884	8.75	3.026315789	2.933140833	2.883718333	3.034276926	12	76	NA	27.9	16.4	3.7	NA
PET0438	PET0438	6.619346827	41.19320013	6.223151801	15.66666667	2.739055028	3.281525254	1.309736246	9.240736301	3.374829008	2.515885713	308.2545	4600.5786	51.9007	60.452	110.8287	112.268	113.2824	1.873923113	1.8571	2.1354	2.1442	0.2773	1.0294	0.2694	0.0889	0.2212	0.3861	0.1336	53.8072	31.6547	0.0016	180.5931	164.6617	0.0127	0.0242	0.4686	0.0683	1.5372	0.7048	0.7623	0.8588	0.8875	2.02	0.382	16.6958	14	13	38	0.928571429	0.303340694	0.341273445	8.9625	2.225206897	2.843359722	3.275780556	2.735989132	14.5	75.8	NA	42.7	28.3	2	12
PET0439	PET0439	7.467805482	38.58490101	5.166832626	13	2.447521884	3.928257062	1.203808949	10.6887232	4.384931818	3.263134457	295.3652	3718.7524	44.196	47.0747	114.046	121.158	118.7265	2.522087236	2.5737	2.5805	2.6915	0.3391	0.4751	0.7137	0.074	0.2834	0.3714	0	58.5039	49.989	0	69.9015	88.3738	0.0008	0.0503	0.2472	0.1022	0.8357	0.6358	0.7566	0.8905	0.892	2.4931	0.2891	25.6197	14	10	38	0.714285714	0.156052249	0.201177347	8.630952381	3.353358596	2.782432275	3.066087831	2.814972322	17.2	57.6	NA	42.2	23.6	1.6	12
PET0440	PET0440	7.151297623	41.1289226	5.751253097	16	3.153165179	4.679580278	1.593886196	12.42294287	3.948062471	2.935157986	382.1921	5859.8951	54.6947	66.548	139.192	143.3407	139.3078	2.093343151	2.1539	2.5449	2.4851	0.1997	0.9133	0.2186	0.1023	0.2677	0.3248	0.1111	88.2102	36.7468	0.0024	111.8449	116.4823	0	0	0.4246	0.1917	2.0627	0.6813	0.4681	0.5574	0.8751	1.3515	0.5541	21.8708	12	12	38	1	0.303104717	0.360239569	11.16863475	2.927780606	3.786817853	3.594999044	3.106714247	17.1	66.3	34.8	74	40.9	2	13
