bam	gvcf	name	species	population	is_wild	project
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1127.bam	/scratch/jslegare/data/gwas/variants/ANN1127.bam.g.vcf.gz	ANN1127	Ann	ANN_33	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1373.bam	/scratch/jslegare/data/gwas/variants/ANN1373.bam.g.vcf.gz	ANN1373	Ann	ANN_58	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1133.bam	/scratch/jslegare/data/gwas/variants/ANN1133.bam.g.vcf.gz	ANN1133	Ann	ANN_34	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1134.bam	/scratch/jslegare/data/gwas/variants/ANN1134.bam.g.vcf.gz	ANN1134	Ann	ANN_34	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1337.bam	/scratch/jslegare/data/gwas/variants/ANN1337.bam.g.vcf.gz	ANN1337	Ann	ANN_54	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1338.bam	/scratch/jslegare/data/gwas/variants/ANN1338.bam.g.vcf.gz	ANN1338	Ann	ANN_54	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0985.bam	/scratch/jslegare/data/gwas/variants/ANN0985.bam.g.vcf.gz	ANN0985	Ann	ANN_19	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0986.bam	/scratch/jslegare/data/gwas/variants/ANN0986.bam.g.vcf.gz	ANN0986	Ann	ANN_19	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0813.bam	/scratch/jslegare/data/gwas/variants/ANN0813.bam.g.vcf.gz	ANN0813	Ann	ANN_02	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0814.bam	/scratch/jslegare/data/gwas/variants/ANN0814.bam.g.vcf.gz	ANN0814	Ann	ANN_02	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0837.bam	/scratch/jslegare/data/gwas/variants/ANN0837.bam.g.vcf.gz	ANN0837	Ann	ANN_04	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0860.bam	/scratch/jslegare/data/gwas/variants/ANN0860.bam.g.vcf.gz	ANN0860	Ann	ANN_06	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0863.bam	/scratch/jslegare/data/gwas/variants/ANN0863.bam.g.vcf.gz	ANN0863	Ann	ANN_07	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0883.bam	/scratch/jslegare/data/gwas/variants/ANN0883.bam.g.vcf.gz	ANN0883	Ann	ANN_09	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0901.bam	/scratch/jslegare/data/gwas/variants/ANN0901.bam.g.vcf.gz	ANN0901	Ann	ANN_11	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0918.bam	/scratch/jslegare/data/gwas/variants/ANN0918.bam.g.vcf.gz	ANN0918	Ann	ANN_12	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0920.bam	/scratch/jslegare/data/gwas/variants/ANN0920.bam.g.vcf.gz	ANN0920	Ann	ANN_12	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0925.bam	/scratch/jslegare/data/gwas/variants/ANN0925.bam.g.vcf.gz	ANN0925	Ann	ANN_13	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0926.bam	/scratch/jslegare/data/gwas/variants/ANN0926.bam.g.vcf.gz	ANN0926	Ann	ANN_13	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0930.bam	/scratch/jslegare/data/gwas/variants/ANN0930.bam.g.vcf.gz	ANN0930	Ann	ANN_13	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0931.bam	/scratch/jslegare/data/gwas/variants/ANN0931.bam.g.vcf.gz	ANN0931	Ann	ANN_14	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0932.bam	/scratch/jslegare/data/gwas/variants/ANN0932.bam.g.vcf.gz	ANN0932	Ann	ANN_14	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0940.bam	/scratch/jslegare/data/gwas/variants/ANN0940.bam.g.vcf.gz	ANN0940	Ann	ANN_14	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0947.bam	/scratch/jslegare/data/gwas/variants/ANN0947.bam.g.vcf.gz	ANN0947	Ann	ANN_15	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0956.bam	/scratch/jslegare/data/gwas/variants/ANN0956.bam.g.vcf.gz	ANN0956	Ann	ANN_16	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN0995.bam	/scratch/jslegare/data/gwas/variants/ANN0995.bam.g.vcf.gz	ANN0995	Ann	ANN_20	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1002.bam	/scratch/jslegare/data/gwas/variants/ANN1002.bam.g.vcf.gz	ANN1002	Ann	ANN_21	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1009.bam	/scratch/jslegare/data/gwas/variants/ANN1009.bam.g.vcf.gz	ANN1009	Ann	ANN_21	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1015.bam	/scratch/jslegare/data/gwas/variants/ANN1015.bam.g.vcf.gz	ANN1015	Ann	ANN_22	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1016.bam	/scratch/jslegare/data/gwas/variants/ANN1016.bam.g.vcf.gz	ANN1016	Ann	ANN_22	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1034.bam	/scratch/jslegare/data/gwas/variants/ANN1034.bam.g.vcf.gz	ANN1034	Ann	ANN_24	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1039.bam	/scratch/jslegare/data/gwas/variants/ANN1039.bam.g.vcf.gz	ANN1039	Ann	ANN_24	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1057.bam	/scratch/jslegare/data/gwas/variants/ANN1057.bam.g.vcf.gz	ANN1057	Ann	ANN_26	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1060.bam	/scratch/jslegare/data/gwas/variants/ANN1060.bam.g.vcf.gz	ANN1060	Ann	ANN_26	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1061.bam	/scratch/jslegare/data/gwas/variants/ANN1061.bam.g.vcf.gz	ANN1061	Ann	ANN_27	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1063.bam	/scratch/jslegare/data/gwas/variants/ANN1063.bam.g.vcf.gz	ANN1063	Ann	ANN_27	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1065.bam	/scratch/jslegare/data/gwas/variants/ANN1065.bam.g.vcf.gz	ANN1065	Ann	ANN_27	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1066.bam	/scratch/jslegare/data/gwas/variants/ANN1066.bam.g.vcf.gz	ANN1066	Ann	ANN_27	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1074.bam	/scratch/jslegare/data/gwas/variants/ANN1074.bam.g.vcf.gz	ANN1074	Ann	ANN_28	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1084.bam	/scratch/jslegare/data/gwas/variants/ANN1084.bam.g.vcf.gz	ANN1084	Ann	ANN_29	wild	wild_gwas
