chr	variable	window	start	end	median_bayes
Ha412HOChr01	pH	1270	107141967	107310856	-1.22954501
Ha412HOChr02	PERCENT_NA	1710	169262123	169263968	-0.9342582349999999
Ha412HOChr02	sodium	1710	169262123	169263968	-0.387467645
Ha412HOChr02	SOL_SALTS	6	2799866	2867894	1.70353549
Ha412HOChr02	SOL_SALTS	7	2868010	2882377	2.6147853149999998
Ha412HOChr02	SOL_SALTS	1710	169262123	169263968	3.8104823
Ha412HOChr03	BICARB	628	53969214	54373637	-2.4121605749999997
Ha412HOChr03	CA	660	58805786	59009604	4.32428551
Ha412HOChr03	CA	663	59493898	59513930	-0.48044138
Ha412HOChr03	CA	676	60132726	60142581	1.66461264
Ha412HOChr03	CEC	660	58805786	59009604	1.97175742
Ha412HOChr03	CEC	676	60132726	60142581	0.615386355
Ha412HOChr04	BICARB	2078	210230923	210424234	1.00238306
Ha412HOChr04	OM	2078	210230923	210424234	4.368206205
Ha412HOChr06	BICARB	2000	136615558	136618897	-0.64721045
Ha412HOChr06	BICARB	2053	141619192	141629906	-2.180180215
Ha412HOChr06	K	1889	122053322	122195086	5.41067084
Ha412HOChr06	K	1897	122780833	122871926	7.343521655
Ha412HOChr06	K	1898	122871994	122882176	7.31345992
Ha412HOChr06	K	1915	124843527	124851094	5.605300355
Ha412HOChr06	K	1918	125100042	125115595	5.036732445
Ha412HOChr06	K	1919	125115749	125321133	5.245163144999999
Ha412HOChr06	K	1982	135346178	135384996	5.3436831950000006
Ha412HOChr06	K	1984	135711215	135714497	8.008420260000001
Ha412HOChr06	MG	1898	122871994	122882176	4.756705935
Ha412HOChr06	MG	1916	124851123	125023270	5.09687099
Ha412HOChr06	MG	1919	125115749	125321133	5.03486519
Ha412HOChr06	MG	1984	135711215	135714497	7.070402455
Ha412HOChr06	P1	1733	93841704	93856890	-1.9553137600000001
Ha412HOChr06	P1	2044	140322920	140349610	-2.541688615
Ha412HOChr06	P2	1786	102786601	102827812	1.758578785
Ha412HOChr06	P2	1853	113175572	113345889	3.25738425
Ha412HOChr06	P2	1860	113771612	113785182	4.120714015
Ha412HOChr06	P2	1867	114822220	114836106	2.267399245
Ha412HOChr06	P2	1868	114836120	115196577	5.78173724
Ha412HOChr06	P2	1869	115196625	115200810	8.914181175
Ha412HOChr06	P2	1871	115479824	115489320	4.4854574750000005
Ha412HOChr06	P2	1872	115489336	115574587	5.6432649050000006
Ha412HOChr06	P2	1982	135346178	135384996	2.4250336700000004
Ha412HOChr06	P2	1984	135711215	135714497	1.821257605
Ha412HOChr06	PERCENT_K	1889	122053322	122195086	2.28425011
Ha412HOChr06	PERCENT_K	1897	122780833	122871926	4.788946559999999
Ha412HOChr06	PERCENT_K	1898	122871994	122882176	4.036691055
Ha412HOChr06	PERCENT_MG	1889	122053322	122195086	1.30478544
Ha412HOChr06	PERCENT_MG	1897	122780833	122871926	4.418367314999999
Ha412HOChr06	PERCENT_MG	1898	122871994	122882176	2.51079236
Ha412HOChr06	PERCENT_MG	1918	125100042	125115595	0.995175825
Ha412HOChr06	PERCENT_MG	1919	125115749	125321133	1.2727788649999998
Ha412HOChr06	pH	1889	122053322	122195086	-2.08882749
Ha412HOChr07	P1	194	22159533	22297864	-2.82177331
Ha412HOChr07	P1	1116	138651587	138664215	-0.86255844
Ha412HOChr07	SOL_SALTS	375	67985648	68237218	1.70320348
Ha412HOChr08	MG	1454	83842639	83845808	8.007672465
Ha412HOChr08	MG	1458	84204571	84209715	5.254206445
Ha412HOChr08	MG	1460	84216118	84289717	4.829090165
Ha412HOChr08	PERCENT_CA	1436	81389233	81592570	-2.34501565
Ha412HOChr08	PERCENT_CA	1454	83842639	83845808	-2.43208291
Ha412HOChr08	pH	1454	83842639	83845808	0.40011203500000003
Ha412HOChr08	pH	1458	84204571	84209715	-1.89999042
Ha412HOChr08	pH	2251	172434133	172440746	-2.33739053
Ha412HOChr09	BICARB	7	1803834	1806899	0.76793303
Ha412HOChr09	OM	1370	129655254	129658808	6.746459925
Ha412HOChr09	P1	1386	130446073	130566175	-2.80485228
Ha412HOChr10	CA	1046	98211555	98242678	3.80289127
Ha412HOChr10	CEC	1046	98211555	98242678	0.72606503
Ha412HOChr10	PERCENT_CA	922	75606767	75799911	-1.991715295
Ha412HOChr10	PERCENT_CA	923	75799915	75805769	-1.4652927999999998
Ha412HOChr10	PERCENT_CA	936	77794468	77947271	1.3349047349999998
Ha412HOChr10	PERCENT_CA	937	77947283	78027879	-0.947834065
Ha412HOChr10	PERCENT_CA	1046	98211555	98242678	1.8074139900000001
Ha412HOChr10	PERCENT_NA	1045	98129027	98211544	-1.656069945
Ha412HOChr10	PERCENT_NA	1046	98211555	98242678	-0.772732
Ha412HOChr11	BICARB	1321	118375920	118377925	4.39567212
Ha412HOChr11	BICARB	1322	118377932	118417422	6.151309019999999
Ha412HOChr11	CA	1020	66848021	66930963	5.32319587
Ha412HOChr11	CA	1021	66930972	66972819	1.47698313
Ha412HOChr11	CA	1321	118375920	118377925	12.42224352
Ha412HOChr11	CA	1322	118377932	118417422	12.48571154
Ha412HOChr11	CEC	1020	66848021	66930963	4.693254319999999
Ha412HOChr11	CEC	1021	66930972	66972819	1.13676399
Ha412HOChr11	CEC	1321	118375920	118377925	10.22162234
Ha412HOChr11	CEC	1322	118377932	118417422	9.880626294999999
Ha412HOChr11	OM	458	25555130	25559410	8.960017455
Ha412HOChr11	OM	459	25559412	25662511	5.129285655
Ha412HOChr11	OM	467	26127216	26150509	6.00080986
Ha412HOChr11	OM	630	37386799	37394631	5.20127366
