chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	HT310_SK1A-17B	HT120_SK1A-22STAR	1875	4306
Ha412HOChr01	0	HT310_SK1A-17B	QPA3_SK1A-22	1722	4984
Ha412HOChr01	0	HT120_SK1A-22STAR	QPA3_SK1A-22	2168	4374
Ha412HOChr01	0	HT171_SK1A-11	HT310_SK1A-17B	1624	4744
Ha412HOChr01	0	HT171_SK1A-11	HT120_SK1A-22STAR	1391.5	4190
Ha412HOChr01	0	HT171_SK1A-11	QPA3_SK1A-22	2155	4772
Ha412HOChr01	1000000	HT310_SK1A-17B	HT120_SK1A-22STAR	1874	4446
Ha412HOChr01	1000000	HT310_SK1A-17B	QPA3_SK1A-22	1844.5	4834
Ha412HOChr01	1000000	HT120_SK1A-22STAR	QPA3_SK1A-22	1748	4268
Ha412HOChr01	1000000	HT171_SK1A-11	HT310_SK1A-17B	1990.5	4696
Ha412HOChr01	1000000	HT171_SK1A-11	HT120_SK1A-22STAR	1699.5	4422
Ha412HOChr01	1000000	HT171_SK1A-11	QPA3_SK1A-22	1880.5	4522
Ha412HOChr01	10000000	HT310_SK1A-17B	HT120_SK1A-22STAR	2010.5	3996
Ha412HOChr01	10000000	HT310_SK1A-17B	QPA3_SK1A-22	757.5	4222
Ha412HOChr01	10000000	HT120_SK1A-22STAR	QPA3_SK1A-22	1790	3818
Ha412HOChr01	10000000	HT171_SK1A-11	HT310_SK1A-17B	1950	4140
Ha412HOChr01	10000000	HT171_SK1A-11	HT120_SK1A-22STAR	1322	3870
Ha412HOChr01	10000000	HT171_SK1A-11	QPA3_SK1A-22	1773	4034
Ha412HOChr01	100000000	HT310_SK1A-17B	HT120_SK1A-22STAR	988	2038
Ha412HOChr01	100000000	HT310_SK1A-17B	QPA3_SK1A-22	771.5	2196
Ha412HOChr01	100000000	HT120_SK1A-22STAR	QPA3_SK1A-22	1062	2158
Ha412HOChr01	100000000	HT171_SK1A-11	HT310_SK1A-17B	685	1870
Ha412HOChr01	100000000	HT171_SK1A-11	HT120_SK1A-22STAR	758	1708
Ha412HOChr01	100000000	HT171_SK1A-11	QPA3_SK1A-22	815.5	1824
Ha412HOChr01	101000000	HT310_SK1A-17B	HT120_SK1A-22STAR	690.5	2188
Ha412HOChr01	101000000	HT310_SK1A-17B	QPA3_SK1A-22	569.5	2448
Ha412HOChr01	101000000	HT120_SK1A-22STAR	QPA3_SK1A-22	605	2138
Ha412HOChr01	101000000	HT171_SK1A-11	HT310_SK1A-17B	986.5	2292
Ha412HOChr01	101000000	HT171_SK1A-11	HT120_SK1A-22STAR	851.5	2014
Ha412HOChr01	101000000	HT171_SK1A-11	QPA3_SK1A-22	976.5	2218
Ha412HOChr01	102000000	HT310_SK1A-17B	HT120_SK1A-22STAR	1404	3400
Ha412HOChr01	102000000	HT310_SK1A-17B	QPA3_SK1A-22	1426	3666
Ha412HOChr01	102000000	HT120_SK1A-22STAR	QPA3_SK1A-22	1350.5	3358
Ha412HOChr01	102000000	HT171_SK1A-11	HT310_SK1A-17B	1241.5	3486
Ha412HOChr01	102000000	HT171_SK1A-11	HT120_SK1A-22STAR	1380	3166
Ha412HOChr01	102000000	HT171_SK1A-11	QPA3_SK1A-22	1156	3406
Ha412HOChr01	103000000	HT310_SK1A-17B	HT120_SK1A-22STAR	1573	3370
Ha412HOChr01	103000000	HT310_SK1A-17B	QPA3_SK1A-22	1541.5	4026
Ha412HOChr01	103000000	HT120_SK1A-22STAR	QPA3_SK1A-22	1665	3368
