chr	start	end	id	variable
Ha412HOChr11	25730021	25733332	Ha412HOChr11g0489511	OM
Ha412HOChr11	51049589	51053961	Ha412HOChr11g0496861	OM
Ha412HOChr11	51055318	51056875	Ha412HOChr11g0496881	OM
Ha412HOChr15	121780414	121785441	Ha412HOChr15g0732431	P1
Ha412HOChr06	113768302	113778273	Ha412HOChr06g0279031	P2
Ha412HOChr06	115196142	115199604	Ha412HOChr06g0279241	P2
Ha412HOChr06	115143391	115144418	Ha412HOChr06g0279221	P2
Ha412HOChr06	115478381	115490053	Ha412HOChr06g0279281	P2
Ha412HOChr14	142425353	142426045	Ha412HOChr14g0669941	P2
Ha412HOChr06	122873091	122874554	Ha412HOChr06g0280251	K
Ha412HOChr06	125100951	125110476	Ha412HOChr06g0280561	K
Ha412HOChr06	125103780	125105843	Ha412HOChr06g0280581	K
Ha412HOChr06	135383520	135385193	Ha412HOChr06g0281731	K
Ha412HOChr01	33829644	33835337	Ha412HOChr01g0007661	MG
Ha412HOChr06	124841766	124848781	Ha412HOChr06g0280511	MG
Ha412HOChr06	125113817	125118712	Ha412HOChr06g0280591	MG
Ha412HOChr06	125100951	125110476	Ha412HOChr06g0280561	MG
Ha412HOChr06	125103780	125105843	Ha412HOChr06g0280581	MG
Ha412HOChr06	135383520	135385193	Ha412HOChr06g0281731	MG
Ha412HOChr08	83842178	83846537	Ha412HOChr08g0354051	MG
Ha412HOChr08	84202784	84217659	Ha412HOChr08g0354111	MG
Ha412HOChr08	84289690	84291268	Ha412HOChr08g0354131	MG
Ha412HOChr15	121780414	121785441	Ha412HOChr15g0732431	MG
Ha412HOChr17	138396493	138397764	Ha412HOChr17g0842431	MG
Ha412HOChr03	59500949	59511852	Ha412HOChr03g0105291	CA
Ha412HOChr11	66847659	66851899	Ha412HOChr11g0501501	CA
Ha412HOChr11	66929951	66933187	Ha412HOChr11g0501521	CA
Ha412HOChr11	75318381	75328038	Ha412HOChr11g0503201	CA
Ha412HOChr11	118364700	118379836	Ha412HOChr11g0509281	CA
Ha412HOChr11	118416523	118419785	Ha412HOChr11g0509311	CA
Ha412HOChr12	80966929	80968424	Ha412HOChr12g0561921	CA
Ha412HOChr06	125100951	125110476	Ha412HOChr06g0280561	pH
Ha412HOChr06	125103780	125105843	Ha412HOChr06g0280581	pH
Ha412HOChr08	83842178	83846537	Ha412HOChr08g0354051	pH
Ha412HOChr11	118351379	118359425	Ha412HOChr11g0509271	pH
Ha412HOChr11	118364700	118379836	Ha412HOChr11g0509281	pH
Ha412HOChr11	118416523	118419785	Ha412HOChr11g0509311	pH
Ha412HOChr15	121780414	121785441	Ha412HOChr15g0732431	pH
Ha412HOChr03	59513529	59524029	Ha412HOChr03g0105311	CEC
Ha412HOChr06	141618064	141623977	Ha412HOChr06g0282901	CEC
Ha412HOChr11	66847659	66851899	Ha412HOChr11g0501501	CEC
Ha412HOChr11	66929951	66933187	Ha412HOChr11g0501521	CEC
Ha412HOChr11	118364700	118379836	Ha412HOChr11g0509281	CEC
Ha412HOChr12	80966929	80968424	Ha412HOChr12g0561921	CEC
Ha412HOChr07	67942715	67946611	Ha412HOChr07g0297771	PERCENT_K
Ha412HOChr11	118364700	118379836	Ha412HOChr11g0509281	PERCENT_K
Ha412HOChr11	118416523	118419785	Ha412HOChr11g0509311	PERCENT_K
Ha412HOChr12	50812285	50817336	Ha412HOChr12g0554391	PERCENT_K
Ha412HOChr17	138396493	138397764	Ha412HOChr17g0842431	PERCENT_K
Ha412HOChr08	83842178	83846537	Ha412HOChr08g0354051	PERCENT_MG
Ha412HOChr11	118364700	118379836	Ha412HOChr11g0509281	PERCENT_MG
Ha412HOChr11	118416523	118419785	Ha412HOChr11g0509311	PERCENT_MG
Ha412HOChr12	80966929	80968424	Ha412HOChr12g0561921	PERCENT_MG
Ha412HOChr17	138396493	138397764	Ha412HOChr17g0842431	PERCENT_MG
Ha412HOChr08	172487997	172501362	Ha412HOChr08g0370681	PERCENT_CA
Ha412HOChr11	118364700	118379836	Ha412HOChr11g0509281	PERCENT_CA
Ha412HOChr02	169229139	169267961	Ha412HOChr02g0084321	SOL_SALTS
Ha412HOChr12	50679229	50679810	Ha412HOChr12g0554351	SOL_SALTS
Ha412HOChr08	81786812	81791012	Ha412HOChr08g0353661	latitude_e
Ha412HOChr09	162153970	162155764	Ha412HOChr09g0411571	latitude_e
Ha412HOChr12	49042558	49042981	Ha412HOChr12g0554231	latitude_e
Ha412HOChr12	50679229	50679810	Ha412HOChr12g0554351	latitude_e
Ha412HOChr12	50812285	50817336	Ha412HOChr12g0554391	latitude_e
Ha412HOChr12	51389998	51404145	Ha412HOChr12g0554491	latitude_e
Ha412HOChr12	51492428	51492726	Ha412HOChr12g0554501	latitude_e
Ha412HOChr12	51499315	51501140	Ha412HOChr12g0554511	latitude_e
Ha412HOChr12	51994296	51995474	Ha412HOChr12g0554621	latitude_e
Ha412HOChr12	52129169	52129408	Ha412HOChr12g0554691	latitude_e
Ha412HOChr01	35013369	35033878	Ha412HOChr01g0008011	longitude_e
Ha412HOChr01	35025021	35044125	Ha412HOChr01g0008021	longitude_e
Ha412HOChr02	146558759	146561148	Ha412HOChr02g0078391	longitude_e
Ha412HOChr02	146633069	146637040	Ha412HOChr02g0078411	longitude_e
Ha412HOChr02	146586199	146586513	Ha412HOChr02g0078401	longitude_e
Ha412HOChr06	129050039	129061611	Ha412HOChr06g0281161	longitude_e
Ha412HOChr12	48921486	48923971	Ha412HOChr12g0554201	longitude_e
Ha412HOChr12	50679229	50679810	Ha412HOChr12g0554351	longitude_e
Ha412HOChr12	55002202	55004562	Ha412HOChr12g0554991	longitude_e
Ha412HOChr17	13833914	13838721	Ha412HOChr17g0811561	longitude_e
Ha412HOChr17	13812722	13819460	Ha412HOChr17g0811531	longitude_e
Ha412HOChr17	13878444	13890490	Ha412HOChr17g0811571	longitude_e
Ha412HOChr17	20746327	20747777	Ha412HOChr17g0814851	longitude_e
Ha412HOChr17	20746508	20747854	Ha412HOChr17g0814861	longitude_e
Ha412HOChr17	138396493	138397764	Ha412HOChr17g0842431	longitude_e
Ha412HOChr01	35013369	35033878	Ha412HOChr01g0008011	elevation_e
Ha412HOChr01	35025021	35044125	Ha412HOChr01g0008021	elevation_e
Ha412HOChr02	146558759	146561148	Ha412HOChr02g0078391	elevation_e
Ha412HOChr02	146633069	146637040	Ha412HOChr02g0078411	elevation_e
Ha412HOChr02	146586199	146586513	Ha412HOChr02g0078401	elevation_e
Ha412HOChr03	58803130	58809095	Ha412HOChr03g0105231	elevation_e
Ha412HOChr12	49471544	49472953	Ha412HOChr12g0554271	elevation_e
Ha412HOChr12	49468713	49470553	Ha412HOChr12g0554261	elevation_e
Ha412HOChr12	50679229	50679810	Ha412HOChr12g0554351	elevation_e
Ha412HOChr12	50812285	50817336	Ha412HOChr12g0554391	elevation_e
Ha412HOChr12	51492428	51492726	Ha412HOChr12g0554501	elevation_e
Ha412HOChr12	51499315	51501140	Ha412HOChr12g0554511	elevation_e
Ha412HOChr12	55002202	55004562	Ha412HOChr12g0554991	elevation_e
Ha412HOChr13	25873026	25882131	Ha412HOChr13g0587191	elevation_e
Ha412HOChr17	13878444	13890490	Ha412HOChr17g0811571	elevation_e
Ha412HOChr17	20746327	20747777	Ha412HOChr17g0814851	elevation_e
Ha412HOChr17	20746508	20747854	Ha412HOChr17g0814861	elevation_e
Ha412HOChr17	138396493	138397764	Ha412HOChr17g0842431	elevation_e
Ha412HOChr01	35025021	35044125	Ha412HOChr01g0008021	MAT_e
Ha412HOChr03	58803130	58809095	Ha412HOChr03g0105231	MAT_e
Ha412HOChr06	128668639	128675422	Ha412HOChr06g0281011	MAT_e
Ha412HOChr06	128991044	129001093	Ha412HOChr06g0281141	MAT_e
Ha412HOChr06	129050039	129061611	Ha412HOChr06g0281161	MAT_e
Ha412HOChr12	49042558	49042981	Ha412HOChr12g0554231	MAT_e
Ha412HOChr12	49471544	49472953	Ha412HOChr12g0554271	MAT_e
Ha412HOChr12	49468713	49470553	Ha412HOChr12g0554261	MAT_e
Ha412HOChr12	50679229	50679810	Ha412HOChr12g0554351	MAT_e
Ha412HOChr12	50798972	50799747	Ha412HOChr12g0554371	MAT_e
Ha412HOChr12	50800046	50802263	Ha412HOChr12g0554381	MAT_e
Ha412HOChr12	50812285	50817336	Ha412HOChr12g0554391	MAT_e
Ha412HOChr12	51389998	51404145	Ha412HOChr12g0554491	MAT_e
Ha412HOChr12	51492428	51492726	Ha412HOChr12g0554501	MAT_e
Ha412HOChr12	51499315	51501140	Ha412HOChr12g0554511	MAT_e
Ha412HOChr12	51994296	51995474	Ha412HOChr12g0554621	MAT_e
Ha412HOChr12	52129169	52129408	Ha412HOChr12g0554691	MAT_e
Ha412HOChr12	55002202	55004562	Ha412HOChr12g0554991	MAT_e
Ha412HOChr17	138396493	138397764	Ha412HOChr17g0842431	MAT_e
Ha412HOChr01	35013369	35033878	Ha412HOChr01g0008011	MWMT_e
Ha412HOChr01	35025021	35044125	Ha412HOChr01g0008021	MWMT_e
Ha412HOChr03	58803130	58809095	Ha412HOChr03g0105231	MWMT_e
Ha412HOChr12	49042558	49042981	Ha412HOChr12g0554231	MWMT_e
Ha412HOChr12	49471544	49472953	Ha412HOChr12g0554271	MWMT_e
Ha412HOChr12	49468713	49470553	Ha412HOChr12g0554261	MWMT_e
Ha412HOChr12	50679229	50679810	Ha412HOChr12g0554351	MWMT_e
Ha412HOChr12	50798972	50799747	Ha412HOChr12g0554371	MWMT_e
Ha412HOChr12	50800046	50802263	Ha412HOChr12g0554381	MWMT_e
Ha412HOChr12	50812285	50817336	Ha412HOChr12g0554391	MWMT_e
Ha412HOChr12	51389998	51404145	Ha412HOChr12g0554491	MWMT_e
Ha412HOChr12	51492428	51492726	Ha412HOChr12g0554501	MWMT_e
Ha412HOChr12	51499315	51501140	Ha412HOChr12g0554511	MWMT_e
Ha412HOChr12	55002202	55004562	Ha412HOChr12g0554991	MWMT_e
Ha412HOChr13	38405973	38406884	Ha412HOChr13g0589551	MWMT_e
Ha412HOChr17	20746327	20747777	Ha412HOChr17g0814851	MWMT_e
Ha412HOChr17	20746508	20747854	Ha412HOChr17g0814861	MWMT_e
Ha412HOChr17	138396493	138397764	Ha412HOChr17g0842431	MWMT_e
Ha412HOChr06	128991044	129001093	Ha412HOChr06g0281141	MCMT_e
Ha412HOChr06	129050039	129061611	Ha412HOChr06g0281161	MCMT_e
Ha412HOChr12	50679229	50679810	Ha412HOChr12g0554351	MCMT_e
Ha412HOChr02	146558759	146561148	Ha412HOChr02g0078391	TD_e
Ha412HOChr02	146633069	146637040	Ha412HOChr02g0078411	TD_e
Ha412HOChr02	146586199	146586513	Ha412HOChr02g0078401	TD_e
Ha412HOChr12	48630620	48636818	Ha412HOChr12g0554081	TD_e
Ha412HOChr12	48636810	48641859	Ha412HOChr12g0554091	TD_e
Ha412HOChr13	25873026	25882131	Ha412HOChr13g0587191	TD_e
Ha412HOChr13	34955994	34963975	Ha412HOChr13g0589111	TD_e
Ha412HOChr13	35720010	35723238	Ha412HOChr13g0589271	TD_e
Ha412HOChr13	35726662	35732882	Ha412HOChr13g0589301	TD_e
Ha412HOChr13	35725189	35725844	Ha412HOChr13g0589281	TD_e
Ha412HOChr13	37688632	37698512	Ha412HOChr13g0589461	TD_e
Ha412HOChr13	37698015	37698541	Ha412HOChr13g0589471	TD_e
Ha412HOChr13	38401845	38403249	Ha412HOChr13g0589541	TD_e
Ha412HOChr13	38405973	38406884	Ha412HOChr13g0589551	TD_e
Ha412HOChr13	40559175	40564828	Ha412HOChr13g0589801	TD_e
Ha412HOChr13	40566063	40573821	Ha412HOChr13g0589811	TD_e
Ha412HOChr01	33829644	33835337	Ha412HOChr01g0007661	MAP_e
Ha412HOChr02	146558759	146561148	Ha412HOChr02g0078391	MAP_e
Ha412HOChr02	146633069	146637040	Ha412HOChr02g0078411	MAP_e
Ha412HOChr02	146586199	146586513	Ha412HOChr02g0078401	MAP_e
Ha412HOChr06	122780674	122784970	Ha412HOChr06g0280231	MAP_e
Ha412HOChr06	122873091	122874554	Ha412HOChr06g0280251	MAP_e
Ha412HOChr06	124851700	124852458	Ha412HOChr06g0280521	MAP_e
Ha412HOChr08	144341097	144343765	Ha412HOChr08g0367141	MAP_e
Ha412HOChr12	50679229	50679810	Ha412HOChr12g0554351	MAP_e
Ha412HOChr12	50812285	50817336	Ha412HOChr12g0554391	MAP_e
Ha412HOChr12	51389998	51404145	Ha412HOChr12g0554491	MAP_e
Ha412HOChr12	51492428	51492726	Ha412HOChr12g0554501	MAP_e
Ha412HOChr12	51499315	51501140	Ha412HOChr12g0554511	MAP_e
Ha412HOChr17	20746327	20747777	Ha412HOChr17g0814851	MAP_e
Ha412HOChr17	20746508	20747854	Ha412HOChr17g0814861	MAP_e
Ha412HOChr17	138396493	138397764	Ha412HOChr17g0842431	MAP_e
Ha412HOChr01	35013369	35033878	Ha412HOChr01g0008011	MSP_e
Ha412HOChr01	35025021	35044125	Ha412HOChr01g0008021	MSP_e
Ha412HOChr02	146558759	146561148	Ha412HOChr02g0078391	MSP_e
Ha412HOChr02	146633069	146637040	Ha412HOChr02g0078411	MSP_e
Ha412HOChr02	146586199	146586513	Ha412HOChr02g0078401	MSP_e
Ha412HOChr12	50679229	50679810	Ha412HOChr12g0554351	MSP_e
Ha412HOChr12	50812285	50817336	Ha412HOChr12g0554391	MSP_e
Ha412HOChr12	51499315	51501140	Ha412HOChr12g0554511	MSP_e
Ha412HOChr17	20746327	20747777	Ha412HOChr17g0814851	MSP_e
Ha412HOChr17	20746508	20747854	Ha412HOChr17g0814861	MSP_e
Ha412HOChr17	138396493	138397764	Ha412HOChr17g0842431	MSP_e
Ha412HOChr02	146558759	146561148	Ha412HOChr02g0078391	AHM_e
Ha412HOChr02	146633069	146637040	Ha412HOChr02g0078411	AHM_e
Ha412HOChr06	122780674	122784970	Ha412HOChr06g0280231	AHM_e
Ha412HOChr06	122873091	122874554	Ha412HOChr06g0280251	AHM_e
Ha412HOChr15	27140888	27147929	Ha412HOChr15g0706141	AHM_e
Ha412HOChr15	27158783	27162920	Ha412HOChr15g0706151	AHM_e
Ha412HOChr17	138396493	138397764	Ha412HOChr17g0842431	AHM_e
Ha412HOChr02	146558759	146561148	Ha412HOChr02g0078391	SHM_e
Ha412HOChr02	146633069	146637040	Ha412HOChr02g0078411	SHM_e
Ha412HOChr17	137107865	137110234	Ha412HOChr17g0842251	SHM_e
Ha412HOChr17	137110236	137111371	Ha412HOChr17g0842261	SHM_e
Ha412HOChr17	137353221	137353820	Ha412HOChr17g0842291	SHM_e
Ha412HOChr17	138396493	138397764	Ha412HOChr17g0842431	SHM_e
Ha412HOChr01	36218660	36223082	Ha412HOChr01g0008271	DD_0_e
Ha412HOChr06	128991044	129001093	Ha412HOChr06g0281141	DD_0_e
Ha412HOChr06	129050039	129061611	Ha412HOChr06g0281161	DD_0_e
Ha412HOChr11	118364700	118379836	Ha412HOChr11g0509281	DD_0_e
Ha412HOChr12	49042558	49042981	Ha412HOChr12g0554231	DD_0_e
Ha412HOChr12	50679229	50679810	Ha412HOChr12g0554351	DD_0_e
Ha412HOChr16	212071158	212079209	Ha412HOChr16g0802301	DD_0_e
Ha412HOChr16	212709033	212710638	Ha412HOChr16g0802501	DD_0_e
Ha412HOChr01	35013369	35033878	Ha412HOChr01g0008011	DD5_e
Ha412HOChr01	35025021	35044125	Ha412HOChr01g0008021	DD5_e
Ha412HOChr03	58803130	58809095	Ha412HOChr03g0105231	DD5_e
Ha412HOChr06	128668639	128675422	Ha412HOChr06g0281011	DD5_e
Ha412HOChr06	128991044	129001093	Ha412HOChr06g0281141	DD5_e
Ha412HOChr12	49042558	49042981	Ha412HOChr12g0554231	DD5_e
Ha412HOChr12	49471544	49472953	Ha412HOChr12g0554271	DD5_e
Ha412HOChr12	49468713	49470553	Ha412HOChr12g0554261	DD5_e
Ha412HOChr12	50679229	50679810	Ha412HOChr12g0554351	DD5_e
