chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	ANN1224	ANN1073	931.5	3014
Ha412HOChr01	0	PET0465	ANN1224	1665	3014
Ha412HOChr01	0	PET0465	ANN1073	1681.5	3014
Ha412HOChr01	1000000	ANN1224	ANN1073	1923	5002
Ha412HOChr01	1000000	PET0465	ANN1224	2406	5002
Ha412HOChr01	1000000	PET0465	ANN1073	2380	5002
Ha412HOChr01	10000000	ANN1224	ANN1073	1309.5	3090
Ha412HOChr01	10000000	PET0465	ANN1224	1880	3090
Ha412HOChr01	10000000	PET0465	ANN1073	1927	3090
Ha412HOChr01	100000000	ANN1224	ANN1073	406.5	1012
Ha412HOChr01	100000000	PET0465	ANN1224	538.5	1012
Ha412HOChr01	100000000	PET0465	ANN1073	555	1012
Ha412HOChr01	101000000	ANN1224	ANN1073	450	1538
Ha412HOChr01	101000000	PET0465	ANN1224	913.5	1538
Ha412HOChr01	101000000	PET0465	ANN1073	924	1538
Ha412HOChr01	102000000	ANN1224	ANN1073	1165	3240
Ha412HOChr01	102000000	PET0465	ANN1224	1739.5	3240
Ha412HOChr01	102000000	PET0465	ANN1073	1680	3240
Ha412HOChr01	103000000	ANN1224	ANN1073	456.5	2084
Ha412HOChr01	103000000	PET0465	ANN1224	1249	2084
Ha412HOChr01	103000000	PET0465	ANN1073	1214	2084
Ha412HOChr01	104000000	ANN1224	ANN1073	1324	3594
Ha412HOChr01	104000000	PET0465	ANN1224	1932	3594
Ha412HOChr01	104000000	PET0465	ANN1073	2074	3594
Ha412HOChr01	105000000	ANN1224	ANN1073	134	1098
Ha412HOChr01	105000000	PET0465	ANN1224	861.5	1098
Ha412HOChr01	105000000	PET0465	ANN1073	891	1098
Ha412HOChr01	106000000	ANN1224	ANN1073	809.5	2850
Ha412HOChr01	106000000	PET0465	ANN1224	1838.5	2850
Ha412HOChr01	106000000	PET0465	ANN1073	1798	2850
Ha412HOChr01	107000000	ANN1224	ANN1073	1039	3028
Ha412HOChr01	107000000	PET0465	ANN1224	1688	3028
Ha412HOChr01	107000000	PET0465	ANN1073	1778.5	3028
Ha412HOChr01	108000000	ANN1224	ANN1073	680.5	2128
Ha412HOChr01	108000000	PET0465	ANN1224	1274	2128
Ha412HOChr01	108000000	PET0465	ANN1073	1257	2128
Ha412HOChr01	109000000	ANN1224	ANN1073	925	2734
Ha412HOChr01	109000000	PET0465	ANN1224	1476.5	2734
Ha412HOChr01	109000000	PET0465	ANN1073	1537	2734
Ha412HOChr01	11000000	ANN1224	ANN1073	712.5	1804
Ha412HOChr01	11000000	PET0465	ANN1224	1078	1804
Ha412HOChr01	11000000	PET0465	ANN1073	961.5	1804
Ha412HOChr01	110000000	ANN1224	ANN1073	433.5	1708
Ha412HOChr01	110000000	PET0465	ANN1224	994.5	1708
Ha412HOChr01	110000000	PET0465	ANN1073	1017	1708
Ha412HOChr01	111000000	ANN1224	ANN1073	457	2340
Ha412HOChr01	111000000	PET0465	ANN1224	1382	2340
Ha412HOChr01	111000000	PET0465	ANN1073	1389.5	2340
Ha412HOChr01	112000000	ANN1224	ANN1073	678.5	3068
Ha412HOChr01	112000000	PET0465	ANN1224	1866.5	3068
Ha412HOChr01	112000000	PET0465	ANN1073	1879	3068
Ha412HOChr01	113000000	ANN1224	ANN1073	1522	4142
Ha412HOChr01	113000000	PET0465	ANN1224	2208	4142
Ha412HOChr01	113000000	PET0465	ANN1073	2288.5	4142
Ha412HOChr01	114000000	ANN1224	ANN1073	1417	3598
Ha412HOChr01	114000000	PET0465	ANN1224	1843.5	3598
Ha412HOChr01	114000000	PET0465	ANN1073	1884	3598
Ha412HOChr01	115000000	ANN1224	ANN1073	1161	3276
Ha412HOChr01	115000000	PET0465	ANN1224	1734.5	3276
Ha412HOChr01	115000000	PET0465	ANN1073	1800	3276
Ha412HOChr01	116000000	ANN1224	ANN1073	1188.5	3444
Ha412HOChr01	116000000	PET0465	ANN1224	1851	3444
Ha412HOChr01	116000000	PET0465	ANN1073	1810	3444
Ha412HOChr01	117000000	ANN1224	ANN1073	1866.5	5302
Ha412HOChr01	117000000	PET0465	ANN1224	2654.5	5302
Ha412HOChr01	117000000	PET0465	ANN1073	2656	5302
Ha412HOChr01	118000000	ANN1224	ANN1073	1654.5	4756
Ha412HOChr01	118000000	PET0465	ANN1224	2541.5	4756
Ha412HOChr01	118000000	PET0465	ANN1073	2495.5	4756
Ha412HOChr01	119000000	ANN1224	ANN1073	1235.5	2990
Ha412HOChr01	119000000	PET0465	ANN1224	1377.5	2990
Ha412HOChr01	119000000	PET0465	ANN1073	1388	2990
Ha412HOChr01	12000000	ANN1224	ANN1073	529	2076
Ha412HOChr01	12000000	PET0465	ANN1224	1250	2076
Ha412HOChr01	12000000	PET0465	ANN1073	1201.5	2076
Ha412HOChr01	120000000	ANN1224	ANN1073	1241.5	4392
Ha412HOChr01	120000000	PET0465	ANN1224	2607	4392
Ha412HOChr01	120000000	PET0465	ANN1073	2567.5	4392
Ha412HOChr01	121000000	ANN1224	ANN1073	2137	5124
Ha412HOChr01	121000000	PET0465	ANN1224	2548.5	5124
Ha412HOChr01	121000000	PET0465	ANN1073	2721	5124
Ha412HOChr01	122000000	ANN1224	ANN1073	1119.5	3090
Ha412HOChr01	122000000	PET0465	ANN1224	1556	3090
Ha412HOChr01	122000000	PET0465	ANN1073	1528	3090
Ha412HOChr01	123000000	ANN1224	ANN1073	2035.5	5298
Ha412HOChr01	123000000	PET0465	ANN1224	2292.5	5298
Ha412HOChr01	123000000	PET0465	ANN1073	2499.5	5298
Ha412HOChr01	124000000	ANN1224	ANN1073	923.5	2454
Ha412HOChr01	124000000	PET0465	ANN1224	1226	2454
Ha412HOChr01	124000000	PET0465	ANN1073	1281	2454
Ha412HOChr01	125000000	ANN1224	ANN1073	709.5	2142
Ha412HOChr01	125000000	PET0465	ANN1224	1126	2142
Ha412HOChr01	125000000	PET0465	ANN1073	1110	2142
Ha412HOChr01	126000000	ANN1224	ANN1073	1849.5	4434
Ha412HOChr01	126000000	PET0465	ANN1224	2242.5	4434
Ha412HOChr01	126000000	PET0465	ANN1073	2257	4434
Ha412HOChr01	127000000	ANN1224	ANN1073	1540.5	4718
Ha412HOChr01	127000000	PET0465	ANN1224	2412	4718
Ha412HOChr01	127000000	PET0465	ANN1073	2574.5	4718
Ha412HOChr01	128000000	ANN1224	ANN1073	1235.5	3448
Ha412HOChr01	128000000	PET0465	ANN1224	1802.5	3448
Ha412HOChr01	128000000	PET0465	ANN1073	1807	3448
Ha412HOChr01	129000000	ANN1224	ANN1073	975.5	3556
Ha412HOChr01	129000000	PET0465	ANN1224	2064.5	3556
Ha412HOChr01	129000000	PET0465	ANN1073	2012.5	3556
Ha412HOChr01	13000000	ANN1224	ANN1073	278	1812
Ha412HOChr01	13000000	PET0465	ANN1224	1251.5	1812
Ha412HOChr01	13000000	PET0465	ANN1073	1222	1812
Ha412HOChr01	130000000	ANN1224	ANN1073	2469.5	7428
Ha412HOChr01	130000000	PET0465	ANN1224	3664.5	7428
Ha412HOChr01	130000000	PET0465	ANN1073	3808	7428
Ha412HOChr01	131000000	ANN1224	ANN1073	2367.5	6010
Ha412HOChr01	131000000	PET0465	ANN1224	2961.5	6010
Ha412HOChr01	131000000	PET0465	ANN1073	2795	6010
Ha412HOChr01	132000000	ANN1224	ANN1073	1563.5	3772
Ha412HOChr01	132000000	PET0465	ANN1224	1906	3772
Ha412HOChr01	132000000	PET0465	ANN1073	1672	3772
Ha412HOChr01	133000000	ANN1224	ANN1073	1342	4014
Ha412HOChr01	133000000	PET0465	ANN1224	1984.5	4014
Ha412HOChr01	133000000	PET0465	ANN1073	2000	4014
Ha412HOChr01	134000000	ANN1224	ANN1073	2036	5598
Ha412HOChr01	134000000	PET0465	ANN1224	2726.5	5598
Ha412HOChr01	134000000	PET0465	ANN1073	2813.5	5598
Ha412HOChr01	135000000	ANN1224	ANN1073	987	2660
Ha412HOChr01	135000000	PET0465	ANN1224	1382.5	2660
Ha412HOChr01	135000000	PET0465	ANN1073	1317	2660
Ha412HOChr01	136000000	ANN1224	ANN1073	2727	7488
Ha412HOChr01	136000000	PET0465	ANN1224	3573	7488
Ha412HOChr01	136000000	PET0465	ANN1073	3774	7488
Ha412HOChr01	137000000	ANN1224	ANN1073	1423.5	4376
Ha412HOChr01	137000000	PET0465	ANN1224	2398.5	4376
Ha412HOChr01	137000000	PET0465	ANN1073	2413	4376
Ha412HOChr01	138000000	ANN1224	ANN1073	1662	4364
Ha412HOChr01	138000000	PET0465	ANN1224	2337	4364
Ha412HOChr01	138000000	PET0465	ANN1073	2339	4364
Ha412HOChr01	139000000	ANN1224	ANN1073	2208	6222
