Scaffold ID, scaffold position, LG, genetic position
Ha412HOChr14,159901308,14,30.50
Ha412HOChr10,7966525,10,21.99
Ha412HOChr05,48019219,5,56.74
Ha412HOChr04,216506386,4,96.10
Ha412HOChr01,136528165,1,33.33
Ha412HOChr12,17822662,12,38.30
Ha412HOChr08,25876285,8,41.84
Ha412HOChr16,118085946,16,49.65
Ha412HOChr01,150857115,1,57.09
Ha412HOChr05,23299171,5,53.55
Ha412HOChr05,164945588,5,63.83
Ha412HOChr08,8240006,8,28.01
Ha412HOChr05,47240693,5,56.74
Ha412HOChr09,194790254,16,49.65
Ha412HOChr05,150892293,5,63.83
Ha412HOChr10,157362784,10,49.29
Ha412HOChr06,51471339,6,41.84
Ha412HOChr08,8336999,8,28.01
Ha412HOChr10,10704816,10,26.60
Ha412HOChr16,78927345,16,49.65
Ha412HOChr07,157213934,7,49.65
Ha412HOChr10,186608308,10,89.36
Ha412HOChr06,10584548,6,25.53
Ha412HOChr06,48293668,6,41.84
Ha412HOChr08,21573855,8,39.36
Ha412HOChr04,193245216,4,60.99
Ha412HOChr10,3191742,10,10.28
Ha412HOChr17,1307105,17,0.00
Ha412HOChr14,120689018,14,15.25
Ha412HOChr07,161613683,7,59.22
Ha412HOChr16,190396251,16,62.77
Ha412HOChr15,27748286,15,40.07
Ha412HOChr09,138644328,9,37.59
Ha412HOChr11,177602808,11,60.28
Ha412HOChr16,64327910,16,49.65
Ha412HOChr06,10491194,6,25.18
Ha412HOChr11,28421727,11,50.00
Ha412HOChr10,187842385,10,96.10
Ha412HOChr11,179681388,11,60.99
Ha412HOChr08,37404206,8,44.33
Ha412HOChr12,2461950,12,24.82
Ha412HOChr12,99838265,12,59.22
Ha412HOChr08,174585581,8,62.77
Ha412HOChr01,94256125,1,20.57
Ha412HOChr15,10029061,15,34.04
Ha412HOChr14,107971383,14,10.99
Ha412HOChr08,2703574,8,15.60
Ha412HOChr16,210644778,16,89.01
Ha412HOChr14,126817387,14,18.79
Ha412HOChr05,159523018,5,63.83
Ha412HOChr05,121635885,5,58.87
Ha412HOChr04,198978867,4,61.35
Ha412HOChr03,166867952,3,34.75
Ha412HOChr10,18280125,10,30.14
Ha412HOChr08,51264181,8,45.74
Ha412HOChr15,23935992,15,39.72
Ha412HOChr04,30513605,4,47.16
Ha412HOChr17,10728497,17,25.53
Ha412HOChr14,185303814,14,60.28
Ha412HOChr03,171462432,3,37.59
Ha412HOChr10,171431931,10,53.19
Ha412HOChr15,8755374,15,25.89
Ha412HOChr11,5016529,11,16.67
Ha412HOChr02,175167744,2,36.52
Ha412HOChr08,124090623,8,62.41
Ha412HOChr10,115398111,10,44.68
Ha412HOChr01,142770568,1,42.55
Ha412HOChr09,132234517,9,32.62
Ha412HOChr14,135458390,14,21.99
Ha412HOChr12,9945298,12,0.00
Ha412HOChr14,96263255,14,5.67
Ha412HOChr02,30465319,2,26.95
Ha412HOChr09,116753099,9,23.05
Ha412HOChr04,153261560,4,55.32
Ha412HOChr03,114967755,3,13.12
Ha412HOChr11,39295820,11,50.71
Ha412HOChr16,142684051,16,50.71
Ha412HOChr02,155881663,2,31.21
Ha412HOChr15,23518487,15,39.36
Ha412HOChr08,589724,8,1.06
Ha412HOChr10,116259965,10,44.68
Ha412HOChr07,1464475,7,0.35
Ha412HOChr03,98626842,3,13.12
