group	start	end	chr	spe	species	dataset	mds
1	6199548	9699260	Ha412HOChr01	annuus	Annuus	env	neg1
1	148181142	177442806	Ha412HOChr05	annuus	Annuus	env	pos1
1	19370443	53975915	Ha412HOChr11	annuus	Annuus	env	pos1
1	8646123	107489458	Ha412HOChr13	annuus	Annuus	env	pos1
2	107525592	109416835	Ha412HOChr13	annuus	Annuus	env	pos1
3	109466243	109475871	Ha412HOChr13	annuus	Annuus	env	pos1
1	139223259	157756098	Ha412HOChr13	annuus	Annuus	env	pos2
1	101455802	129356206	Ha412HOChr14	annuus	Annuus	env	neg1
1	129356233	133235392	Ha412HOChr14	annuus	Annuus	env	neg4
2	133777301	134196566	Ha412HOChr14	annuus	Annuus	env	neg4
3	135046321	135377910	Ha412HOChr14	annuus	Annuus	env	neg4
1	103772702	176634307	Ha412HOChr15	annuus	Annuus	env	pos1
1	10542720	23486443	Ha412HOChr16	annuus	Annuus	env	neg1
1	147445328	159006308	Ha412HOChr16	annuus	Annuus	env	pos2
1	188468191	197519081	Ha412HOChr17	annuus	Annuus	env	neg2
1	42210710	42457211	Ha412HOChr03	argophyllus	Argophyllus	gwas	pos1
2	43701635	43807724	Ha412HOChr03	argophyllus	Argophyllus	gwas	pos1
3	44521626	78204102	Ha412HOChr03	argophyllus	Argophyllus	gwas	pos1
4	78991900	79840196	Ha412HOChr03	argophyllus	Argophyllus	gwas	pos1
5	80123927	83317909	Ha412HOChr03	argophyllus	Argophyllus	gwas	pos1
6	87571939	89113195	Ha412HOChr03	argophyllus	Argophyllus	gwas	pos1
7	98713561	98761502	Ha412HOChr03	argophyllus	Argophyllus	gwas	pos1
1	28583609	42210629	Ha412HOChr03	argophyllus	Argophyllus	gwas	pos2
1	130156472	153317127	Ha412HOChr06	argophyllus	Argophyllus	gwas	pos1
2	153577387	154165841	Ha412HOChr06	argophyllus	Argophyllus	gwas	pos1
3	154632762	154682381	Ha412HOChr06	argophyllus	Argophyllus	gwas	pos1
4	154786258	155011244	Ha412HOChr06	argophyllus	Argophyllus	gwas	pos1
5	155018155	155128857	Ha412HOChr06	argophyllus	Argophyllus	gwas	pos1
1	125435746	130156455	Ha412HOChr06	argophyllus	Argophyllus	gwas	pos4
1	31411456	67746700	Ha412HOChr07	argophyllus	Argophyllus	gwas	pos1
1	161242043	190205715	Ha412HOChr10	argophyllus	Argophyllus	gwas	neg1
2	190279711	190295665	Ha412HOChr10	argophyllus	Argophyllus	gwas	neg1
3	190339415	190694486	Ha412HOChr10	argophyllus	Argophyllus	gwas	neg1
1	15054101	64301922	Ha412HOChr14	argophyllus	Argophyllus	gwas	pos1
1	202452179	204242807	Ha412HOChr16	argophyllus	Argophyllus	gwas	pos3
2	205197484	205209334	Ha412HOChr16	argophyllus	Argophyllus	gwas	pos3
1	84585791	153837017	Ha412HOChr04	petpet	Petiolaris	petpet	pos1
10	205110665	205134048	Ha412HOChr04	petpet	Petiolaris	petpet	pos1
11	207463529	207568723	Ha412HOChr04	petpet	Petiolaris	petpet	pos1
12	208040809	208741890	Ha412HOChr04	petpet	Petiolaris	petpet	pos1
13	208917443	208932990	Ha412HOChr04	petpet	Petiolaris	petpet	pos1
2	154567045	156107051	Ha412HOChr04	petpet	Petiolaris	petpet	pos1
3	156593377	158270402	Ha412HOChr04	petpet	Petiolaris	petpet	pos1
4	158283530	160099912	Ha412HOChr04	petpet	Petiolaris	petpet	pos1
5	160474858	164725659	Ha412HOChr04	petpet	Petiolaris	petpet	pos1
6	164942761	167087670	Ha412HOChr04	petpet	Petiolaris	petpet	pos1
7	167247612	195159715	Ha412HOChr04	petpet	Petiolaris	petpet	pos1
8	197641780	197673721	Ha412HOChr04	petpet	Petiolaris	petpet	pos1
9	200813364	201000759	Ha412HOChr04	petpet	Petiolaris	petpet	pos1
1	156841528	179857212	Ha412HOChr05	petpet	Petiolaris	petpet	pos1
2	182105712	185834275	Ha412HOChr05	petpet	Petiolaris	petpet	pos1
1	19377671	56046922	Ha412HOChr06	petpet	Petiolaris	petpet	pos1
1	8592837	10582776	Ha412HOChr06	petpet	Petiolaris	petpet	neg4
1	116413196	129684908	Ha412HOChr07	petpet	Petiolaris	petpet	pos2
1	851380	1103431	Ha412HOChr07	petpet	Petiolaris	petpet	neg1
2	1329987	1363052	Ha412HOChr07	petpet	Petiolaris	petpet	neg1
3	1470322	2583099	Ha412HOChr07	petpet	Petiolaris	petpet	neg1
4	3311568	20040028	Ha412HOChr07	petpet	Petiolaris	petpet	neg1
5	20874265	22295908	Ha412HOChr07	petpet	Petiolaris	petpet	neg1
6	24284243	87532733	Ha412HOChr07	petpet	Petiolaris	petpet	neg1
1	105305324	123481124	Ha412HOChr09	petpet	Petiolaris	petpet	pos1
2	128805928	140852908	Ha412HOChr09	petpet	Petiolaris	petpet	pos1
1	3321217	65747566	Ha412HOChr11	petpet	Petiolaris	petpet	pos1
1	89671701	95073326	Ha412HOChr12	petpet	Petiolaris	petpet	pos1
2	100451519	111696502	Ha412HOChr12	petpet	Petiolaris	petpet	pos1
3	155860790	164385696	Ha412HOChr12	petpet	Petiolaris	petpet	pos1
