chr	variable	window	start	end	median_bayes
Ha412HOChr01	CA	1193	65318681	65439828	3.440426385
Ha412HOChr01	CEC	1193	65318681	65439828	1.81211671
Ha412HOChr01	OM	516	33031742	33035694	-1.98684154
Ha412HOChr01	P2	321	11310546	11318053	2.9617093299999997
Ha412HOChr01	P2	322	11318138	11368703	1.874489395
Ha412HOChr01	sodium	2098	112357248	112359867	1.3277731350000002
Ha412HOChr01	SOL_SALTS	2098	112357248	112359867	7.7940266
Ha412HOChr01	SOL_SALTS	2099	112362536	112551178	2.19335951
Ha412HOChr02	CA	1133	63740431	63846072	1.599285095
Ha412HOChr02	CA	1136	64317698	64320217	1.170005705
Ha412HOChr02	CA	1138	64322910	64324216	1.00168157
Ha412HOChr02	CA	1141	64651413	64728273	2.276326765
Ha412HOChr02	CEC	1141	64651413	64728273	0.237279935
Ha412HOChr02	pH	1599	102231239	102246242	1.04430953
Ha412HOChr03	MG	3804	180996756	180998865	1.7580868349999998
Ha412HOChr03	OM	1085	52191503	52318244	0.48185461
Ha412HOChr03	PERCENT_K	3803	180991878	180996737	2.361280775
Ha412HOChr03	PERCENT_K	3804	180996756	180998865	6.658847545
Ha412HOChr03	PERCENT_MG	3804	180996756	180998865	0.13217759
Ha412HOChr03	PERCENT_MG	3811	181202777	181210397	1.1587165400000001
Ha412HOChr03	PERCENT_NA	304	13649871	13685988	3.72981843
Ha412HOChr03	sodium	304	13649871	13685988	2.68437699
Ha412HOChr04	OM	1288	81169597	81472324	-1.8815152149999999
Ha412HOChr05	PERCENT_CA	2183	120260331	120266269	3.38976545
Ha412HOChr05	PERCENT_CA	2184	120266347	120326488	1.7228101100000002
Ha412HOChr06	CA	2347	82885625	82940576	6.808198365000001
Ha412HOChr06	CA	3364	148106636	148123282	3.3421527749999997
Ha412HOChr06	CA	3365	148123287	148125480	3.50283656
Ha412HOChr06	CA	3366	148125511	148405266	2.9775833499999997
Ha412HOChr06	CEC	2347	82885625	82940576	5.17364945
Ha412HOChr06	CEC	3364	148106636	148123282	3.908862525
Ha412HOChr06	CEC	3365	148123287	148125480	4.158029945
Ha412HOChr06	CEC	3366	148125511	148405266	3.55296002
Ha412HOChr06	K	3198	136122165	136125885	2.34017318
Ha412HOChr06	P1	3294	144430116	144439923	-0.90995136
Ha412HOChr06	P1	3297	144501043	144503700	-1.72664703
Ha412HOChr06	P1	3298	144503722	144508815	0.58044826
Ha412HOChr06	P1	3364	148106636	148123282	-0.95121499
Ha412HOChr06	SOL_SALTS	2531	90503668	90591774	0.83093705
Ha412HOChr07	P2	2449	138521835	138524732	0.534280965
Ha412HOChr07	PERCENT_K	514	30547946	30551507	1.025810785
Ha412HOChr07	PERCENT_NA	837	67288998	67311862	3.5643255600000003
Ha412HOChr07	PERCENT_NA	845	67749226	67778193	3.1245843449999997
Ha412HOChr07	PERCENT_NA	846	67778198	67783163	3.73180046
Ha412HOChr07	PERCENT_NA	847	67783168	67949376	6.947896875
Ha412HOChr07	PERCENT_NA	848	67949471	67986557	5.55835734
Ha412HOChr08	OM	1690	63080944	63082326	-0.237256815
Ha412HOChr08	P2	1931	74890444	74972236	0.479119055
Ha412HOChr08	P2	2966	129336408	129529290	-0.386813605
Ha412HOChr08	pH	1690	63080944	63082326	0.582140135
Ha412HOChr08	pH	1875	72467448	72468999	-0.054636649999999995
Ha412HOChr09	K	1069	89742310	89751466	7.045915215
Ha412HOChr09	K	1070	89751477	89757630	5.08530164
Ha412HOChr09	K	1075	90339335	90341461	4.972352385
Ha412HOChr09	K	1078	90346602	90353039	4.79761102
Ha412HOChr09	K	1079	90353050	90529828	3.618950175
Ha412HOChr09	K	1080	90529969	90675650	4.303028835
Ha412HOChr09	K	1081	90675747	90718265	3.46994089
Ha412HOChr09	K	1082	90718315	90727327	2.795519715
Ha412HOChr09	K	1105	91674289	91676653	2.4828817599999997
Ha412HOChr09	PERCENT_K	892	68587540	68591907	2.004838935
Ha412HOChr10	PERCENT_CA	2019	109128857	109131576	0.64924019
Ha412HOChr10	PERCENT_CA	2033	109549895	109563828	0.927295505
Ha412HOChr10	PERCENT_CA	2364	122615354	122629117	0.7356326950000001
Ha412HOChr10	PERCENT_MG	2364	122615354	122629117	0.03451205
Ha412HOChr10	PERCENT_NA	2019	109128857	109131576	3.8597882500000003
Ha412HOChr10	PERCENT_NA	2033	109549895	109563828	11.79314642
Ha412HOChr10	pH	862	32899485	32903964	0.81037956
Ha412HOChr10	pH	863	32904008	32947757	2.6146656249999998
Ha412HOChr10	pH	864	32947813	32951145	7.8474053050000006
Ha412HOChr10	pH	865	32951154	32952660	3.88657535
Ha412HOChr10	pH	866	32952734	32954521	5.17519348
Ha412HOChr10	sodium	2019	109128857	109131576	4.73409294
Ha412HOChr10	sodium	2032	109491886	109549862	0.63191272
Ha412HOChr10	sodium	2033	109549895	109563828	10.65180004
Ha412HOChr10	SOL_SALTS	2033	109549895	109563828	1.596782025
Ha412HOChr11	CEC	1581	72822590	72842869	0.178061785
Ha412HOChr11	P1	1272	55426826	55528019	-1.13941736
Ha412HOChr11	P1	2574	138646976	138852061	-1.69998454
Ha412HOChr11	P2	1905	92773642	92776798	1.413595635
Ha412HOChr11	P2	1906	92776834	92781945	2.546773525
Ha412HOChr11	P2	1908	92786118	92801047	-0.385569885
Ha412HOChr11	P2	1920	93223695	93228762	-0.012910570000000001
Ha412HOChr11	P2	1926	93656647	93707855	-0.12978267500000001
Ha412HOChr11	PERCENT_K	1905	92773642	92776798	1.46498414
Ha412HOChr11	PERCENT_K	1906	92776834	92781945	1.916383345
Ha412HOChr11	PERCENT_K	1929	93846485	93851450	0.901839295
Ha412HOChr12	BICARB	1563	50964761	51152566	10.828952300000001
Ha412HOChr12	BICARB	1566	51315300	51357943	10.74114345
Ha412HOChr12	BICARB	1567	51357957	51390327	10.421064195
Ha412HOChr12	BICARB	1569	51403266	51472668	8.650159214999999
Ha412HOChr12	BICARB	1570	51472705	51485426	14.871918675
Ha412HOChr12	BICARB	1571	51485478	51487701	13.050837730000001
Ha412HOChr12	BICARB	1572	51487716	51490883	12.82291065
Ha412HOChr12	BICARB	1573	51490908	51496739	14.440745320000001
Ha412HOChr12	BICARB	1574	51496748	51514293	16.03322105
Ha412HOChr12	BICARB	1575	51514294	51551723	8.591254305
Ha412HOChr12	CA	2661	103214835	103218345	2.2413868
Ha412HOChr12	CEC	1588	54893994	55002067	0.420828005
Ha412HOChr12	CEC	2659	103207691	103211716	2.5087281150000003
Ha412HOChr12	CEC	2661	103214835	103218345	2.9116183849999997
Ha412HOChr12	MG	1566	51315300	51357943	1.320059715
Ha412HOChr12	MG	1567	51357957	51390327	2.2502747100000002
Ha412HOChr12	MG	1570	51472705	51485426	8.25772978
Ha412HOChr12	MG	1571	51485478	51487701	7.4578185999999995
Ha412HOChr12	MG	1572	51487716	51490883	4.98480982
Ha412HOChr12	MG	1573	51490908	51496739	10.572208565
Ha412HOChr12	MG	1574	51496748	51514293	6.482151464999999
Ha412HOChr12	MG	1575	51514294	51551723	4.943520664999999
Ha412HOChr12	MG	1576	51623396	51740115	1.41484406
Ha412HOChr12	PERCENT_CA	1562	50950605	50964172	1.3595306699999998
Ha412HOChr12	PERCENT_K	1570	51472705	51485426	1.4688210750000001
Ha412HOChr12	PERCENT_K	2289	85566119	85610928	2.74117333
Ha412HOChr12	PERCENT_MG	1567	51357957	51390327	1.15760334
Ha412HOChr12	PERCENT_MG	1570	51472705	51485426	4.034746155
Ha412HOChr12	PERCENT_MG	1571	51485478	51487701	4.131980595
Ha412HOChr12	PERCENT_MG	1572	51487716	51490883	0.62328676
Ha412HOChr12	PERCENT_MG	1573	51490908	51496739	6.0137262400000004
Ha412HOChr12	PERCENT_MG	1574	51496748	51514293	2.673162185
Ha412HOChr12	PERCENT_NA	1552	48884111	48939704	4.270863685
Ha412HOChr12	PERCENT_NA	1555	49170509	49234340	6.122040075
Ha412HOChr12	pH	3262	159043368	159090767	0.393042745
Ha412HOChr13	PERCENT_CA	2133	94825036	94829118	1.1327342649999999
Ha412HOChr13	sodium	272	15863271	15866918	2.801626985
Ha412HOChr13	sodium	273	15866934	15883026	4.49146551
Ha412HOChr13	sodium	1195	62995016	63046918	1.080813655
Ha412HOChr13	sodium	1366	68456427	68471212	0.88672863
Ha412HOChr13	sodium	2972	129714525	130012716	2.5945573
Ha412HOChr14	OM	1522	108748472	108803792	-1.8300314850000001
Ha412HOChr14	PERCENT_MG	1257	93149586	93159485	1.323675535
Ha412HOChr14	SOL_SALTS	611	40388584	41014205	0.28217190999999997
Ha412HOChr14	SOL_SALTS	644	49568567	49577299	0.525008935
Ha412HOChr14	SOL_SALTS	645	49657719	49664992	2.059716695
Ha412HOChr14	SOL_SALTS	646	49665109	49758377	1.2184804050000002
Ha412HOChr14	SOL_SALTS	647	49758380	49902111	2.60648252
Ha412HOChr15	OM	2325	79865220	79917045	-1.14647302
Ha412HOChr15	OM	2326	79917070	79934990	-1.4736558849999999
Ha412HOChr15	P1	729	21421010	21424586	-1.0381740449999999
Ha412HOChr15	P1	2725	97499172	97533572	-1.487612355
Ha412HOChr15	PERCENT_CA	2556	89535578	89539004	1.896166695
Ha412HOChr15	PERCENT_CA	2557	89539144	89636436	3.4480176399999998
Ha412HOChr15	PERCENT_CA	2560	89683758	89693417	1.489239405
Ha412HOChr15	PERCENT_K	3913	145403791	145404954	0.7109852999999999
Ha412HOChr16	OM	1444	64694277	64697128	-0.61624769
Ha412HOChr16	OM	2085	111921633	111926564	4.99876582
Ha412HOChr16	OM	2086	111926585	111931164	8.27061798
Ha412HOChr16	P1	2086	111926585	111931164	-0.041914485
Ha412HOChr16	pH	2086	111926585	111931164	2.5478992700000003
Ha412HOChr17	P1	2132	77743507	77768666	-1.21770286
Ha412HOChr17	SOL_SALTS	3092	141765621	141780393	0.509486155
