chr	variable	window	start	end	median_bayes
Ha412HOChr01	BICARB	1359	102835095	102840472	3.88477938
Ha412HOChr01	CA	1271	97673775	97676905	5.52535608
Ha412HOChr01	CEC	1271	97673775	97676905	4.58002847
Ha412HOChr01	K	1304	98733362	98738945	9.795765920000001
Ha412HOChr01	K	1391	104141970	104149526	9.47151845
Ha412HOChr01	K	1392	104149542	104157544	9.835126145
Ha412HOChr01	K	1465	108139446	108217538	9.41129231
Ha412HOChr01	K	1520	109816123	109819052	9.663146000000001
Ha412HOChr01	MG	1787	119585666	119591051	2.66678847
Ha412HOChr01	MG	1788	119591074	119594204	5.60200295
Ha412HOChr01	PERCENT_MG	567	61500641	61504757	3.34756189
Ha412HOChr01	PERCENT_MG	569	61565076	61569503	3.74119434
Ha412HOChr01	PERCENT_MG	579	62161471	62164451	3.05079925
Ha412HOChr01	pH	558	61184537	61185822	6.079062565
Ha412HOChr01	pH	563	61378023	61380116	8.342885410000001
Ha412HOChr01	pH	567	61500641	61504757	6.218099895
Ha412HOChr01	pH	569	61565076	61569503	7.8763610150000005
Ha412HOChr01	pH	570	61569534	61586631	6.59514745
Ha412HOChr01	pH	571	61586639	61588000	8.189386325000001
Ha412HOChr01	pH	575	61832305	61834241	6.684743465
Ha412HOChr01	pH	576	61834249	62056857	6.066340029999999
Ha412HOChr02	CA	236	22213824	22215768	3.580561535
Ha412HOChr02	CEC	236	22213824	22215768	4.69046888
Ha412HOChr02	MG	1199	144224551	144315157	4.22861108
Ha412HOChr02	P1	134	14368664	14406271	3.380795625
Ha412HOChr02	PERCENT_MG	1883	174291750	174293169	3.2912746200000003
Ha412HOChr03	CA	2885	152718407	152734239	4.48016759
Ha412HOChr03	CEC	2885	152718407	152734239	4.9384416600000005
Ha412HOChr03	CEC	3906	180426817	180439915	3.58070877
Ha412HOChr03	OM	2247	125684570	125822856	3.75819481
Ha412HOChr03	P1	3647	175006164	175011140	3.962608865
Ha412HOChr03	SOL_SALTS	31	2271328	2313971	4.8938118500000005
Ha412HOChr04	BICARB	1951	198388127	198414216	3.999104675
Ha412HOChr04	OM	1336	165025625	165080859	4.325909825
Ha412HOChr04	P2	202	9757231	9790877	5.233031995
Ha412HOChr04	P2	204	9798279	9808157	7.188003780000001
Ha412HOChr04	P2	205	9808251	9824145	5.13294868
Ha412HOChr04	P2	214	9894120	9935922	7.22746864
Ha412HOChr04	P2	216	9944087	9993833	5.00923259
Ha412HOChr04	P2	218	9999650	10042848	5.33972026
Ha412HOChr04	P2	219	10042852	10046904	9.347902385000001
Ha412HOChr05	MG	1270	117429338	117438725	2.591731195
Ha412HOChr05	MG	1704	142290461	142348846	3.2861135399999997
Ha412HOChr05	OM	1332	121642168	121670975	4.665208874999999
Ha412HOChr05	OM	2096	169908762	169911510	5.68155212
Ha412HOChr05	P1	1255	114894104	114899750	5.08194086
Ha412HOChr05	PERCENT_NA	822	33309424	33354648	6.3214357450000005
Ha412HOChr05	PERCENT_NA	829	33513314	33522576	6.2624541449999995
Ha412HOChr05	PERCENT_NA	839	33967553	33968228	6.346167595
Ha412HOChr05	pH	1684	141036337	141040244	7.4295684699999995
Ha412HOChr05	sodium	822	33309424	33354648	5.652930555
Ha412HOChr05	sodium	829	33513314	33522576	7.8512426049999995
Ha412HOChr05	sodium	839	33967553	33968228	6.3544161500000005
Ha412HOChr05	SOL_SALTS	822	33309424	33354648	4.597241635
Ha412HOChr05	SOL_SALTS	839	33967553	33968228	7.584621585
Ha412HOChr08	BICARB	1489	42476312	42480693	6.626884555
Ha412HOChr08	BICARB	1490	42480723	42483883	12.201557545
Ha412HOChr08	OM	254	5586906	5591526	7.45219382
Ha412HOChr09	BICARB	2846	163948487	164097941	5.594808505
Ha412HOChr09	K	956	110517178	110544118	10.323841215
Ha412HOChr09	K	982	111491032	111494399	9.343066485000001
Ha412HOChr09	K	1000	111995838	112024920	10.858677055
Ha412HOChr09	K	1014	112620809	112715696	10.456799705
Ha412HOChr09	PERCENT_NA	404	30410934	30517994	6.47273135
Ha412HOChr09	sodium	403	30364715	30410910	6.6342868
