chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	PET0535	PET0536	806	2816
Ha412HOChr01	0	PET0535	PET0531	832.5	3102
Ha412HOChr01	0	PET0536	PET0531	900.5	2906
Ha412HOChr01	0	PET0532	PET0535	971	3090
Ha412HOChr01	0	PET0532	PET0536	917	2900
Ha412HOChr01	0	PET0532	PET0531	869.5	3168
Ha412HOChr01	1000000	PET0535	PET0536	2234	6348
Ha412HOChr01	1000000	PET0535	PET0531	2550	6856
Ha412HOChr01	1000000	PET0536	PET0531	2271.5	6340
Ha412HOChr01	1000000	PET0532	PET0535	2425.5	6906
Ha412HOChr01	1000000	PET0532	PET0536	2107.5	6332
Ha412HOChr01	1000000	PET0532	PET0531	2447.5	6908
Ha412HOChr01	10000000	PET0535	PET0536	1521	4288
Ha412HOChr01	10000000	PET0535	PET0531	1722.5	4886
Ha412HOChr01	10000000	PET0536	PET0531	1588.5	4400
Ha412HOChr01	10000000	PET0532	PET0535	1778.5	4848
Ha412HOChr01	10000000	PET0532	PET0536	1373	4430
Ha412HOChr01	10000000	PET0532	PET0531	1747.5	4976
Ha412HOChr01	100000000	PET0535	PET0536	437	856
Ha412HOChr01	100000000	PET0535	PET0531	320	976
Ha412HOChr01	100000000	PET0536	PET0531	277	896
Ha412HOChr01	100000000	PET0532	PET0535	468.5	930
Ha412HOChr01	100000000	PET0532	PET0536	77	876
Ha412HOChr01	100000000	PET0532	PET0531	288	968
Ha412HOChr01	101000000	PET0535	PET0536	612	1464
Ha412HOChr01	101000000	PET0535	PET0531	646.5	1614
Ha412HOChr01	101000000	PET0536	PET0531	352	1490
Ha412HOChr01	101000000	PET0532	PET0535	661.5	1614
Ha412HOChr01	101000000	PET0532	PET0536	267.5	1552
Ha412HOChr01	101000000	PET0532	PET0531	449.5	1654
Ha412HOChr01	102000000	PET0535	PET0536	888.5	3160
Ha412HOChr01	102000000	PET0535	PET0531	1068	3332
Ha412HOChr01	102000000	PET0536	PET0531	1053	3236
Ha412HOChr01	102000000	PET0532	PET0535	1006	3300
Ha412HOChr01	102000000	PET0532	PET0536	1120.5	3222
Ha412HOChr01	102000000	PET0532	PET0531	980.5	3474
Ha412HOChr01	103000000	PET0535	PET0536	408.5	2548
Ha412HOChr01	103000000	PET0535	PET0531	911.5	2670
Ha412HOChr01	103000000	PET0536	PET0531	857	2518
Ha412HOChr01	103000000	PET0532	PET0535	920.5	2620
Ha412HOChr01	103000000	PET0532	PET0536	778	2582
Ha412HOChr01	103000000	PET0532	PET0531	883	2618
Ha412HOChr01	104000000	PET0535	PET0536	625.5	2728
Ha412HOChr01	104000000	PET0535	PET0531	1103.5	3078
Ha412HOChr01	104000000	PET0536	PET0531	1108	2770
Ha412HOChr01	104000000	PET0532	PET0535	1001	3094
Ha412HOChr01	104000000	PET0532	PET0536	1012.5	2752
Ha412HOChr01	104000000	PET0532	PET0531	983	3186
Ha412HOChr01	105000000	PET0535	PET0536	121.5	1040
Ha412HOChr01	105000000	PET0535	PET0531	63	904
Ha412HOChr01	105000000	PET0536	PET0531	60	858
Ha412HOChr01	105000000	PET0532	PET0535	181.5	1108
Ha412HOChr01	105000000	PET0532	PET0536	177	1048
Ha412HOChr01	105000000	PET0532	PET0531	86.5	950
Ha412HOChr01	106000000	PET0535	PET0536	888	2480
Ha412HOChr01	106000000	PET0535	PET0531	760.5	2820
Ha412HOChr01	106000000	PET0536	PET0531	676	2666
Ha412HOChr01	106000000	PET0532	PET0535	976	2774
Ha412HOChr01	106000000	PET0532	PET0536	650	2572
Ha412HOChr01	106000000	PET0532	PET0531	663.5	2904
Ha412HOChr01	107000000	PET0535	PET0536	1451	3762
Ha412HOChr01	107000000	PET0535	PET0531	1428.5	3872
Ha412HOChr01	107000000	PET0536	PET0531	1445.5	3758
Ha412HOChr01	107000000	PET0532	PET0535	1276	3876
Ha412HOChr01	107000000	PET0532	PET0536	1341.5	3864
Ha412HOChr01	107000000	PET0532	PET0531	1064	3956
Ha412HOChr01	108000000	PET0535	PET0536	695	1868
Ha412HOChr01	108000000	PET0535	PET0531	656	2052
Ha412HOChr01	108000000	PET0536	PET0531	424.5	2006
Ha412HOChr01	108000000	PET0532	PET0535	734	2042
Ha412HOChr01	108000000	PET0532	PET0536	591	1994
Ha412HOChr01	108000000	PET0532	PET0531	480.5	2154
Ha412HOChr01	109000000	PET0535	PET0536	847	2386
Ha412HOChr01	109000000	PET0535	PET0531	1046	2738
Ha412HOChr01	109000000	PET0536	PET0531	830	2474
Ha412HOChr01	109000000	PET0532	PET0535	399	2786
Ha412HOChr01	109000000	PET0532	PET0536	812	2508
Ha412HOChr01	109000000	PET0532	PET0531	1028	2846
Ha412HOChr01	11000000	PET0535	PET0536	648	1970
Ha412HOChr01	11000000	PET0535	PET0531	693.5	2124
Ha412HOChr01	11000000	PET0536	PET0531	702.5	2134
Ha412HOChr01	11000000	PET0532	PET0535	677	2146
Ha412HOChr01	11000000	PET0532	PET0536	668	2140
Ha412HOChr01	11000000	PET0532	PET0531	659	2288
Ha412HOChr01	110000000	PET0535	PET0536	464	1464
Ha412HOChr01	110000000	PET0535	PET0531	433.5	1492
Ha412HOChr01	110000000	PET0536	PET0531	474	1522
Ha412HOChr01	110000000	PET0532	PET0535	108.5	1560
Ha412HOChr01	110000000	PET0532	PET0536	484	1492
Ha412HOChr01	110000000	PET0532	PET0531	419	1518
Ha412HOChr01	111000000	PET0535	PET0536	613	2400
Ha412HOChr01	111000000	PET0535	PET0531	809	2626
Ha412HOChr01	111000000	PET0536	PET0531	888.5	2478
Ha412HOChr01	111000000	PET0532	PET0535	848	2654
Ha412HOChr01	111000000	PET0532	PET0536	773.5	2520
Ha412HOChr01	111000000	PET0532	PET0531	1130	2800
Ha412HOChr01	112000000	PET0535	PET0536	564	3090
Ha412HOChr01	112000000	PET0535	PET0531	629	3362
Ha412HOChr01	112000000	PET0536	PET0531	900	3118
Ha412HOChr01	112000000	PET0532	PET0535	437.5	3320
Ha412HOChr01	112000000	PET0532	PET0536	734	3102
Ha412HOChr01	112000000	PET0532	PET0531	805	3496
Ha412HOChr01	113000000	PET0535	PET0536	1436	4238
Ha412HOChr01	113000000	PET0535	PET0531	711	4606
Ha412HOChr01	113000000	PET0536	PET0531	1495.5	4312
Ha412HOChr01	113000000	PET0532	PET0535	1450	4634
Ha412HOChr01	113000000	PET0532	PET0536	1507.5	4354
Ha412HOChr01	113000000	PET0532	PET0531	1475	4708
Ha412HOChr01	114000000	PET0535	PET0536	926	2856
Ha412HOChr01	114000000	PET0535	PET0531	843	3166
Ha412HOChr01	114000000	PET0536	PET0531	740	2930
Ha412HOChr01	114000000	PET0532	PET0535	882	3114
Ha412HOChr01	114000000	PET0532	PET0536	757	2890
Ha412HOChr01	114000000	PET0532	PET0531	580	3264
Ha412HOChr01	115000000	PET0535	PET0536	728	2726
Ha412HOChr01	115000000	PET0535	PET0531	907.5	3072
Ha412HOChr01	115000000	PET0536	PET0531	787.5	2928
Ha412HOChr01	115000000	PET0532	PET0535	982	3116
Ha412HOChr01	115000000	PET0532	PET0536	815	2926
Ha412HOChr01	115000000	PET0532	PET0531	863	3304
Ha412HOChr01	116000000	PET0535	PET0536	1105.5	3200
Ha412HOChr01	116000000	PET0535	PET0531	964	3436
Ha412HOChr01	116000000	PET0536	PET0531	1079.5	3362
Ha412HOChr01	116000000	PET0532	PET0535	1215.5	3392
Ha412HOChr01	116000000	PET0532	PET0536	1250	3402
Ha412HOChr01	116000000	PET0532	PET0531	1348	3536
Ha412HOChr01	117000000	PET0535	PET0536	1259	4636
Ha412HOChr01	117000000	PET0535	PET0531	1536.5	5060
