chrom	start	end	mid	the_mds	outlier	n	mds_coord
HanXRQChr14	43241884	43673895	43457889.5	-0.12374007106744224	Outlier	6654	mds40-neg
HanXRQChr14	47152594	47890693	47521643.5	-0.11444549416559562	Outlier	6665	mds40-neg
HanXRQChr14	47890694	48560140	48225417	-0.1102667505137716	Outlier	6666	mds40-neg
HanXRQChr14	48560175	49412991	48986583	-0.13466782968132862	Outlier	6667	mds40-neg
HanXRQChr14	49412995	49673578	49543286.5	-0.10377003562924174	Outlier	6668	mds40-neg
HanXRQChr14	49673590	50478910	50076250	-0.13481230377102224	Outlier	6669	mds40-neg
HanXRQChr09	64117723	64355532	64236627.5	0.10730182845086779	Outlier	3811	mds40-pos
HanXRQChr09	65773890	65833964	65803927	0.12974948560253138	Outlier	3817	mds40-pos
HanXRQChr09	69474215	69705464	69589839.5	0.12020405289349484	Outlier	3828	mds40-pos
HanXRQChr09	69721704	69820566	69771135	0.1533737297905299	Outlier	3829	mds40-pos
HanXRQChr09	69820567	70211854	70016210.5	0.10885075059205652	Outlier	3830	mds40-pos
HanXRQChr09	70943740	71429117	71186428.5	0.11712012153939699	Outlier	3833	mds40-pos
HanXRQChr09	75436307	75738524	75587415.5	0.12623330139724345	Outlier	3850	mds40-pos
HanXRQChr09	79364307	80643572	80003939.5	0.15584610764130527	Outlier	3856	mds40-pos
HanXRQChr09	84658881	84848900	84753890.5	0.11480184249911173	Outlier	3868	mds40-pos
HanXRQChr09	88136889	89605965	88871427	0.1636939563363455	Outlier	3875	mds40-pos
HanXRQChr09	89605988	90126923	89866455.5	0.14034736675536721	Outlier	3876	mds40-pos
HanXRQChr09	90126924	91013272	90570098	0.13469501234310183	Outlier	3877	mds40-pos
HanXRQChr09	95656875	96221542	95939208.5	0.11209045424745473	Outlier	3891	mds40-pos
HanXRQChr09	96442479	97209433	96825956	0.1914934211908018	Outlier	3893	mds40-pos
HanXRQChr09	101262338	101656242	101459290	0.18009234115817446	Outlier	3896	mds40-pos
HanXRQChr09	101656256	101898793	101777524.5	0.16793189127445934	Outlier	3897	mds40-pos
HanXRQChr09	102983273	104155879	103569576	0.10299018156708427	Outlier	3900	mds40-pos
HanXRQChr17	44210416	44501034	44355725	0.14576379167843545	Outlier	8537	mds38-pos
HanXRQChr17	44501285	44695282	44598283.5	0.10638025826933425	Outlier	8538	mds38-pos
HanXRQChr17	44695291	44823990	44759640.5	0.16211491837486722	Outlier	8539	mds38-pos
HanXRQChr17	44823992	45114192	44969092	0.14497732452354697	Outlier	8540	mds38-pos
HanXRQChr17	45114196	45186843	45150519.5	0.16810053625409255	Outlier	8541	mds38-pos
HanXRQChr17	47012909	47370216	47191562.5	0.12495188648280406	Outlier	8549	mds38-pos
HanXRQChr17	50433262	50533363	50483312.5	0.16373956983598542	Outlier	8561	mds38-pos
