chr	start	end	id	variable
Ha412HOChr01	23330275	23343428	Ha412HOChr01g0006591	OM
Ha412HOChr02	2743128	2757560	Ha412HOChr02g0048451	OM
Ha412HOChr06	119684086	119686720	Ha412HOChr06g0279751	OM
Ha412HOChr06	120178393	120185487	Ha412HOChr06g0279811	OM
Ha412HOChr12	122213697	122231776	Ha412HOChr12g0569881	OM
Ha412HOChr12	122526521	122533344	Ha412HOChr12g0569891	OM
Ha412HOChr06	98566895	98573759	Ha412HOChr06g0276031	P1
Ha412HOChr06	98566951	98573508	Ha412HOChr06g0276041	P1
Ha412HOChr12	146791999	146809222	Ha412HOChr12g0572251	P1
Ha412HOChr01	23089377	23098328	Ha412HOChr01g0006561	P2
Ha412HOChr01	23330275	23343428	Ha412HOChr01g0006591	P2
Ha412HOChr06	98496980	98516073	Ha412HOChr06g0276001	P2
Ha412HOChr06	99026121	99043977	Ha412HOChr06g0276251	P2
Ha412HOChr08	145203978	145205268	Ha412HOChr08g0367301	P2
Ha412HOChr08	145425274	145435016	Ha412HOChr08g0367351	P2
Ha412HOChr05	90635419	90651292	Ha412HOChr05g0217411	BICARB
Ha412HOChr10	8741535	8753370	Ha412HOChr10g0433321	K
Ha412HOChr12	122526521	122533344	Ha412HOChr12g0569891	K
Ha412HOChr03	35817773	35819888	Ha412HOChr03g0101141	MG
Ha412HOChr05	92469611	92485435	Ha412HOChr05g0217861	MG
Ha412HOChr06	47358666	47365760	Ha412HOChr06g0264531	MG
Ha412HOChr06	119684086	119686720	Ha412HOChr06g0279751	MG
Ha412HOChr11	68029823	68033196	Ha412HOChr11g0501691	MG
Ha412HOChr11	50643221	50652917	Ha412HOChr11g0496781	CA
Ha412HOChr14	102212679	102216057	Ha412HOChr14g0658141	CA
Ha412HOChr14	102214830	102215975	Ha412HOChr14g0658151	CA
Ha412HOChr14	102443354	102447477	Ha412HOChr14g0658161	CA
Ha412HOChr14	102444249	102445263	Ha412HOChr14g0658171	CA
Ha412HOChr14	102580270	102589044	Ha412HOChr14g0658181	CA
Ha412HOChr14	102580440	102582104	Ha412HOChr14g0658191	CA
Ha412HOChr14	110059821	110064987	Ha412HOChr14g0659881	CA
Ha412HOChr14	116110800	116114936	Ha412HOChr14g0661611	CA
Ha412HOChr14	136385724	136388404	Ha412HOChr14g0668061	CA
Ha412HOChr14	136390538	136392019	Ha412HOChr14g0668071	CA
Ha412HOChr14	137670265	137671242	Ha412HOChr14g0668481	CA
Ha412HOChr14	137884064	137884789	Ha412HOChr14g0668531	CA
Ha412HOChr14	153211098	153215700	Ha412HOChr14g0674021	CA
Ha412HOChr14	156711308	156719836	Ha412HOChr14g0675561	CA
Ha412HOChr14	156716175	156718778	Ha412HOChr14g0675571	CA
Ha412HOChr14	159738363	159743175	Ha412HOChr14g0677011	CA
Ha412HOChr14	162422527	162433083	Ha412HOChr14g0677731	CA
Ha412HOChr14	163715564	163718726	Ha412HOChr14g0678261	CA
Ha412HOChr14	166978759	166983771	Ha412HOChr14g0679201	CA
Ha412HOChr14	167007176	167009641	Ha412HOChr14g0679231	CA
Ha412HOChr14	167001031	167005727	Ha412HOChr14g0679211	CA
Ha412HOChr12	48531753	48545548	Ha412HOChr12g0554051	pH
Ha412HOChr11	50643221	50652917	Ha412HOChr11g0496781	CEC
Ha412HOChr14	102580270	102589044	Ha412HOChr14g0658181	CEC
Ha412HOChr14	102580440	102582104	Ha412HOChr14g0658191	CEC
Ha412HOChr14	110059821	110064987	Ha412HOChr14g0659881	CEC
Ha412HOChr14	116110800	116114936	Ha412HOChr14g0661611	CEC
Ha412HOChr14	136385724	136388404	Ha412HOChr14g0668061	CEC
Ha412HOChr14	136390538	136392019	Ha412HOChr14g0668071	CEC
Ha412HOChr14	137884064	137884789	Ha412HOChr14g0668531	CEC
Ha412HOChr14	156711308	156719836	Ha412HOChr14g0675561	CEC
Ha412HOChr14	156716175	156718778	Ha412HOChr14g0675571	CEC
Ha412HOChr14	159738363	159743175	Ha412HOChr14g0677011	CEC
Ha412HOChr14	163715564	163718726	Ha412HOChr14g0678261	CEC
Ha412HOChr14	163721171	163721841	Ha412HOChr14g0678271	CEC
Ha412HOChr14	166978759	166983771	Ha412HOChr14g0679201	CEC
Ha412HOChr14	167007176	167009641	Ha412HOChr14g0679231	CEC
Ha412HOChr14	167001031	167005727	Ha412HOChr14g0679211	CEC
Ha412HOChr07	86831209	86838692	Ha412HOChr07g0301051	PERCENT_K
Ha412HOChr08	151783366	151786437	Ha412HOChr08g0368221	PERCENT_K
Ha412HOChr10	122751335	122754194	Ha412HOChr10g0455941	PERCENT_K
Ha412HOChr02	2743128	2757560	Ha412HOChr02g0048451	PERCENT_MG
Ha412HOChr02	104428865	104436771	Ha412HOChr02g0068491	PERCENT_MG
Ha412HOChr02	104466253	104470963	Ha412HOChr02g0068501	PERCENT_MG
Ha412HOChr05	92469611	92485435	Ha412HOChr05g0217861	PERCENT_MG
Ha412HOChr02	2743128	2757560	Ha412HOChr02g0048451	PERCENT_CA
Ha412HOChr02	3990275	3997613	Ha412HOChr02g0048771	PERCENT_CA
Ha412HOChr02	104428865	104436771	Ha412HOChr02g0068491	PERCENT_CA
Ha412HOChr12	48531753	48545548	Ha412HOChr12g0554051	PERCENT_CA
Ha412HOChr14	120629814	120632621	Ha412HOChr14g0662681	PERCENT_NA
Ha412HOChr14	136390538	136392019	Ha412HOChr14g0668071	PERCENT_NA
Ha412HOChr14	153211098	153215700	Ha412HOChr14g0674021	PERCENT_NA
Ha412HOChr10	70012089	70030573	Ha412HOChr10g0446521	SOL_SALTS
Ha412HOChr14	67106062	67117064	Ha412HOChr14g0649991	SOL_SALTS
Ha412HOChr15	160884892	160888995	Ha412HOChr15g0740071	SOL_SALTS
Ha412HOChr15	160889869	160894243	Ha412HOChr15g0740081	SOL_SALTS
Ha412HOChr16	99538607	99544729	Ha412HOChr16g0770091	SOL_SALTS
Ha412HOChr16	99850753	99857327	Ha412HOChr16g0770151	SOL_SALTS
Ha412HOChr01	24012329	24017291	Ha412HOChr01g0006601	latitude_e
Ha412HOChr06	99026121	99043977	Ha412HOChr06g0276251	longitude_e
Ha412HOChr06	99270813	99275410	Ha412HOChr06g0276301	longitude_e
Ha412HOChr12	122213697	122231776	Ha412HOChr12g0569881	longitude_e
Ha412HOChr13	6709173	6717170	Ha412HOChr13g0583861	longitude_e
Ha412HOChr13	38401845	38403249	Ha412HOChr13g0589541	longitude_e
Ha412HOChr13	38405973	38406884	Ha412HOChr13g0589551	longitude_e
Ha412HOChr16	108631247	108647285	Ha412HOChr16g0771671	longitude_e
Ha412HOChr06	99026121	99043977	Ha412HOChr06g0276251	elevation_e
Ha412HOChr06	119526959	119533567	Ha412HOChr06g0279701	elevation_e
Ha412HOChr06	119684086	119686720	Ha412HOChr06g0279751	elevation_e
Ha412HOChr06	120178393	120185487	Ha412HOChr06g0279811	elevation_e
Ha412HOChr06	120189587	120196415	Ha412HOChr06g0279821	elevation_e
Ha412HOChr06	128668639	128675422	Ha412HOChr06g0281011	elevation_e
Ha412HOChr11	68029823	68033196	Ha412HOChr11g0501691	elevation_e
Ha412HOChr11	120510969	120514325	Ha412HOChr11g0509521	elevation_e
Ha412HOChr12	132494337	132501807	Ha412HOChr12g0570861	elevation_e
Ha412HOChr12	155007031	155018016	Ha412HOChr12g0573331	elevation_e
Ha412HOChr17	351749	353465	Ha412HOChr17g0804091	elevation_e
Ha412HOChr17	352278	353398	Ha412HOChr17g0804101	elevation_e
Ha412HOChr17	570450	571458	Ha412HOChr17g0804121	elevation_e
Ha412HOChr17	606235	606711	Ha412HOChr17g0804131	elevation_e
Ha412HOChr17	607623	609687	Ha412HOChr17g0804141	elevation_e
Ha412HOChr17	1225125	1227449	Ha412HOChr17g0804411	elevation_e
Ha412HOChr17	1356335	1361072	Ha412HOChr17g0804511	elevation_e
Ha412HOChr17	1358930	1361078	Ha412HOChr17g0804521	elevation_e
Ha412HOChr01	24012329	24017291	Ha412HOChr01g0006601	MAT_e
Ha412HOChr04	125051696	125061389	Ha412HOChr04g0170961	MAT_e
Ha412HOChr05	64207767	64212092	Ha412HOChr05g0215071	MAT_e
Ha412HOChr05	64208003	64209108	Ha412HOChr05g0215081	MAT_e
Ha412HOChr06	119526959	119533567	Ha412HOChr06g0279701	MAT_e
Ha412HOChr06	119597175	119599177	Ha412HOChr06g0279711	MAT_e
Ha412HOChr06	119684086	119686720	Ha412HOChr06g0279751	MAT_e
Ha412HOChr06	120178393	120185487	Ha412HOChr06g0279811	MAT_e
Ha412HOChr06	120189587	120196415	Ha412HOChr06g0279821	MAT_e
Ha412HOChr06	120339433	120345589	Ha412HOChr06g0279841	MAT_e
Ha412HOChr11	68029823	68033196	Ha412HOChr11g0501691	MAT_e
Ha412HOChr12	132494337	132501807	Ha412HOChr12g0570861	MAT_e
Ha412HOChr16	108631247	108647285	Ha412HOChr16g0771671	MAT_e
Ha412HOChr16	108646895	108647770	Ha412HOChr16g0771681	MAT_e
Ha412HOChr16	108647848	108650452	Ha412HOChr16g0771691	MAT_e
Ha412HOChr17	351749	353465	Ha412HOChr17g0804091	MAT_e
Ha412HOChr17	352278	353398	Ha412HOChr17g0804101	MAT_e
Ha412HOChr06	119526959	119533567	Ha412HOChr06g0279701	MWMT_e
Ha412HOChr06	120178393	120185487	Ha412HOChr06g0279811	MWMT_e
Ha412HOChr06	120189587	120196415	Ha412HOChr06g0279821	MWMT_e
Ha412HOChr06	128668639	128675422	Ha412HOChr06g0281011	MWMT_e
