Scaffold ID, scaffold position, LG, genetic position
Ha412HOChr02,115993500,2,25.755
Ha412HOChr15,40183354,15,8.781
Ha412HOChr10,182003374,10,64.814
Ha412HOChr04,168309323,4,4.417
Ha412HOChr08,93369764,8,56.769
Ha412HOChr10,129239216,10,48.294
Ha412HOChr12,93808608,12,2.635
Ha412HOChr04,213755983,4,22.785
Ha412HOChr05,94179388,5,40.11
Ha412HOChr08,57491996,8,48.579
Ha412HOChr11,184529241,11,44.552
Ha412HOChr11,54544813,11,26.532
Ha412HOChr11,58227062,11,27.778
Ha412HOChr08,24423234,8,39.33
Ha412HOChr05,186229538,5,98.641
Ha412HOChr01,81297763,1,29.313
Ha412HOChr07,1178526,7,0.781
Ha412HOChr10,13524915,10,43.31
Ha412HOChr08,12706975,8,32.203
Ha412HOChr03,1599361,3,0.739
Ha412HOChr08,118694608,8,65.671
Ha412HOChr06,24098838,6,45.954
Ha412HOChr01,104884517,1,29.313
Ha412HOChr09,196820413,9,95.541
Ha412HOChr01,94857645,1,29.313
Ha412HOChr12,35063261,12,12.772
Ha412HOChr16,12991681,16,37.375
Ha412HOChr11,196311498,11,69.715
Ha412HOChr02,24328194,2,25.398
Ha412HOChr10,88795906,10,47.603
Ha412HOChr03,166304488,3,60.899
Ha412HOChr08,27485616,8,41.279
Ha412HOChr12,19063287,12,16.411
Ha412HOChr10,114596435,10,47.603
Ha412HOChr05,43519744,5,39.704
Ha412HOChr01,39902618,1,29.313
Ha412HOChr10,36403219,10,47.603
Ha412HOChr10,172760059,10,55.175
Ha412HOChr08,117392444,8,65.671
Ha412HOChr16,217561828,16,105.797
Ha412HOChr12,17578622,12,18.449
Ha412HOChr10,135360403,10,48.294
Ha412HOChr10,1022744,10,0.742
Ha412HOChr05,46762430,5,39.704
Ha412HOChr02,11393605,2,7.605
Ha412HOChr02,11393208,2,7.605
Ha412HOChr16,217629280,16,105.797
Ha412HOChr05,12072675,5,34.482
Ha412HOChr03,152986235,3,53.271
Ha412HOChr06,26870249,6,45.59
Ha412HOChr16,217610814,16,105.797
Ha412HOChr01,130036999,1,29.682
Ha412HOChr05,159901551,5,52.851
Ha412HOChr03,169384616,3,63.285
Ha412HOChr08,23371141,8,38.94
Ha412HOChr17,189184377,17,5.74
Ha412HOChr17,189183857,17,5.74
Ha412HOChr01,125852631,1,29.682
Ha412HOChr01,2178382,1,9.338
Ha412HOChr05,180867811,5,75.258
Ha412HOChr10,189302842,10,90.839
Ha412HOChr10,32001364,10,47.603
Ha412HOChr04,182924557,4,5.768
Ha412HOChr06,12241486,6,36.729
Ha412HOChr12,17511926,12,18.832
Ha412HOChr09,170873660,9,62.346
Ha412HOChr14,171000685,14,0.064
Ha412HOChr11,33034312,11,22.877
Ha412HOChr03,161504112,3,57.836
Ha412HOChr12,20520578,12,16.05
Ha412HOChr11,50008235,11,26.06
Ha412HOChr15,9884382,15,28.102
Ha412HOChr11,139794669,11,28.133
Ha412HOChr14,188667914,14,37.434
Ha412HOChr04,206441600,4,15.741
Ha412HOChr11,19958386,11,20.9
Ha412HOChr10,2543309,10,1.119
Ha412HOChr10,97939519,10,47.603
Ha412HOChr10,97940728,10,47.603
Ha412HOChr02,25833080,2,25.414
Ha412HOChr10,173637090,10,55.175
Ha412HOChr15,2804757,15,47.986
Ha412HOChr09,126473893,9,37.833
Ha412HOChr10,26748496,10,46.826
Ha412HOChr07,143208738,7,20.963
Ha412HOChr07,130604168,7,14.321
Ha412HOChr04,219103891,4,49.906
Ha412HOChr09,137414558,9,48.253
Ha412HOChr04,151686570,4,3.715
Ha412HOChr03,114676835,3,44.627
Ha412HOChr01,79863689,1,29.313
Ha412HOChr02,27327155,2,25.414
Ha412HOChr01,87374569,1,29.313
Ha412HOChr10,176514196,10,57.012
Ha412HOChr04,189657010,4,9.029
Ha412HOChr05,11495364,5,34.164
Ha412HOChr09,193090131,9,81.284
Ha412HOChr10,33494645,10,47.603
Ha412HOChr13,141795815,13,13.691
Ha412HOChr13,141796240,13,13.691
Ha412HOChr04,60485435,13,13.691
Ha412HOChr11,23743829,11,21.233
Ha412HOChr05,49183257,5,39.702
Ha412HOChr11,15251313,11,19.464
Ha412HOChr10,180982946,10,60.527
Ha412HOChr10,133989582,10,48.294
Ha412HOChr01,13818988,1,29.313
Ha412HOChr05,125725149,5,41.496
Ha412HOChr15,35349907,15,11.726
Ha412HOChr04,207060128,4,17.349
Ha412HOChr01,101951254,1,29.313
Ha412HOChr05,23201847,5,39.306
Ha412HOChr16,2877109,16,2.572
Ha412HOChr17,186777015,17,4.261
Ha412HOChr16,22532312,16,45.097
Ha412HOChr10,31203272,10,47.603
Ha412HOChr09,4602480,9,0
Ha412HOChr05,180867195,5,75.258
Ha412HOChr10,169122089,10,53.425
Ha412HOChr03,112355848,3,44.248
Ha412HOChr10,151468931,10,49.204
Ha412HOChr03,114522738,3,44.627
Ha412HOChr09,177294668,9,64.145
Ha412HOChr10,70027053,10,47.603
Ha412HOChr05,31787583,12,12.06
Ha412HOChr01,112994811,1,29.682
Ha412HOChr01,113869851,1,29.682
Ha412HOChr17,176746110,17,4.261
Ha412HOChr08,42415553,8,45.582
Ha412HOChr10,120588766,10,48.018
Ha412HOChr10,9486031,10,26.644
Ha412HOChr10,179232042,10,59.762
Ha412HOChr01,109779044,1,29.682
Ha412HOChr09,200006066,9,106.787
Ha412HOChr03,111596639,3,44.248
Ha412HOChr15,11481704,5,41.871
Ha412HOChr10,181533236,10,62.43
Ha412HOChr05,48981734,5,39.704
Ha412HOChr13,106708776,13,9.113
Ha412HOChr01,45559670,1,29.313
Ha412HOChr03,112990609,3,44.229
Ha412HOChr10,156683221,10,49.956
Ha412HOChr15,4325628,15,41.461
Ha412HOChr10,123060720,10,48.018
