mds_coord	betweenSS	het_pvalue	window_cluster	location
mds03-neg	0.986391589380853	5.79e-7	4.08	HanXRQChr03:54MB
mds06-neg	0.9971922681996743	1.83e-20	3.4	HanXRQChr10:228MB
mds08-pos	0.9898328810466485	NA	1.59	HanXRQChr01:36MB
mds09-pos	0.9698025572114188	4.91e-18	1.95	HanXRQChr06:97MB
mds11-neg	0.9888379825456596	3.26e-20	14.27	HanXRQChr07:47MB
mds14-pos	0.9793815814451939	NA	10.09	HanXRQChr11:102MB
mds18-pos	0.9493354953811414	9.99e-38	8	HanXRQChr01:95MB
mds18-neg	0.9943051724688621	3.3699999999999996e-37	1.33	HanXRQChr16:170MB
mds19-neg	0.9753586022390899	8.57e-4	8.69	HanXRQChr03:38MB
mds20-neg	0.9868846504958961	5.13e-53	2.83	HanXRQChr04:152MB
mds22-pos	0.9875612448937414	NA	1.2	HanXRQChr14:27MB
mds23-pos	0.9293080079918097	5.07e-7	9.05	HanXRQChr17:131MB
mds25-pos	0.9779970882726019	5.349999999999999e-35	2.67	HanXRQChr11:85MB
mds25-neg	0.8807221378589751	0.00115	3.96	HanXRQChr17:117MB
mds26-pos	0.9781256924060266	NA	7.14	HanXRQChr17:95MB
mds30-pos	0.9671179974267888	1.01e-4	44	HanXRQChr11:95MB
mds31-neg	0.9594165781486451	9.13e-24	4.62	HanXRQChr16:58MB
mds33-neg	0.9112201424479593	3.55e-5	1.95	HanXRQChr05:89MB
mds36-pos	0.968778755510993	3.51e-14	22.67	HanXRQChr11:108MB
mds36-neg	0.9470719853907639	0.198	3.87	HanXRQChr02:85MB
mds37-pos	0.9911735486620508	7.490000000000001e-58	2.5	HanXRQChr01:120MB
mds38-neg	0.9436160167379049	0.0519	2.25	HanXRQChr17:135MB
mds39-pos	0.9465318112291577	1.81e-6	1.8	HanXRQChr17:134MB
mds40-pos	0.9348584204187624	3.57e-8	39.25	HanXRQChr11:100MB
