group	start	end	chr	spe	species	dataset	mds
1	6199548	9699260	Ha412HOChr01	annuus	Annuus	env	neg1
1	148181142	177442806	Ha412HOChr05	annuus	Annuus	env	pos1
1	19370443	53975915	Ha412HOChr11	annuus	Annuus	env	pos1
1	8646123	109475871	Ha412HOChr13	annuus	Annuus	env	pos1
1	139223259	157756098	Ha412HOChr13	annuus	Annuus	env	pos2
1	101455802	129356206	Ha412HOChr14	annuus	Annuus	env	neg1
1	129356233	133235392	Ha412HOChr14	annuus	Annuus	env	neg4
2	133459531	134701278	Ha412HOChr14	annuus	Annuus	env	neg4
3	135046321	135377910	Ha412HOChr14	annuus	Annuus	env	neg4
1	103772702	176634307	Ha412HOChr15	annuus	Annuus	env	pos1
1	10542720	23486443	Ha412HOChr16	annuus	Annuus	env	neg1
1	147445328	159006308	Ha412HOChr16	annuus	Annuus	env	pos2
1	188468191	197519081	Ha412HOChr17	annuus	Annuus	env	neg2
1	42210710	42457211	Ha412HOChr03	argophyllus	Argophyllus	gwas	pos1
2	43315730	44156163	Ha412HOChr03	argophyllus	Argophyllus	gwas	pos1
3	44521626	78204102	Ha412HOChr03	argophyllus	Argophyllus	gwas	pos1
4	78867692	80067728	Ha412HOChr03	argophyllus	Argophyllus	gwas	pos1
5	80123927	83317909	Ha412HOChr03	argophyllus	Argophyllus	gwas	pos1
6	87571939	89113195	Ha412HOChr03	argophyllus	Argophyllus	gwas	pos1
7	98713561	98761502	Ha412HOChr03	argophyllus	Argophyllus	gwas	pos1
1	28583609	42210629	Ha412HOChr03	argophyllus	Argophyllus	gwas	pos2
1	130156472	153317127	Ha412HOChr06	argophyllus	Argophyllus	gwas	pos1
2	153577387	154165841	Ha412HOChr06	argophyllus	Argophyllus	gwas	pos1
3	154632762	154682381	Ha412HOChr06	argophyllus	Argophyllus	gwas	pos1
4	154786258	155011244	Ha412HOChr06	argophyllus	Argophyllus	gwas	pos1
5	155018155	155128857	Ha412HOChr06	argophyllus	Argophyllus	gwas	pos1
1	125435746	130156455	Ha412HOChr06	argophyllus	Argophyllus	gwas	pos4
1	161242043	190205715	Ha412HOChr10	argophyllus	Argophyllus	gwas	neg1
2	190279711	190295665	Ha412HOChr10	argophyllus	Argophyllus	gwas	neg1
3	190339415	190694486	Ha412HOChr10	argophyllus	Argophyllus	gwas	neg1
1	202452179	204242807	Ha412HOChr16	argophyllus	Argophyllus	gwas	pos3
2	204537714	204629966	Ha412HOChr16	argophyllus	Argophyllus	gwas	pos3
3	205197484	205209334	Ha412HOChr16	argophyllus	Argophyllus	gwas	pos3
1	180352	12609141	Ha412HOChr01	petiolaris	Petiolaris	gwas	syn1
2	90815284	98571815	Ha412HOChr01	petiolaris	Petiolaris	gwas	syn1
1	154541712	154721601	Ha412HOChr05	petiolaris	Petiolaris	gwas	syn1
2	154853148	156440507	Ha412HOChr05	petiolaris	Petiolaris	gwas	syn1
3	156841528	179857212	Ha412HOChr05	petiolaris	Petiolaris	gwas	syn1
4	180691185	181000239	Ha412HOChr05	petiolaris	Petiolaris	gwas	syn1
5	182105712	185834275	Ha412HOChr05	petiolaris	Petiolaris	gwas	syn1
1	56219803	78749603	Ha412HOChr06	petiolaris	Petiolaris	gwas	syn1
1	19377671	56046922	Ha412HOChr06	petiolaris	Petiolaris	gwas	syn2
1	8592837	10582776	Ha412HOChr06	petiolaris	Petiolaris	gwas	syn3
1	116413080	130545045	Ha412HOChr07	petiolaris	Petiolaris	gwas	syn1
1	86786672	94581640	Ha412HOChr08	petiolaris	Petiolaris	gwas	syn1
1	105305324	123481124	Ha412HOChr09	petiolaris	Petiolaris	gwas	syn1
2	128805928	140852908	Ha412HOChr09	petiolaris	Petiolaris	gwas	syn1
1	293669	299675	Ha412HOChr10	petiolaris	Petiolaris	gwas	syn1
2	384092	499852	Ha412HOChr10	petiolaris	Petiolaris	gwas	syn1
3	1235691	1268588	Ha412HOChr10	petiolaris	Petiolaris	gwas	syn1
4	1716092	1776585	Ha412HOChr10	petiolaris	Petiolaris	gwas	syn1
5	1845471	14398715	Ha412HOChr10	petiolaris	Petiolaris	gwas	syn1
1	3320576	65747566	Ha412HOChr11	petiolaris	Petiolaris	gwas	syn1
1	89671701	95073326	Ha412HOChr12	petiolaris	Petiolaris	gwas	syn1
2	98049349	98177109	Ha412HOChr12	petiolaris	Petiolaris	gwas	syn1
3	100451519	111696502	Ha412HOChr12	petiolaris	Petiolaris	gwas	syn1
4	155860790	164385696	Ha412HOChr12	petiolaris	Petiolaris	gwas	syn1
1	147947071	149109754	Ha412HOChr13	petiolaris	Petiolaris	gwas	syn1
1	98475810	171068709	Ha412HOChr14	petiolaris	Petiolaris	gwas	syn1
1	135376473	144002322	Ha412HOChr14	petiolaris	Petiolaris	gwas	syn2
1	6481680	10666924	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn1
1	6566825	23262121	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
10	206419062	210181068	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
11	212077689	212145071	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
