chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	ANN1322	ANN1303	1662	4618
Ha412HOChr01	0	DIV_1956	ANN1322	2413	4618
Ha412HOChr01	0	DIV_1956	ANN1303	2301.5	4618
Ha412HOChr01	1000000	ANN1322	ANN1303	2012.5	5020
Ha412HOChr01	1000000	DIV_1956	ANN1322	2291	5020
Ha412HOChr01	1000000	DIV_1956	ANN1303	2319.5	5020
Ha412HOChr01	10000000	ANN1322	ANN1303	1269	3750
Ha412HOChr01	10000000	DIV_1956	ANN1322	2138.5	3750
Ha412HOChr01	10000000	DIV_1956	ANN1303	2062.5	3750
Ha412HOChr01	100000000	ANN1322	ANN1303	309.5	1094
Ha412HOChr01	100000000	DIV_1956	ANN1322	607.5	1094
Ha412HOChr01	100000000	DIV_1956	ANN1303	585.5	1094
Ha412HOChr01	101000000	ANN1322	ANN1303	567.5	2008
Ha412HOChr01	101000000	DIV_1956	ANN1322	1128.5	2008
Ha412HOChr01	101000000	DIV_1956	ANN1303	1120.5	2008
Ha412HOChr01	102000000	ANN1322	ANN1303	1236	3316
Ha412HOChr01	102000000	DIV_1956	ANN1322	1703	3316
Ha412HOChr01	102000000	DIV_1956	ANN1303	1645	3316
Ha412HOChr01	103000000	ANN1322	ANN1303	1194.5	2948
Ha412HOChr01	103000000	DIV_1956	ANN1322	1446	2948
Ha412HOChr01	103000000	DIV_1956	ANN1303	1519	2948
Ha412HOChr01	104000000	ANN1322	ANN1303	1287.5	3718
Ha412HOChr01	104000000	DIV_1956	ANN1322	2047.5	3718
Ha412HOChr01	104000000	DIV_1956	ANN1303	1933	3718
Ha412HOChr01	105000000	ANN1322	ANN1303	365	1374
Ha412HOChr01	105000000	DIV_1956	ANN1322	893	1374
Ha412HOChr01	105000000	DIV_1956	ANN1303	919.5	1374
Ha412HOChr01	106000000	ANN1322	ANN1303	802	2354
Ha412HOChr01	106000000	DIV_1956	ANN1322	1424	2354
Ha412HOChr01	106000000	DIV_1956	ANN1303	1339.5	2354
Ha412HOChr01	107000000	ANN1322	ANN1303	1047	2904
Ha412HOChr01	107000000	DIV_1956	ANN1322	1670	2904
Ha412HOChr01	107000000	DIV_1956	ANN1303	1594	2904
Ha412HOChr01	108000000	ANN1322	ANN1303	795.5	3186
Ha412HOChr01	108000000	DIV_1956	ANN1322	1907.5	3186
Ha412HOChr01	108000000	DIV_1956	ANN1303	1831.5	3186
Ha412HOChr01	109000000	ANN1322	ANN1303	1034.5	3470
Ha412HOChr01	109000000	DIV_1956	ANN1322	1887.5	3470
Ha412HOChr01	109000000	DIV_1956	ANN1303	1893.5	3470
Ha412HOChr01	11000000	ANN1322	ANN1303	830	2122
Ha412HOChr01	11000000	DIV_1956	ANN1322	1469	2122
Ha412HOChr01	11000000	DIV_1956	ANN1303	1379.5	2122
Ha412HOChr01	110000000	ANN1322	ANN1303	606	2022
Ha412HOChr01	110000000	DIV_1956	ANN1322	1179	2022
Ha412HOChr01	110000000	DIV_1956	ANN1303	1135.5	2022
Ha412HOChr01	111000000	ANN1322	ANN1303	707	2446
Ha412HOChr01	111000000	DIV_1956	ANN1322	1328.5	2446
Ha412HOChr01	111000000	DIV_1956	ANN1303	1358	2446
Ha412HOChr01	112000000	ANN1322	ANN1303	1006	3198
Ha412HOChr01	112000000	DIV_1956	ANN1322	1967	3198
Ha412HOChr01	112000000	DIV_1956	ANN1303	1841	3198
Ha412HOChr01	113000000	ANN1322	ANN1303	1716.5	4592
Ha412HOChr01	113000000	DIV_1956	ANN1322	2345.5	4592
Ha412HOChr01	113000000	DIV_1956	ANN1303	2310.5	4592
Ha412HOChr01	114000000	ANN1322	ANN1303	1411.5	3382
Ha412HOChr01	114000000	DIV_1956	ANN1322	1636	3382
Ha412HOChr01	114000000	DIV_1956	ANN1303	1671.5	3382
Ha412HOChr01	115000000	ANN1322	ANN1303	1518.5	3656
Ha412HOChr01	115000000	DIV_1956	ANN1322	1949	3656
Ha412HOChr01	115000000	DIV_1956	ANN1303	1905.5	3656
Ha412HOChr01	116000000	ANN1322	ANN1303	1136	3124
Ha412HOChr01	116000000	DIV_1956	ANN1322	1568	3124
Ha412HOChr01	116000000	DIV_1956	ANN1303	1525.5	3124
Ha412HOChr01	117000000	ANN1322	ANN1303	2067.5	5372
Ha412HOChr01	117000000	DIV_1956	ANN1322	2690.5	5372
Ha412HOChr01	117000000	DIV_1956	ANN1303	2651	5372
Ha412HOChr01	118000000	ANN1322	ANN1303	1739.5	5172
Ha412HOChr01	118000000	DIV_1956	ANN1322	2715	5172
Ha412HOChr01	118000000	DIV_1956	ANN1303	2600	5172
Ha412HOChr01	119000000	ANN1322	ANN1303	1321.5	3498
Ha412HOChr01	119000000	DIV_1956	ANN1322	1676.5	3498
Ha412HOChr01	119000000	DIV_1956	ANN1303	1585	3498
Ha412HOChr01	12000000	ANN1322	ANN1303	1371	2332
Ha412HOChr01	12000000	DIV_1956	ANN1322	1480	2332
Ha412HOChr01	12000000	DIV_1956	ANN1303	1348.5	2332
Ha412HOChr01	120000000	ANN1322	ANN1303	1800	4912
Ha412HOChr01	120000000	DIV_1956	ANN1322	2555	4912
Ha412HOChr01	120000000	DIV_1956	ANN1303	2447.5	4912
Ha412HOChr01	121000000	ANN1322	ANN1303	2345	6022
Ha412HOChr01	121000000	DIV_1956	ANN1322	2906	6022
Ha412HOChr01	121000000	DIV_1956	ANN1303	2775.5	6022
Ha412HOChr01	122000000	ANN1322	ANN1303	1423.5	3326
Ha412HOChr01	122000000	DIV_1956	ANN1322	1547.5	3326
Ha412HOChr01	122000000	DIV_1956	ANN1303	1575	3326
Ha412HOChr01	123000000	ANN1322	ANN1303	2382.5	5912
Ha412HOChr01	123000000	DIV_1956	ANN1322	2669	5912
Ha412HOChr01	123000000	DIV_1956	ANN1303	2601	5912
Ha412HOChr01	124000000	ANN1322	ANN1303	920	2416
Ha412HOChr01	124000000	DIV_1956	ANN1322	1098	2416
Ha412HOChr01	124000000	DIV_1956	ANN1303	1142	2416
Ha412HOChr01	125000000	ANN1322	ANN1303	799.5	2070
Ha412HOChr01	125000000	DIV_1956	ANN1322	1029.5	2070
Ha412HOChr01	125000000	DIV_1956	ANN1303	1082	2070
Ha412HOChr01	126000000	ANN1322	ANN1303	1981	5208
Ha412HOChr01	126000000	DIV_1956	ANN1322	2703.5	5208
Ha412HOChr01	126000000	DIV_1956	ANN1303	2626.5	5208
Ha412HOChr01	127000000	ANN1322	ANN1303	1649	4208
Ha412HOChr01	127000000	DIV_1956	ANN1322	2367.5	4208
Ha412HOChr01	127000000	DIV_1956	ANN1303	2306.5	4208
Ha412HOChr01	128000000	ANN1322	ANN1303	1211	2980
Ha412HOChr01	128000000	DIV_1956	ANN1322	1609.5	2980
Ha412HOChr01	128000000	DIV_1956	ANN1303	1614.5	2980
Ha412HOChr01	129000000	ANN1322	ANN1303	1300	3322
Ha412HOChr01	129000000	DIV_1956	ANN1322	1800.5	3322
Ha412HOChr01	129000000	DIV_1956	ANN1303	1697	3322
Ha412HOChr01	13000000	ANN1322	ANN1303	338.5	1584
Ha412HOChr01	13000000	DIV_1956	ANN1322	1097	1584
Ha412HOChr01	13000000	DIV_1956	ANN1303	1054	1584
Ha412HOChr01	130000000	ANN1322	ANN1303	2627	6830
Ha412HOChr01	130000000	DIV_1956	ANN1322	3580	6830
Ha412HOChr01	130000000	DIV_1956	ANN1303	3490.5	6830
Ha412HOChr01	131000000	ANN1322	ANN1303	2035	5034
Ha412HOChr01	131000000	DIV_1956	ANN1322	2698	5034
Ha412HOChr01	131000000	DIV_1956	ANN1303	2626.5	5034
Ha412HOChr01	132000000	ANN1322	ANN1303	1304	3420
Ha412HOChr01	132000000	DIV_1956	ANN1322	1678.5	3420
Ha412HOChr01	132000000	DIV_1956	ANN1303	1733.5	3420
Ha412HOChr01	133000000	ANN1322	ANN1303	1152	3372
Ha412HOChr01	133000000	DIV_1956	ANN1322	1753.5	3372
Ha412HOChr01	133000000	DIV_1956	ANN1303	1679.5	3372
Ha412HOChr01	134000000	ANN1322	ANN1303	2415.5	6392
Ha412HOChr01	134000000	DIV_1956	ANN1322	2990	6392
Ha412HOChr01	134000000	DIV_1956	ANN1303	2979	6392
Ha412HOChr01	135000000	ANN1322	ANN1303	1169.5	3192
Ha412HOChr01	135000000	DIV_1956	ANN1322	1613.5	3192
Ha412HOChr01	135000000	DIV_1956	ANN1303	1606.5	3192
Ha412HOChr01	136000000	ANN1322	ANN1303	3151	8080
Ha412HOChr01	136000000	DIV_1956	ANN1322	3805	8080
Ha412HOChr01	136000000	DIV_1956	ANN1303	3673	8080
Ha412HOChr01	137000000	ANN1322	ANN1303	2593	7144
