chr	variable	window	start	end	median_bayes
Ha412HOChr01	DD_18_e	718	71339309	71376589	9.001834259999999
Ha412HOChr01	DD_18_e	2668	149371347	149375548	10.970327255
Ha412HOChr01	latitude_e	2668	149371347	149375548	7.895584775
Ha412HOChr01	MAP_e	498	56561446	56563964	10.010060925000001
Ha412HOChr01	MAP_e	500	56642426	56705044	10.291356075
Ha412HOChr01	MAR_e	563	61378023	61380116	4.3198305050000005
Ha412HOChr01	MCMT_e	718	71339309	71376589	9.314352055
Ha412HOChr01	MCMT_e	2668	149371347	149375548	10.732419565
Ha412HOChr01	MSP_e	498	56561446	56563964	13.846858224999998
Ha412HOChr01	MSP_e	499	56563965	56642408	13.240755835
Ha412HOChr01	MSP_e	500	56642426	56705044	14.175643515
Ha412HOChr01	MSP_e	501	56705663	56710818	14.508118595
Ha412HOChr01	MSP_e	502	56710831	56718775	12.086406345
Ha412HOChr01	MWMT_e	1692	116557299	116560842	5.978972135
Ha412HOChr01	SHM_e	498	56561446	56563964	12.086850085
Ha412HOChr01	SHM_e	499	56563965	56642408	10.753551259999998
Ha412HOChr01	SHM_e	500	56642426	56705044	11.733895515
Ha412HOChr01	SHM_e	501	56705663	56710818	11.67622221
Ha412HOChr01	TD_e	718	71339309	71376589	14.38987822
Ha412HOChr01	TD_e	719	71376660	71492344	12.93717667
Ha412HOChr02	AHM_e	544	53125015	53142737	9.641716395
Ha412HOChr02	AHM_e	545	53142745	53216966	9.99308901
Ha412HOChr02	AHM_e	1614	163413873	163488728	11.080885649999999
Ha412HOChr02	bFFP_e	1614	163413873	163488728	22.3218311
Ha412HOChr02	CMD_e	1614	163413873	163488728	29.45561473
Ha412HOChr02	DD_0_e	915	125059636	125062827	9.765088455
Ha412HOChr02	DD_0_e	916	125062842	125095637	10.91543949
Ha412HOChr02	DD_0_e	917	125095774	125097724	11.45822525
Ha412HOChr02	DD_0_e	918	125097783	125103531	11.146544965
Ha412HOChr02	DD_0_e	919	125103539	125113202	11.944731795
Ha412HOChr02	DD_18_e	916	125062842	125095637	9.57728824
Ha412HOChr02	DD_18_e	917	125095774	125097724	10.323450955
Ha412HOChr02	DD_18_e	918	125097783	125103531	9.775635155
Ha412HOChr02	DD_18_e	919	125103539	125113202	9.681264895
Ha412HOChr02	DD5_e	1291	148953209	148976154	8.188245975000001
Ha412HOChr02	eFFP_e	1614	163413873	163488728	22.006047674999998
Ha412HOChr02	elevation_e	914	124958292	125059626	14.15775854
Ha412HOChr02	elevation_e	915	125059636	125062827	10.503345065
Ha412HOChr02	elevation_e	916	125062842	125095637	11.815030759999999
Ha412HOChr02	elevation_e	917	125095774	125097724	13.05126262
Ha412HOChr02	elevation_e	918	125097783	125103531	14.05948381
Ha412HOChr02	elevation_e	919	125103539	125113202	13.831436905
Ha412HOChr02	EMT_e	25	3583861	3589059	10.335705615
Ha412HOChr02	EMT_e	26	3589062	3650612	10.324281165
Ha412HOChr02	EMT_e	1614	163413873	163488728	12.67355888
Ha412HOChr02	Eref_e	1614	163413873	163488728	33.418037855
Ha412HOChr02	EXT_e	1614	163413873	163488728	31.359216155
Ha412HOChr02	FFP_e	1614	163413873	163488728	22.609171995
Ha412HOChr02	latitude_e	914	124958292	125059626	9.84554404
Ha412HOChr02	latitude_e	915	125059636	125062827	9.28652253
Ha412HOChr02	latitude_e	916	125062842	125095637	9.40366363
Ha412HOChr02	latitude_e	917	125095774	125097724	10.11912332
Ha412HOChr02	latitude_e	918	125097783	125103531	10.24479839
Ha412HOChr02	latitude_e	919	125103539	125113202	10.09111137
Ha412HOChr02	latitude_e	1289	148943758	148951287	7.86639083
Ha412HOChr02	latitude_e	1291	148953209	148976154	7.93666363
Ha412HOChr02	longitude_e	1614	163413873	163488728	22.803226799999997
Ha412HOChr02	MAP_e	544	53125015	53142737	10.555296604999999
Ha412HOChr02	MAP_e	545	53142745	53216966	11.037497545
Ha412HOChr02	MCMT_e	917	125095774	125097724	9.651805915
Ha412HOChr02	MCMT_e	918	125097783	125103531	9.156460435
Ha412HOChr02	NFFD_e	1849	173270407	173294610	7.747242764999999
Ha412HOChr02	NFFD_e	1851	173301948	173306467	10.619524155
Ha412HOChr02	NFFD_e	1852	173306481	173363160	7.98339772
Ha412HOChr02	NFFD_e	1853	173363203	173398970	9.3861312
Ha412HOChr02	RH_e	1614	163413873	163488728	31.413606005
Ha412HOChr03	MWMT_e	1680	93379855	93441848	6.712208159999999
Ha412HOChr03	MWMT_e	1681	93441852	93445407	5.52250051
Ha412HOChr04	EMT_e	156	6407393	6409434	10.324526825
Ha412HOChr04	MAR_e	1815	190514438	190519899	13.327014815
Ha412HOChr04	MWMT_e	1528	174541498	174545246	4.135013795
Ha412HOChr04	NFFD_e	156	6407393	6409434	10.29845653
Ha412HOChr05	AHM_e	1930	159258360	159263035	12.565028145
Ha412HOChr05	DD_0_e	1474	128253619	128272815	9.751898149999999
Ha412HOChr05	DD_0_e	1476	128313011	128317117	10.70433225
Ha412HOChr05	DD_0_e	1477	128317141	128358803	9.749723585
Ha412HOChr05	DD18_e	1930	159258360	159263035	9.6905761
Ha412HOChr05	DD5_e	1342	121942455	121946643	8.118027510000001
Ha412HOChr05	MAP_e	1930	159258360	159263035	10.600101935000001
Ha412HOChr05	MAT_e	1338	121883975	121888496	8.981434069999999
Ha412HOChr05	MAT_e	1341	121933105	121942365	9.319891345
Ha412HOChr05	MAT_e	1342	121942455	121946643	9.899949615
Ha412HOChr05	MCMT_e	1476	128313011	128317117	8.941233194999999
Ha412HOChr05	TD_e	519	20941586	20943942	13.134529165
Ha412HOChr05	TD_e	522	21061066	21065093	9.21762646
Ha412HOChr05	TD_e	535	21323377	21325055	9.31455494
Ha412HOChr05	TD_e	539	21414350	21418715	9.944728485
Ha412HOChr05	TD_e	542	21431862	21436591	9.17217925
Ha412HOChr05	TD_e	1476	128313011	128317117	10.72907304
Ha412HOChr06	DD_18_e	1409	43616201	43618726	9.093556055
Ha412HOChr06	DD18_e	1407	43607445	43614191	8.254869415
Ha412HOChr06	DD18_e	1409	43616201	43618726	9.60897774
Ha412HOChr06	DD18_e	1424	43770145	43900105	8.39827735
Ha412HOChr06	DD5_e	1407	43607445	43614191	9.079312755
Ha412HOChr06	DD5_e	1409	43616201	43618726	10.529382
Ha412HOChr06	latitude_e	131	3426069	3448388	7.954811175
Ha412HOChr06	MAT_e	1407	43607445	43614191	9.899755725
Ha412HOChr06	MAT_e	1409	43616201	43618726	10.931539165
Ha412HOChr06	MCMT_e	1409	43616201	43618726	10.149199525
Ha412HOChr06	MSP_e	2516	151469680	151471829	11.30364504
Ha412HOChr06	SHM_e	2516	151469680	151471829	11.007582504999998
Ha412HOChr07	NFFD_e	1411	138762054	138767890	12.373585085
Ha412HOChr08	bFFP_e	1916	64836669	64960655	18.591326825000003
Ha412HOChr08	bFFP_e	1917	64960666	65027555	18.94717462
Ha412HOChr08	bFFP_e	1918	65027564	65049403	20.49862271
Ha412HOChr08	bFFP_e	1919	65049411	65085741	19.47928709
Ha412HOChr08	bFFP_e	1934	65724133	65731860	18.707638154999998
Ha412HOChr08	bFFP_e	1935	65731955	65740568	19.5617328
Ha412HOChr08	bFFP_e	1937	65774526	65855683	19.724333485
Ha412HOChr08	bFFP_e	1938	65855730	65874222	19.865724094999997
Ha412HOChr08	bFFP_e	1939	65874688	65885818	19.353098805000002
Ha412HOChr08	CMD_e	1916	64836669	64960655	22.60674858
Ha412HOChr08	CMD_e	1917	64960666	65027555	23.739479725000002
Ha412HOChr08	CMD_e	1918	65027564	65049403	24.094049025
Ha412HOChr08	CMD_e	1919	65049411	65085741	23.211385014999998
Ha412HOChr08	CMD_e	1920	65085749	65163528	22.748301365
Ha412HOChr08	CMD_e	1935	65731955	65740568	23.203785420000003
Ha412HOChr08	CMD_e	1938	65855730	65874222	22.741380890000002
Ha412HOChr08	CMD_e	1943	65956460	66075165	23.035203715
Ha412HOChr08	CMD_e	1944	66075166	66085743	22.6713094
Ha412HOChr08	eFFP_e	1916	64836669	64960655	18.078431285
Ha412HOChr08	eFFP_e	1917	64960666	65027555	17.132683095
Ha412HOChr08	eFFP_e	1918	65027564	65049403	18.10708884
Ha412HOChr08	eFFP_e	1919	65049411	65085741	17.99176701
Ha412HOChr08	eFFP_e	1920	65085749	65163528	18.61826697
Ha412HOChr08	eFFP_e	1935	65731955	65740568	17.173873885
Ha412HOChr08	eFFP_e	1937	65774526	65855683	17.971502475
Ha412HOChr08	eFFP_e	1938	65855730	65874222	18.05529028
Ha412HOChr08	eFFP_e	1944	66075166	66085743	17.77586574
Ha412HOChr08	elevation_e	2104	86444703	86451329	9.976325755000001
Ha412HOChr08	Eref_e	1917	64960666	65027555	27.23874608
Ha412HOChr08	Eref_e	1918	65027564	65049403	29.13301103
Ha412HOChr08	Eref_e	1919	65049411	65085741	26.915384500000002
Ha412HOChr08	Eref_e	1920	65085749	65163528	26.497616739999998
Ha412HOChr08	Eref_e	1934	65724133	65731860	26.48306836
Ha412HOChr08	Eref_e	1935	65731955	65740568	27.32135703
Ha412HOChr08	Eref_e	1938	65855730	65874222	26.784078620000003
Ha412HOChr08	Eref_e	1939	65874688	65885818	26.73225687
Ha412HOChr08	Eref_e	1943	65956460	66075165	27.541469735
Ha412HOChr08	EXT_e	1916	64836669	64960655	19.469511830000002
Ha412HOChr08	EXT_e	1917	64960666	65027555	19.470858915
Ha412HOChr08	EXT_e	1918	65027564	65049403	20.331228535
Ha412HOChr08	EXT_e	1919	65049411	65085741	20.467726105
Ha412HOChr08	EXT_e	1920	65085749	65163528	18.177367615
Ha412HOChr08	EXT_e	1935	65731955	65740568	19.994619954999997
Ha412HOChr08	EXT_e	1938	65855730	65874222	18.263577910000002
Ha412HOChr08	EXT_e	1939	65874688	65885818	18.409870679999997
Ha412HOChr08	EXT_e	1944	66075166	66085743	19.502356650000003
Ha412HOChr08	FFP_e	1917	64960666	65027555	20.066878770000002
Ha412HOChr08	FFP_e	1918	65027564	65049403	21.22938627
Ha412HOChr08	FFP_e	1919	65049411	65085741	21.07263823
Ha412HOChr08	FFP_e	1920	65085749	65163528	20.46796517
Ha412HOChr08	FFP_e	1931	65696908	65704337	19.99967993
Ha412HOChr08	FFP_e	1935	65731955	65740568	20.69069995
Ha412HOChr08	FFP_e	1937	65774526	65855683	21.28563581
Ha412HOChr08	FFP_e	1938	65855730	65874222	20.58998236
Ha412HOChr08	FFP_e	1939	65874688	65885818	20.278313089999997
Ha412HOChr08	longitude_e	1916	64836669	64960655	12.960203685
Ha412HOChr08	longitude_e	1917	64960666	65027555	14.457197659999999
Ha412HOChr08	longitude_e	1918	65027564	65049403	13.64725405
Ha412HOChr08	longitude_e	1919	65049411	65085741	13.46006182
Ha412HOChr08	longitude_e	1935	65731955	65740568	12.215913765
Ha412HOChr08	longitude_e	1943	65956460	66075165	12.418559615
Ha412HOChr08	longitude_e	1944	66075166	66085743	12.10190643
Ha412HOChr08	MAR_e	2528	114195343	114197331	3.85695617
Ha412HOChr08	MWMT_e	2076	84200227	84204131	12.849137599999999
Ha412HOChr08	MWMT_e	2077	84204153	84208797	12.431699225
Ha412HOChr08	MWMT_e	2078	84208968	84234825	7.58132965
Ha412HOChr08	MWMT_e	2104	86444703	86451329	5.013359995
Ha412HOChr08	RH_e	1917	64960666	65027555	26.4504466
Ha412HOChr08	RH_e	1918	65027564	65049403	27.845690295
Ha412HOChr08	RH_e	1919	65049411	65085741	26.932959914999998
Ha412HOChr08	RH_e	1920	65085749	65163528	26.650338554999998
Ha412HOChr08	RH_e	1934	65724133	65731860	25.845105025000002
Ha412HOChr08	RH_e	1935	65731955	65740568	26.333041025
Ha412HOChr08	RH_e	1937	65774526	65855683	26.065327655
Ha412HOChr08	RH_e	1938	65855730	65874222	26.46545338
Ha412HOChr08	RH_e	1939	65874688	65885818	26.571903579999997
Ha412HOChr09	AHM_e	2566	157154112	157161880	14.83438596
Ha412HOChr09	DD18_e	2635	158701446	158704463	12.871246845
Ha412HOChr09	DD5_e	2635	158701446	158704463	10.063912455
Ha412HOChr09	EMT_e	560	49259233	49261746	9.373115835
Ha412HOChr09	longitude_e	2566	157154112	157161880	14.109154100000001
Ha412HOChr09	MAP_e	2566	157154112	157161880	22.031487145
Ha412HOChr09	MAP_e	2567	157162219	157165889	10.353293685
Ha412HOChr09	MAT_e	2635	158701446	158704463	9.87563432
Ha412HOChr09	MSP_e	2566	157154112	157161880	30.407789325
Ha412HOChr09	MSP_e	2567	157162219	157165889	17.58549652
Ha412HOChr09	MSP_e	2846	163948487	164097941	11.133535340000002
Ha412HOChr09	NFFD_e	4041	192478000	192479109	11.289029679999999
Ha412HOChr09	SHM_e	2566	157154112	157161880	24.74569319
Ha412HOChr09	SHM_e	2567	157162219	157165889	14.47126791
Ha412HOChr10	AHM_e	808	43488436	43492827	9.719738759999998
Ha412HOChr10	AHM_e	1223	97776683	97779182	9.793269335
Ha412HOChr10	AHM_e	1224	97779183	97869277	11.196367774999999
Ha412HOChr10	EMT_e	2381	163743889	163765917	9.779910695
Ha412HOChr10	MAP_e	808	43488436	43492827	13.99947626
Ha412HOChr10	MAP_e	809	43492856	43494128	12.31903067
Ha412HOChr11	DD18_e	904	31659596	31663701	7.665895635
Ha412HOChr11	DD18_e	905	31663702	31665051	8.517886765
Ha412HOChr11	DD5_e	905	31663702	31665051	8.80282318
Ha412HOChr11	MAT_e	905	31663702	31665051	10.15957943
Ha412HOChr12	AHM_e	1490	43495993	43504351	10.71907426
Ha412HOChr12	DD_18_e	1986	78229794	78311046	9.07672423
Ha412HOChr12	DD5_e	1986	78229794	78311046	8.108053445
Ha412HOChr12	MAT_e	1986	78229794	78311046	9.666252335
Ha412HOChr12	MWMT_e	1490	43495993	43504351	5.5580321
Ha412HOChr13	DD18_e	2755	150838810	150846051	7.67735976
Ha412HOChr13	DD5_e	2755	150838810	150846051	8.188821229999999
Ha412HOChr13	MWMT_e	2225	130559645	130572841	4.730941675
Ha412HOChr13	NFFD_e	2806	152520464	152526220	9.934528975
Ha412HOChr14	EMT_e	1999	153632231	153763232	9.25626149
Ha412HOChr14	MAR_e	480	77583977	77786006	4.23972838
Ha412HOChr14	MAR_e	481	77786012	77792299	4.358674035
