chrom	start	end	mid	the_mds	outlier	n	mds_coord
HanXRQChr01	7771632	8051763	7911697.5	-0.10720243044502004	Outlier	26	mds40-neg
HanXRQChr01	12781280	12906648	12843964	-0.14367189801086921	Outlier	42	mds40-neg
HanXRQChr01	12937198	13476682	13206940	-0.11946047279729202	Outlier	43	mds40-neg
HanXRQChr01	13476773	13578458	13527615.5	-0.12159994966465565	Outlier	44	mds40-neg
HanXRQChr01	13816575	13922906	13869740.5	-0.10426094279367025	Outlier	46	mds40-neg
HanXRQChr01	13923270	14086604	14004937	-0.1114794560423718	Outlier	47	mds40-neg
HanXRQChr01	14086617	14214537	14150577	-0.11844490831454842	Outlier	48	mds40-neg
HanXRQChr01	24815016	26516417	25665716.5	-0.14263873022526188	Outlier	71	mds40-neg
HanXRQChr01	26516421	26696427	26606424	-0.15594966840359326	Outlier	72	mds40-neg
HanXRQChr01	26696568	27147058	26921813	-0.14545659869198235	Outlier	73	mds40-neg
HanXRQChr01	38445668	38593839	38519753.5	-0.12057216577567463	Outlier	93	mds40-neg
HanXRQChr01	38593894	38738177	38666035.5	-0.1253288042687901	Outlier	94	mds40-neg
HanXRQChr01	38738267	38799014	38768640.5	-0.10589060175356065	Outlier	95	mds40-neg
HanXRQChr02	33030601	34489703	33760152	0.22244411408368558	Outlier	609	mds40-pos
HanXRQChr02	68358716	68830626	68594671	0.1571308778183913	Outlier	707	mds40-pos
HanXRQChr02	68830683	69378087	69104385	0.15380694636327125	Outlier	708	mds40-pos
HanXRQChr02	80769249	81882385	81325817	0.17664890488584967	Outlier	730	mds40-pos
HanXRQChr02	81882420	82216518	82049469	0.18585666099079187	Outlier	731	mds40-pos
HanXRQChr02	83841458	84206509	84023983.5	0.1623878023509635	Outlier	736	mds40-pos
HanXRQChr02	84206559	85026664	84616611.5	0.16272727028275397	Outlier	737	mds40-pos
HanXRQChr02	85026709	85549221	85287965	0.13632558747858667	Outlier	738	mds40-pos
HanXRQChr02	86130822	86619118	86374970	0.2204336733817945	Outlier	740	mds40-pos
HanXRQChr02	86619125	87190128	86904626.5	0.24212302669717625	Outlier	741	mds40-pos
HanXRQChr02	87190181	87633354	87411767.5	0.11174131050115772	Outlier	742	mds40-pos
HanXRQChr02	87633409	88116992	87875200.5	0.21342024745510235	Outlier	743	mds40-pos
HanXRQChr02	88117015	88344636	88230825.5	0.23739040716953197	Outlier	744	mds40-pos
HanXRQChr02	90433857	90979537	90706697	0.1549207378472849	Outlier	750	mds40-pos
HanXRQChr02	90979581	91680395	91329988	0.20914346659470082	Outlier	751	mds40-pos
HanXRQChr02	91680647	92258196	91969421.5	0.21973345178139794	Outlier	752	mds40-pos
HanXRQChr02	95788882	96016630	95902756	0.108449790513092	Outlier	761	mds40-pos
HanXRQChr02	96016635	96298973	96157804	0.1361762227003643	Outlier	762	mds40-pos
HanXRQChr02	106353542	106643855	106498698.5	0.24209473396402512	Outlier	786	mds40-pos
HanXRQChr07	7392955	8199158	7796056.5	-0.1824042439988887	Outlier	3261	mds39-neg
HanXRQChr07	8199166	8528284	8363725	-0.1832778989547366	Outlier	3262	mds39-neg
HanXRQChr07	10172285	10753874	10463079.5	-0.21064615131705194	Outlier	3267	mds39-neg
HanXRQChr07	10753890	11074287	10914088.5	-0.1648212374292653	Outlier	3268	mds39-neg
HanXRQChr07	26110707	26720583	26415645	-0.3576098477518846	Outlier	3311	mds39-neg
HanXRQChr07	26720768	27005316	26863042	-0.2870642733493432	Outlier	3312	mds39-neg
HanXRQChr07	28244697	28595643	28420170	-0.1366382482926374	Outlier	3317	mds39-neg
HanXRQChr07	55286487	55547380	55416933.5	-0.10686306293901102	Outlier	3396	mds39-neg
HanXRQChr07	74633022	75199734	74916378	-0.41791181634388336	Outlier	3471	mds39-neg
HanXRQChr07	75200510	75435941	75318225.5	-0.40987068499596335	Outlier	3472	mds39-neg
HanXRQChr07	90156470	90655784	90406127	-0.119137191045525	Outlier	3545	mds39-neg
HanXRQChr07	97260319	98594002	97927160.5	-0.2895158525165716	Outlier	3575	mds39-neg
HanXRQChr03	28290239	28880234	28585236.5	0.15801760781296123	Outlier	1126	mds39-pos
HanXRQChr03	35080757	35548735	35314746	0.10563619399111633	Outlier	1145	mds39-pos
HanXRQChr03	48913349	49194443	49053896	0.11163479504737349	Outlier	1192	mds39-pos
HanXRQChr03	49194798	49457689	49326243.5	0.11370255152482335	Outlier	1193	mds39-pos
HanXRQChr03	61446647	61942757	61694702	0.12394460254373353	Outlier	1227	mds39-pos
HanXRQChr03	61942844	62040230	61991537	0.12664846037025965	Outlier	1228	mds39-pos
HanXRQChr03	62040289	62235911	62138100	0.11180382646554005	Outlier	1229	mds39-pos
HanXRQChr03	73075307	73257755	73166531	0.12613682580054922	Outlier	1258	mds39-pos
HanXRQChr03	75456882	76066372	75761627	0.1553526687465133	Outlier	1266	mds39-pos
HanXRQChr03	76066385	76393214	76229799.5	0.15071862033160244	Outlier	1267	mds39-pos
HanXRQChr03	76393327	76713901	76553614	0.11812945083445049	Outlier	1268	mds39-pos
HanXRQChr03	79002779	79710061	79356420	0.10926928058070438	Outlier	1276	mds39-pos
HanXRQChr03	79710215	80852706	80281460.5	0.11960896506089042	Outlier	1277	mds39-pos
HanXRQChr03	83918334	84070988	83994661	0.12043300274308105	Outlier	1290	mds39-pos
HanXRQChr03	84071021	84879938	84475479.5	0.14562382996244622	Outlier	1291	mds39-pos
HanXRQChr03	84880045	85552921	85216483	0.17155039627856275	Outlier	1292	mds39-pos
HanXRQChr03	85552926	85942921	85747923.5	0.14762164284193563	Outlier	1293	mds39-pos
HanXRQChr03	85942951	86543994	86243472.5	0.1666105018917094	Outlier	1294	mds39-pos
HanXRQChr03	94447863	95687919	95067891	0.16188386406033106	Outlier	1314	mds39-pos
HanXRQChr03	95688228	95895064	95791646	0.1612576938671031	Outlier	1315	mds39-pos
HanXRQChr03	95895085	96598796	96246940.5	0.15572211091977603	Outlier	1316	mds39-pos
HanXRQChr03	101512932	101890982	101701957	0.13777834253607368	Outlier	1331	mds39-pos
HanXRQChr03	123141000	123511402	123326201	0.11460002798045064	Outlier	1403	mds39-pos
HanXRQChr10	68724726	68933965	68829345.5	-0.21168475222528155	Outlier	5079	mds38-neg
HanXRQChr10	68934009	69361643	69147826	-0.20202422373199466	Outlier	5080	mds38-neg
HanXRQChr10	69361652	69724619	69543135.5	-0.20065017268862353	Outlier	5081	mds38-neg
HanXRQChr10	70328819	71735700	71032259.5	-0.16391437543903745	Outlier	5083	mds38-neg
HanXRQChr10	71735864	72196119	71965991.5	-0.1593740788537185	Outlier	5084	mds38-neg
HanXRQChr10	72196139	72728900	72462519.5	-0.16489574945664165	Outlier	5085	mds38-neg
HanXRQChr10	74130445	75062692	74596568.5	-0.21004780974599604	Outlier	5091	mds38-neg
HanXRQChr10	75063338	75433736	75248537	-0.20131252971986427	Outlier	5092	mds38-neg
HanXRQChr10	75433738	75808120	75620929	-0.20052285224917968	Outlier	5093	mds38-neg
HanXRQChr10	84025099	84564468	84294783.5	-0.12359141706155033	Outlier	5124	mds38-neg
HanXRQChr10	84564514	84833442	84698978	-0.1672373351684697	Outlier	5125	mds38-neg
HanXRQChr10	89019877	89441263	89230570	-0.19002784250380256	Outlier	5134	mds38-neg
HanXRQChr10	89441276	89868623	89654949.5	-0.14893395975188414	Outlier	5135	mds38-neg
HanXRQChr10	90936873	91874694	91405783.5	-0.14171613476375672	Outlier	5139	mds38-neg
HanXRQChr10	92969858	93337184	93153521	-0.16681524407572537	Outlier	5143	mds38-neg
HanXRQChr10	93337186	93904327	93620756.5	-0.17546725752904987	Outlier	5144	mds38-neg
HanXRQChr10	96685493	98075486	97380489.5	-0.10677354296825069	Outlier	5155	mds38-neg
HanXRQChr10	98739417	98878763	98809090	-0.16413361740785995	Outlier	5159	mds38-neg
HanXRQChr10	98878889	99019558	98949223.5	-0.2520584996977692	Outlier	5160	mds38-neg
HanXRQChr10	99019611	99445597	99232604	-0.24199804561977512	Outlier	5161	mds38-neg
HanXRQChr10	100928665	101190396	101059530.5	-0.15101527257211275	Outlier	5166	mds38-neg
HanXRQChr10	103793645	104172499	103983072	-0.21576640559244203	Outlier	5174	mds38-neg
HanXRQChr10	111432660	112395245	111913952.5	-0.1369224975270693	Outlier	5200	mds38-neg
HanXRQChr10	112395295	112811846	112603570.5	-0.21293856667051952	Outlier	5201	mds38-neg
HanXRQChr10	112811913	113250817	113031365	-0.12306018723214651	Outlier	5202	mds38-neg
HanXRQChr10	113379665	113567559	113473612	-0.14081310104727293	Outlier	5204	mds38-neg
HanXRQChr10	115167079	115403154	115285116.5	-0.20710358670946113	Outlier	5207	mds38-neg
HanXRQChr10	115403163	115835683	115619423	-0.23119512787848362	Outlier	5208	mds38-neg
HanXRQChr10	125410014	125759106	125584560	-0.2031748787173753	Outlier	5245	mds38-neg
HanXRQChr10	125759126	125965336	125862231	-0.22942751704168102	Outlier	5246	mds38-neg
HanXRQChr10	125965358	128044785	127005071.5	-0.14651196369035085	Outlier	5247	mds38-neg
HanXRQChr10	128044803	128939374	128492088.5	-0.14957616905186175	Outlier	5248	mds38-neg
HanXRQChr10	130091396	130333439	130212417.5	-0.23655146280910797	Outlier	5252	mds38-neg
HanXRQChr10	130333459	130674568	130504013.5	-0.239060357518681	Outlier	5253	mds38-neg
HanXRQChr10	130674598	130897781	130786189.5	-0.19721473839483133	Outlier	5254	mds38-neg
HanXRQChr10	130897858	131235658	131066758	-0.18620360573691166	Outlier	5255	mds38-neg
HanXRQChr10	136338623	137306716	136822669.5	-0.15105745544904534	Outlier	5270	mds38-neg
HanXRQChr10	137307125	137881874	137594499.5	-0.2358238502756757	Outlier	5271	mds38-neg
HanXRQChr10	137882137	138043126	137962631.5	-0.17074024562748052	Outlier	5272	mds38-neg
HanXRQChr10	138043151	138457300	138250225.5	-0.2246666370821162	Outlier	5273	mds38-neg
HanXRQChr10	138457336	138981606	138719471	-0.1346983722328948	Outlier	5274	mds38-neg
HanXRQChr10	138981666	139311501	139146583.5	-0.10552534680114126	Outlier	5275	mds38-neg
HanXRQChr10	139311516	139709545	139510530.5	-0.1176476794168603	Outlier	5276	mds38-neg
HanXRQChr10	140497529	140716602	140607065.5	-0.13461382958839932	Outlier	5279	mds38-neg
HanXRQChr10	141442472	142183817	141813144.5	-0.24104295473791915	Outlier	5283	mds38-neg
HanXRQChr10	142183859	142499293	142341576	-0.25545293922073703	Outlier	5284	mds38-neg
HanXRQChr10	142499344	143502918	143001131	-0.22034526306065996	Outlier	5285	mds38-neg
HanXRQChr10	149362933	149904434	149633683.5	-0.19917718716968666	Outlier	5307	mds38-neg
HanXRQChr10	153212550	153323213	153267881.5	-0.13702867521917597	Outlier	5318	mds38-neg
HanXRQChr10	154063528	154395024	154229276	-0.13987841526960107	Outlier	5320	mds38-neg
HanXRQChr10	154395085	154776775	154585930	-0.248714356033545	Outlier	5321	mds38-neg
HanXRQChr10	154776886	155025760	154901323	-0.22560151503797982	Outlier	5322	mds38-neg
HanXRQChr10	155989281	156306836	156148058.5	-0.15286156080949095	Outlier	5327	mds38-neg
HanXRQChr10	156306874	156484250	156395562	-0.14530290498907772	Outlier	5328	mds38-neg
HanXRQChr10	156484260	156996819	156740539.5	-0.1538761686513469	Outlier	5329	mds38-neg
HanXRQChr10	159464880	159838384	159651632	-0.15006935543912342	Outlier	5334	mds38-neg
HanXRQChr10	159838403	160790032	160314217.5	-0.13453121276903773	Outlier	5335	mds38-neg
HanXRQChr10	161206830	161710855	161458842.5	-0.15648730684043774	Outlier	5338	mds38-neg
HanXRQChr04	58912904	59227541	59070222.5	0.1278457856655922	Outlier	1747	mds38-pos
HanXRQChr04	67244188	68000903	67622545.5	0.1312769622902985	Outlier	1770	mds38-pos
HanXRQChr04	68000952	68304701	68152826.5	0.1331986829297691	Outlier	1771	mds38-pos
HanXRQChr04	68304755	68592238	68448496.5	0.14404146368350954	Outlier	1772	mds38-pos
HanXRQChr04	68592260	68756685	68674472.5	0.15973031148236033	Outlier	1773	mds38-pos
HanXRQChr04	68756958	69067573	68912265.5	0.15791572995624176	Outlier	1774	mds38-pos
HanXRQChr04	69067589	69552443	69310016	0.15329616992882258	Outlier	1775	mds38-pos
HanXRQChr04	69552599	69772827	69662713	0.15476595973429583	Outlier	1776	mds38-pos
HanXRQChr04	69772846	70031548	69902197	0.1491776065271028	Outlier	1777	mds38-pos
HanXRQChr04	131795987	132041224	131918605.5	0.13612954639338692	Outlier	1975	mds38-pos
HanXRQChr04	132041332	132435085	132238208.5	0.10696563298947787	Outlier	1976	mds38-pos
HanXRQChr04	132435745	132795736	132615740.5	0.13590874583410734	Outlier	1977	mds38-pos
HanXRQChr11	21162175	21359195	21260685	-0.1097788613796337	Outlier	5721	mds37-neg
HanXRQChr11	21359197	22192125	21775661	-0.1204524262946591	Outlier	5722	mds37-neg
HanXRQChr11	29520317	29929159	29724738	-0.12168644304624401	Outlier	5753	mds37-neg
HanXRQChr11	51685665	52556491	52121078	-0.11843317923184385	Outlier	5827	mds37-neg
HanXRQChr11	52556647	53199411	52878029	-0.1059130286554258	Outlier	5828	mds37-neg
HanXRQChr11	68441588	68697829	68569708.5	-0.11587489494394701	Outlier	5873	mds37-neg
HanXRQChr11	77873164	78064742	77968953	-0.10760918919480938	Outlier	5899	mds37-neg
HanXRQChr11	81216229	81595950	81406089.5	-0.11545028014584695	Outlier	5909	mds37-neg
HanXRQChr11	82269634	82660361	82464997.5	-0.11029304671241333	Outlier	5912	mds37-neg
HanXRQChr11	99750392	100001590	99875991	-0.12352836939972289	Outlier	5969	mds37-neg
HanXRQChr11	100001594	100232992	100117293	-0.11633718851451212	Outlier	5970	mds37-neg
HanXRQChr11	133033223	133304453	133168838	-0.11458564066636595	Outlier	6064	mds37-neg
HanXRQChr10	70328819	71735700	71032259.5	-0.12034862305955502	Outlier	5083	mds36-neg
HanXRQChr10	71735864	72196119	71965991.5	-0.11597601287960045	Outlier	5084	mds36-neg
HanXRQChr10	72196139	72728900	72462519.5	-0.12177782133851615	Outlier	5085	mds36-neg
HanXRQChr10	89019877	89441263	89230570	-0.13628438546267224	Outlier	5134	mds36-neg
HanXRQChr10	89441276	89868623	89654949.5	-0.10890962383646756	Outlier	5135	mds36-neg
HanXRQChr10	93337186	93904327	93620756.5	-0.12737371149552665	Outlier	5144	mds36-neg
HanXRQChr10	98739417	98878763	98809090	-0.11308755958290433	Outlier	5159	mds36-neg
HanXRQChr10	98878889	99019558	98949223.5	-0.13933086136749104	Outlier	5160	mds36-neg
HanXRQChr10	99019611	99445597	99232604	-0.13869172790599057	Outlier	5161	mds36-neg
HanXRQChr10	100928665	101190396	101059530.5	-0.11590761602635963	Outlier	5166	mds36-neg
HanXRQChr10	115167079	115403154	115285116.5	-0.11994842120058712	Outlier	5207	mds36-neg
HanXRQChr10	115403163	115835683	115619423	-0.14524512207366252	Outlier	5208	mds36-neg
HanXRQChr10	137307125	137881874	137594499.5	-0.1492549612978001	Outlier	5271	mds36-neg
HanXRQChr10	137882137	138043126	137962631.5	-0.1110512073402053	Outlier	5272	mds36-neg
HanXRQChr10	138043151	138457300	138250225.5	-0.1243404419190468	Outlier	5273	mds36-neg
HanXRQChr10	141442472	142183817	141813144.5	-0.14408684214897405	Outlier	5283	mds36-neg
HanXRQChr10	142183859	142499293	142341576	-0.15277135381771875	Outlier	5284	mds36-neg
HanXRQChr10	149362933	149904434	149633683.5	-0.15108616896611793	Outlier	5307	mds36-neg
HanXRQChr10	154395085	154776775	154585930	-0.13518276608739435	Outlier	5321	mds36-neg
HanXRQChr10	154776886	155025760	154901323	-0.12526592740219125	Outlier	5322	mds36-neg
HanXRQChr10	155989281	156306836	156148058.5	-0.1118748452638861	Outlier	5327	mds36-neg
HanXRQChr10	156306874	156484250	156395562	-0.11038052086333054	Outlier	5328	mds36-neg
HanXRQChr10	159838403	160790032	160314217.5	-0.10706219930173318	Outlier	5335	mds36-neg
HanXRQChr11	67907318	68441572	68174445	0.16122828662239427	Outlier	5872	mds34-pos
HanXRQChr11	68441588	68697829	68569708.5	0.15582206152141534	Outlier	5873	mds34-pos
HanXRQChr11	81216229	81595950	81406089.5	0.1373559453763339	Outlier	5909	mds34-pos
HanXRQChr11	99750392	100001590	99875991	0.16299314606658394	Outlier	5969	mds34-pos
HanXRQChr11	100001594	100232992	100117293	0.15494462294556152	Outlier	5970	mds34-pos
HanXRQChr11	100233046	100517324	100375185	0.14284273412315532	Outlier	5971	mds34-pos
HanXRQChr02	55820053	56196147	56008100	0.1283317728559693	Outlier	680	mds33-pos
